node_id,component,component_size
m0243,1,228
m0244,1,228
m0245,1,228
m0247,1,228
m0248,1,228
m0249,1,228
m0252,1,228
m0254,1,228
m0255,1,228
m0259,1,228
m0262,1,228
m0264,1,228
m0265,1,228
m0266,1,228
m0267,1,228
m0268,1,228
m0272,1,228
m0273,1,228
m0274,1,228
m0275,1,228
m0277,1,228
m0278,1,228
m0279,1,228
m0281,1,228
m0282,1,228
m0283,1,228
m0285,1,228
m0288,1,228
m0291,1,228
m0292,1,228
m0293,1,228
m0294,1,228
m0295,1,228
m0296,1,228
m0297,1,228
m0299,1,228
m0305,1,228
m0306,1,228
m0307,1,228
m0311,1,228
m0313,1,228
m0314,1,228
m0316,1,228
m0317,1,228
m0319,1,228
m0320,1,228
m0322,1,228
m0324,1,228
m0326,1,228
m0330,1,228
m0331,1,228
m0332,1,228
m0333,1,228
m0334,1,228
m0335,1,228
m0337,1,228
m0338,1,228
m0339,1,228
m0341,1,228
m0342,1,228
m0343,1,228
m0344,1,228
m0346,1,228
m0347,1,228
m0348,1,228
m0350,1,228
m0352,1,228
m0355,1,228
m0357,1,228
m0360,1,228
m0364,1,228
m0365,1,228
m0366,1,228
m0369,1,228
m0370,1,228
m0371,1,228
m0372,1,228
m0373,1,228
m0378,1,228
m0379,1,228
m0381,1,228
m0383,1,228
m0384,1,228
m0386,1,228
m0388,1,228
m0389,1,228
m0391,1,228
m0394,1,228
m0395,1,228
m0397,1,228
m0398,1,228
m0400,1,228
m0402,1,228
m0405,1,228
m0406,1,228
m0408,1,228
m0409,1,228
m0410,1,228
m0009,2,45
m0019,2,45
m0029,2,45
m0046,2,45
m0049,2,45
m0058,2,45
m0082,2,45
m0085,2,45
m0087,2,45
m0105,2,45
m0106,2,45
m0110,2,45
m0112,2,45
m0135,2,45
m0151,2,45
m0164,2,45
m0171,2,45
m0179,2,45
m0186,2,45
m0190,2,45
m0207,2,45
m0209,2,45
m0220,2,45
m0221,2,45
m0222,2,45
m0226,2,45
m0242,2,45
m0246,2,45
m0251,2,45
m0256,2,45
m0269,2,45
m0276,2,45
m0284,2,45
m0287,2,45
m0318,2,45
m0323,2,45
m0354,2,45
m0358,2,45
m0362,2,45
m0380,2,45
m0385,2,45
m0387,2,45
m0390,2,45
m0404,2,45
m0412,2,45
m0008,3,19
m0018,3,19
m0027,3,19
m0059,3,19
m0115,3,19
m0139,3,19
m0145,3,19
m0150,3,19
m0189,3,19
m0200,3,19
m0224,3,19
m0240,3,19
m0263,3,19
m0271,3,19
m0302,3,19
m0308,3,19
m0328,3,19
m0359,3,19
m0363,3,19
m0003,4,16
m0024,4,16
m0052,4,16
m0055,4,16
m0072,4,16
m0080,4,16
m0203,4,16
m0204,4,16
m0253,4,16
m0258,4,16
m0280,4,16
m0329,4,16
m0340,4,16
m0356,4,16
m0375,4,16
m0401,4,16
m0030,5,14
m0114,5,14
m0132,5,14
m0147,5,14
m0148,5,14
m0208,5,14
m0225,5,14
m0289,5,14
m0290,5,14
m0353,5,14
m0361,5,14
m0392,5,14
m0399,5,14
m0411,5,14
m0004,6,10
m0034,6,10
m0042,6,10
m0075,6,10
m0091,6,10
m0127,6,10
m0156,6,10
m0236,6,10
m0304,6,10
m0374,6,10
m0015,7,5
m0089,7,5
m0107,7,5
m0310,7,5
m0312,7,5
m0026,8,5
m0143,8,5
m0146,8,5
m0336,8,5
m0376,8,5
m0056,9,5
m0099,9,5
m0177,9,5
m0345,9,5
m0377,9,5
m0057,10,5
m0078,10,5
m0100,10,5
m0223,10,5
m0396,10,5
m0199,11,5
m0239,11,5
m0260,11,5
m0261,11,5
m0393,11,5
m0022,12,4
m0142,12,4
m0301,12,4
m0325,12,4
m0038,13,4
m0092,13,4
m0303,13,4
m0407,13,4
m0061,14,4
m0152,14,4
m0180,14,4
m0212,14,4
m0007,15,3
m0060,15,3
m0327,15,3
m0010,16,3
m0211,16,3
m0250,16,3
m0108,17,2
m0403,17,2
m0116,18,2
m0321,18,2
m0117,19,2
m0126,19,2
m0119,20,2
m0257,20,2
m0129,21,2
m0270,21,2
m0367,22,2
m0382,22,2
m0013,23,1
m0020,24,1
m0021,25,1
m0032,26,1
m0035,27,1
m0044,28,1
m0053,29,1
m0081,30,1
m0121,31,1
m0140,32,1
m0153,33,1
m0181,34,1
m0195,35,1
m0196,36,1
m0201,37,1
m0213,38,1
m0241,39,1
m0286,40,1
m0298,41,1
m0300,42,1
m0309,43,1
m0315,44,1
m0349,45,1
m0351,46,1
m0368,47,1
