node_id	sequence_md5	accession	accession_all	enzyme_name	organism	sequence_length	v1_component	cath
v048	c0173ba184ddb729e7ef9122ecff0145	RGD93181	RGD93181	HG-3	Clostridiales bacterium AM23-16LB	270	1	3.40.50.1820
v049	71d88f44c8ddca8715a62d0d30305df5	RLI42440.1	RLI42440.1	PET46	Candidatus Bathyarchaeota archaeon	262	1	3.40.50.1820
v050	14a5c3e1584a0ee2518f18810a7fed98	RLT92980.1	RLT92980.1	Enzyme 403	Ketobacter sp.	269	1	3.40.50.1820
v051	1545cf731ea10ee62b256807199e37d8	RLU00646.1	RLU00646.1	RgCut-II	Rhizobacter gummiphilus	312	1	3.40.50.1820
v052	00855c73c087597a6c69fa2b114d731e	SAY37579.1	SAY37579.1	PHL-11	Compost metagenome	260	1	3.40.50.1820
v053	925eaa1d8c145880ff409530b973e7fe	SAY37582.1	SAY37582.1	PHL-21	Compost metagenome	260	1	3.40.50.1820
v054	e6c1800b97f5f0184a1dd73540deb95a	SAY37583.1	SAY37583.1	PHL-31	Compost metagenome	259	1	3.40.50.1820
v055	aaa9786d473a7eb02349e757ab50352c	SAY37584.1	SAY37584.1	PHL-41	Compost metagenome	257	1	3.40.50.1820
v056	0c75d9f81ae52914a609ec24d4c68ea2	SAY37587.1	SAY37587.1	PHL-51	Compost metagenome	257	1	3.40.50.1820
v057	f5ac2c525370f659e6c1b4fc71e16ce1	SAY37589.1	SAY37589.1	PHL-61	Compost metagenome	257	1	3.40.50.1820
v058	1361228bf3f1c19ea8214555076414a7	SHM40309.1	SHM40309.1	CaPETase	Cryptosporangium aurantiacum	299	1	3.40.50.1820
v059	6cfa5991a1358a2618da129bb29a2d1c	SUD16364.1	SUD16364.1	PbauzCut	Halopseudomonas bauzanensis	298	1	3.40.50.1820
v060	fe08eef9c8f87d7d57af2914ff906b14	OK558824	OK558824	PLE628	Marinobacter sp.	316	1	3.40.50.1820
v061	15938ddd57d7448aa110a9139193c91b	OK558825	OK558825	PET12; PbCut; SbCut; AAW51_2473	Caldimonas brevitalea	307	1	3.40.50.1820
v062	d1aa8fa7800d986fee5acab07614bd0d	WAU86704.1	WAU86704.1	PET40	Amycolatopsis bacterium	263	1	3.40.50.1820
v063	81f568dbaa464c36246be059cfa19188	Ipet	Ipet	GlacPETase	Pseudomonas sp.	282	1	3.40.50.1820
v064	aa2b99b06ee80b2a22d650e6f32f1c1e	WOR09923	WOR09923	SIBER-1	Microbispora sp.	257	1	3.40.50.1820
v065	a0904c35f59716a292ebfca5adfcbc0e	WP_013858543.1	WP_013858543.1	HG-4	Heyndrickxia coagulans	254	1	3.40.50.1820
v066	2cd5f487f5114193eaf1c99806f6ef63	A0A031MKR8	A0A031MKR8	PsCut	Pseudomonas saudimassiliensis	302	1	3.40.50.1820
v067	e6cfd2897ec399a6f1d3ec1c6a98cdb7	WP_039353427	WP_039353427	PET30	Kaistella (Chryseobacterium) jeonii	366	1	3.40.50.1820
v068	42aa40364f5684f1f255819ab69b7b92	A0A078MGG8	A0A078MGG8	PmC	Pseudomonas  mendocina ATCC 53552	302	1	3.40.50.1820
v069	d78ca54fff3eddbc5a27aec8c337f94f	WP_058088494.1	WP_058088494.1	AdCut	Acidovorax delafieldii	279	1	3.40.50.1820
v070	1197ee1b96f74dd16a31dad1ba334c46	WP_062195544.1	WP_062195544.1	Enzyme 406	Comamonadaceae bacterium	292	1	3.40.50.1820
v071	325634c8b48334249f0532c897258e2e	WP_068824797.1	WP_068824797.1	jmPE14	Pseudomonas sp. JM16B3	297	1	3.40.50.1820
v072	ef08656ab980fbd8c17fe79b6060a681	WP_078759821.1	WP_078759821.1	MtCut; Enzyme 606	Marinactinospora thermotolerans	311	1	3.40.50.1820
v073	677a11fa0e32fbd01338ba6d30fc718b	WP_082414832.1	WP_082414832.1	Enzyme 405	Actinobacteria bacterium OK074	302	1	3.40.50.1820
v074	1e1f498fae0e6d56fb87a52a1fef96ff	WP_083947829.1	WP_083947829.1	Enzyme 711	Thermobifida cellulosilytica	284	1	3.40.50.1820
v075	31e8cee08e99636ef7d35f9f5457bb57	WP_085749238.1	WP_085749238.1	RgPETase; RgCut-I	Rhizobacter gummiphilus NS21	279	1	3.40.50.1820
v076	b96e3838fee9bee7a9d7d7d57eda9386	A0A1H6AD45	A0A1H6AD45	PpelaLip	Pseudomonas pelagia DSM 25163	304	1	3.40.50.1820
v077	de58930843f53b731bc34d03f729488d	WP_090538641.1	WP_090538641.1	Hfor_PE-H	Halopseudomonas formosensis	304	1	3.40.50.1820
v078	4f68c367317a6c09df48faffc017ad9e	WP_093412886.1	WP_093412886.1	Enzyme 611	Saccharopolyspora flava	293	1	3.40.50.1820
v079	ef0ce8fcf0fe89871330b7d41cec0e7b	WP_101893509.1	WP_101893509.1	Enzyme 409	Ketobacter sp.	283	1	3.40.50.1820
v080	e125fba23d29946317aa25973b8c03cb	WP_104613137.1	WP_104613137.1	Enzyme 701	Thermobifida fusca	301	1	3.40.50.1820
v081	41ec3fae20c0008c7ca666cd96974233	WP_107095481.1	WP_107095481.1	Enzyme 607	Actinobacteria bacterium OV320	310	1	3.40.50.1820
v082	afb025038508228d84d2fe8c130d5d14	WP_111881932	WP_111881932	PET27	Aequorivita sp. CIP111184	364	1	3.40.50.1820
v083	fb68a33e966a9f713281583d4f5d357b	WP_117215036.1	WP_117215036.1	Enzyme 407	Allorhizocoloa rhizosphaerae	434	1	3.40.50.1820
v084	d03a36b0671215d716f1df2ade24268f	WP_118011433	WP_118011433	HG-2	Holdemanella biformis	259	1	3.40.50.1820
v085	7acde97244b13e14de682a6f3f3def1e	YNP18_240440	YNP18_240440	Enzyme 204 like	Metagenome	258	1	3.40.50.1820
v086	c51ea9e72ca4f046ba7b615cdd6e1bc0	Ipet	Ipet	jmPE13	Pseudomonas sp. JM16B3	273	1	3.40.50.1820
v087	25535d4836a01c7d3cc4bbeba3c18437	XCO66867	XCO66867	PurH	Aeromicrobium sp.	286	1	3.40.50.1820
v088	2ddc62c97241531aed04530538ae54d8	XDS72785.1	XDS72785.1	Sis	Geothermal metagenome	282	1	3.40.50.1820
v089	ee0092b4288da1c69a59e16f2b702cdf	ACC95208.1	ACC95208.1	PET2; lipIAF5-2	Metagenome	308	1	3.40.50.1820
v090	fcafc8f695c58e71718b19c1a7c315ba	N20M5AZM016	N20M5AZM016	PE-H; B7O88_11480	Halopseudomonas aestusnigri VGXO14	258	20	3.40.50.1820
v091	0ac767e72406f2fc0cf50fd9008e6f16	A0A291HVH1	A0A291HVH1	LP175	Laceyella sacchari	385	21	3.40.50.1820
v092	c119a9b5c297563dbef710cd0dfbaa94	P00780	P00780	Subtilisin; subC	Lederbergia (Bacillus) licheniformis	379	21	3.40.50.1820
v093	3ccbadd7e660120a138f6df238b1b9ae	P06873	P06873	Proteinase K	Parengyodontium album	384	21	3.40.50.1820
v094	c2dc98ad498bf96179a52733ac69516e	P29599	P29599	Subtilisin BL	Lederbergia (Bacillus) lentus	269	21	3.40.50.1820
v095	5353a76b2d62b148881304e276a3a0e0	P29600	P29600	Subtilisin; Savinase	Lederbergia (Bacillus) lentus	269	21	3.40.50.1820
v096	6501b0257cf940e7d8aa9266fd92aaa1	GU116480	GU116480	PURase	Microbacterium hydrocarbonoxydans	283	22	3.40.50.1820
v097	2952634441666dbdb22a48ce9cde12c5	CEE00769.1	CEE00769.1	Est8_89	Caldibacillus thermoamylovorans	266	22	3.40.50.1820
v098	85933cc8711bcbd2db56860adfb2fd54	Chen, 2024	Chen, 2024	phaZ-like	Cuprivadus necator ATC17699	276	22	3.40.50.1820
v099	b8d2efe3a6d76dcf58f691a374d528ed	ADH43200.1	ADH43200.1	BsEstB	Bacillus subtilis 4P3-11	489	23	3.40.50.1820
v100	de7fd3cae353ad8fabd922f83140376c	AKJ87216	AKJ87216	GEN0105	Metagenome	322	23	3.40.50.1820
v101	de5188fe17cc9552eecfc6b69179e19d	ALS54749.1	ALS54749.1	Chath_Est1	Clostridium hathewayi DSM-13479	520	23	3.40.50.1820
v102	e49911a7e5738e9056e9fb9c5a9aa7ae	BAA76305.1	BAA76305.1	PudA	Comamonas acidovorans TB-35	548	23	3.40.50.1820
v103	23af3c0ada6021e4452780933588e6da	YNPsite06_CeleraDRAFT_263770	YNPsite06_CeleraDRAFT_263770	Enzyme 101 like	Metagenome	613	23	3.40.50.1820
v104	f0ef5b5426c1171b0f229df593d4d810	P20261	P20261	Lip1; Lip5	Diutina (Candida) rugosa	549	23	3.40.50.1820
v105	b9431762171b80707139661059a4d5f3	A0A2I2K6T5	A0A2I2K6T5	CE_Ubrb	Metagenome-derived	295	23	3.40.50.1820
v106	572db808330016b2e517a2e6db0d8477	UNZ81746	UNZ81746	IS10	Chloroflexi bacterium	314	23	3.40.50.1820
v107	63f3bcdf9d4e41b30836917c8f069d43	UNZ81748	UNZ81748	IS12	Chloroflexi bacterium	318	23	3.40.50.1820
v108	f768e32a79d0b17b006886911c31b36d	WID88783.1	WID88783.1	Dkca1	Dietzia kunjamensis	462	23	3.40.50.1820
v109	2aefc1d9f667923f2f590677c9bd72d3	YNP6_02150	YNP6_02150	Enzyme 102 like	Metagenome	565	23	3.40.50.1820
v110	fe1766a388c03c1e83be5dd8c749ba4b	L0EF70	L0EF70	Tcca	Thermobacillus composti KWC4	508	23	3.40.50.1820
v111	8f7ceab2fc48801f9eff4ec96dd6b2b3	WP_041847557.1	WP_041847557.1	Est18_23	Caldibacillus thermoamylovorans	491	23	3.40.50.1820
v112	81a9df90765d3ca5a2dbd97ac8fe0e4f	AKJ87264	AKJ87264	MGS0156	Metagenome	421	24	3.40.50.1820
v113	f21de0ea2dcb603946ac9638d3076b59	AKZ20828.1	AKZ20828.1	Cbotu_EstA	Clostridium botulinum ATCC3502	452	25	3.40.50.1820
v114	a4cafac901140b6b19f1c384d078b5d5	AKZ20829.1	AKZ20829.1	Cbotu_EstB	Clostridium botulinum ATCC3502	400	25	3.40.50.1820
v115	970357e6455a991c27de46edeee96a39	AB302136; A4UZ10	AB302136; A4UZ10	PlaM4 depolymerase	Metagenome	431	25	3.40.50.1820
v116	bfc457646ef92b3c1ed060f134602fba	A4UZ11	A4UZ11	PlaM5 depolymerase	Metagenome	419	25	3.40.50.1820
v117	a436d17bdfc2c17a51007a01c569dc7a	EIW29778.1	EIW29778.1	PFL1	Pelosinus fermentans DSM-17108	402	25	3.40.50.1820
v118	7f7526ac0c7c4c8440ba6812322c88d5	WP_108898452.1	WP_108898452.1	Lip4_120	Caldibacillus thermoamylovorans	417	25	3.40.50.1820
v119	067e281972e92f24fb345ef6c8870caa	APJ12152.1	APJ12152.1	LipMRD9	Bacillus safensis	215	26	3.40.50.1820
v120	cbe6e6c036ad8643698609d6a197ff5d	Q83VDO	Q83VDO	PLaA	Paenibacillus amylolyticus TB13	201	26	3.40.50.1820
v121	11448cbf80389c1a758d8dfcba90907c	A0A1E1FNX8	A0A1E1FNX8	PBATHBp	Bacillus pumilus	215	26	3.40.50.1820
v122	d39f4e4eb5bc5b5de87a6807337446ec	B2NHN2	B2NHN2	PHAase	Talaromyces funiculosus	339	27	3.40.50.1820
v123	46e18f09ca1ffe3e4eda0f6cae364c1e	A0A080NJE8	A0A080NJE8	PhaZCac	Commamonas acidivorans YM1609	734	28	3.40.50.1820
v124	f972c4fe64b984d09a783a3fcdfb3199	Q0K9H3	Q0K9H3	PhaY1	Cuprivadus necator ATC17699	718	28	3.40.50.1820
v125	9779282f44f5947a072f15c26945d21a	O82950	O82950	PhaZst	Pseudomonas stutzeri	576	29	3.40.50.1820
v126	61a4ab03c350b74dc8e27682811b973f	P94146	P94146	PhaZAfa	Alcaligenes faecalis	635	30	3.40.50.1820
v127	6012a802711a9bb008ee0895a518a5a0	Q51871	Q51871	PhaZ5	Paucimonas lemoignei	433	30	3.40.50.1820
v128	c96dbeb66cbc47f7911296f991cdfb8d	Q0JYJ1	Q0JYJ1	PhaZ7	Cuprivadus necator ATC17699	365	31	3.40.50.1820
v129	4b02a9379189f4f3f4a6d2b07ad427c9	Q0JZG9	Q0JZG9	PhaZ6	Cuprivadus necator ATC17699	362	31	3.40.50.1820
v130	ab6b2d53513cc127c20db4ff15e7a322	Q0VLQ1	Q0VLQ1	ABO2449, esterase	Alcanivorax borkumensis	305	32	3.40.50.1820
v131	15317ec096461afae2a6111e17b27633	Q0KBZ6	Q0KBZ6	PhaY2	Cuprivadus necator ATC17699	293	33	3.40.50.1820
v132	085add734f10d1917f9638347ab618d2	Q939Q9	Q939Q9	PhaZ7	Paucimonas lemoignei	380	34	3.40.50.1820
v133	9d30a8d3a59a8932a82976151ee0fdf1	GxsBSedJan11_10251181	GxsBSedJan11_10251181	Enzyme 305 like	Metagenome	335	35	3.40.50.1820
v134	5a880c3b46d61fb2b4fa713a243c511a	WP_010659881.1	WP_010659881.1	dsPETase06	Pseudomonadota bacterium	352	35	3.40.50.1820
v135	263a6865371a5e0924e53280192fa035	WP_034767800.1	WP_034767800.1	Ces19_14	Caldibacillus thermoamylovorans	240	36	3.40.50.1820
v136	e5a559b306f8a40b94d6844216b41307	WP_041846030.1	WP_041846030.1	Est11_32	Caldibacillus thermoamylovorans	256	37	3.40.50.1820
v137	4c93b29cd359ce02e9f06d853bb00619	WP_085690612	WP_085690612	MG8	Pseudomonas sp.	218	38	3.40.50.1820
v138	228edba5269227f472a446139a646369	WP_108898647.1	WP_108898647.1	Ces39_5	Caldibacillus thermoamylovorans	249	39	3.40.50.1820
v139	e0b91bc8063c1c7e94e918fcfd8cf2bc	A0A075B5G4	A0A075B5G4	HiC	Humicola insolens	194	2	3.40.50.1820
v140	2faa60f73ded9c502787ece47fca13f7	A0A060N399	A0A060N399	PLAse	Paraphoma sp. B47-9	227	2	3.40.50.1820
v141	ea7a24d47eff2487f1491b3ad67cce64	A0A060N5H2	A0A060N5H2	CmCut	Cryptococcus magnus	226	2	3.40.50.1820
v142	4e42b62ac9f3158a2a5a2b35e117d950	A0A0P0ZE81	A0A0P0ZE81	GB-1; CLE	Cryptococcus flavus	239	2	3.40.50.1820
v143	d46d1c755303a13d2a19d9393a49d2f7	AAA33335.1	AAA33335.1	FsC	Fusarium solani	230	2	3.40.50.1820
v144	cd3efa9108622a39c229634066ce0292	AB102945.1; Q874E	AB102945.1; Q874E	S-2; CLE; cutinase	Cryptococcus sp.	239	2	3.40.50.1820
v145	339540f3809d8ac98ee633f1da7247e9	AB739034	AB739034	PaE; PaCLE1	Pseudozyma (Candida) antarctica	224	2	3.40.50.1820
v146	255e2b78ca9f54fe397d3917c1c6cae9	A0A7I8E2Z4	A0A7I8E2Z4	PBATHRF; pbath	Rhodococcus fascians NKCM2511	216	2	3.40.50.1820
v147	b316862d7118e4358cbe8bf6be6de118	ESK97883	ESK97883	MRCUT1	Moniliophthora roreri	203	2	3.40.50.1820
v148	a0550530145e06d4170e283fb389aa62	X0BTD8	X0BTD8	FoCut5a	Fusarium oxysporum	230	2	3.40.50.1820
v149	02048bc3dc3b8c853e51fcc55038f6ac	KAH7127633	KAH7127633	DmC	Dactylonectria macrodidyma	237	2	3.40.50.1820
v150	f7e864f6573eccaba6017448237af700	P52956	P52956	CutL1	Aspergillus oryzae ATCC42149	213	2	3.40.50.1820
v151	dab2da810add966a777bb8c243da293b	Q99174	Q99174	FSC	Fusarium solani	230	2	3.40.50.1820
v152	a2dfe48912d34dabd9ec983f2380b945	QEX94755.1	QEX94755.1	Sub1	Streptomyces scabiei	186	2	3.40.50.1820
v153	255e2b78ca9f54fe397d3917c1c6cae9	UNZ22463.1	UNZ22463.1	Rcut; PBATh; OL660765	Rhodococcus sp.	216	2	3.40.50.1820
v154	0e841a3c1f59a0cfd7b1ac47b6e7b1bd	Cut	Cut	CpCut1-like	Cladosporium sp. P7	221	2	3.40.50.1820
v155	82b7aa41d984234dbb69f23c5dfebbb9	Cut	Cut	BaCut1-like	Blastobotrys sp. G-9	222	2	3.40.50.1820
v156	32320ea9636947aaaa29de601c9a9fa4	Q0K2G9	Q0K2G9	PhaZ5	Cuprivadus necator ATC17699	407	3	3.40.50.1820
v157	f3019f8a82e15ef9ac9ed61f6a611c97	Q0K4D5	Q0K4D5	PhaZ3	Cuprivadus necator ATC17699	412	3	3.40.50.1820
v158	8b6e9ddd1da10e1d0d3c47e2aeaaba85	Q0K7T2	Q0K7T2	PhaZ2	Cuprivadus necator ATC17699	404	3	3.40.50.1820
v159	263b6d9cf1f73ddee6c8d0410fdaf229	Q0KCI0	Q0KCI0	PhaZ1	Cuprivadus necator ATC17699	419	3	3.40.50.1820
v160	426c9c3680fe7091b7e6f1c7a0f7e7d3	Q7WXF6	Q7WXF6	PhaZ4	Cuprivadus necator ATC17699	245	3	3.40.50.1820
v161	da74b7409b4c0618cc66c7787e557585	AAD22743.1	AAD22743.1	PueA	Pseudomonas chloroaphis	617	4	3.40.50.1820
v162	c02edb9924a7f5bcd356a4cb811dd674	AAF01331.1	AAF01331.1	PueB	Pseudomonas chloroaphis	567	4	3.40.50.1820
v163	5fa3e19ca90991487c80ed55e34da806	AAF66684.1	AAF66684.1	PulA	Pseudomonas fluorescens	451	4	3.40.50.1820
v164	0d26a77d2ffda03e4582e295927066c6	AAY92471.1	AAY92471.1	PueA	Pseudomonas protegens strain Pf-5	617	4	3.40.50.1820
v165	cb8ee61f26429b3ce6a175e6f02222ef	AAY92474.2	AAY92474.2	PueB	Pseudomonas protegens strain Pf-5	561	4	3.40.50.1820
v166	0ce515d8f0c2a6b72722a127e726b8d7	AB302138; A4UZ12	AB302138; A4UZ12	PlaM7 depolymerase	Metagenome	283	5	3.40.50.1820
v167	77b3eb7d458379633a6175152729a2e8	A4UZ13	A4UZ13	PlaM8 depolymerase	Metagenome	283	5	3.40.50.1820
v168	d8bf4c4b8965f1f5509d077b1db637c5	AB302140	AB302140	PlaM9 depolymerase	Metagenome	338	40	3.40.50.1820
v169	7452d6761b99d133be32ee4b17239cd1	Q6N9M9; RPA1511	Q6N9M9; RPA1511	RPA1511, esterase	Rhodopseudomonas palustris	295	6	3.40.50.1820
v170	c5c958d03feed023c70aead575ffd575	LIPB_PSEA2	LIPB_PSEA2	lipase B; CalB	Pseudozyma antarctica	342	7	3.40.50.1820
v171	be7dd8f21d1b03631b329ecc8c66318e	AGT96414.1	AGT96414.1	MGS0105 (KC986400)	Marine metagenome	390	8	3.40.710.10
v172	c2610dc7556aacd9a00bede53a3a5ef9	AHG30919.1	AHG30919.1	MGS0010 (KF801579)	Marine metagenome	414	41	3.40.710.10
v173	ec89fcce3f831d4efa72c84c4ac889ee	NYLB_FLASK	NYLB_FLASK	NylB	Paenarthrobacter ureafaciens K172	392	42	3.40.710.10
v174	12efbdad63de5275909365067113db41	UNZ81747	UNZ81747	IS113	Dehalococcoidia bacterium	455	43	3.40.710.10
v175	586a335986f45e096f6ca073737678a5	A0A7W8QII1	A0A7W8QII1	Nc-NylC	Nocardiopsis composta	344	9	3.60.70.12
v176	8a27f08047aeded2e90bf33e519d6d59	A0A840P940	A0A840P940	Tt-NylC	Thermocatellispora tengchongensis	332	9	3.60.70.12
v177	aaede276fbd61767d03028e2d193d5a7	KQR39103	KQR39103	M-NylC	Microbacterium sp.	340	9	3.60.70.12
v178	821c28b3e158579536d0795e3661b21a	Q1EPR4	Q1EPR4	NylC	Kocuria sp. KY2	355	9	3.60.70.12
v179	b48a5e7e77b3b427ca89ac65da361050	Q1EPR5	Q1EPR5	NylC	Agromyces sp. KY5R	355	9	3.60.70.12
v180	ebd22bc012fd6e181f43bc728b85dc79	NYLC_FLASK	NYLC_FLASK	NylC	Paenarthrobacter ureafaciens K172	355	9	3.60.70.12
v181	6139d7ee947801e1ffa5c9345c785900	AY026386	AY026386	PURase	Rhodococcus erythropolis MP50	525	10	3.90.1300.10
v182	0c554c0dd255de614d248db3118d89da	AAK28498.1	AAK28498.1	AmdA	Agrobacterium tumefaciens d3	517	10	3.90.1300.10
v183	5c06f1259bc12791a4627d9b18c94185	AGT90042.1	AGT90042.1	CCM2595	Rhodococcus erythropolis	483	10	3.90.1300.10
v184	1090fc7df5cb6e4866fd00779c1d8e28	ANG60415.1	ANG60415.1	GatA	Lysinibacillus fusiformis SCO2	472	10	3.90.1300.10
