node_id,component,component_size
m0348,1,229
m0349,1,229
m0351,1,229
m0354,1,229
m0356,1,229
m0359,1,229
m0363,1,229
m0364,1,229
m0365,1,229
m0368,1,229
m0369,1,229
m0370,1,229
m0371,1,229
m0372,1,229
m0377,1,229
m0378,1,229
m0380,1,229
m0382,1,229
m0383,1,229
m0385,1,229
m0387,1,229
m0388,1,229
m0390,1,229
m0393,1,229
m0394,1,229
m0396,1,229
m0397,1,229
m0398,1,229
m0400,1,229
m0402,1,229
m0405,1,229
m0406,1,229
m0408,1,229
m0409,1,229
m0410,1,229
m0010,2,45
m0020,2,45
m0030,2,45
m0049,2,45
m0052,2,45
m0061,2,45
m0085,2,45
m0088,2,45
m0090,2,45
m0108,2,45
m0109,2,45
m0113,2,45
m0115,2,45
m0138,2,45
m0154,2,45
m0167,2,45
m0174,2,45
m0182,2,45
m0189,2,45
m0193,2,45
m0209,2,45
m0211,2,45
m0222,2,45
m0223,2,45
m0224,2,45
m0228,2,45
m0244,2,45
m0248,2,45
m0253,2,45
m0258,2,45
m0270,2,45
m0277,2,45
m0285,2,45
m0288,2,45
m0315,2,45
m0320,2,45
m0353,2,45
m0357,2,45
m0361,2,45
m0379,2,45
m0384,2,45
m0386,2,45
m0389,2,45
m0404,2,45
m0412,2,45
m0009,3,19
m0019,3,19
m0028,3,19
m0062,3,19
m0118,3,19
m0142,3,19
m0148,3,19
m0153,3,19
m0192,3,19
m0203,3,19
m0226,3,19
m0242,3,19
m0265,3,19
m0272,3,19
m0302,3,19
m0325,3,19
m0346,3,19
m0358,3,19
m0362,3,19
m0005,4,16
m0025,4,16
m0055,4,16
m0058,4,16
m0075,4,16
m0083,4,16
m0205,4,16
m0206,4,16
m0255,4,16
m0260,4,16
m0281,4,16
m0326,4,16
m0347,4,16
m0355,4,16
m0374,4,16
m0401,4,16
m0031,5,14
m0117,5,14
m0135,5,14
m0150,5,14
m0151,5,14
m0210,5,14
m0227,5,14
m0290,5,14
m0291,5,14
m0352,5,14
m0360,5,14
m0391,5,14
m0399,5,14
m0411,5,14
m0006,6,10
m0036,6,10
m0045,6,10
m0078,6,10
m0094,6,10
m0129,6,10
m0159,6,10
m0238,6,10
m0304,6,10
m0373,6,10
m0016,7,5
m0092,7,5
m0110,7,5
m0131,7,5
m0310,7,5
m0027,8,5
m0146,8,5
m0149,8,5
m0333,8,5
m0375,8,5
m0059,9,5
m0102,9,5
m0180,9,5
m0340,9,5
m0376,9,5
m0060,10,5
m0081,10,5
m0103,10,5
m0225,10,5
m0395,10,5
m0202,11,5
m0241,11,5
m0262,11,5
m0263,11,5
m0392,11,5
m0023,12,4
m0145,12,4
m0301,12,4
m0322,12,4
m0041,13,4
m0095,13,4
m0303,13,4
m0407,13,4
m0064,14,4
m0155,14,4
m0183,14,4
m0214,14,4
m0008,15,3
m0063,15,3
m0324,15,3
m0011,16,3
m0213,16,3
m0252,16,3
m0111,17,2
m0403,17,2
m0119,18,2
m0318,18,2
m0120,19,2
m0128,19,2
m0122,20,2
m0259,20,2
m0132,21,2
m0271,21,2
m0366,22,2
m0381,22,2
m0014,23,1
m0021,24,1
m0022,25,1
m0033,26,1
m0037,27,1
m0047,28,1
m0056,29,1
m0084,30,1
m0143,31,1
m0156,32,1
m0184,33,1
m0198,34,1
m0199,35,1
m0204,36,1
m0215,37,1
m0243,38,1
m0287,39,1
m0298,40,1
m0300,41,1
m0308,42,1
m0313,43,1
m0344,44,1
m0350,45,1
m0367,46,1
