query,target,qlen_m,tlen_n,pct_id_v11,pct_id_v12,bits_v11,bits_v12,evalue_v11,evalue_v12,log10_Eratio_v12_over_v11,impliedK_v11,impliedK_v12,pass_v11,pass_v12,flips
n1,n81,290,310,50.5,50.5,261.0,261.0,5.230e-72,7.050e-68,4.13,0.9,1.21e+04,1,1,
n1,n82,290,364,36.9,36.9,157.0,157.0,1.390e-40,1.870e-36,4.13,1.18,1.59e+04,1,1,
n1,n83,290,434,40.6,40.6,199.0,199.0,3.190e-53,4.300e-49,4.13,1.19,1.6e+04,1,1,
n1,n85,290,258,26.8,26.6,31.0,30.0,1.150e-02,2.640e+02,4.36,1.15,1.32e+04,0,0,
n1,n86,290,273,50.7,50.7,276.0,276.0,1.570e-76,2.120e-72,4.13,0.885,1.2e+04,1,1,
n1,n87,290,286,42.8,42.8,235.0,235.0,4.020e-64,5.410e-60,4.13,1.03,1.39e+04,1,1,
n1,n88,290,282,45.3,45.3,222.0,223.0,2.690e-60,2.130e-56,3.90,0.842,1.33e+04,1,1,
n1,n89,290,308,53.2,53.2,273.0,273.0,1.020e-75,1.370e-71,4.13,0.719,9.66e+03,1,1,
n1,n9,290,315,51.9,51.9,256.0,256.0,1.680e-70,2.270e-66,4.13,0.903,1.22e+04,1,1,
n1,n90,290,258,25.9,26.4,61.0,68.0,1.040e-11,8.760e-10,1.93,1.11,1.2e+04,0,0,
n10,n1,262,290,52.4,52.4,252.0,252.0,2.870e-69,3.860e-65,4.13,1.07,1.44e+04,1,1,
n10,n11,262,262,98.5,98.5,520.0,520.0,7.380e-150,9.930e-146,4.13,1.3,1.75e+04,1,1,
n10,n12,262,262,91.6,91.6,488.0,488.0,3.110e-140,4.180e-136,4.13,1.28,1.72e+04,1,1,
n10,n127,262,433,30.8,30.8,38.0,38.0,6.510e-05,8.770e-01,4.13,0.92,1.24e+04,0,0,
n10,n13,262,262,96.2,96.2,510.0,510.0,7.630e-147,1.030e-142,4.13,1.31,1.77e+04,1,1,
n10,n14,262,319,91.6,91.6,486.0,486.0,1.180e-139,1.590e-135,4.13,1.21,1.63e+04,1,1,
n10,n15,262,301,98.5,98.5,518.0,518.0,2.800e-149,3.770e-145,4.13,1.24,1.66e+04,1,1,
n10,n16,262,262,73.7,73.7,404.0,404.0,4.520e-115,6.080e-111,4.13,0.96,1.29e+04,1,1,
n10,n17,262,314,21.3,32.3,18.0,39.0,6.970e+01,3.940e-01,-2.25,0.939,1.11e+04,0,0,
n10,n18,262,298,51.3,51.3,270.0,270.0,7.790e-75,1.050e-70,4.13,0.76,1.02e+04,1,1,
n10,n19,262,307,46.1,46.1,243.0,243.0,1.740e-66,2.340e-62,4.13,1.26,1.7e+04,1,1,
n10,n2,262,259,63.6,63.6,339.0,339.0,1.780e-95,2.400e-91,4.13,1.02,1.38e+04,1,1,
n10,n20,262,298,48.7,48.7,238.0,238.0,4.290e-65,5.770e-61,4.13,0.974,1.31e+04,1,1,
n10,n21,262,304,52.0,52.0,247.0,247.0,7.070e-68,9.520e-64,4.13,0.822,1.11e+04,1,1,
n10,n22,262,296,81.6,81.6,443.0,443.0,6.720e-127,9.050e-123,4.13,0.785,1.06e+04,1,1,
n10,n23,262,300,80.8,80.8,437.0,437.0,4.810e-125,6.480e-121,4.13,0.877,1.18e+04,1,1,
n10,n24,262,304,63.7,63.7,345.0,345.0,3.250e-97,4.380e-93,4.13,1.2,1.61e+04,1,1,
n10,n25,262,301,91.2,91.2,484.0,484.0,3.430e-139,4.620e-135,4.13,0.881,1.19e+04,1,1,
n10,n26,262,261,97.7,97.7,514.0,514.0,3.100e-148,4.170e-144,4.13,0.855,1.15e+04,1,1,
n10,n27,262,296,81.6,81.6,443.0,443.0,6.720e-127,9.050e-123,4.13,0.785,1.06e+04,1,1,
n10,n28,262,284,55.1,55.1,287.0,287.0,1.050e-79,1.420e-75,4.13,1.34,1.81e+04,1,1,
n10,n29,262,319,93.1,93.1,494.0,494.0,4.330e-142,5.840e-138,4.13,1.14,1.54e+04,1,1,
n10,n3,262,380,23.1,23.1,30.0,30.0,2.320e-02,3.120e+02,4.13,1.28,1.72e+04,0,0,
n10,n30,262,262,98.5,98.5,520.0,520.0,7.380e-150,9.930e-146,4.13,1.3,1.75e+04,1,1,
n10,n31,262,262,91.6,91.6,488.0,488.0,3.110e-140,4.180e-136,4.13,1.28,1.72e+04,1,1,
n10,n32,262,294,49.8,49.8,263.0,263.0,1.630e-72,2.190e-68,4.13,1.24,1.67e+04,1,1,
n10,n33,262,293,59.7,59.7,303.0,303.0,1.420e-84,1.910e-80,4.13,1.19,1.6e+04,1,1,
n10,n34,262,293,59.7,59.7,301.0,301.0,5.380e-84,7.250e-80,4.13,1.13,1.52e+04,1,1,
n10,n35,262,456,20.8,20.8,29.0,29.0,3.950e-02,5.320e+02,4.13,1.09,1.47e+04,0,0,
n10,n36,262,310,48.5,48.5,245.0,245.0,2.680e-67,3.620e-63,4.13,0.779,1.05e+04,1,1,
n10,n37,262,263,28.0,27.2,38.0,38.0,6.510e-05,8.770e-01,4.13,0.92,1.24e+04,0,0,
n10,n38,262,495,26.8,26.8,71.0,71.0,9.060e-15,1.220e-10,4.13,1.1,1.48e+04,0,0,
n10,n4,262,292,49.1,49.1,252.0,252.0,3.750e-69,5.050e-65,4.13,1.39,1.88e+04,1,1,
n10,n40,262,292,30.0,30.0,95.0,95.0,4.490e-22,6.040e-18,4.13,0.914,1.23e+04,1,1,
n10,n41,262,305,48.0,48.0,238.0,238.0,5.600e-65,7.540e-61,4.13,1.27,1.71e+04,1,1,
n10,n42,262,426,51.1,51.1,273.0,273.0,1.200e-75,1.620e-71,4.13,0.936,1.26e+04,1,1,
n10,n43,262,319,43.8,43.8,198.0,198.0,6.420e-53,8.650e-49,4.13,1.33,1.79e+04,1,1,
n10,n44,262,301,98.5,98.5,518.0,518.0,2.800e-149,3.770e-145,4.13,1.24,1.66e+04,1,1,
n10,n45,262,319,91.6,91.6,486.0,486.0,1.180e-139,1.590e-135,4.13,1.21,1.63e+04,1,1,
n10,n46,262,301,98.5,98.5,518.0,518.0,2.800e-149,3.770e-145,4.13,1.24,1.66e+04,1,1,
n10,n47,262,304,52.0,52.0,247.0,247.0,7.070e-68,9.520e-64,4.13,0.822,1.11e+04,1,1,
n10,n49,262,262,28.2,28.2,35.0,35.0,5.510e-04,7.420e+00,4.13,0.973,1.31e+04,0,0,
n10,n5,262,292,60.1,60.1,322.0,322.0,2.260e-90,3.040e-86,4.13,0.993,1.34e+04,1,1,
n10,n50,262,269,33.7,33.7,134.0,134.0,8.720e-34,1.170e-29,4.13,0.976,1.31e+04,1,1,
n10,n51,262,312,52.6,52.6,263.0,263.0,1.240e-72,1.680e-68,4.13,0.945,1.28e+04,1,1,
n10,n52,262,260,66.7,66.7,354.0,354.0,7.000e-100,9.430e-96,4.13,1.32,1.78e+04,1,1,
n10,n53,262,260,67.3,67.3,354.0,354.0,5.360e-100,7.220e-96,4.13,1.01,1.36e+04,1,1,
n10,n54,262,259,63.6,63.6,340.0,340.0,8.010e-96,1.080e-91,4.13,0.922,1.24e+04,1,1,
n10,n55,262,257,53.8,53.8,273.0,273.0,1.570e-75,2.110e-71,4.13,1.22,1.65e+04,1,1,
n10,n56,262,257,53.8,53.8,274.0,274.0,5.400e-76,7.270e-72,4.13,0.843,1.13e+04,1,1,
n10,n57,262,257,54.5,54.5,276.0,276.0,1.850e-76,2.500e-72,4.13,1.15,1.56e+04,1,1,
n10,n58,262,299,53.6,53.6,273.0,273.0,1.200e-75,1.620e-71,4.13,0.936,1.26e+04,1,1,
n10,n59,262,298,48.3,48.3,245.0,245.0,4.580e-67,6.170e-63,4.13,1.33,1.79e+04,1,1,
n10,n6,262,289,60.3,60.3,327.0,327.0,7.020e-92,9.450e-88,4.13,0.987,1.33e+04,1,1,
n10,n60,262,316,47.0,47.0,240.0,240.0,8.640e-66,1.160e-61,4.13,0.785,1.05e+04,1,1,
n10,n61,262,307,46.2,46.2,235.0,235.0,4.740e-64,6.380e-60,4.13,1.35,1.81e+04,1,1,
n10,n62,262,263,62.5,62.5,331.0,331.0,4.860e-93,6.540e-89,4.13,1.09,1.47e+04,1,1,
n10,n63,262,282,30.2,30.2,98.0,98.0,6.920e-23,9.320e-19,4.13,1.13,1.52e+04,1,1,
n10,n64,262,257,64.7,64.7,340.0,340.0,8.010e-96,1.080e-91,4.13,0.922,1.24e+04,1,1,
n10,n66,262,302,49.8,49.8,257.0,257.0,6.830e-71,9.190e-67,4.13,0.813,1.09e+04,1,1,
n10,n67,262,366,35.2,35.2,128.0,128.0,6.250e-32,8.410e-28,4.13,1.09,1.47e+04,1,1,
n10,n68,262,302,51.3,51.3,267.0,267.0,1.130e-73,1.520e-69,4.13,1.38,1.85e+04,1,1,
n10,n69,262,279,60.4,60.4,309.0,309.0,1.510e-86,2.040e-82,4.13,0.81,1.09e+04,1,1,
n10,n7,262,302,51.5,51.5,264.0,264.0,5.590e-73,7.520e-69,4.13,0.852,1.15e+04,1,1,
n10,n70,262,292,48.0,48.0,258.0,258.0,3.060e-71,4.130e-67,4.13,0.729,9.83e+03,1,1,
n10,n71,262,297,46.8,46.8,241.0,241.0,5.060e-66,6.820e-62,4.13,0.919,1.24e+04,1,1,
n10,n72,262,311,59.9,59.9,326.0,326.0,1.560e-91,2.110e-87,4.13,1.1,1.48e+04,1,1,
n10,n73,262,302,52.7,52.7,276.0,276.0,1.850e-76,2.500e-72,4.13,1.15,1.56e+04,1,1,
n10,n74,262,284,78.2,78.2,418.0,418.0,3.950e-119,5.320e-115,4.13,1.37,1.85e+04,1,1,
n10,n75,262,279,48.5,48.5,238.0,238.0,3.280e-65,4.420e-61,4.13,0.745,1e+04,1,1,
n10,n76,262,304,49.1,49.1,254.0,254.0,7.550e-70,1.020e-65,4.13,1.12,1.52e+04,1,1,
n10,n77,262,304,50.0,50.0,258.0,258.0,3.060e-71,4.130e-67,4.13,0.729,9.83e+03,1,1,
n10,n78,262,293,59.8,59.8,319.0,319.0,2.500e-89,3.360e-85,4.13,1.37,1.84e+04,1,1,
n10,n79,262,283,34.0,34.0,126.0,126.0,1.820e-31,2.450e-27,4.13,0.796,1.07e+04,1,1,
n10,n8,262,262,97.3,97.3,511.0,511.0,3.430e-147,4.610e-143,4.13,1.18,1.59e+04,1,1,
n10,n80,262,301,96.2,96.2,508.0,508.0,2.900e-146,3.910e-142,4.13,1.25,1.68e+04,1,1,
n10,n81,262,310,62.8,62.8,340.0,340.0,8.010e-96,1.080e-91,4.13,0.922,1.24e+04,1,1,
n10,n82,262,364,34.2,34.2,127.0,127.0,1.390e-31,1.870e-27,4.13,1.22,1.64e+04,1,1,
n10,n83,262,434,48.7,48.7,227.0,227.0,7.570e-62,1.020e-57,4.13,0.839,1.13e+04,1,1,
n10,n85,262,258,25.2,25.2,37.0,37.0,1.890e-04,2.550e+00,4.13,1.34,1.8e+04,0,0,
n10,n86,262,273,49.4,49.4,252.0,252.0,3.750e-69,5.050e-65,4.13,1.39,1.88e+04,1,1,
n10,n87,262,286,58.6,58.6,299.0,299.0,2.050e-83,2.760e-79,4.13,1.07,1.44e+04,1,1,
n10,n88,262,282,50.2,50.2,259.0,259.0,1.800e-71,2.420e-67,4.13,0.857,1.15e+04,1,1,
n10,n89,262,308,48.7,48.7,250.0,250.0,1.420e-68,1.920e-64,4.13,1.32,1.79e+04,1,1,
n10,n9,262,315,58.6,58.6,305.0,305.0,2.190e-85,2.940e-81,4.13,0.734,9.85e+03,1,1,
n10,n90,262,258,26.2,27.0,61.0,61.0,9.380e-12,9.670e-08,4.01,1.11,1.15e+04,0,0,
n100,n106,322,314,29.5,29.5,95.0,95.0,5.520e-22,7.430e-18,4.13,0.915,1.23e+04,0,0,
n100,n107,322,318,32.5,32.5,108.0,108.0,6.300e-26,8.480e-22,4.13,0.855,1.15e+04,1,1,
n101,n102,520,548,32.6,32.6,107.0,107.0,2.260e-25,3.050e-21,4.13,0.95,1.28e+04,1,1,
n101,n103,520,613,28.2,28.2,177.0,177.0,2.330e-46,3.130e-42,4.13,1.16,1.55e+04,0,0,
n101,n104,520,549,26.0,26.0,113.0,113.0,4.130e-27,5.560e-23,4.13,1.11,1.5e+04,0,0,
n101,n105,520,295,22.4,22.4,32.0,32.0,7.090e-03,9.550e+01,4.13,0.789,1.06e+04,0,0,
n101,n108,520,462,35.3,35.3,115.0,115.0,8.320e-28,1.120e-23,4.13,0.895,1.2e+04,1,1,
n101,n109,520,565,29.8,29.6,186.0,186.0,2.940e-49,3.960e-45,4.13,0.747,1.01e+04,0,0,
n101,n110,520,508,29.8,29.8,181.0,181.0,1.610e-47,2.170e-43,4.13,1.28,1.72e+04,0,0,
n101,n111,520,491,34.9,34.9,251.0,251.0,9.710e-69,1.310e-64,4.13,0.91,1.23e+04,1,1,
n101,n99,520,489,33.2,33.2,240.0,240.0,2.240e-65,3.020e-61,4.13,1.02,1.38e+04,1,1,
n102,n101,548,520,32.6,32.6,107.0,107.0,2.390e-25,3.210e-21,4.13,0.953,1.28e+04,1,1,
n102,n103,548,613,35.4,37.2,250.0,268.0,2.980e-68,1.090e-69,-1.44,1.32,1.27e+04,1,1,
n102,n104,548,549,29.1,29.1,171.0,171.0,1.760e-44,2.370e-40,4.13,1.29,1.74e+04,0,0,
n102,n106,548,314,27.7,27.9,52.0,52.0,1.190e-08,1.600e-04,4.13,1.32,1.77e+04,0,0,
n102,n107,548,318,23.2,23.2,40.0,40.0,3.580e-05,4.830e-01,4.13,0.967,1.31e+04,0,0,
n102,n108,548,462,28.5,28.5,146.0,146.0,3.550e-37,4.780e-33,4.13,0.778,1.05e+04,0,0,
n102,n109,548,565,34.5,34.5,229.0,229.0,5.440e-62,7.330e-58,4.13,1.15,1.55e+04,1,1,
n102,n110,548,508,34.7,34.7,158.0,158.0,9.030e-41,1.220e-36,4.13,0.811,1.1e+04,1,1,
n102,n111,548,491,29.8,29.8,195.0,195.0,8.700e-52,1.170e-47,4.13,1.07,1.44e+04,0,0,
n102,n99,548,489,35.3,35.3,229.0,229.0,4.160e-62,5.610e-58,4.13,0.882,1.19e+04,1,1,
n103,n101,613,520,26.5,28.2,158.0,177.0,1.720e-40,3.700e-42,-1.67,1.38,1.56e+04,0,0,
n103,n102,613,548,37.2,37.2,268.0,268.0,9.050e-74,1.220e-69,4.13,0.943,1.27e+04,1,1,
n103,n104,613,549,28.6,28.6,150.0,150.0,2.750e-38,3.700e-34,4.13,0.862,1.16e+04,0,0,
n103,n106,613,314,32.6,31.9,51.0,49.0,1.740e-08,1.160e-03,4.82,0.861,1.43e+04,1,0,lost_in_v12
n103,n107,613,318,26.7,26.3,45.0,43.0,9.540e-07,6.380e-02,4.83,0.737,1.23e+04,0,0,
n103,n108,613,462,31.8,31.8,166.0,166.0,6.330e-43,8.520e-39,4.13,1.3,1.75e+04,1,1,
n103,n109,613,565,36.9,36.9,277.0,277.0,2.540e-76,3.430e-72,4.13,1.36,1.83e+04,1,1,
n103,n110,613,508,31.4,31.4,211.0,211.0,1.310e-56,1.770e-52,4.13,0.947,1.28e+04,1,1,
n103,n111,613,491,35.4,35.4,259.0,259.0,4.200e-71,5.660e-67,4.13,0.855,1.15e+04,1,1,
n103,n99,613,489,36.5,36.5,275.0,275.0,5.670e-76,7.630e-72,4.13,0.756,1.02e+04,1,1,
n104,n101,549,520,26.0,26.0,113.0,113.0,4.360e-27,5.870e-23,4.13,1.11,1.5e+04,0,0,
n104,n102,549,548,29.1,29.1,171.0,171.0,1.760e-44,2.370e-40,4.13,1.29,1.74e+04,0,0,
n104,n103,549,613,28.4,28.4,150.0,150.0,3.220e-38,4.330e-34,4.13,1.13,1.52e+04,0,0,
n104,n106,549,314,26.0,26.0,47.0,47.0,2.250e-07,3.030e-03,4.13,0.777,1.05e+04,0,0,
n104,n107,549,318,24.6,24.6,44.0,44.0,3.250e-06,4.370e-02,4.13,1.4,1.89e+04,0,0,
n104,n108,549,462,32.0,32.0,106.0,106.0,4.080e-25,5.490e-21,4.13,0.812,1.09e+04,1,1,
n104,n109,549,565,31.9,31.9,150.0,150.0,2.460e-38,3.320e-34,4.13,0.861,1.16e+04,1,1,
n104,n110,549,508,36.6,36.6,121.0,121.0,1.600e-29,2.160e-25,4.13,1.04,1.41e+04,1,1,
n104,n111,549,491,32.7,32.7,146.0,146.0,4.650e-37,6.260e-33,4.13,1.02,1.37e+04,1,1,
n104,n99,549,489,34.8,34.8,157.0,157.0,2.010e-40,2.710e-36,4.13,0.901,1.21e+04,1,1,
n105,n101,295,520,22.4,22.4,32.0,32.0,4.020e-03,5.420e+01,4.13,0.788,1.06e+04,0,0,
n105,n106,295,314,30.5,30.5,45.0,45.0,4.590e-07,6.180e-03,4.13,0.737,9.93e+03,1,0,lost_in_v12
n105,n107,295,318,30.8,30.8,50.0,50.0,2.430e-08,3.280e-04,4.13,1.25,1.69e+04,1,0,lost_in_v12
n105,n127,295,433,21.9,21.9,33.0,33.0,3.080e-03,4.150e+01,4.13,1.21,1.63e+04,0,0,
n105,n128,295,365,40.8,40.8,33.0,33.0,1.810e-03,2.430e+01,4.13,0.71,9.53e+03,0,0,
n105,n37,295,263,32.7,32.7,33.0,33.0,1.810e-03,2.430e+01,4.13,0.71,9.53e+03,0,0,
n105,n49,295,262,29.1,29.1,28.0,28.0,5.810e-02,7.820e+02,4.13,0.712,9.58e+03,0,0,
n105,n99,295,489,26.8,26.8,40.0,40.0,2.520e-05,3.390e-01,4.13,1.26,1.7e+04,0,0,
n106,n100,314,322,29.5,29.5,95.0,95.0,5.380e-22,7.240e-18,4.13,0.914,1.23e+04,0,0,
n106,n102,314,548,27.7,27.7,52.0,52.0,6.820e-09,9.180e-05,4.13,1.32,1.77e+04,0,0,
n106,n103,314,613,32.6,32.6,51.0,51.0,8.910e-09,1.200e-04,4.13,0.861,1.16e+04,1,0,lost_in_v12
n106,n104,314,549,26.0,26.0,47.0,47.0,1.290e-07,2.260e-03,4.24,0.779,1.36e+04,0,0,
n106,n105,314,295,30.5,30.5,45.0,45.0,4.890e-07,6.580e-03,4.13,0.738,9.93e+03,1,0,lost_in_v12
n106,n107,314,318,58.1,58.1,379.0,379.0,1.860e-107,2.510e-103,4.13,0.982,1.33e+04,1,1,
n106,n108,314,462,28.8,28.8,71.0,71.0,1.090e-14,1.460e-10,4.13,1.1,1.48e+04,0,0,
n106,n109,314,565,31.0,31.0,60.0,60.0,1.920e-11,2.580e-07,4.13,0.949,1.28e+04,1,1,
n106,n110,314,508,26.7,27.3,52.0,53.0,6.820e-09,4.120e-05,3.78,1.32,1.59e+04,0,0,
n106,n111,314,491,29.2,29.2,50.0,50.0,1.520e-08,2.050e-04,4.13,0.734,9.9e+03,0,0,
n106,n99,314,489,29.9,30.5,55.0,55.0,8.060e-10,1.080e-05,4.13,1.25,1.67e+04,0,0,
n107,n100,318,322,32.5,32.5,108.0,108.0,6.220e-26,8.370e-22,4.13,0.855,1.15e+04,1,1,
