source,target,pct_id,evalue,bits
n10,n29,93.1,4.330e-142,494.0
n10,n30,98.5,7.380e-150,520.0
n10,n31,91.6,3.110e-140,488.0
n10,n32,49.8,1.630e-72,263.0
n10,n33,59.7,1.420e-84,303.0
n10,n34,59.7,5.380e-84,301.0
n10,n36,48.5,2.680e-67,245.0
n10,n4,49.1,4.180e-69,252.0
n10,n40,30.0,4.490e-22,95.0
n10,n41,48.0,5.600e-65,238.0
n10,n42,51.1,1.200e-75,273.0
n10,n43,43.8,6.420e-53,198.0
n10,n44,98.5,2.800e-149,518.0
n10,n45,91.6,1.180e-139,486.0
n10,n46,98.5,2.800e-149,518.0
n10,n47,52.0,7.070e-68,247.0
n10,n5,60.1,2.520e-90,322.0
n10,n50,33.7,8.720e-34,134.0
n10,n51,52.6,1.240e-72,263.0
n10,n52,66.7,7.000e-100,354.0
n10,n53,67.3,5.360e-100,354.0
n10,n54,63.6,8.010e-96,340.0
n10,n55,53.8,1.570e-75,273.0
n10,n56,53.8,5.400e-76,274.0
n10,n57,54.5,1.850e-76,276.0
n10,n58,53.6,1.200e-75,273.0
n10,n59,48.3,4.580e-67,245.0
n10,n6,60.3,7.740e-92,327.0
n10,n60,47.0,8.640e-66,240.0
n10,n61,46.2,4.740e-64,235.0
n10,n62,62.5,4.860e-93,331.0
n10,n63,30.2,6.920e-23,98.0
n10,n64,64.7,8.010e-96,340.0
n10,n66,49.8,6.830e-71,257.0
n10,n67,35.2,6.250e-32,128.0
n10,n68,51.3,1.130e-73,267.0
n10,n69,60.4,1.510e-86,309.0
n10,n7,51.5,6.440e-73,264.0
n10,n70,48.0,3.060e-71,258.0
n10,n71,46.8,5.060e-66,241.0
n10,n72,59.9,1.560e-91,326.0
n10,n73,52.7,1.850e-76,276.0
n10,n74,78.2,3.950e-119,418.0
n10,n75,48.5,3.280e-65,238.0
n10,n76,49.1,7.550e-70,254.0
n10,n77,50.0,3.060e-71,258.0
n10,n78,59.8,2.500e-89,319.0
n10,n79,34.0,1.820e-31,126.0
n10,n8,97.3,3.430e-147,511.0
n10,n80,96.2,2.900e-146,508.0
n10,n81,62.8,8.010e-96,340.0
n10,n82,34.2,1.390e-31,127.0
n10,n83,48.7,7.570e-62,227.0
n10,n86,49.4,3.750e-69,252.0
n10,n87,58.6,2.050e-83,299.0
n10,n88,50.2,1.800e-71,259.0
n10,n89,48.7,1.420e-68,250.0
n10,n9,58.6,2.630e-85,305.0
n100,n107,32.5,6.300e-26,108.0
n101,n102,32.6,2.260e-25,107.0
n101,n108,35.3,8.320e-28,115.0
n101,n111,34.9,9.710e-69,251.0
n101,n99,33.2,2.110e-65,240.0
n102,n103,37.2,8.090e-74,268.0
n102,n109,34.5,5.440e-62,229.0
n102,n110,34.7,9.030e-41,158.0
n102,n99,35.3,3.720e-62,229.0
n103,n106,31.9,8.630e-08,49.0
n103,n108,31.8,6.330e-43,166.0
n103,n109,36.9,2.540e-76,277.0
n103,n110,31.4,1.310e-56,211.0
n103,n111,35.4,4.200e-71,259.0
n103,n99,36.5,4.520e-76,275.0
n104,n108,32.0,4.080e-25,106.0
n104,n109,31.9,2.460e-38,150.0
n104,n110,36.6,1.600e-29,121.0
n104,n99,34.8,1.790e-40,157.0
n105,n106,30.5,4.590e-07,45.0
n105,n107,30.8,2.430e-08,50.0
n106,n107,58.1,1.860e-107,379.0
n106,n109,31.0,1.920e-11,60.0
n106,n99,30.5,1.250e-09,55.0
n107,n108,37.3,1.940e-11,60.0
n107,n99,31.7,2.790e-09,54.0
n108,n109,32.6,1.810e-50,190.0
n108,n110,38.3,8.710e-37,145.0
n108,n111,31.9,2.600e-57,213.0
n108,n99,31.7,2.580e-55,206.0
n109,n110,34.9,4.280e-70,256.0
n109,n111,35.7,2.120e-77,280.0
n109,n99,35.5,1.970e-71,260.0
n11,n12,93.1,2.080e-144,502.0
n11,n13,97.7,5.110e-151,523.0
n11,n14,93.1,7.900e-144,500.0
n11,n15,100.0,1.880e-153,532.0
n11,n16,75.2,3.020e-119,418.0
n11,n17,33.3,4.510e-06,42.0
n11,n18,52.0,3.740e-77,278.0
n11,n19,46.8,1.090e-68,250.0
n11,n2,64.8,5.860e-99,351.0
n11,n20,49.1,1.330e-66,243.0
n11,n21,52.4,2.870e-69,252.0
n11,n22,83.1,4.500e-131,457.0
n11,n23,82.4,3.220e-129,451.0
n11,n24,65.3,2.180e-101,359.0
n11,n25,92.3,6.690e-143,497.0
n11,n26,99.2,2.070e-152,528.0
n11,n27,83.1,4.500e-131,457.0
n11,n28,56.0,7.780e-83,297.0
n11,n29,94.3,8.440e-146,506.0
n11,n30,100.0,4.940e-154,533.0
n11,n31,93.1,2.080e-144,502.0
n11,n32,51.0,4.130e-76,275.0
n11,n33,60.1,4.400e-86,308.0
n11,n34,60.1,1.670e-85,306.0
n11,n36,48.9,1.090e-68,250.0
n11,n4,49.4,4.460e-71,258.0
n11,n40,30.5,6.260e-24,101.0
n11,n41,48.7,2.680e-67,245.0
n11,n42,51.9,5.770e-78,281.0
n11,n43,44.2,2.610e-54,202.0
n11,n44,100.0,1.880e-153,532.0
n11,n45,93.1,7.900e-144,500.0
n11,n46,100.0,1.880e-153,532.0
n11,n47,52.4,2.870e-69,252.0
n11,n5,61.2,6.400e-94,334.0
n11,n50,33.7,3.910e-34,135.0
n11,n51,53.0,8.620e-74,267.0
n11,n52,67.8,2.320e-103,365.0
n11,n53,68.4,1.780e-103,366.0
n11,n54,64.8,2.660e-99,352.0
n11,n55,54.9,5.220e-79,284.0
n11,n56,54.9,1.790e-79,286.0
n11,n57,55.7,6.160e-80,287.0
n11,n58,54.0,2.190e-77,279.0
n11,n59,49.1,3.750e-69,252.0
n11,n6,61.5,2.570e-95,339.0
n11,n60,47.8,1.210e-67,247.0
n11,n61,46.6,8.640e-66,240.0
n11,n62,63.6,1.610e-96,342.0
n11,n63,31.1,5.660e-25,105.0
n11,n64,65.9,4.540e-99,351.0
n11,n66,50.2,1.630e-72,263.0
n11,n67,35.2,1.390e-31,127.0
n11,n68,52.0,5.400e-76,274.0
n11,n69,60.8,2.110e-88,315.0
n11,n7,52.2,1.530e-74,270.0
n11,n70,49.1,1.920e-73,266.0
n11,n71,47.5,2.430e-68,249.0
n11,n72,61.1,3.970e-95,338.0
n11,n73,53.4,6.810e-79,284.0
n11,n74,79.7,2.640e-123,431.0
n11,n75,49.8,1.740e-66,243.0
n11,n76,49.8,3.620e-72,262.0
n11,n77,50.7,1.920e-73,266.0
n11,n78,60.2,3.480e-91,325.0
n11,n79,34.0,8.160e-32,127.0
n11,n8,98.9,2.290e-151,525.0
n11,n80,97.3,5.650e-150,520.0
n11,n81,64.0,2.660e-99,352.0
n11,n82,34.2,1.390e-31,127.0
n11,n83,48.7,5.240e-63,231.0
n11,n86,49.8,1.520e-70,256.0
n11,n87,59.5,1.510e-86,309.0
n11,n88,50.6,7.290e-73,264.0
n11,n89,49.4,8.920e-71,257.0
n11,n9,59.7,8.730e-89,317.0
n110,n111,32.8,2.500e-61,226.0
n110,n99,31.3,5.750e-55,205.0
n111,n99,41.8,1.440e-106,377.0
n113,n114,46.6,8.360e-101,357.0
n113,n115,50.4,8.630e-106,374.0
n113,n116,49.6,1.130e-105,374.0
n113,n117,55.5,6.360e-125,438.0
n113,n118,49.4,5.410e-108,381.0
n114,n115,48.1,6.050e-103,364.0
n114,n116,48.1,1.490e-101,360.0
n114,n117,50.8,2.540e-109,386.0
n114,n118,43.0,3.940e-86,309.0
n115,n116,95.2,1.180e-245,839.0
n115,n117,49.1,3.340e-107,379.0
n115,n118,43.1,2.570e-99,352.0
n116,n117,48.9,1.460e-107,380.0
n116,n118,46.0,3.720e-103,365.0
n117,n118,48.0,3.230e-104,369.0
n119,n120,46.9,7.630e-44,167.0
n119,n121,95.3,3.350e-116,408.0
n12,n13,94.7,9.970e-147,509.0
n12,n14,100.0,2.220e-154,535.0
n12,n15,93.1,7.900e-144,500.0
n12,n16,76.7,4.980e-122,427.0
n12,n18,49.8,3.870e-74,268.0
n12,n19,48.0,1.290e-69,253.0
n12,n2,64.0,3.210e-97,345.0
n12,n20,48.0,1.920e-65,239.0
n12,n21,50.8,5.410e-68,248.0
n12,n22,85.8,3.550e-136,474.0
n12,n23,85.8,6.060e-136,473.0
n12,n24,66.0,2.320e-103,365.0
n12,n25,99.2,1.880e-153,532.0
n12,n26,93.1,4.630e-144,500.0
n12,n27,85.8,3.550e-136,474.0
n12,n28,56.0,4.560e-83,298.0
n12,n29,97.3,5.650e-150,520.0
n12,n30,93.1,2.080e-144,502.0
n12,n31,100.0,5.830e-155,537.0
n12,n32,50.2,7.790e-75,270.0
n12,n33,58.8,1.420e-84,303.0
n12,n34,58.8,9.180e-84,300.0
n12,n36,47.7,7.070e-68,247.0
n12,n4,48.7,1.440e-69,253.0
n12,n40,31.1,1.820e-23,100.0
n12,n41,47.2,7.310e-65,237.0
n12,n42,50.4,1.200e-75,273.0
n12,n43,44.1,2.000e-54,203.0
n12,n44,93.1,7.900e-144,500.0
n12,n45,100.0,2.220e-154,535.0
n12,n46,93.1,7.900e-144,500.0
n12,n47,50.8,5.410e-68,248.0
n12,n5,60.8,1.430e-93,333.0
n12,n50,34.3,7.880e-35,138.0
n12,n51,51.9,4.280e-73,265.0
n12,n52,67.0,1.670e-101,359.0
n12,n53,66.9,2.180e-101,359.0
n12,n54,64.0,1.460e-97,346.0
n12,n55,54.3,7.530e-78,280.0
n12,n56,54.7,1.980e-78,282.0
n12,n57,55.1,8.900e-79,283.0
n12,n58,53.6,3.160e-76,275.0
n12,n59,48.3,4.890e-69,251.0
n12,n6,61.1,4.380e-95,338.0
n12,n60,47.4,1.740e-66,243.0
n12,n61,46.6,1.920e-65,239.0
n12,n62,62.8,2.330e-95,339.0
n12,n64,64.7,2.750e-96,342.0
n12,n66,50.2,1.130e-73,267.0
n12,n67,35.7,1.070e-31,127.0
n12,n68,51.7,1.090e-76,277.0
n12,n69,61.2,1.160e-86,310.0
n12,n7,51.9,1.170e-74,270.0
n12,n70,48.7,1.240e-72,263.0
n12,n71,46.8,3.170e-68,248.0
n12,n72,61.5,3.040e-95,338.0
n12,n73,53.1,8.900e-79,283.0
n12,n74,79.7,1.000e-122,429.0
n12,n75,49.0,2.130e-64,236.0
n12,n76,49.4,4.280e-73,265.0
n12,n77,50.0,1.470e-73,266.0
n12,n78,59.8,2.950e-90,322.0
n12,n79,36.0,5.110e-34,135.0
n12,n8,92.7,5.120e-143,497.0
n12,n80,94.3,1.100e-145,506.0
n12,n81,62.8,9.460e-97,343.0
n12,n82,35.2,2.800e-32,129.0
n12,n83,47.1,1.090e-60,223.0
n12,n86,49.8,1.050e-71,260.0
n12,n87,59.1,2.190e-85,305.0
n12,n88,50.9,2.510e-73,265.0
n12,n89,48.7,3.390e-70,255.0
n12,n9,59.3,6.920e-86,307.0
n120,n121,46.2,6.450e-45,171.0
n123,n124,45.4,1.930e-163,566.0
n126,n127,31.0,1.560e-44,171.0
n128,n129,34.2,2.700e-41,159.0
n13,n14,94.6,3.790e-146,507.0
n13,n15,97.7,1.940e-150,522.0
n13,n16,75.2,5.160e-119,417.0
n13,n18,50.9,1.570e-75,273.0
n13,n19,46.5,2.060e-67,246.0
n13,n2,64.8,7.650e-99,350.0
n13,n20,48.7,5.600e-65,238.0
n13,n21,51.6,5.410e-68,248.0
n13,n22,82.4,8.480e-130,453.0
n13,n23,81.2,6.080e-128,447.0
n13,n24,64.9,4.850e-101,357.0
n13,n25,94.6,4.950e-146,507.0
n13,n26,98.5,1.760e-151,525.0
n13,n27,82.4,8.480e-130,453.0
n13,n28,56.0,2.260e-82,295.0
n13,n29,96.6,6.240e-149,517.0
n13,n30,97.7,5.110e-151,523.0
n13,n31,94.7,9.970e-147,509.0
n13,n32,50.2,7.790e-75,270.0
n13,n33,59.3,1.080e-84,303.0
n13,n34,59.3,5.380e-84,301.0
n13,n36,48.1,9.230e-68,247.0
n13,n4,49.8,2.210e-70,256.0
n13,n40,30.5,1.820e-23,100.0
n13,n41,47.6,3.280e-65,238.0
n13,n42,50.7,4.130e-76,275.0
n13,n43,44.5,6.860e-55,204.0
n13,n44,97.7,1.940e-150,522.0
n13,n45,94.6,3.790e-146,507.0
n13,n46,97.7,1.940e-150,522.0
n13,n47,51.6,5.410e-68,248.0
n13,n5,61.6,4.900e-94,334.0
n13,n50,33.9,1.340e-34,137.0
n13,n51,51.9,1.380e-71,260.0
n13,n52,68.2,1.040e-103,366.0
n13,n53,68.4,2.320e-103,365.0
n13,n54,64.8,3.470e-99,351.0
n13,n55,54.2,2.190e-77,279.0
n13,n56,54.5,5.770e-78,281.0
n13,n57,54.9,2.590e-78,282.0
n13,n58,53.6,2.420e-76,275.0
n13,n59,48.7,1.860e-68,249.0
n13,n6,61.1,1.280e-94,336.0
n13,n60,47.0,3.880e-66,242.0
n13,n61,45.9,3.630e-64,235.0
n13,n62,62.5,3.040e-95,338.0
n13,n63,31.1,2.150e-24,103.0
n13,n64,64.7,1.910e-97,346.0
n13,n66,49.8,8.070e-72,260.0
n13,n67,34.8,2.620e-30,122.0
n13,n68,51.3,7.790e-75,270.0
n13,n69,61.2,2.760e-88,315.0
n13,n7,51.5,4.930e-73,265.0
n13,n70,49.8,2.270e-74,269.0
n13,n71,47.2,2.680e-67,245.0
n13,n72,60.7,1.970e-94,335.0
n13,n73,52.7,7.530e-78,280.0
n13,n74,78.9,2.920e-122,428.0
n13,n75,49.4,6.610e-66,241.0
n13,n76,49.4,1.050e-71,260.0
n13,n77,49.6,1.050e-71,260.0
n13,n78,60.2,7.760e-91,324.0
n13,n79,34.7,1.640e-32,130.0
n13,n8,97.3,1.260e-149,519.0
n13,n80,99.6,4.180e-153,530.0
n13,n81,63.6,2.250e-98,349.0
n13,n82,33.9,1.180e-30,124.0
n13,n83,48.3,1.520e-62,230.0
n13,n86,49.8,2.590e-70,255.0
n13,n87,59.1,2.190e-85,305.0
n13,n88,51.3,1.470e-73,266.0
n13,n89,48.7,1.680e-69,253.0
n13,n9,58.9,2.810e-87,312.0
n133,n134,32.4,3.160e-12,63.0
n134,n34,30.6,2.960e-06,43.0
n139,n140,62.4,4.150e-65,238.0
n139,n142,31.0,2.230e-10,56.0
n139,n143,55.3,2.600e-59,218.0
n139,n144,30.3,1.450e-09,53.0
n139,n145,30.2,2.390e-12,62.0
n139,n146,32.4,3.560e-16,75.0
n139,n147,31.7,1.820e-20,89.0
n139,n148,54.0,7.090e-57,210.0
n139,n149,62.7,1.520e-67,246.0
n139,n150,50.3,1.130e-46,176.0
n139,n151,55.8,8.940e-60,220.0
n139,n153,32.4,3.560e-16,75.0
n139,n154,50.0,4.920e-50,188.0
n14,n15,93.0,2.430e-163,565.0
n14,n16,76.6,2.300e-121,425.0
n14,n18,49.7,4.550e-77,278.0
n14,n19,45.3,1.160e-72,263.0
n14,n2,63.9,1.220e-96,343.0
n14,n20,47.5,6.160e-66,241.0
n14,n21,47.2,2.670e-69,252.0
n14,n22,82.4,7.870e-146,507.0
n14,n23,84.4,3.090e-150,521.0
n14,n24,61.7,3.020e-105,372.0
n14,n25,99.0,3.070e-174,601.0
n14,n26,93.1,5.640e-144,500.0
n14,n27,82.4,7.870e-146,507.0
n14,n28,55.0,3.480e-85,305.0
n14,n29,96.6,3.740e-180,621.0
n14,n30,93.1,9.620e-144,500.0
n14,n31,100.0,2.700e-154,535.0
n14,n32,49.3,3.370e-80,289.0
n14,n33,57.1,4.110e-86,308.0
n14,n34,56.4,5.360e-86,308.0
n14,n36,47.7,8.600e-68,247.0
n14,n4,48.4,3.420e-71,258.0
n14,n41,44.3,1.050e-65,240.0
n14,n42,45.1,6.570e-76,274.0
n14,n43,41.0,6.390e-55,205.0
n14,n44,93.0,2.430e-163,565.0
n14,n45,100.0,4.120e-187,644.0
n14,n46,93.0,2.430e-163,565.0
n14,n47,47.2,2.670e-69,252.0
n14,n5,59.5,4.730e-97,344.0
n14,n50,34.3,9.600e-35,138.0
n14,n51,47.9,8.030e-74,267.0
n14,n52,66.9,7.710e-101,357.0
n14,n53,66.8,1.010e-100,357.0
n14,n54,64.1,5.170e-97,344.0
n14,n55,54.4,2.670e-77,279.0
n14,n56,54.8,5.380e-78,281.0
n14,n57,55.1,2.410e-78,282.0
n14,n58,52.5,5.740e-80,288.0
n14,n59,46.7,6.360e-71,258.0
n14,n6,58.4,1.610e-97,346.0
n14,n60,47.4,2.120e-66,243.0
n14,n61,42.7,1.370e-65,240.0
n14,n62,62.7,1.270e-95,340.0
n14,n63,30.3,9.010e-25,104.0
n14,n64,64.7,3.350e-96,342.0
n14,n66,46.8,5.560e-75,271.0
n14,n67,35.7,1.300e-31,127.0
n14,n68,49.3,1.410e-78,283.0
n14,n69,57.6,2.840e-87,312.0
n14,n7,49.0,3.650e-76,275.0
n14,n70,47.6,5.560e-75,271.0
n14,n71,44.8,2.670e-69,252.0
n14,n72,58.9,3.830e-100,355.0
n14,n73,50.2,6.780e-81,291.0
n14,n74,76.5,2.150e-127,445.0
n14,n75,47.8,3.610e-66,242.0
n14,n76,49.3,5.210e-73,265.0
n14,n77,46.2,9.490e-75,270.0
n14,n78,56.6,6.540e-92,327.0
n14,n79,36.0,6.220e-34,135.0
n14,n8,92.7,1.760e-143,498.0
n14,n80,94.0,3.400e-165,571.0
n14,n81,58.8,1.450e-99,353.0
n14,n82,35.2,3.410e-32,129.0
n14,n83,46.1,6.820e-65,238.0
n14,n86,48.4,7.520e-72,261.0
n14,n87,56.1,2.180e-87,312.0
n14,n88,47.7,1.050e-73,267.0
n14,n89,45.8,9.820e-72,260.0
n14,n9,53.5,7.390e-88,314.0
n140,n143,57.7,6.320e-73,264.0
n140,n147,32.9,5.800e-26,108.0
n140,n148,57.5,3.830e-70,255.0
n140,n149,53.8,1.150e-66,243.0
n140,n150,46.2,7.280e-45,171.0
n140,n151,57.7,4.840e-73,264.0
n140,n152,30.3,1.640e-12,63.0
n140,n154,47.8,3.990e-51,191.0
n141,n142,64.5,6.710e-83,297.0
n141,n144,61.6,1.070e-80,290.0
n141,n145,57.3,2.740e-68,248.0
n141,n146,32.5,2.770e-20,89.0
n141,n152,33.0,1.210e-15,74.0
n141,n153,32.5,2.770e-20,89.0
n141,n155,62.8,2.310e-75,272.0
n142,n144,93.3,2.940e-129,451.0
n142,n145,54.7,1.390e-70,256.0
n142,n152,33.7,4.380e-16,75.0
n142,n155,54.3,1.060e-62,230.0
n143,n147,32.7,1.310e-25,107.0
n143,n148,77.1,4.400e-98,347.0
n143,n149,49.6,1.020e-62,230.0
n143,n150,49.3,4.040e-51,191.0
n143,n151,98.3,4.080e-128,447.0
n143,n154,45.9,1.060e-51,193.0
n144,n145,57.3,2.990e-73,265.0
n144,n152,31.8,9.770e-16,74.0
n144,n155,54.8,3.660e-63,231.0
n145,n146,30.1,1.080e-16,77.0
n145,n153,30.1,1.080e-16,77.0
n145,n154,30.1,3.260e-13,65.0
n145,n155,58.9,3.920e-67,245.0
n146,n147,32.6,7.960e-25,104.0
n146,n152,44.2,1.040e-40,157.0
n146,n153,100.0,5.930e-121,423.0
n146,n155,30.8,4.680e-17,78.0
n147,n148,30.6,2.040e-22,96.0
n147,n149,30.9,7.750e-22,94.0
n147,n151,31.9,1.670e-24,103.0
n147,n152,32.2,1.120e-20,90.0
n147,n153,32.6,7.480e-25,104.0
n147,n154,32.7,8.840e-26,107.0
n148,n149,48.7,3.090e-59,218.0
n148,n150,47.1,7.130e-48,181.0
n148,n151,76.2,4.870e-97,344.0
n148,n154,47.8,6.890e-51,191.0
n149,n150,44.3,2.520e-48,182.0
n149,n151,49.2,4.010e-62,228.0
n149,n154,43.7,3.900e-49,185.0
n15,n16,75.1,1.320e-118,416.0
n15,n17,33.3,5.180e-06,42.0
n15,n18,51.4,9.240e-80,287.0
n15,n19,44.3,4.160e-72,262.0
n15,n2,64.6,2.230e-98,349.0
n15,n20,48.6,4.030e-67,245.0
n15,n21,48.6,1.340e-70,257.0
n15,n22,80.4,2.470e-141,492.0
n15,n23,81.1,2.640e-143,498.0
n15,n24,61.4,7.030e-104,367.0
n15,n25,92.7,6.680e-163,563.0
n15,n26,99.2,2.380e-152,528.0
n15,n27,80.4,2.470e-141,492.0
n15,n28,55.0,5.600e-85,304.0
n15,n29,95.0,7.630e-167,576.0
n15,n30,100.0,2.150e-153,532.0
n15,n31,93.1,9.070e-144,500.0
n15,n32,49.7,2.200e-81,292.0
n15,n33,58.2,1.200e-87,313.0
n15,n34,57.4,1.570e-87,313.0
n15,n36,48.9,1.250e-68,250.0
n15,n4,49.1,1.060e-72,263.0
n15,n40,30.4,1.110e-24,104.0
n15,n41,45.5,3.640e-68,248.0
n15,n42,51.7,6.620e-78,281.0
n15,n43,38.2,4.620e-55,205.0
n15,n44,100.0,1.700e-174,602.0
n15,n45,93.0,2.300e-163,565.0
n15,n46,100.0,1.700e-174,602.0
n15,n47,48.6,1.340e-70,257.0
n15,n5,59.8,1.250e-97,346.0
n15,n50,33.7,4.500e-34,135.0
n15,n51,50.2,4.440e-74,268.0
n15,n52,67.7,1.010e-102,363.0
n15,n53,68.3,7.770e-103,364.0
n15,n54,64.9,8.890e-99,350.0
n15,n55,55.0,1.740e-78,283.0
n15,n56,55.0,4.590e-79,285.0
n15,n57,55.7,1.580e-79,286.0
n15,n58,51.5,1.090e-80,290.0
n15,n59,46.5,2.700e-71,259.0
n15,n6,60.1,9.440e-98,347.0
n15,n60,47.8,1.380e-67,247.0
n15,n61,46.6,9.920e-66,240.0
n15,n62,63.5,8.320e-97,344.0
n15,n63,31.0,2.020e-26,110.0
n15,n64,65.9,5.210e-99,351.0
n15,n66,46.8,4.440e-74,268.0
n15,n67,35.2,1.600e-31,127.0
n15,n68,49.7,5.070e-78,281.0
n15,n69,56.8,2.870e-89,319.0
n15,n7,49.4,2.790e-76,275.0
n15,n70,47.9,8.100e-76,274.0
n15,n71,44.7,1.930e-69,253.0
n15,n72,58.7,2.760e-100,355.0
n15,n73,50.5,2.870e-81,292.0
n15,n74,76.8,1.410e-128,449.0
n15,n75,49.3,2.520e-69,252.0
n15,n76,49.6,4.160e-72,262.0
n15,n77,46.9,1.170e-74,270.0
n15,n78,56.7,2.510e-93,332.0
n15,n79,34.0,9.370e-32,127.0
n15,n8,98.9,7.880e-152,526.0
n15,n80,97.7,5.110e-171,590.0
n15,n81,60.4,3.860e-102,361.0
n15,n82,34.2,1.600e-31,127.0
n15,n83,47.5,3.080e-67,245.0
n15,n86,48.4,1.020e-70,257.0
n15,n87,56.5,1.090e-88,317.0
n15,n88,47.4,1.690e-73,266.0
n15,n89,46.4,4.160e-72,262.0
n15,n9,55.6,7.140e-91,324.0
n150,n151,50.7,1.680e-51,193.0
n150,n154,51.9,9.510e-55,203.0
n150,n155,30.3,5.650e-07,45.0
n151,n154,45.4,2.370e-51,192.0
n152,n153,44.2,8.920e-41,157.0
n152,n154,30.3,4.930e-15,71.0
n152,n155,32.6,1.690e-15,73.0
n153,n155,30.8,4.680e-17,78.0
n156,n157,44.1,1.380e-86,310.0
n156,n158,47.1,5.600e-88,315.0
n156,n159,47.7,3.730e-108,382.0
n157,n158,39.9,2.560e-72,263.0
n157,n159,56.0,1.990e-133,466.0
n158,n159,41.3,1.560e-90,323.0
n16,n18,50.2,3.870e-74,268.0
n16,n19,48.9,5.230e-71,258.0
n16,n2,67.8,3.110e-100,355.0
n16,n20,45.7,2.350e-63,232.0
n16,n21,48.5,2.430e-68,249.0
n16,n22,77.8,7.690e-123,430.0
n16,n23,78.2,2.640e-123,431.0
n16,n24,69.1,1.110e-105,373.0
n16,n25,75.9,1.600e-120,422.0
n16,n26,74.7,3.340e-118,414.0
n16,n27,77.8,7.690e-123,430.0
n16,n28,59.1,1.080e-84,303.0
n16,n29,75.9,6.090e-120,420.0
