source,target,presence,pct_id_u11,evalue_u11,pct_id_u12,evalue_u12
n1,n54,both,48.9,5.91e-67,48.9,7.96e-63
n1,n55,both,47.9,6.49e-66,47.9,8.74e-62
n1,n56,both,49.0,1.18e-67,49.0,1.59e-63
n1,n57,both,47.9,3.80e-66,47.9,5.12e-62
n1,n58,both,42.9,5.25e-64,42.9,7.06e-60
n1,n59,both,49.7,7.80e-76,49.7,1.05e-71
n1,n6,both,48.4,2.51e-66,48.4,3.38e-62
n1,n60,both,53.2,2.68e-76,53.2,3.61e-72
n1,n61,both,50.6,3.62e-73,50.6,4.88e-69
n1,n62,both,50.2,5.42e-69,50.2,6.61e-65
n1,n64,both,48.5,4.74e-65,48.5,5.66e-61
n1,n66,both,49.5,3.74e-78,49.5,5.04e-74
n1,n67,both,38.8,3.20e-45,38.8,4.31e-41
n1,n68,both,49.0,1.79e-80,50.0,8.31e-77
n1,n69,both,48.4,1.98e-68,48.4,2.67e-64
n1,n7,both,51.2,1.98e-79,51.2,2.67e-75
n1,n70,both,51.0,2.87e-78,51.0,3.86e-74
n1,n71,both,51.4,1.05e-80,51.4,1.42e-76
n1,n72,both,44.5,1.17e-63,44.5,1.57e-59
n1,n73,both,42.4,1.17e-63,42.4,1.57e-59
n1,n74,both,52.0,3.00e-72,52.0,4.05e-68
n1,n75,both,61.5,2.66e-100,61.5,3.45e-96
n1,n76,both,48.2,3.87e-75,48.2,5.21e-71
n1,n77,both,49.7,1.09e-77,49.7,1.47e-73
n1,n78,both,44.9,9.56e-66,44.9,1.29e-61
n1,n79,both,34.5,3.13e-37,34.5,4.21e-33
n1,n8,both,50.6,2.20e-69,50.6,2.96e-65
n1,n80,both,49.7,4.16e-72,49.7,5.40e-68
n1,n81,both,50.5,5.23e-72,50.5,7.05e-68
n1,n82,both,36.9,1.39e-40,36.9,1.87e-36
n1,n83,both,40.6,3.19e-53,40.6,4.30e-49
n1,n86,both,50.7,1.48e-76,50.7,1.99e-72
n1,n87,both,42.8,3.96e-64,42.8,5.33e-60
n1,n88,both,45.3,1.54e-60,45.3,2.07e-56
n1,n89,both,53.2,1.02e-75,53.2,1.37e-71
n1,n9,both,51.9,1.68e-70,51.9,2.27e-66
n10,n11,both,98.5,7.38e-150,98.5,9.93e-146
n10,n12,both,91.6,3.11e-140,91.6,4.18e-136
n10,n13,both,96.2,7.63e-147,96.2,1.03e-142
n10,n14,both,91.6,1.18e-139,91.6,1.59e-135
n10,n15,both,98.5,2.80e-149,98.5,3.77e-145
n10,n16,both,73.7,4.52e-115,73.7,6.08e-111
n10,n18,both,51.3,7.79e-75,51.3,1.05e-70
n10,n19,both,46.1,1.74e-66,46.1,2.34e-62
n10,n2,both,63.6,1.76e-95,63.6,2.38e-91
n10,n20,both,48.7,4.29e-65,48.7,5.77e-61
n10,n21,both,52.0,7.07e-68,52.0,9.52e-64
n10,n22,both,81.6,6.72e-127,81.6,9.05e-123
n10,n23,both,80.8,4.81e-125,80.8,6.48e-121
n10,n24,both,63.7,3.25e-97,63.7,4.38e-93
n10,n25,both,91.2,3.43e-139,91.2,4.62e-135
n10,n26,both,97.7,3.09e-148,97.7,4.16e-144
n10,n27,both,81.6,6.72e-127,81.6,9.05e-123
n10,n28,both,55.1,1.05e-79,55.1,1.42e-75
n10,n29,both,93.1,4.33e-142,93.1,5.84e-138
n10,n30,both,98.5,7.38e-150,98.5,9.93e-146
n10,n31,both,91.6,3.11e-140,91.6,4.18e-136
n10,n32,both,49.8,1.63e-72,49.8,2.19e-68
n10,n33,both,59.7,1.42e-84,59.7,1.91e-80
n10,n34,both,59.7,5.38e-84,59.7,7.25e-80
n10,n36,both,48.5,2.68e-67,48.5,3.62e-63
n10,n4,both,49.1,3.75e-69,49.1,5.05e-65
n10,n40,both,30.0,4.49e-22,30.0,6.04e-18
n10,n41,both,48.0,5.60e-65,48.0,7.54e-61
n10,n42,both,51.1,1.20e-75,51.1,1.62e-71
n10,n43,both,43.8,6.42e-53,43.8,8.65e-49
n10,n44,both,98.5,2.80e-149,98.5,3.77e-145
n10,n45,both,91.6,1.18e-139,91.6,1.59e-135
n10,n46,both,98.5,2.80e-149,98.5,3.77e-145
n10,n47,both,52.0,7.07e-68,52.0,9.52e-64
n10,n5,both,60.1,2.26e-90,60.1,3.04e-86
n10,n50,both,33.7,8.72e-34,33.7,1.17e-29
n10,n51,both,52.6,1.24e-72,52.6,1.68e-68
n10,n52,both,66.7,6.95e-100,66.7,9.36e-96
n10,n53,both,67.3,5.32e-100,67.3,7.16e-96
n10,n54,both,63.6,7.92e-96,63.6,1.07e-91
n10,n55,both,53.8,1.54e-75,53.8,2.07e-71
n10,n56,both,53.8,5.29e-76,53.8,7.13e-72
n10,n57,both,54.5,1.82e-76,54.5,2.45e-72
n10,n58,both,53.6,1.20e-75,53.6,1.62e-71
n10,n59,both,48.3,4.58e-67,48.3,6.17e-63
n10,n6,both,60.3,7.02e-92,60.3,9.45e-88
n10,n60,both,47.0,8.64e-66,47.0,1.16e-61
n10,n61,both,46.2,4.74e-64,46.2,6.38e-60
n10,n62,both,62.5,4.86e-93,62.5,6.54e-89
n10,n63,both,30.2,6.92e-23,30.2,9.32e-19
n10,n64,both,64.7,7.86e-96,64.7,1.06e-91
n10,n66,both,49.8,6.83e-71,49.8,9.19e-67
n10,n67,both,35.2,6.25e-32,35.2,8.41e-28
n10,n68,both,51.3,1.13e-73,51.3,1.52e-69
n10,n69,both,60.4,1.51e-86,60.4,2.04e-82
n10,n7,both,51.5,5.59e-73,51.5,7.52e-69
n10,n70,both,48.0,3.06e-71,48.0,4.13e-67
n10,n71,both,46.8,5.06e-66,46.8,6.82e-62
n10,n72,both,59.9,1.56e-91,59.9,2.11e-87
n10,n73,both,52.7,1.85e-76,52.7,2.50e-72
n10,n74,both,78.2,3.95e-119,78.2,5.32e-115
n10,n75,both,48.5,2.68e-65,48.5,3.60e-61
n10,n76,both,49.1,7.55e-70,49.1,1.02e-65
n10,n77,both,50.0,3.06e-71,50.0,4.13e-67
n10,n78,both,59.8,2.50e-89,59.8,3.36e-85
n10,n79,both,34.0,1.82e-31,34.0,2.45e-27
n10,n8,both,97.3,3.43e-147,97.3,4.61e-143
n10,n80,both,96.2,2.90e-146,96.2,3.91e-142
n10,n81,both,62.8,8.01e-96,62.8,1.08e-91
n10,n82,both,34.2,1.39e-31,34.2,1.87e-27
n10,n83,both,48.7,7.57e-62,48.7,1.02e-57
n10,n86,both,49.4,3.75e-69,49.4,5.05e-65
n10,n87,both,58.6,2.05e-83,58.6,2.76e-79
n10,n88,both,50.2,1.80e-71,50.2,2.42e-67
n10,n89,both,48.7,1.42e-68,48.7,1.92e-64
n10,n9,both,58.6,2.19e-85,58.6,2.94e-81
n100,n107,both,32.5,6.22e-26,32.5,8.37e-22
n101,n102,both,32.6,2.26e-25,32.6,3.05e-21
n101,n108,both,35.3,7.39e-28,35.3,9.95e-24
n101,n109,both,31.1,1.58e-48,30.9,2.13e-44
n101,n111,both,34.9,9.17e-69,34.9,1.23e-64
n101,n99,both,33.2,2.11e-65,33.2,2.84e-61
n102,n103,both,37.2,9.05e-74,37.2,1.09e-69
n102,n109,both,34.5,5.44e-62,34.5,7.33e-58
n102,n110,both,30.0,5.07e-46,34.7,1.13e-36
n102,n111,both,35.8,4.43e-47,35.8,5.96e-43
n102,n99,both,35.3,3.72e-62,35.3,5.00e-58
n103,n106,v11_only,32.6,8.91e-09,,
n103,n108,both,31.8,4.77e-43,31.8,6.42e-39
n103,n109,both,36.9,2.35e-76,36.9,3.16e-72
n103,n110,both,31.4,1.09e-56,31.4,1.47e-52
n103,n111,both,35.3,3.37e-71,35.3,4.53e-67
n103,n99,both,36.5,4.52e-76,36.5,6.09e-72
n104,n108,both,32.0,3.43e-25,32.0,4.62e-21
n104,n109,both,31.9,2.46e-38,31.9,3.32e-34
n104,n110,both,36.6,1.48e-29,36.6,1.99e-25
n104,n111,both,32.7,4.65e-37,32.7,6.26e-33
n104,n99,both,34.8,1.79e-40,34.8,2.42e-36
n105,n106,v11_only,30.5,4.59e-07,,
n105,n107,v11_only,30.8,2.43e-08,,
n106,n107,both,58.1,1.86e-107,58.1,2.51e-103
n106,n109,both,31.0,1.92e-11,31.0,2.58e-07
n107,n108,both,37.3,1.94e-11,37.3,2.61e-07
n107,n99,v11_only,31.7,1.82e-09,,
n108,n109,both,32.6,1.81e-50,32.6,2.43e-46
n108,n110,both,38.3,8.71e-37,38.3,1.17e-32
n108,n111,both,31.9,2.60e-57,31.9,3.51e-53
n108,n99,both,31.7,2.44e-55,31.7,3.28e-51
n109,n110,both,34.9,3.85e-70,34.9,5.19e-66
n109,n111,both,35.7,1.84e-77,35.7,2.48e-73
n109,n99,both,35.5,1.97e-71,35.5,2.65e-67
n11,n12,both,93.1,2.08e-144,93.1,2.80e-140
n11,n13,both,97.7,5.11e-151,97.7,6.88e-147
n11,n14,both,93.1,7.90e-144,93.1,1.06e-139
n11,n15,both,100.0,1.88e-153,100.0,2.53e-149
n11,n16,both,75.2,3.02e-119,75.2,4.07e-115
n11,n18,both,52.0,3.74e-77,52.0,5.03e-73
n11,n19,both,46.8,1.09e-68,46.8,1.47e-64
n11,n2,both,64.8,5.86e-99,64.8,7.89e-95
n11,n20,both,49.1,1.33e-66,49.1,1.79e-62
n11,n21,both,52.4,2.87e-69,52.4,3.86e-65
n11,n22,both,83.1,4.50e-131,83.1,6.05e-127
n11,n23,both,82.4,3.22e-129,82.4,4.34e-125
n11,n24,both,65.3,2.18e-101,65.3,2.93e-97
n11,n25,both,92.3,6.69e-143,92.3,9.00e-139
n11,n26,both,99.2,2.07e-152,99.2,2.78e-148
n11,n27,both,83.1,4.50e-131,83.1,6.05e-127
n11,n28,both,56.0,7.78e-83,56.0,1.05e-78
n11,n29,both,94.3,8.44e-146,94.3,1.14e-141
n11,n30,both,100.0,4.94e-154,100.0,6.65e-150
n11,n31,both,93.1,2.08e-144,93.1,2.80e-140
n11,n32,both,51.0,4.13e-76,51.0,5.57e-72
n11,n33,both,60.1,4.40e-86,60.1,5.93e-82
n11,n34,both,60.1,1.67e-85,60.1,2.25e-81
n11,n36,both,48.9,1.09e-68,48.9,1.47e-64
n11,n4,both,49.4,4.00e-71,49.4,5.39e-67
n11,n40,both,30.5,6.26e-24,30.5,8.43e-20
n11,n41,both,48.7,2.68e-67,48.7,3.62e-63
n11,n42,both,51.9,5.77e-78,51.9,7.77e-74
n11,n43,both,44.2,2.61e-54,44.2,3.51e-50
n11,n44,both,100.0,1.88e-153,100.0,2.53e-149
n11,n45,both,93.1,7.90e-144,93.1,1.06e-139
n11,n46,both,100.0,1.88e-153,100.0,2.53e-149
n11,n47,both,52.4,2.87e-69,52.4,3.86e-65
n11,n5,both,61.2,5.74e-94,61.2,7.73e-90
n11,n50,both,33.7,3.91e-34,33.7,5.27e-30
n11,n51,both,53.0,8.62e-74,53.0,1.16e-69
n11,n52,both,67.8,2.31e-103,67.8,3.11e-99
n11,n53,both,68.4,1.77e-103,68.4,2.38e-99
n11,n54,both,64.8,2.63e-99,64.8,3.54e-95
n11,n55,both,54.9,5.12e-79,54.9,6.89e-75
n11,n56,both,54.9,1.76e-79,54.9,2.37e-75
n11,n57,both,55.7,6.04e-80,55.7,8.14e-76
n11,n58,both,54.0,2.19e-77,54.0,2.95e-73
n11,n59,both,49.1,3.75e-69,49.1,5.05e-65
n11,n6,both,61.5,2.33e-95,61.5,3.14e-91
n11,n60,both,47.8,1.21e-67,47.8,1.62e-63
n11,n61,both,46.6,8.64e-66,46.6,1.16e-61
n11,n62,both,63.6,1.61e-96,63.6,2.17e-92
n11,n63,both,31.1,5.66e-25,31.1,7.63e-21
n11,n64,both,65.9,4.45e-99,65.9,5.99e-95
n11,n66,both,50.2,1.63e-72,50.2,2.19e-68
n11,n67,both,35.2,1.39e-31,35.2,1.87e-27
n11,n68,both,52.0,5.40e-76,52.0,7.27e-72
n11,n69,both,60.8,2.11e-88,60.8,2.85e-84
n11,n7,both,52.2,1.33e-74,52.2,1.79e-70
n11,n70,both,49.1,1.92e-73,49.1,2.59e-69
n11,n71,both,47.5,2.43e-68,47.5,3.27e-64
n11,n72,both,61.1,3.97e-95,61.1,5.35e-91
n11,n73,both,53.4,6.81e-79,53.4,9.17e-75
n11,n74,both,79.7,2.64e-123,79.7,3.56e-119
n11,n75,both,49.8,1.42e-66,49.8,1.91e-62
n11,n76,both,49.8,3.62e-72,49.8,4.88e-68
n11,n77,both,50.7,1.92e-73,50.7,2.59e-69
n11,n78,both,60.2,3.48e-91,60.2,4.69e-87
n11,n79,both,34.0,8.16e-32,34.0,1.10e-27
n11,n8,both,98.9,2.29e-151,98.9,3.09e-147
n11,n80,both,97.3,5.65e-150,97.3,7.61e-146
n11,n81,both,64.0,2.66e-99,64.0,3.58e-95
n11,n82,both,34.2,1.39e-31,34.2,1.87e-27
n11,n83,both,48.7,5.24e-63,48.7,7.06e-59
n11,n86,both,49.8,1.52e-70,49.8,2.05e-66
n11,n87,both,59.5,1.51e-86,59.5,2.04e-82
n11,n88,both,50.6,7.29e-73,50.6,9.82e-69
n11,n89,both,49.4,8.92e-71,49.4,1.20e-66
n11,n9,both,59.7,7.26e-89,59.7,9.78e-85
n110,n111,both,32.8,2.42e-61,32.8,3.26e-57
n110,n99,both,31.3,5.75e-55,31.3,7.74e-51
n111,n99,both,41.8,1.44e-106,41.8,1.94e-102
n113,n114,both,46.6,7.40e-101,46.6,9.97e-97
n113,n115,both,50.4,8.23e-106,50.4,1.11e-101
n113,n116,both,49.6,1.05e-105,49.6,1.41e-101
n113,n117,both,55.5,5.66e-125,55.5,7.62e-121
n113,n118,both,49.4,4.99e-108,49.4,6.72e-104
n114,n115,both,48.1,6.05e-103,48.1,8.15e-99
n114,n116,both,48.1,1.49e-101,48.1,2.01e-97
n114,n117,both,50.8,2.54e-109,50.8,3.42e-105
n114,n118,both,43.0,3.94e-86,43.0,5.31e-82
n115,n116,both,95.2,1.15e-245,95.2,1.54e-241
n115,n117,both,49.1,3.12e-107,49.1,4.20e-103
n115,n118,both,43.1,2.48e-99,43.1,3.34e-95
n116,n117,both,48.9,1.40e-107,48.9,1.88e-103
n116,n118,both,46.0,3.70e-103,46.0,4.98e-99
n117,n118,both,48.0,3.23e-104,48.0,4.35e-100
n119,n120,both,46.9,7.13e-44,46.9,9.60e-40
n119,n121,both,95.3,3.35e-116,95.3,4.51e-112
n12,n13,both,94.7,9.97e-147,94.7,1.34e-142
n12,n14,both,100.0,2.22e-154,100.0,2.98e-150
n12,n15,both,93.1,7.90e-144,93.1,1.06e-139
n12,n16,both,76.7,4.98e-122,76.7,6.71e-118
n12,n18,both,49.8,3.87e-74,49.8,5.21e-70
n12,n19,both,48.0,1.29e-69,48.0,1.73e-65
n12,n2,both,64.0,3.21e-97,64.0,4.33e-93
n12,n20,both,48.0,1.92e-65,48.0,2.59e-61
n12,n21,both,50.8,5.41e-68,50.8,7.29e-64
n12,n22,both,85.8,3.55e-136,85.8,4.79e-132
n12,n23,both,85.8,6.06e-136,85.8,8.16e-132
n12,n24,both,66.0,2.32e-103,66.0,3.13e-99
n12,n25,both,99.2,1.88e-153,99.2,2.53e-149
n12,n26,both,93.1,4.61e-144,93.1,6.21e-140
n12,n27,both,85.8,3.55e-136,85.8,4.79e-132
n12,n28,both,56.0,4.56e-83,56.0,6.14e-79
n12,n29,both,97.3,5.65e-150,97.3,7.61e-146
n12,n30,both,93.1,2.08e-144,93.1,2.80e-140
n12,n31,both,100.0,5.83e-155,100.0,7.85e-151
n12,n32,both,50.2,7.79e-75,50.2,1.05e-70
n12,n33,both,58.8,1.42e-84,58.8,1.91e-80
n12,n34,both,58.8,9.18e-84,58.8,1.24e-79
n12,n36,both,47.7,7.07e-68,47.7,9.52e-64
n12,n4,both,48.7,1.29e-69,48.7,1.73e-65
n12,n40,both,31.1,1.82e-23,31.1,2.45e-19
n12,n41,both,47.2,7.31e-65,47.2,9.85e-61
n12,n42,both,50.4,1.20e-75,50.4,1.62e-71
n12,n43,both,44.1,2.00e-54,44.1,2.69e-50
n12,n44,both,93.1,7.90e-144,93.1,1.06e-139
n12,n45,both,100.0,2.22e-154,100.0,2.98e-150
n12,n46,both,93.1,7.90e-144,93.1,1.06e-139
n12,n47,both,50.8,5.41e-68,50.8,7.29e-64
n12,n5,both,60.8,1.28e-93,60.8,1.72e-89
n12,n50,both,35.3,1.03e-34,34.3,1.06e-30
n12,n51,both,51.9,4.28e-73,51.9,5.76e-69
n12,n52,both,67.0,1.65e-101,67.0,2.23e-97
n12,n53,both,66.9,2.16e-101,66.9,2.91e-97
n12,n54,both,64.0,1.44e-97,64.0,1.94e-93
n12,n55,both,54.3,7.39e-78,54.3,9.95e-74
n12,n56,both,54.7,1.94e-78,54.7,2.62e-74
n12,n57,both,55.1,8.73e-79,55.1,1.18e-74
n12,n58,both,53.6,3.16e-76,53.6,4.26e-72
n12,n59,both,48.3,4.89e-69,48.3,6.59e-65
n12,n6,both,61.1,3.97e-95,61.1,5.35e-91
n12,n60,both,47.4,1.74e-66,47.4,2.34e-62
n12,n61,both,46.6,1.92e-65,46.6,2.59e-61
n12,n62,both,62.8,2.33e-95,62.8,3.14e-91
n12,n64,both,64.7,2.70e-96,64.7,3.64e-92
n12,n66,both,50.2,1.13e-73,50.2,1.52e-69
n12,n67,both,35.7,1.07e-31,35.7,1.44e-27
n12,n68,both,51.7,1.09e-76,51.7,1.46e-72
n12,n69,both,61.2,1.16e-86,61.2,1.56e-82
n12,n7,both,51.9,1.02e-74,51.9,1.37e-70
n12,n70,both,48.7,1.24e-72,48.7,1.68e-68
n12,n71,both,46.8,3.17e-68,46.8,4.27e-64
n12,n72,both,61.5,3.04e-95,61.5,4.10e-91
n12,n73,both,53.1,8.90e-79,53.1,1.20e-74
n12,n74,both,79.7,1.00e-122,79.7,1.35e-118
n12,n75,both,49.0,2.13e-64,49.0,2.86e-60
n12,n76,both,49.4,4.28e-73,49.4,5.76e-69
n12,n77,both,50.0,1.47e-73,50.0,1.98e-69
n12,n78,both,59.8,2.95e-90,59.8,3.97e-86
n12,n79,both,36.0,5.11e-34,36.0,6.88e-30
n12,n8,both,92.7,5.12e-143,92.7,6.89e-139
n12,n80,both,94.3,1.10e-145,94.3,1.48e-141
n12,n81,both,62.8,9.46e-97,62.8,1.27e-92
n12,n82,both,35.2,2.80e-32,35.2,3.78e-28
n12,n83,both,47.1,1.09e-60,47.1,1.47e-56
n12,n86,both,49.8,1.05e-71,49.8,1.42e-67
n12,n87,both,59.1,2.19e-85,59.1,2.94e-81
n12,n88,both,50.9,2.51e-73,50.9,3.38e-69
n12,n89,both,48.7,3.39e-70,48.7,4.56e-66
n12,n9,both,59.3,5.75e-86,59.3,7.75e-82
n120,n121,both,46.2,6.45e-45,46.2,8.68e-41
n123,n124,both,45.4,1.88e-163,45.4,2.54e-159
n126,n127,both,31.2,4.77e-45,31.0,6.43e-41
n128,n129,both,34.2,2.68e-41,34.2,3.61e-37
n13,n14,both,94.6,3.79e-146,94.6,5.10e-142
n13,n15,both,97.7,1.94e-150,97.7,2.61e-146
n13,n16,both,75.2,5.16e-119,75.2,6.94e-115
n13,n18,both,50.9,1.57e-75,50.9,2.11e-71
n13,n19,both,46.5,2.06e-67,46.5,2.77e-63
n13,n2,both,64.8,7.65e-99,64.8,1.03e-94
n13,n20,both,48.7,5.60e-65,48.7,7.54e-61
n13,n21,both,51.6,5.41e-68,51.6,7.29e-64
n13,n22,both,82.4,8.48e-130,82.4,1.14e-125
n13,n23,both,81.2,6.08e-128,81.2,8.18e-124
n13,n24,both,64.9,4.85e-101,64.9,6.53e-97
n13,n25,both,94.6,4.95e-146,94.6,6.66e-142
n13,n26,both,98.5,1.75e-151,98.5,2.36e-147
n13,n27,both,82.4,8.48e-130,82.4,1.14e-125
n13,n28,both,56.0,2.26e-82,56.0,3.05e-78
n13,n29,both,96.6,6.24e-149,96.6,8.41e-145
n13,n30,both,97.7,5.11e-151,97.7,6.88e-147
n13,n31,both,94.7,9.97e-147,94.7,1.34e-142
n13,n32,both,50.2,7.79e-75,50.2,1.05e-70
n13,n33,both,59.3,1.08e-84,59.3,1.46e-80
n13,n34,both,59.3,5.38e-84,59.3,7.25e-80
n13,n36,both,48.1,9.23e-68,48.1,1.24e-63
n13,n4,both,49.8,1.99e-70,49.8,2.68e-66
n13,n40,both,30.5,1.82e-23,30.5,2.45e-19
n13,n41,both,47.6,3.28e-65,47.6,4.42e-61
n13,n42,both,50.7,4.13e-76,50.7,5.57e-72
n13,n43,both,44.5,6.86e-55,44.5,9.24e-51
n13,n44,both,97.7,1.94e-150,97.7,2.61e-146
n13,n45,both,94.6,3.79e-146,94.6,5.10e-142
n13,n46,both,97.7,1.94e-150,97.7,2.61e-146
n13,n47,both,51.6,5.41e-68,51.6,7.29e-64
n13,n5,both,61.6,4.39e-94,61.6,5.92e-90
n13,n50,both,33.9,1.34e-34,33.9,1.81e-30
n13,n51,both,51.9,1.38e-71,51.9,1.85e-67
n13,n52,both,68.2,1.04e-103,68.2,1.39e-99
n13,n53,both,68.4,2.31e-103,68.4,3.11e-99
n13,n54,both,64.8,3.43e-99,64.8,4.63e-95
n13,n55,both,54.2,2.15e-77,54.2,2.89e-73
n13,n56,both,54.5,5.66e-78,54.5,7.62e-74
n13,n57,both,54.9,2.54e-78,54.9,3.42e-74
n13,n58,both,53.6,2.42e-76,53.6,3.26e-72
n13,n59,both,48.7,1.86e-68,48.7,2.50e-64
n13,n6,both,61.1,1.16e-94,61.1,1.56e-90
n13,n60,both,47.0,3.88e-66,47.0,5.22e-62
n13,n61,both,45.9,3.63e-64,45.9,4.89e-60
n13,n62,both,62.5,3.04e-95,62.5,4.10e-91
n13,n63,both,31.1,2.15e-24,31.1,2.90e-20
n13,n64,both,64.7,1.87e-97,64.7,2.52e-93
n13,n66,both,49.8,8.07e-72,49.8,1.09e-67
n13,n67,both,34.8,2.62e-30,34.8,3.53e-26
n13,n68,both,51.3,7.79e-75,51.3,1.05e-70
n13,n69,both,61.2,2.76e-88,61.2,3.72e-84
n13,n7,both,51.5,4.28e-73,51.5,5.76e-69
n13,n70,both,49.8,2.27e-74,49.8,3.05e-70
n13,n71,both,47.2,2.68e-67,47.2,3.62e-63
n13,n72,both,60.7,1.97e-94,60.7,2.66e-90
n13,n73,both,52.7,7.53e-78,52.7,1.01e-73
n13,n74,both,78.9,2.92e-122,78.9,3.93e-118
n13,n75,both,49.4,5.39e-66,49.4,7.26e-62
n13,n76,both,49.4,1.05e-71,49.4,1.42e-67
n13,n77,both,49.6,1.05e-71,49.6,1.42e-67
n13,n78,both,60.2,7.76e-91,60.2,1.04e-86
n13,n79,both,34.7,1.64e-32,34.7,2.21e-28
n13,n8,both,97.3,1.26e-149,97.3,1.69e-145
n13,n80,both,99.6,4.18e-153,99.6,5.63e-149
n13,n81,both,63.6,2.25e-98,63.6,3.03e-94
n13,n82,both,33.9,1.18e-30,33.9,1.59e-26
n13,n83,both,48.3,1.52e-62,48.3,2.05e-58
n13,n86,both,49.8,2.59e-70,49.8,3.49e-66
n13,n87,both,59.1,2.19e-85,59.1,2.94e-81
n13,n88,both,51.3,1.47e-73,51.3,1.98e-69
n13,n89,both,48.7,1.68e-69,48.7,2.26e-65
n13,n9,both,58.9,2.34e-87,58.9,3.15e-83
n133,n134,both,32.4,3.16e-12,32.4,4.25e-08
n134,n34,v11_only,30.6,2.96e-06,,
n139,n140,both,62.4,4.15e-65,62.4,5.58e-61
n139,n142,v11_only,31.0,2.23e-10,,
n139,n143,both,55.3,2.60e-59,55.3,3.50e-55
n139,n144,v11_only,30.3,1.45e-09,,
n139,n145,both,30.2,2.39e-12,30.2,3.21e-08
n139,n146,both,32.4,3.56e-16,32.4,4.79e-12
n139,n147,both,31.7,1.91e-20,31.7,2.57e-16
n139,n148,both,54.0,7.09e-57,54.0,9.54e-53
n139,n149,both,62.7,1.52e-67,62.7,2.05e-63
n139,n150,both,50.3,1.13e-46,50.3,1.53e-42
n139,n151,both,55.8,8.94e-60,55.8,1.20e-55
n139,n153,both,32.4,3.56e-16,32.4,4.79e-12
n139,n154,both,50.0,4.92e-50,50.0,6.63e-46
n14,n15,both,93.0,2.30e-163,93.0,3.09e-159
n14,n16,both,76.6,1.89e-121,76.6,2.55e-117
n14,n18,both,49.7,4.25e-77,49.7,5.73e-73
n14,n19,both,45.2,9.82e-72,45.3,1.50e-68
n14,n2,both,63.9,1.22e-96,63.9,1.64e-92
n14,n20,both,47.5,5.76e-66,47.5,7.76e-62
n14,n21,both,47.2,2.55e-69,47.2,3.43e-65
n14,n22,both,82.4,4.28e-146,82.4,5.76e-142
n14,n23,both,84.4,1.70e-150,84.4,2.29e-146
n14,n24,both,61.7,3.02e-105,61.7,4.07e-101
n14,n25,both,99.0,2.89e-174,99.0,3.89e-170
n14,n26,both,93.1,4.61e-144,93.1,6.21e-140
n14,n27,both,82.4,4.28e-146,82.4,5.76e-142
n14,n28,both,55.0,3.48e-85,55.0,4.68e-81
n14,n29,both,96.6,3.74e-180,96.6,5.03e-176
n14,n30,both,93.1,7.90e-144,93.1,1.06e-139
n14,n31,both,100.0,2.22e-154,100.0,2.98e-150
n14,n32,both,49.3,3.10e-80,49.3,4.18e-76
