component_id,size_rank,canonical_label,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_identifiers,member_accessions
C007,11,PL45,4,4,4,3.40.50.1820,PL45;PL46;PL47;PL49,AAD22743.1;AAF01331.1;AAF66684.1;WP_011061489.1
C012,12,PL59,4,2,11,2.40.10.10,PL59;PL60;PL220;PL577,WP_037320891.1;ABY53108.1;P00761.1;Q75UA4
C033,13,PL146,4,3,22,3.40.50.1820,PL146;PL181;PL454;PL562,ACY56506.1;WP_034768559.1;WDT94443;WP_013956815.1
C013,14,PL62,3,2,26,3.40.50.1820,PL62;PL206;PL456,BAC67195.1;APJ12152;
C030,15,PL107,3,3,15,NA,PL107;PL108;PL109,AAP41848.1;AQV11968.1;WP_085748997.1
C002,16,PL12,2,1,17,TBDX,PL12;PL463,WP_003460012.1;7C2A_A
C009,17,PL52,2,1,42,3.40.710.10,PL52;PL451,CAA24927.1;CAA26616.1
C014,18,PL63,2,1,32,3.40.50.1820,PL63;PL455,WP_011589723.1;WDT94189
C024,19,PL90,2,2,31,3.40.50.1820,PL90;PL472,WP_010811062.1;WP_011617846.1
C025,20,PL91,2,2,28,3.40.50.1820,PL91;PL97,WP_011615575.1;WP_034398300.1
C045,21,PL535,2,2,14,2.60.40.420,PL535;PL536,AII11185.1;AII11221.1
C003,22,PL14,1,1,38,3.40.50.1820,PL14,WP_085690612
C005,23,PL41,1,1,7,3.40.50.1820,PL41,CAA83122.1
C015,24,PL64,1,1,6,3.40.50.1820,PL64,WP_011157072.1
C016,25,PL70,1,1,41,3.40.710.10,PL70,AHG30919.1
C017,26,PL71,1,1,8,3.40.710.10,PL71,AGT96414.1
C018,27,PL72,1,1,18,TBDY,PL72,AKJ87250
C019,28,PL73,1,1,24,3.40.50.1820,PL73,AKJ87264
C021,29,PL76,1,1,5,3.40.50.1820,PL76,BAF57212.1
C022,30,PL77,1,1,40,3.40.50.1820,PL77,BAF57214.1
C026,31,PL92,1,1,33,3.40.50.1820,PL92,WP_011615004.1
C028,32,PL94,1,1,34,3.40.50.1820,PL94,WP_132259156.1
C029,33,PL96,1,1,29,3.40.50.1820,PL96,BAA32541.1
C032,34,PL145,1,1,19,TBDZ,PL145,WP_012433325.1
C034,35,PL165,1,1,43,3.40.710.10,PL165,UNZ81747.1
C035,36,PL177,1,0,,,PL177,AAA33742.1
C036,37,PL182,1,1,37,3.40.50.1820,PL182,WP_041846030
C037,38,PL184,1,1,36,3.40.50.1820,PL184,WP_034767800
C038,39,PL185,1,1,39,3.40.50.1820,PL185,WP_108898647
C039,40,PL219,1,0,,,PL219,BEG79545
C040,41,PL221,1,0,,,PL221,P08684.4
C041,42,PL311,1,0,,,PL311,BAD07474.1
C042,43,PL458,1,0,,,PL458,
C043,44,PL466,1,0,,,PL466,NP_390179.1
C044,45,PL467,1,0,,,PL467,NP_999368.1
C046,46,PL581,1,1,12,2.40.10.10,PL581,WP_044849715.1
