node_id	sequence_md5	identifier	identifier_all	accession	accession_all	enzyme_name	enzyme_name_all	organism	pazy_id	pazy_id_all	sequence_length	n_source_rows	v1_component	cath
m0074	2952634441666dbdb22a48ce9cde12c5	172	172	WP_034768559.1;CEE00769.1	WP_034768559.1;CEE00769.1	Est8_89	Est8_89	Caldibacillus thermoamylovorans	210	210	266	1	22	3.40.50.1820
m0075	2a3c4f5280e7c5835b8e1428f7044fe3	363	363	WP_233872418.1	WP_233872418.1	DP090	DP090	Streptomyces sp. ST2-7A	404	404	314	1		
m0076	2a9215b62ae074282dc7ffcda6232192	438	438	YCL34723	YCL34723	DIEGO	DIEGO	uncultured bacterium	483	483	293	1		
m0077	2af6d737171357f18fd9f3cddedf6015	226	226	MBX2857432.1	MBX2857432.1	APET-28	APET-28	Cellvibrionaceae bacterium	267	267	275	1		
m0078	2b913d598a604cd64df1b67d929b5d6f	14	14	MGYP000532440779	MGYP000532440779	MG8	MG8	Oral metagenome	13	13	307	1		
m0079	2b9fd2b29499ad2d285db6505328e11d	464	464	BAI99230.2;D4Q9N1	BAI99230.2;D4Q9N1	Est1	Est1	Thermobifida alba	33;80	33;80	296	1	1	3.40.50.1820
m0080	2c71453465b0acb39d172983ac4a7387	219	219	WP_116023875.1	WP_116023875.1	APET-19	APET-19	Thermomonospora umbrina	260	260	279	1		
m0081	2cd5f487f5114193eaf1c99806f6ef63	151	151	WP_036989706.1	WP_036989706.1	PbauzCut	PbauzCut	Halopseudomonas bauzanensis	180	180	302	1	1	3.40.50.1820
m0082	2cdb0469feb77ba7e2d63ca3b108b137	374	374	WP_031525917.1	WP_031525917.1	ESM043	ESM043	Streptomyces sp. NRRL F-5123	415	415	426	1		
m0083	2d321d769e7c7464a135d954c2a9a866	417	417	WP_149259982.1	WP_149259982.1	TEP067	TEP067	Actinomadura sp. K4S16	460	460	309	1		
m0084	2da35d44369fc57fbab077687acd8caf	292	292	WP_091450391.1	WP_091450391.1	1228	1228	Actinokineospora iranica	333	333	281	1		
m0085	2ddc62c97241531aed04530538ae54d8	436	436	XDS72785.1	XDS72785.1	Sis	Sis	uncultured bacterium	481	481	282	1	1	3.40.50.1820
m0086	2faa60f73ded9c502787ece47fca13f7	80	80	BAN51852.1;A0A060N399	BAN51852.1;A0A060N399	PCLE	PCLE	Paraphoma sp. B47-9	98	98	227	1	2	3.40.50.1820
m0087	31564b91ecf89c422e16abc249221256	288	288	WP_110080872.1	WP_110080872.1	1424	1424	Actinokineospora spheciospongiae	329	329	316	1		
m0088	3159d0f519fd0565b7134f18713e8324	348	348	WP_085750434.1	WP_085750434.1	DP039	DP039	Piscinibacter gummiphilus	389	389	289	1		
m0089	316e87e4b339708fb285d715f460c8d2	480	480	UFE15762.1	UFE15762.1	lcp1	lcp1				406	1		
m0090	3195c72d9a6cc23e6a918505eb460744	414	414	WP_256510026.1	WP_256510026.1	TEP041	TEP041	Crossiella sp. SN42	457	457	266	1		
m0091	31e8cee08e99636ef7d35f9f5457bb57	149	149	WP_085749238;WP_085749238.1	WP_085749238;WP_085749238.1	RgCut-2	RgCut-2	Piscinibacter gummiphilus	178	178	279	1	1	3.40.50.1820
m0092	32320ea9636947aaaa29de601c9a9fa4	86	86	WP_011616952.1;Q0K2G9	WP_011616952.1;Q0K2G9	PhaZ5	PhaZ5	Cupriavidus necator	104	104	407	1	3	3.40.50.1820
m0093	325634c8b48334249f0532c897258e2e	478	478	WP_068824797.1	WP_068824797.1	jmPE14	jmPE14	Pseudomonas sp. JM16B3			297	1	1	3.40.50.1820
m0094	336f0649eca9651f90fe2d208cd29559	482	482	WP_293218050.1	WP_293218050.1	GatA-like	GatA-like	Parvibaculum sp.			485	1	10	3.90.1300.10
m0095	339540f3809d8ac98ee633f1da7247e9	81	81	XP_014659518.1;BAN66731.1	XP_014659518.1;BAN66731.1	PaE	PaE	Moesziomyces antarcticus	99	99	224	1	2	3.40.50.1820
m0096	342ff8b50fc233be7b68dc6cd032d5a7	67	67	AKJ87250;AKJ87250.1	AKJ87250;AKJ87250.1	MGS0084	MGS0084	Environmental metagenome	85	85	411	1	18	TBDY
m0097	34845c057c0fc493b1f6938327b2a52a	339	339	WP_170196788.1	WP_170196788.1	Nyl93	Nyl93	Gordonia asplenii	380	380	376	1		
m0098	3553b7c612834728bae59c60af19fbda	411	411	WP_264933993.1	WP_264933993.1	TEP014	TEP014	Bioreactor metagenome	454	454	300	1		
m0099	362632b30b43e3854087c699d608f0b1	218	218	MBX3625601.1	MBX3625601.1	APET-17	APET-17	Rhizobacter sp.	259	259	290	1		
m0100	36a989ab704be3f0d22479cc94524084	341	341	TDP67440	TDP67440	DP006	DP006	Actinokineospora alba	382	382	294	1		
m0101	38977381259c624bdcec8191c6717c7a	384	384	WP_204038550.1	WP_204038550.1	ESM065	ESM065	Micromonospora qiuiae	425	425	323	1		
m0102	39f5ef8b2abbe007e623b9ceb5a0c815	338	338	U7UHN3	U7UHN3	Nyl87	Nyl87	Peptoniphilus sp. BV3C26	379	379	313	1		
m0103	3a8b3b50918fa1553710b5c8d094771c	345	345	WP_187224800.1	WP_187224800.1	DP017	DP017	Actinokineospora xionganensis	386	386	283	1		
m0104	3b00f12fd36416ff8790c3e56ebd219c	329	329	A0A7V5VEC1	A0A7V5VEC1	Nyl68	Nyl68	Bacteroidota bacterium	370	370	312	1		
m0105	3b8571a2d62a99f31d344cab5662e8e5	271	271	WP_093954453.1	WP_093954453.1	1457	1457	Amycolatopsis vastitatis	312	312	302	1		
m0106	3ccbadd7e660120a138f6df238b1b9ae	75	75	CAA32820.1;P06873.2	CAA32820.1;P06873.2	Proteinase K	Proteinase K	Parengyodontium album	93	93	384	1	21	3.40.50.1820
m0107	3cdb04dfc6e8e2e6816fbe523d088f25	269	269	KNX38636.1	KNX38636.1	1240	1240	Luteipulveratus halotolerans	310	310	303	1		
m0108	3d98c4ffc15561968b8fbb11d2ed071a	160	160	AFA76036.1;H6N4Z1	AFA76036.1;H6N4Z1	Lcp2VH2	Lcp2VH2	Gordonia polyisoprenivorans	192	192	388	1	16	NA
m0109	3daf95d51a344e67e10dd0832d970bba	53	53	WP_037320891.1	WP_037320891.1	PLAase I	PLAase I	Amycolatopsis orientalis	68	68	245	1		
m0110	3dcbffcfab5a9bf0b1856144dd30e5ef	262	262	WP_093411427.1	WP_093411427.1	1545	1545	Micromonospora sediminimaris	303	303	467	1		
m0111	3ecb425bded1a0f79d8f0e0d110588f5	423	423	WP_109361459.1	WP_109361459.1	TEP102	TEP102	Streptomyces sp. V2	466	466	432	1		
m0112	3ed7551a77d0f6098185c1af7d8c8385	409	409	WP_093473685.1	WP_093473685.1	ESM186	ESM186	Halopseudomonas yangmingensis	452	452	303	1		
m0113	3f5b7ed180255f20639a75548bb8ac56	260	260	WP_130401777.1	WP_130401777.1	1637	1637	Micromonospora violae	301	301	462	1		
m0114	4101ed79233a5b5898733d86311407b2	422	422	WP_019633337.1	WP_019633337.1	TEP101	TEP101	Actinomadura atramentaria	465	465	301	1		
m0115	4128006510697cae616c99ca6fbb128c	349	349	WP_233427406.1	WP_233427406.1	DP040	DP040	Actinokineospora spheciospongiae	390	390	299	1		
m0116	42091824cdf4b41fc5df083621ce6549	117	117			307	307		140	140	186	1		
m0117	426c9c3680fe7091b7e6f1c7a0f7e7d3	85	85	AAP85930.1;Q7WXF6	AAP85930.1;Q7WXF6	PhaZ4	PhaZ4	Cupriavidus necator	103	103	245	1	3	3.40.50.1820
m0118	42aa40364f5684f1f255819ab69b7b92	150	150	WP_044499735.1	WP_044499735.1	PsCut	PsCut	Pseudomonas saudimassiliensis	179	179	302	1	1	3.40.50.1820
m0119	4307017d78508de526bb8422be94a4c4	16	16	WP_085749752.1;A0A1W6L588	WP_085749752.1;A0A1W6L588	RgPETase	RgPETase	Piscinibacter gummiphilus	15	15	292	1	1	3.40.50.1820
m0120	4372f68d441785c9d134905aed4aae6b	424	424	WP_211769896.1	WP_211769896.1	TEP103	TEP103	Kutzneria sp. CA-103260	467	467	293	1		
m0121	43855fcf31b8ee18bc3c65f3b00f10cb	285	285	WP_104115406.1	WP_104115406.1	401	401	Micromonospora chalcea	326	326	296	1		
m0122	440c2c28c74998f465ccf99910827774	389	389	UAC02078.1	UAC02078.1	ESM082	ESM082	Dactylosporangium vinaceum	430	430	269	1		
m0123	4413a75f4591f7557a156f377930d8c1	309	309	A0A2E3XQJ6	A0A2E3XQJ6	Nyl18	Nyl18	Halobacteriovoraceae bacterium	350	350	328	1		
m0124	443647f8fdd6aeb0fa7cd9fb8076c86d	316	316	A0A3D4HM79	A0A3D4HM79	Nyl39	Nyl39	Synergistaceae bacterium	357	357	314	1		
m0125	462d8720dba9f954496a198bf18ce71c	52	52	WP_378272130.1	WP_378272130.1	serineprotease	serineprotease	Actinomadura keratinilytica	66	66	386	1		
m0126	46578a460f23e13d1ebe0b0ebf887282	24	24	ADV92527.1;E9LVH9	ADV92527.1;E9LVH9	Thc_Cut2	Thc_Cut2	Thermobifida cellulosilytica	29	29	262	1	1	3.40.50.1820
m0127	46e18f09ca1ffe3e4eda0f6cae364c1e	96	96	WP_034398300.1;KFJ10595.1	WP_034398300.1;KFJ10595.1	PhaZCac	PhaZCac	Delftia acidovorans	113	113	734	1	28	3.40.50.1820
m0128	476b1b64d6172e51befe003e4e5d70cb	213	213	BAU20375	BAU20375	PAM	PAM	Actinomadura keratinilytica	254	254	386	1		
m0129	482a4e9fd90b37223b8f0f81a2d54eea	406	406	MBT9528079.1	MBT9528079.1	ESM169	ESM169	Rhizobacter sp.	449	449	299	1		
m0130	4862c74fdcd52e6437a16fe8f493fc97	337	337	R5FI29	R5FI29	Nyl85	Nyl85	Faecalibacterium sp. CAG:1138	378	378	302	1		
m0131	486620f02642fa1a8f78c36a2740b0ec	354	354	MGYP001121581011	MGYP001121581011	DP059	DP059	Compost metagenome	395	395	445	1		
m0132	48ba5f056713b1c70f39bd5277e17500	323	323	A0A661XAJ6	A0A661XAJ6	Nyl57	Nyl57	Candidatus Zhuqueibacterota bacterium	364	364	315	1		
m0133	499c56dadef662e14b044019d288f152	386	386	GHJ08786.1	GHJ08786.1	ESM070	ESM070	Micromonospora sp. AKA109	427	427	427	1		
m0134	4a8a820285b21e37bfae31e65489a8ab	110	110			102	102		133	133	305	1		
m0135	4ae54f06384b9660b40e76e9a902f585	132	132	OP972509;WBR49956.1	OP972509;WBR49956.1	UMG-SP-1	UMG-SP-1	Environmental sample;Metagenome	155	155	438	1	10	3.90.1300.10
m0136	4b02a9379189f4f3f4a6d2b07ad427c9	87	87	WP_010811062.1;Q0JZG9	WP_010811062.1;Q0JZG9	PhaZd1	PhaZd1	Cupriavidus necator	105	105	362	1	31	3.40.50.1820
m0137	4b50fcb2d78d50a7f5693abba7e356b1	13	13	WP_003460012.1	WP_003460012.1	PpEst	PpEst	Ectopseudomonas oleovorans	12	12	201	1	17	TBDX
m0138	4b8623751837c39c9fe582aa5d675187	340	340	ACV09511	ACV09511	DP003	DP003	Jonesia denitrificans	381	381	319	1		
m0139	4b8f6674246c65fd5e727f3c5653b97c	190	190			jmPE14	jmPE14		228	228	271	1		
m0140	4be16a85172c726f7f8d6dbd2053955f	471	471	AII11221.1	AII11221.1	LMC031	LMC031	Rhodococcus opacus R7			348	1	14	2.60.40.420
m0141	4c8584c9364804042a9544a4f193e5dc	347	347	MBX3624429.1	MBX3624429.1	DP038	DP038	Rhizobacter sp.	388	388	288	1		
m0142	4ce5f290ca4d5d58749e55ef4f739ea0	283	283	WP_111700265.1	WP_111700265.1	1868	1868	Microbispora triticiradicis	324	324	436	1		
m0143	4d4f817cbca0966f4f40247e73036a6e	203	203			HGMP01	HGMP01		243	243	275	1		
m0144	4d6c690dd47d3941954de2c9d2abaf2f	22	22	E5BBQ2	E5BBQ2	TfCut_1; Cut-1.kw3	TfCut_1; Cut-1.kw3	Thermobifida fusca	24	24	319	1	1	3.40.50.1820
m0145	4dfca93c424da8986ee3fb484d868de2	18	18	GBD22443.1	GBD22443.1	BhrPETase	BhrPETase	bacterium HR29	17	17	293	1	1	3.40.50.1820
m0146	4e42b62ac9f3158a2a5a2b35e117d950	78	78	BAT32793.1;A0A0P0ZE81	BAT32793.1;A0A0P0ZE81	CfCLE	CfCLE	Saitozyma flava	96	96	239	1	2	3.40.50.1820
m0147	4eb20c9016001fd934311ea5fc36f89f	252	252	WP_143590710.1	WP_143590710.1	385	385	Thermoactinospora rubra	293	293	272	1		
m0148	4f68c367317a6c09df48faffc017ad9e	128	128	WP_093412886.1	WP_093412886.1	611	611	Saccharopolyspora flava	151	151	293	1	1	3.40.50.1820
m0149	4fc6ca50b7b51c5b7f98512adca3c679	380	380	WP_203790592.1	WP_203790592.1	ESM060	ESM060	Paractinoplanes rishiriensis	421	421	410	1		
m0150	512b62a8993ab9e45d25bcdfa650b798	449	449	7C2A_A	7C2A_A	E4	E4	Altericroceibacterium indicum	494	494	191	1		
m0151	51637a74ae9efe92560e94b5e2bc6178	107	107	UFE15760.1	UFE15760.1	Lcp1	Lcp1	Microtetraspora sp. AC03309	129	129	410	1		
m0152	52ac6083b4c7d6faf903f936007224d2	216	216	WP_209642273.1	WP_209642273.1	KbPETase	KbPETase	Kibdelosporangium banguiense	257	257	270	1		
m0153	5353a76b2d62b148881304e276a3a0e0	59	59	P29600;P29600.1	P29600;P29600.1	Subtilisin Savinase	Subtilisin Savinase	Lederbergia lenta	76	76	269	1	21	3.40.50.1820
m0154	546363f6f7e62663a681aa0546a7c08c	441	441	WDT94189	WDT94189	TA29	TA29	Thermoleophilum album	486	486	296	1		
m0155	551946ddbe6046c13ca1a257eab4aeff	365	365	WP_267938240.1	WP_267938240.1	ESM006	ESM006	Saccharothrix sp. S26	406	406	405	1		
m0156	553239996e512830a1db6b67fb4aa1c7	465	465	7NEI	7NEI	PHL-7;PES-H1;PES-H2	PHL-7;PES-H1;PES-H2	Thermoanaerobacter sp.;Compost metagenome	37.0	37.0	259	1	1	3.40.50.1820
m0157	55c56bf6f40cb5a2497253d78cfe7803	467	467	WP_212846608.1;GGR16917.1	WP_212846608.1;GGR16917.1	TEP181;ESM136	TEP181;ESM136	Actinoplanes ianthinogenes	477.0;440.0	477.0;440.0	421	1		
m0158	56793a483b6506d4f822ce4dab41cbcb	361	361	NUT34383.1	NUT34383.1	DP084	DP084	Hamadaea sp.	402	402	285	1		
m0159	572db808330016b2e517a2e6db0d8477	156	156	UNZ81746.1	UNZ81746.1	IS10	IS10	Chloroflexi bacterium enrichment culture	186	186	314	1	23	3.40.50.1820
m0160	574237800be392daa0a6c80748375073	350	350	WP_229068674.1	WP_229068674.1	DP043	DP043	Actinoplanes sp. DH11	391	391	312	1		
m0161	5803ed5f151b9467fa2e8894554b330e	352	352	MGYP001489421514	MGYP001489421514	DP056	DP056	Compost metagenome	393	393	303	1		
m0162	586a335986f45e096f6ca073737678a5	181	181	WP_312893488.1;A0A7W8QII1	WP_312893488.1;A0A7W8QII1	Nc-NylC	Nc-NylC	Nocardiopsis composta	219	219	344	1	9	3.60.70.12
m0163	5a6ca9ba6be2179ba6074343233d0a9b	261	261	WP_081971423.1	WP_081971423.1	1463	1463	Dactylosporangium aurantiacum	302	302	265	1		
