node_id,sequence_md5,identifier,identifier_all,accession,accession_all,pazy_id,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0256,88c057e08abd5cd2d38525a4b182df17,116,116,,,139,C001,1,240,305,,,
m0116,42091824cdf4b41fc5df083621ce6549,117,117,,,140,C001,1,186,307,,,
m0045,1545cf731ea10ee62b256807199e37d8,118,118,RLU00646.1,RLU00646.1,141,C001,1,312,403,Ketobacter sp.,1,3.40.50.1820
m0186,677a11fa0e32fbd01338ba6d30fc718b,119,119,KPI12031.1;WP_082414832.1,KPI12031.1;WP_082414832.1,142,C001,1,302,405,Actinobacteria bacterium OK074,1,3.40.50.1820
m0049,174ba911d73b1edc801c52651ec17efd,120,120,ODU60407.1,ODU60407.1,143,C001,1,305,406,Comamonadaceae bacterium,1,3.40.50.1820
m0204,70461e4ccc8f072afc5757915d4ab26f,121,121,WP_162908185.1,WP_162908185.1,144,C001,1,436,407,Allorhizocola rhizosphaerae,,
m0042,14a5c3e1584a0ee2518f18810a7fed98,122,122,RLT92980.1,RLT92980.1,145,C001,1,269,409,Ketobacter sp.,1,3.40.50.1820
m0165,5b3f01f3bbd1d34e9bcd72527c959781,123,123,WP_158643351.1,WP_158643351.1,146,C001,1,311,412,Ketobacter alkanivorans,,
m0179,6435b353e1e02d2f720bc95ef5cb13af,124,124,EGD44994.1,EGD44994.1,147,C001,1,294,503,Nocardioidaceae bacterium,1,3.40.50.1820
m0038,1197ee1b96f74dd16a31dad1ba334c46,125,125,WP_062195544.1,WP_062195544.1,148,C001,1,292,CtPl,Caldimonas taiwanensis,1,3.40.50.1820
m0453,ef08656ab980fbd8c17fe79b6060a681,126,126,SJZ42839.1;WP_078759821.1,SJZ42839.1;WP_078759821.1,149,C001,1,311,606,Marinactinospora thermotolerans,1,3.40.50.1820
m0356,c14a617c964156f1d3d4b9dedd1535b4,127,127,KPI31299.1,KPI31299.1,150,C001,1,306,607-Nsp,Actinobacteria bacterium OV320,,
m0148,4f68c367317a6c09df48faffc017ad9e,128,128,WP_093412886.1,WP_093412886.1,151,C001,1,293,611,Saccharopolyspora flava,1,3.40.50.1820
m0419,e125fba23d29946317aa25973b8c03cb,129,129,WP_104613137.1,WP_104613137.1,152,C001,1,301,701,Thermobifida fusca,1,3.40.50.1820
m0034,10d87dbad4c4c7bfd7d5c331cef5b9ce,130,130,ADM47605.1,ADM47605.1,153,C001,1,262,702,Thermobifida fusca,1,3.40.50.1820
m0057,1e1f498fae0e6d56fb87a52a1fef96ff,131,131,WP_083947829;WP_083947829.1,WP_083947829;WP_083947829.1,154,C001,1,284,711,Thermobifida cellulosilytica,1,3.40.50.1820
m0269,925eaa1d8c145880ff409530b973e7fe,142,142,SAY37582.1,SAY37582.1,171,C001,1,260,PHL-2,compost metagenome,1,3.40.50.1820
m0002,00855c73c087597a6c69fa2b114d731e,143,143,SAY37579.1,SAY37579.1,172,C001,1,260,PHL-1,compost metagenome,1,3.40.50.1820
m0432,e6c1800b97f5f0184a1dd73540deb95a,144,144,SAY37583.1,SAY37583.1,173,C001,1,259,PHL-3,Compost metagenome,1,3.40.50.1820
m0313,aaa9786d473a7eb02349e757ab50352c,145,145,SAY37584.1,SAY37584.1,174,C001,1,257,PHL-4,Compost metagenome,1,3.40.50.1820
m0023,0c75d9f81ae52914a609ec24d4c68ea2,146,146,SAY37587;SAY37587.1,SAY37587;SAY37587.1,175,C001,1,257,PHL-5,Compost metagenome,1,3.40.50.1820
m0466,f5ac2c525370f659e6c1b4fc71e16ce1,147,147,SAY37589;SAY37589.1,SAY37589;SAY37589.1,176,C001,1,257,PHL-6,Compost metagenome,1,3.40.50.1820
m0091,31e8cee08e99636ef7d35f9f5457bb57,149,149,WP_085749238;WP_085749238.1,WP_085749238;WP_085749238.1,178,C001,1,279,RgCut-2,Piscinibacter gummiphilus,1,3.40.50.1820
m0118,42aa40364f5684f1f255819ab69b7b92,150,150,WP_044499735.1,WP_044499735.1,179,C001,1,302,PsCut,Pseudomonas saudimassiliensis,1,3.40.50.1820
m0081,2cd5f487f5114193eaf1c99806f6ef63,151,151,WP_036989706.1,WP_036989706.1,180,C001,1,302,PbauzCut,Halopseudomonas bauzanensis,1,3.40.50.1820
m0362,c3b10fec34299e75939e57d3458275fe,154,154,ADV66860.1,ADV66860.1,184,C001,1,315,PET1,Deinococcus maricopensis,1,3.40.50.1820
m0428,e5571e8fd143e90bd5db0ca52ce67226,155,155,DAC80635.1,DAC80635.1,185,C001,1,284,SM14est,Streptomyces sp. SM14,1,3.40.50.1820
m0400,d78ca54fff3eddbc5a27aec8c337f94f,161,161,WP_058088494.1,WP_058088494.1,194,C001,1,279,ApLip-Ec,,1,3.40.50.1820
m0173,604018ae8af9058028c669f8ed8de020,162,162,OGB27210;OGB27210.1,OGB27210;OGB27210.1,195,C001,1,426,BurPL,Burkholderiales bacterium,1,3.40.50.1820
m0387,d1aa8fa7800d986fee5acab07614bd0d,163,163,WAU86704;WAU86704.1,WAU86704;WAU86704.1,196,C001,1,263,PET40,Amycolatopsis bacterium,1,3.40.50.1820
m0413,de58930843f53b731bc34d03f729488d,165,165,WP_090538641;WP_090538641.1,WP_090538641;WP_090538641.1,200,C001,1,304,Hfor_PE-H,Halopseudomonas formosensis,1,3.40.50.1820
m0197,6cfa5991a1358a2618da129bb29a2d1c,166,166,SUD16364;SUD16364.1,SUD16364;SUD16364.1,201,C001,1,298,PaCut,Aquipseudomonas alcaligenes,1,3.40.50.1820
m0041,149e83bf7e1c0307af6bc10d0662ef3b,167,167,,,202,C001,1,282,GlacPETase,,,
m0040,1361228bf3f1c19ea8214555076414a7,177,177,SHM40309;SHM40309.1,SHM40309;SHM40309.1,215,C001,1,299,CaPETase,Cryptosporangium aurantiacum,1,3.40.50.1820
m0384,d03a36b0671215d716f1df2ade24268f,185,185,WP_118011433.1,WP_118011433.1,223,C001,1,259,HG-2,Holdemanella biformis,1,3.40.50.1820
m0349,c0173ba184ddb729e7ef9122ecff0145,186,186,RGD93181.1,RGD93181.1,224,C001,1,270,HG-3,Clostridiales bacterium AM23-16LB,1,3.40.50.1820
m0297,a0904c35f59716a292ebfca5adfcbc0e,187,187,WP_013858543.1,WP_013858543.1,225,C001,1,254,HG-4,Heyndrickxia coagulans,1,3.40.50.1820
m0308,aa1b463709fa62d66034d00d46f2bb52,188,188,WP_008690040.1,WP_008690040.1,226,C001,1,313,HG-5,Longicatena bacterium,,
m0365,c51ea9e72ca4f046ba7b615cdd6e1bc0,189,189,jmPE13,jmPE13,227,C001,1,273,jmPE13,,1,3.40.50.1820
m0139,4b8f6674246c65fd5e727f3c5653b97c,190,190,,,228,C001,1,271,jmPE14,,,
m0437,e8b2c742a4aaae248ea974667fac5dd6,197,197,,,236,C001,1,287,dsPETase01,,,
m0216,75bb9ab0210af3940fb95e2939ac10fe,198,198,,,237,C001,1,301,dsPETase05,,,
m0341,bc7a038f9383a1c9351ad53e8f89a243,199,199,MEC8523093;MEC8523093.1,MEC8523093;MEC8523093.1,238,C001,1,292,dsPETase06,Pseudomonadota bacterium,1,3.40.50.1820
m0215,75b2b72259a73dea11dea49d5062379d,201,201,WP_220815207,WP_220815207,241,C001,1,298,PpPETase,Pseudomonas paralcaligenes,,
m0003,009e600d3a7df316a22764026a76e2bc,202,202,WP_142197250.1,WP_142197250.1,242,C001,1,300,ScPETase,Streptomyces calvus,,
m0143,4d4f817cbca0966f4f40247e73036a6e,203,203,,,243,C001,1,275,HGMP01,,,
m0164,5a880c3b46d61fb2b4fa713a243c511a,204,204,QPA27412.1;WP_010659881.1,QPA27412.1;WP_010659881.1,244,C001,1,352,PD3,Brucella anthropi,35,3.40.50.1820
m0268,91fdd1b5e2e32c2e3842e6b87058f3ad,215,215,WP_218920366.1,WP_218920366.1,256,C001,1,298,APET-5,Lentzea guizhouensis,,
m0152,52ac6083b4c7d6faf903f936007224d2,216,216,WP_209642273.1,WP_209642273.1,257,C001,1,270,KbPETase,Kibdelosporangium banguiense,,
m0429,e56db99e4a0ff79df4c68a9972670396,217,217,WP_019629726.1,WP_019629726.1,258,C001,1,285,APET-15,Actinomadura atramentaria,,
m0099,362632b30b43e3854087c699d608f0b1,218,218,MBX3625601.1,MBX3625601.1,259,C001,1,290,APET-17,Rhizobacter sp.,,
m0080,2c71453465b0acb39d172983ac4a7387,219,219,WP_116023875.1,WP_116023875.1,260,C001,1,279,APET-19,Thermomonospora umbrina,,
m0190,68f440a1f49336f2bc51060f5c2e99f1,220,220,MBO9532528.1,MBO9532528.1,261,C001,1,293,APET-20,Solirubrobacteraceae bacterium,,
m0357,c1a1ed20efb294068bc8e1483c391d0c,221,221,MSQ87502.1,MSQ87502.1,262,C001,1,326,APET-23,Alphaproteobacteria bacterium,,
m0324,b2ce4b3f3cb218404c049bd6ca3c3fef,222,222,WP_018657411.1,WP_018657411.1,263,C001,1,287,APET-24,Actinomadura flavalba,,
m0053,18f1178aa194bcd44f9de9bf8b6ef166,223,223,MPZ00478.1,MPZ00478.1,264,C001,1,285,APET-25,Actinophytocola sp.,,
m0464,f382d762cf0b0bafd3934f5417accc62,224,224,WP_203847453.1,WP_203847453.1,265,C001,1,268,APET-26,Dactylosporangium siamense,,
m0420,e1a1ea6ee428462b281b661258d4bb19,225,225,WP_104739856.1,WP_104739856.1,266,C001,1,288,APET-27,Halopseudomonas oceani,,
m0077,2af6d737171357f18fd9f3cddedf6015,226,226,MBX2857432.1,MBX2857432.1,267,C001,1,275,APET-28,Cellvibrionaceae bacterium,,
m0336,b80b1227f73f4dd4ff1fd9546d415275,227,227,MBE65357.1,MBE65357.1,268,C001,1,305,APET-29,Gammaproteobacteria bacterium,,
m0423,e44d2abc0169b043201fff28f40feeb9,228,228,KZY99137.1,KZY99137.1,269,C001,1,292,APET-32,Oleibacter sp. HI0075,,
m0479,fd6fe4eecb575bbb51d49f121a523532,229,229,SDZ16714.1,SDZ16714.1,270,C001,1,294,Mipa-P,Micromonospora pattaloongensis,,
m0296,a07188a7bbb3e92357c73d9654c37734,230,230,WP_091553551.1,WP_091553551.1,271,C001,1,463,1628,Micromonospora pattaloongensis,,
m0396,d5d535a4628f661aac624e4bf67a6739,231,231,WP_124822775.1,WP_124822775.1,272,C001,1,465,1611,Micromonospora ureilytica,,
m0254,871ef0545eb8542ab53b599df2bff175,232,232,WP_101366623.1,WP_101366623.1,273,C001,1,468,1625,Plantactinospora sp. CNZ320,,
m0367,c5df14884c3311c4b6216b9fc6bf19bd,233,233,WP_110567505.1,WP_110567505.1,274,C001,1,465,1603,Micromonospora arborensis,,
m0333,b6f1885d482dc52936e39d224a8c33d1,234,234,WP_084434874.1,WP_084434874.1,275,C001,1,289,1663,Kibdelosporangium aridum,,
m0452,eeae01ba76427bc51c141cb43ccba7fd,235,235,WP_116180173.1,WP_116180173.1,276,C001,1,288,Kubu-P,Kutzneria buriramensis,,
m0028,0d51bfebc665db66f2d9c28959b141d3,236,236,WP_130464304.1,WP_130464304.1,277,C001,1,472,1538,Plantactinospora sp. B6F1,,
m0385,d09446e7bab13e062244cd0babc73a84,237,237,WP_073887759.1,WP_073887759.1,278,C001,1,415,1465,Saccharothrix sp. CB00851,,
m0443,ebab773a50031e4f18dfa532f93c9379,238,238,WP_088988822.1,WP_088988822.1,279,C001,1,465,1621,Micromonospora chokoriensis,,
m0047,161e4dc2c4ef1e36fe625c65439a815b,239,239,CCH19814.1,CCH19814.1,280,C001,1,465,1617,Micromonospora lupini,,
m0388,d2d63d5f8721e814ea2a657ecc8fe703,240,240,WP_082377728.1,WP_082377728.1,281,C001,1,469,1534,Micromonospora sp. NRRL B-16802,,
m0193,6bfc5e52adfd5c1d647dbdd440a07380,241,241,WP_132386942.1,WP_132386942.1,282,C001,1,447,1489,Micromonospora sp. KC723,,
m0219,77a7b5a521e48effd1710f14533ed6a5,242,242,WP_132337032.1,WP_132337032.1,283,C001,1,443,1521,Micromonospora sp. KC213,,
m0361,c38a15e286e531b02f655ce186f4c301,243,243,WP_099848711.1,WP_099848711.1,284,C001,1,444,1525,Verrucosispora sp. CNZ293,,
m0185,66ecc46b29b845a7a916ce1874720817,244,244,WP_132413760.1,WP_132413760.1,285,C001,1,444,1468,Kribbella albertanoniae,,
m0066,2510ccd8faea4efb0652cab75394adfa,245,245,WP_144126986.1,WP_144126986.1,286,C001,1,275,1507,Catellatospora sichuanensis,,
m0166,5b6bcacc9716a844b6969cbeb5e49ef1,246,246,WP_082403176.1,WP_082403176.1,287,C001,1,455,1491,Saccharothrix sp. NRRL B-16348,,
m0008,04eb6f62384740641a457083240d65be,247,247,WP_137976057.1,WP_137976057.1,288,C001,1,378,1821,Streptomyces violaceusniger,,
m0392,d4376d2f4006abaa992a58c321df357d,248,248,WP_125191182.1,WP_125191182.1,289,C001,1,315,1477,Streptomyces sp. RP5T,,
m0199,6e59b2b22d0932610243c38a9455adb5,249,249,WP_141984372.1,WP_141984372.1,290,C001,1,413,1482,Saccharothrix saharensis,,
m0222,783d312623e9a23ce795d29a255d97a8,250,250,WP_155388305.1,WP_155388305.1,291,C001,1,276,1522,Catellatospora paridis,,
m0376,cb8aae798de32e627b62936dbc407aaf,251,251,WP_013736455.1,WP_013736455.1,292,C001,1,448,1546,Micromonospora sp. (multispecies),,
m0147,4eb20c9016001fd934311ea5fc36f89f,252,252,WP_143590710.1,WP_143590710.1,293,C001,1,272,385,Thermoactinospora rubra,,
m0404,d8c880a8e19c3f44b32d639747b57222,253,253,WP_139584963.1,WP_139584963.1,294,C001,1,465,1642,Micromonospora orduensis,,
m0274,95981aed79b153af6c6d1c44c404d164,254,254,WP_083950838.1,WP_083950838.1,295,C001,1,297,917,Actinomadura bacterium,,
m0328,b413b66095d2f7ce85f02f9748d49cb5,255,255,OKK16161.1,OKK16161.1,296,C001,1,425,1537,Streptomyces sp. CB00455,,
m0253,86e8274d483618172b997d8cd41d9088,256,256,WP_131056699.1,WP_131056699.1,297,C001,1,426,1519,Verrucosispora sp. SN26_14.1,,
m0202,6f59754c646b6771593cdb66b1cc732b,257,257,WP_045318561.1,WP_045318561.1,298,C001,1,424,1678,Lentzea aerocolonigenes,,
m0435,e7456e8fab716e570d81b4e7665698f5,258,258,WP_075737041.1,WP_075737041.1,299,C001,1,304,1496,Streptomyces acidiscabies,,
m0342,bd809f78218b2481c1bf1b3a46c74053,259,259,WP_065917710.1,WP_065917710.1,300,C001,1,276,1169,Lentzea guizhouensis,,
m0113,3f5b7ed180255f20639a75548bb8ac56,260,260,WP_130401777.1,WP_130401777.1,301,C001,1,462,1637,Micromonospora violae,,
m0163,5a6ca9ba6be2179ba6074343233d0a9b,261,261,WP_081971423.1,WP_081971423.1,302,C001,1,265,1463,Dactylosporangium aurantiacum,,
m0110,3dcbffcfab5a9bf0b1856144dd30e5ef,262,262,WP_093411427.1,WP_093411427.1,303,C001,1,467,1545,Micromonospora sediminimaris,,
m0273,9584eb11232d43e7df101608e2829102,263,263,WP_086849962.1,WP_086849962.1,304,C001,1,309,554,Amycolatopsis kentuckyensis,,
m0285,9b203af8e18663d4e3880d49e74753ac,264,264,WP_109639600.1,WP_109639600.1,305,C001,1,422,1573,Lentzea atacamensis,,
m0031,0f43f7fe3f0c0042197df2508ee850e3,265,265,WP_086784246.1,WP_086784246.1,306,C001,1,418,1654,Crossiella equi,,
m0277,95d3a22f0e3002d3ebc3f9cc29dfe4d8,266,266,WP_078844206.1,WP_078844206.1,307,C001,1,348,1555,Streptomyces achromogenes,,
m0009,0600d8fd8a62760bde8393fb0fde0e0d,267,267,WP_091283529.1,WP_091283529.1,308,C001,1,463,1591,Micromonospora haikouensis,,
m0460,f246639aef84a3e6be3c89eac9b2dfbf,268,268,WP_112669767.1,WP_112669767.1,309,C001,1,461,1620,Micromonospora saelicesensis,,
m0107,3cdb04dfc6e8e2e6816fbe523d088f25,269,269,KNX38636.1,KNX38636.1,310,C001,1,303,1240,Luteipulveratus halotolerans,,
m0408,dbb69c16a79774a1a51b4b80a8f1bd63,270,270,WP_083302694.1,WP_083302694.1,311,C001,1,463,1594,Micromonospora carbonacea,,
m0105,3b8571a2d62a99f31d344cab5662e8e5,271,271,WP_093954453.1,WP_093954453.1,312,C001,1,302,1457,Amycolatopsis vastitatis,,
m0447,ece8f45d57141ab0f29280d76fc2a9b7,272,272,WP_116813002.1,WP_116813002.1,313,C001,1,288,247,Steroidobacter cummioxidans,,
m0188,688e3468b20f955579952d514c187611,273,273,WP_089021493.1,WP_089021493.1,314,C001,1,460,1641,Micromonospora coriariae,,
m0293,9ffafefd549320c21cd92af62f19d6eb,274,274,TQL66274.1,TQL66274.1,315,C001,1,286,1309,Nocardioides albertanoniae,,
m0470,f85c8564f510148807a599ea6a5cf433,275,275,WP_123685830.1,WP_123685830.1,316,C001,1,289,414,Amycolatopsis bacterium,,
m0343,bd90b02ae5726ceb4ec9f4431ba2ac16,276,276,WP_084400763.1,WP_084400763.1,317,C001,1,436,1506,Lentzea albidocapillata,,
m0409,dcdd75a330b1680da8c69fade4d72aab,277,277,WP_132183354.1,WP_132183354.1,318,C001,1,454,1493,Micromonospora sp. KC606,,
m0284,9a39f26de8397ad8e82c7ddd5ffb0a75,278,278,RZL02950.1,RZL02950.1,319,C001,1,295,1395,Herbihabitans rhizosphaerae,,
m0382,cefc6b105a243397b6a039e186c6c27b,279,279,WP_141569747.1,WP_141569747.1,320,C001,1,331,1478,Streptomyces ipomoeae,,
m0475,fbbad91070ae99aa6eed1595044335d5,280,280,WP_124770494.1,WP_124770494.1,321,C001,1,329,1571,Micromonospora inaquosa,,
m0198,6def7fc8a6f81bb797445e688dbb615f,281,281,OPG10926.1,OPG10926.1,322,C001,1,308,169,Microbispora sp. GKU 823,,
m0248,84adddad34e99d2a499ea48da9b8e877,282,282,WP_051808300.1,WP_051808300.1,323,C001,1,277,1638,Actinoplanes subtropicus,,
m0142,4ce5f290ca4d5d58749e55ef4f739ea0,283,283,WP_111700265.1,WP_111700265.1,324,C001,1,436,1868,Microbispora triticiradicis,,
m0241,82d420ad8219d9469aeea11873ba7544,284,284,WP_084578793.1,WP_084578793.1,325,C001,1,337,1718,Kutzneria sp. 744,,
m0121,43855fcf31b8ee18bc3c65f3b00f10cb,285,285,WP_104115406.1,WP_104115406.1,326,C001,1,296,401,Micromonospora chalcea,,
m0060,20f7abda67d907b1e03456185b9a7df8,286,286,SPF04022.1,SPF04022.1,327,C001,1,287,1392,Streptomyces sp. MA5143a,,
m0386,d0cd1d061b574c3e97321300be9b3c6e,287,287,WP_120326365.1,WP_120326365.1,328,C001,1,300,486,Micromonospora globbae,,
m0087,31564b91ecf89c422e16abc249221256,288,288,WP_110080872.1,WP_110080872.1,329,C001,1,316,1424,Actinokineospora spheciospongiae,,
m0474,fb6cb498ca713c8ff665a94eeaeab29f,289,289,WP_086668955.1,WP_086668955.1,330,C001,1,375,1475,Lentzea kentuckyensis,,
m0288,9bc4714d8e79f6fcfcad8aca634001ab,290,290,WP_092528534.1,WP_092528534.1,331,C001,1,299,282,Amycolatopsis arida,,
m0191,690953c8ee380d8f7a711710318247ac,291,291,WP_145923095.1,WP_145923095.1,332,C001,1,487,1635,Micromonospora sp. HM134,,
m0084,2da35d44369fc57fbab077687acd8caf,292,292,WP_091450391.1,WP_091450391.1,333,C001,1,281,1228,Actinokineospora iranica,,
m0436,e7d1a404d6aeb48e1849f68fefcf018f,293,293,WP_067035690.1,WP_067035690.1,334,C001,1,423,1876,Streptomyces dysideae,,
m0402,d887c31f2cd02dc21c2c52c61d02bd31,294,294,WP_103564314.1,WP_103564314.1,335,C001,1,298,1340,Actinomadura rubteroloni,,
m0226,7a0b4f5fc6faf46b8f8e8de955097dbe,295,295,WP_129849678.1,WP_129849678.1,336,C001,1,316,191,Streptomyces sp. SCA2-2,,
m0455,f00445f8b289d0164aff442192f24187,296,296,WP_103939557.1,WP_103939557.1,337,C001,1,292,PC3,Thermomonospora echinospora,,
m0483,fe354046ad936ac3305fe124cc0c4bcc,297,297,WP_125313231.1,WP_125313231.1,338,C001,1,309,PC4,Amycolatopsis eburnea,,
m0317,adfd257d774083524a52123058ec51d1,298,298,WP_075975245.1,WP_075975245.1,339,C001,1,307,PC5,Actinokineospora bangkokensis,,
m0283,9a2d32901525985492563aa339b79812,299,299,WP_068752972.1,WP_068752972.1,340,C001,1,300,PC6,Thermobifida cellulosilytica,,
m0290,9c6726c69068e8abf43de5f7f465e825,300,300,MBA55398.1,MBA55398.1,341,C001,1,303,PC8,Pseudomonadales bacterium,,
m0138,4b8623751837c39c9fe582aa5d675187,340,340,ACV09511,ACV09511,381,C001,1,319,DP003,Jonesia denitrificans,,
m0100,36a989ab704be3f0d22479cc94524084,341,341,TDP67440,TDP67440,382,C001,1,294,DP006,Actinokineospora alba,,
m0225,79c49015e4218f7c3a46046c08b8030d,342,342,WP_035284691,WP_035284691,383,C001,1,297,DP007,Actinokineospora spheciospongiae,,
m0271,93d3e56e0fbe62971eaa3408dd5c2753,343,343,WP_130342639,WP_130342639,384,C001,1,297,DP008,Herbihabitans rhizosphaerae,,
m0232,7e5680dfd06abf1e4f5a432453eb246d,344,344,WP_151597653.1,WP_151597653.1,385,C001,1,310,DP016,Actinomadura physcomitrii,,
m0103,3a8b3b50918fa1553710b5c8d094771c,345,345,WP_187224800.1,WP_187224800.1,386,C001,1,283,DP017,Actinokineospora xionganensis,,
m0213,74f45b9b297fc969ba3fd070bdedc403,346,346,MBT8227529.1,MBT8227529.1,387,C001,1,451,DP021,Dactylosporangium sp.,,
