node_id,accession,pazy_id,sequence_length,outcome,component_id,merged_from,activity,n_edges_to_v1,n_edges_to_delta
m0028,GIG90696.1,463,414,merge,M1,1;20;35,Direct,69,203
m0223,GIU85367.1,417,244,merge,M1,1;20;35,Direct,69,198
m0350,GIU85371.1,478,242,merge,M1,1;20;35,Direct,68,196
m0056,KAH7127633,231,238,join,2,,Direct,9,2
m0117,KNX38636.1,310,303,merge,M1,1;20;35,Direct,69,197
m0141,KPI12031.1,142,275,merge,M1,1;20;35,Direct,68,197
m0271,KXS08985,343,366,join,9,,Direct,6,33
m0084,KZY99137.1,269,263,merge,M1,1;20;35,Direct,2,4
m0307,MBA55398.1,341,303,merge,M1,1;20;35,Direct,68,197
m0312,MBE65357.1,268,276,merge,M1,1;20;35,Direct,64,154
m0440,MBF9135495.1,422,293,merge,M1,1;20;35,Direct,69,201
m0083,MBJ7347705.1,399,259,merge,M1,1;20;35,Direct,69,196
m0242,MBN1171866.1,461,291,merge,M1,1;20;35,Direct,67,198
m0386,MBN2622270.1,394,287,merge,M1,1;20;35,Direct,67,198
m0282,MBO4274871.1,410,432,merge,M1,1;20;35,Direct,69,200
m0139,MBO9532528.1,261,267,merge,M1,1;20;35,Direct,67,196
m0087,MBO9569276.1,462,255,merge,M1,1;20;35,Direct,70,198
m0176,MBT8227529.1,387,395,merge,M1,1;20;35,Direct,68,201
m0292,MBT9528079.1,449,266,merge,M1,1;20;35,Direct,71,202
m0140,MBW4703769.1,436,420,merge,M1,1;20;35,Direct,69,202
m0065,MBX2857432.1,267,244,merge,M1,1;20;35,Direct,4,57
m0008,MBX3621832.1,416,256,merge,M1,1;20;35,Direct,70,199
m0306,MBX3624429.1,388,266,merge,M1,1;20;35,Direct,69,199
m0075,MBX3625601.1,259,263,merge,M1,1;20;35,Direct,70,199
m0111,MCF0091346.1,439,416,merge,M1,1;20;35,Direct,68,201
m0345,MGYP000221121644,400,425,merge,M1,1;20;35,Direct,68,201
m0228,MGYP000271253724,397,420,merge,M1,1;20;35,Direct,67,200
m0004,MGYP000321434903,456,259,merge,M1,1;20;35,Direct,71,197
m0092,MGYP000532440779,13,307,merge,M1,1;20;35,Direct,69,199
m0211,MGYP001121581011,395,392,merge,M1,1;20;35,Direct,69,203
m0266,MGYP001477358452,454,261,merge,M1,1;20;35,Direct,70,197
m0250,MGYP001489421514,393,263,merge,M1,1;20;35,Direct,69,198
m0109,MPZ00478.1,264,256,merge,M1,1;20;35,Direct,10,45
m0371,MSQ87502.1,262,326,merge,M1,1;20;35,Direct,0,2
m0085,MSS57807,373,319,join,9,,Direct,5,40
m0272,MTK05241.1,450,414,merge,M1,1;20;35,Direct,68,200
m0359,NP_390179.1,497,286,novel,N2,,Direct,0,0
m0390,NP_999368.1,498,438,novel,N3,,Indirect,0,0
m0479,NUT34383.1,402,257,merge,M1,1;20;35,Direct,69,198
m0347,OKK16161.1,296,425,merge,M1,1;20;35,Direct,69,198
m0212,OPG10926.1,322,308,merge,M1,1;20;35,Direct,70,197
m0067,OWT56952,349,335,join,9,,Direct,6,40
m0491,P00761,251,231,join,11,,Indirect,1,0
m0029,P08684,252,503,novel,N4,,Indirect,0,0
m0274,PSR30050,351,325,join,9,,Direct,6,40
m0425,PWR09075.1,445,275,merge,M1,1;20;35,Direct,70,199
m0304,PWX09261.1,353,325,join,9,,Direct,2,37
m0137,R5FI29,378,302,join,9,,Direct,6,41
m0278,RLU00646.1,141,284,merge,M1,1;20;35,Direct,68,198
m0392,RYL92504.1,360,325,join,9,,Direct,6,40
m0328,SJZ42839.1,149,263,merge,M1,1;20;35,Direct,66,198
m0069,SPF04022.1,327,287,merge,M1,1;20;35,Direct,68,197
m0026,TAL40028,362,305,join,9,,Direct,6,40
m0217,TDP67440,382,263,merge,M1,1;20;35,Direct,68,197
m0199,TWG17167.1,423,412,merge,M1,1;20;35,Direct,68,201
m0112,U7UHN3,379,313,join,9,,Direct,6,40
m0054,UAC02078.1,430,251,merge,M1,1;20;35,Direct,70,199
m0174,WAT79796,253,213,join,26,,Direct,3,1
m0245,WBC00352.1,408,401,merge,M1,1;20;35,Direct,67,199
m0187,WDT94064,484,352,join,23,,Direct,6,1
m0158,WDT94189,486,296,join,32,,Direct,1,0
m0243,WDT94443,485,321,join,22,,Direct,1,0
m0023,WKW63607,495,434,merge,M1,1;20;35,Direct,5,4
m0437,WKW63608,496,408,merge,M1,1;20;35,Direct,19,22
m0231,WP_010949597.1,377,347,join,9,,Direct,6,39
m0395,WP_013736455.1,292,448,merge,M1,1;20;35,Direct,67,200
m0485,WP_014810472.1,375,334,join,9,,Direct,3,38
m0061,WP_018657411.1,263,248,merge,M1,1;20;35,Direct,7,103
m0349,WP_019629726.1,258,259,merge,M1,1;20;35,Direct,67,196
m0060,WP_019633337.1,465,272,merge,M1,1;20;35,Direct,70,199
m0343,WP_031525917.1,415,402,merge,M1,1;20;35,Direct,68,198
m0074,WP_035284691,383,266,merge,M1,1;20;35,Direct,69,200
m0215,WP_045318561.1,298,424,merge,M1,1;20;35,Direct,69,199
m0259,WP_051808300.1,323,277,merge,M1,1;20;35,Direct,67,197
m0159,WP_062195544.1,148,270,merge,M1,1;20;35,Direct,71,201
m0361,WP_065917710.1,300,276,merge,M1,1;20;35,Direct,68,200
m0454,WP_067035690.1,334,423,merge,M1,1;20;35,Direct,68,194
m0344,WP_068749367,245,326,join,9,,Direct,4,38
m0300,WP_068752972.1,340,300,merge,M1,1;20;35,Direct,70,197
m0433,WP_073391230.1,344,285,join,9,,Direct,6,39
m0405,WP_073887759.1,278,415,merge,M1,1;20;35,Direct,69,197
m0453,WP_075737041.1,299,304,merge,M1,1;20;35,Direct,68,197
m0499,WP_075885500.1,347,324,join,9,,Direct,6,39
m0339,WP_075975245.1,339,307,merge,M1,1;20;35,Direct,70,198
m0290,WP_078844206.1,307,348,merge,M1,1;20;35,Direct,67,197
m0169,WP_081971423.1,302,265,merge,M1,1;20;35,Direct,68,200
m0409,WP_082377728.1,281,469,merge,M1,1;20;35,Direct,68,202
m0172,WP_082403176.1,287,455,merge,M1,1;20;35,Direct,68,197
m0238,WP_082766707.1,345,343,join,9,,Direct,6,40
m0427,WP_083302694.1,311,463,merge,M1,1;20;35,Direct,69,203
m0193,WP_083947829,154,261,merge,M1,1;20;35,Direct,69,199
m0287,WP_083950838.1,295,297,merge,M1,1;20;35,Direct,68,198
m0283,WP_084261341.1,428,419,merge,M1,1;20;35,Direct,68,203
m0362,WP_084400763.1,317,436,merge,M1,1;20;35,Direct,69,198
m0352,WP_084434874.1,275,289,merge,M1,1;20;35,Direct,67,197
m0253,WP_084578793.1,325,337,merge,M1,1;20;35,Direct,66,198
m0388,WP_085750434.1,389,267,merge,M1,1;20;35,Direct,70,199
m0177,WP_086599340.1,464,402,merge,M1,1;20;35,Direct,69,197
m0487,WP_086668955.1,330,375,merge,M1,1;20;35,Direct,69,198
m0034,WP_086784246.1,306,418,merge,M1,1;20;35,Direct,68,197
m0286,WP_086849962.1,304,309,merge,M1,1;20;35,Direct,71,199
m0458,WP_088988822.1,279,465,merge,M1,1;20;35,Direct,68,201
m0202,WP_089021493.1,314,460,merge,M1,1;20;35,Direct,69,202
m0012,WP_091283529.1,308,463,merge,M1,1;20;35,Direct,69,202
m0207,WP_091317053.1,448,260,merge,M1,1;20;35,Direct,72,198
m0095,WP_091450391.1,333,281,merge,M1,1;20;35,Direct,69,198
m0317,WP_091553551.1,271,463,merge,M1,1;20;35,Direct,69,202
m0305,WP_092528534.1,331,299,merge,M1,1;20;35,Direct,67,197
m0119,WP_093411427.1,303,467,merge,M1,1;20;35,Direct,69,200
m0134,WP_093412886.1,151,261,merge,M1,1;20;35,Direct,71,200
m0265,WP_093473685.1,452,277,merge,M1,1;20;35,Direct,69,198
m0114,WP_093954453.1,312,302,merge,M1,1;20;35,Direct,67,199
m0378,WP_099848711.1,284,444,merge,M1,1;20;35,Direct,68,200
m0264,WP_101366623.1,273,468,merge,M1,1;20;35,Direct,70,201
m0419,WP_103564314.1,335,298,merge,M1,1;20;35,Direct,67,196
m0471,WP_103939557.1,337,292,merge,M1,1;20;35,Direct,68,197
m0126,WP_104115406.1,326,296,merge,M1,1;20;35,Direct,69,198
m0393,WP_104613137.1,152,262,merge,M1,1;20;35,Direct,71,198
m0298,WP_104739856.1,266,253,merge,M1,1;20;35,Direct,5,22
m0131,WP_109361459.1,466,402,merge,M1,1;20;35,Direct,69,197
m0301,WP_109639600.1,305,422,merge,M1,1;20;35,Direct,69,198
m0099,WP_110080872.1,329,316,merge,M1,1;20;35,Direct,68,198
m0384,WP_110567505.1,274,465,merge,M1,1;20;35,Direct,69,201
m0389,WP_111214096.1,420,409,merge,M1,1;20;35,Direct,68,201
m0149,WP_111700265.1,324,436,merge,M1,1;20;35,Direct,70,200
m0475,WP_112669767.1,309,461,merge,M1,1;20;35,Direct,69,200
m0115,WP_116023875.1,260,254,merge,M1,1;20;35,Direct,68,198
m0467,WP_116180173.1,276,288,merge,M1,1;20;35,Direct,68,204
m0463,WP_116813002.1,313,288,merge,M1,1;20;35,Direct,69,198
m0406,WP_120326365.1,328,300,merge,M1,1;20;35,Direct,70,199
m0482,WP_123685830.1,316,289,merge,M1,1;20;35,Direct,69,198
m0489,WP_124770494.1,321,329,merge,M1,1;20;35,Direct,69,200
m0415,WP_124822775.1,272,465,merge,M1,1;20;35,Direct,69,201
m0412,WP_125191182.1,289,315,merge,M1,1;20;35,Direct,67,198
m0497,WP_125313231.1,338,309,merge,M1,1;20;35,Direct,70,197
m0011,WP_129786244.1,403,257,merge,M1,1;20;35,Direct,69,198
m0239,WP_129849678.1,336,316,merge,M1,1;20;35,Direct,72,201
m0241,WP_130342639,384,264,merge,M1,1;20;35,Direct,67,197
m0120,WP_130401777.1,301,462,merge,M1,1;20;35,Direct,69,202
m0031,WP_130464304.1,277,472,merge,M1,1;20;35,Direct,69,204
m0263,WP_131056699.1,297,426,merge,M1,1;20;35,Direct,69,203
m0070,WP_131292212.1,361,287,join,9,,Direct,6,40
m0428,WP_132183354.1,318,454,merge,M1,1;20;35,Direct,68,200
m0233,WP_132337032.1,283,443,merge,M1,1;20;35,Direct,70,199
m0206,WP_132386942.1,282,447,merge,M1,1;20;35,Direct,70,198
m0198,WP_132413760.1,285,444,merge,M1,1;20;35,Direct,69,199
m0010,WP_137976057.1,288,378,merge,M1,1;20;35,Direct,66,198
m0275,WP_139580723.1,405,417,merge,M1,1;20;35,Direct,70,200
m0421,WP_139584963.1,294,465,merge,M1,1;20;35,Direct,67,199
m0401,WP_141569747.1,320,331,merge,M1,1;20;35,Direct,67,198
m0213,WP_141984372.1,290,413,merge,M1,1;20;35,Direct,68,198
m0003,WP_142197250.1,242,300,merge,M1,1;20;35,Direct,70,197
m0460,WP_143447025.1,480,286,merge,M1,1;20;35,Direct,69,197
m0154,WP_143590710.1,293,272,merge,M1,1;20;35,Direct,70,200
m0196,WP_144022925.1,447,256,merge,M1,1;20;35,Direct,68,198
m0077,WP_144126986.1,286,275,merge,M1,1;20;35,Direct,67,200
m0203,WP_145923095.1,332,487,merge,M1,1;20;35,Direct,69,201
m0403,WP_149259982.1,460,279,merge,M1,1;20;35,Direct,67,196
m0136,WP_150070118.1,468,261,merge,M1,1;20;35,Direct,70,199
m0063,WP_151597653.1,385,280,merge,M1,1;20;35,Direct,67,197
m0236,WP_155388305.1,291,276,merge,M1,1;20;35,Direct,66,198
m0171,WP_158852571.1,413,382,merge,M1,1;20;35,Direct,69,198
m0042,WP_161104454.1,392,261,merge,M1,1;20;35,Direct,67,197
m0197,WP_162908185.1,144,393,merge,M1,1;20;35,Direct,69,200
m0313,WP_167521412.1,407,423,merge,M1,1;20;35,Direct,70,201
m0108,WP_170196788.1,380,376,join,9,,Direct,6,39
m0297,WP_170322449.1,363,313,join,9,,Direct,6,31
m0376,WP_173061649.1,419,412,merge,M1,1;20;35,Direct,69,201
m0429,WP_181548579.1,426,408,merge,M1,1;20;35,Direct,69,202
m0237,WP_182904095.1,414,417,merge,M1,1;20;35,Direct,70,202
m0183,WP_184682765.1,398,273,merge,M1,1;20;35,Direct,69,196
m0107,WP_187224800.1,386,257,merge,M1,1;20;35,Direct,68,198
m0426,WP_199199185.1,441,313,merge,M1,1;20;35,Direct,69,198
m0340,WP_203733135.1,401,259,merge,M1,1;20;35,Direct,67,197
m0267,WP_203777396.1,418,417,merge,M1,1;20;35,Direct,67,199
m0013,WP_203790592.1,421,381,merge,M1,1;20;35,Direct,68,200
m0296,WP_203812622.1,444,262,merge,M1,1;20;35,Direct,70,198
m0167,WP_203847453.1,265,242,merge,M1,1;20;35,Direct,2,54
m0218,WP_203906211.1,446,257,merge,M1,1;20;35,Direct,67,199
m0484,WP_204038550.1,425,270,merge,M1,1;20;35,Direct,69,201
m0488,WP_209642273.1,257,254,merge,M1,1;20;35,Direct,68,198
m0498,WP_210157342.1,409,398,merge,M1,1;20;35,Direct,68,197
m0302,WP_211769896.1,467,248,merge,M1,1;20;35,Direct,69,200
m0492,WP_217634878.1,270,294,merge,M1,1;20;35,Direct,69,200
m0435,WP_218517662.1,472,392,merge,M1,1;20;35,Direct,69,201
m0097,WP_218920366.1,256,278,merge,M1,1;20;35,Direct,5,54
m0229,WP_220815207,241,298,merge,M1,1;20;35,Direct,69,199
m0270,WP_221382552.1,396,404,merge,M1,1;20;35,Direct,69,202
m0021,WP_229068674.1,391,269,merge,M1,1;20;35,Direct,69,199
m0227,WP_229836555.1,432,251,merge,M1,1;20;35,Direct,70,199
m0335,WP_232326807.1,411,416,merge,M1,1;20;35,Direct,68,201
m0050,WP_233427406.1,390,269,merge,M1,1;20;35,Direct,69,198
m0461,WP_233604767.1,474,391,merge,M1,1;20;35,Direct,70,204
m0279,WP_233872418.1,404,268,merge,M1,1;20;35,Direct,67,198
m0204,WP_239086781.1,451,251,merge,M1,1;20;35,Direct,68,198
m0374,WP_239095870.1,475,414,merge,M1,1;20;35,Direct,69,202
m0071,WP_239125827.1,443,251,merge,M1,1;20;35,Direct,67,200
m0261,WP_239135698.1,433,251,merge,M1,1;20;35,Direct,69,201
m0068,WP_242613666.1,319,288,merge,M1,1;20;35,Direct,71,200
m0314,WP_246087895.1,315,286,merge,M1,1;20;35,Direct,69,201
m0355,WP_247056560.1,442,260,merge,M1,1;20;35,Direct,71,197
m0256,WP_247684544.1,437,337,merge,M1,1;20;35,Direct,68,201
m0080,WP_250563816.1,479,261,merge,M1,1;20;35,Direct,69,199
m0165,WP_252275389.1,434,273,merge,M1,1;20;35,Direct,69,200
m0058,WP_252811421.1,431,375,merge,M1,1;20;35,Direct,68,197
m0375,WP_253762837.1,476,257,merge,M1,1;20;35,Direct,72,198
m0100,WP_256510026.1,457,266,merge,M1,1;20;35,Direct,69,200
m0221,WP_256510519.1,473,403,merge,M1,1;20;35,Direct,69,200
m0284,WP_260422593.1,470,411,merge,M1,1;20;35,Direct,69,202
m0472,WP_260709492.1,458,421,merge,M1,1;20;35,Direct,67,200
m0400,WP_264933993.1,455,402,merge,M1,1;20;35,Direct,67,197
m0160,WP_265247586.1,429,375,merge,M1,1;20;35,Direct,69,199
m0161,WP_267938240.1,406,405,merge,M1,1;20;35,Direct,69,199
m0205,WP_269740835.1,438,256,merge,M1,1;20;35,Direct,69,199
m0308,WP_271190254.1,435,400,merge,M1,1;20;35,Direct,69,198
m0476,WP_281901711.1,424,374,merge,M1,1;20;35,Direct,68,201
m0225,WP_307855560.1,469,261,merge,M1,1;20;35,Direct,68,199
m0214,XHH12374,246,357,join,9,,Direct,6,34
m0192,XHH12375,247,339,join,9,,Direct,6,33
m0281,XHH12378,248,364,join,9,,Direct,6,39
m0351,XP_005707592.1,376,361,join,9,,Direct,1,35
m0090,YCL34723,483,293,merge,M1,1;20;35,Direct,69,198
m0045,pazy:118,118,58,merge,M1,1;20;35,Direct,65,193
m0255,pazy:132,132,310,join,23,,Direct,9,2
m0142,pazy:133,133,305,join,23,,Direct,11,3
m0493,pazy:134,134,388,merge,M1,1;20;35,Direct,4,7
m0417,pazy:135,135,250,merge,M1,1;20;35,Direct,7,7
m0457,pazy:136,136,272,merge,M1,1;20;35,Direct,7,4
m0333,pazy:137,137,248,merge,M1,1;20;35,Direct,5,7
m0332,pazy:138,138,219,merge,M1,1;20;35,Direct,11,26
m0269,pazy:139,139,240,merge,M1,1;20;35,Direct,2,1
m0122,pazy:140,140,186,merge,M1,1;20;35,Direct,1,1
m0046,pazy:202,202,282,merge,M1,1;20;35,Direct,22,22
m0014,pazy:205,205,36,novel,N5,,Direct,0,0
m0294,pazy:220,220,489,join,10,,Direct,8,3
m0016,pazy:222,222,471,join,10,,Direct,15,5
m0330,pazy:226,226,313,merge,M1,1;20;35,Direct,1,23
m0146,pazy:228,228,271,merge,M1,1;20;35,Direct,69,198
m0252,pazy:230,230,228,join,2,,Direct,9,2
m0072,pazy:232,232,231,join,2,,Direct,10,2
m0455,pazy:236,236,287,merge,M1,1;20;35,Direct,68,199
m0230,pazy:237,237,301,merge,M1,1;20;35,Direct,6,39
m0150,pazy:243,243,275,merge,M1,1;20;35,Direct,0,2
m0086,pazy:255,255,491,join,10,,Direct,11,4
m0064,pazy:453,453,409,merge,M1,1;20;35,Direct,68,201
m0268,pazy:471,471,377,merge,M1,1;20;35,Direct,68,196
m0130,pazy:477,477,412,merge,M1,1;20;35,Direct,66,199
m0088,pazy:487,487,204,join,26,,Direct,3,1
m0005,pazy:488,488,417,join,25,,Direct,6,0
m0342,pazy:489,489,299,novel,N6,,Direct,0,0
m0326,pazy:491,491,482,join,10,,Direct,7,3
m0338,pazy:492,492,496,join,10,,Direct,10,4
m0277,pazy:493,493,478,join,10,,Direct,12,5
m0032,pazy:64,64,28,join,10,,Direct,2,0
m0449,pazy:66,66,15,novel,N7,,Direct,0,0
m0258,pazy:68,68,15,novel,N8,,Direct,0,0
