node_id	sequence_md5	accession	accession_all	enzyme_name	organism	sequence_length	v1_component	cath
m0095	34845c057c0fc493b1f6938327b2a52a	WP_170196788.1	WP_170196788.1	Nyl93	Gordonia asplenii	376		
m0096	3553b7c612834728bae59c60af19fbda	MGYP001477358452	MGYP001477358452	TEP014	Bioreactor metagenome	300		
m0097	362632b30b43e3854087c699d608f0b1	MBX3625601.1	MBX3625601.1	APET-17	Rhizobacter sp.	290		
m0098	36a989ab704be3f0d22479cc94524084	TDP67440	TDP67440	DP006	Actinokineospora alba	294		
m0099	37caf8c38d262f6d271a5e7c422d4423	JGI20132J14458_10325381	JGI20132J14458_10325381	Enzyme 307 like	Metagenome	257	1	3.40.50.1820
m0100	38977381259c624bdcec8191c6717c7a	WP_204038550.1	WP_204038550.1	ESM065	Micromonospora qiuiae	323		
m0101	39f5ef8b2abbe007e623b9ceb5a0c815	U7UHN3	U7UHN3	Nyl87	Peptoniphilus sp. BV3C26	313		
m0102	3a8b3b50918fa1553710b5c8d094771c	WP_187224800.1	WP_187224800.1	DP017	Actinokineospora xionganensis	283		
m0103	3b00f12fd36416ff8790c3e56ebd219c	A0A7V5VEC1	A0A7V5VEC1	Nyl68	Bacteroidota bacterium	312		
m0104	3b8571a2d62a99f31d344cab5662e8e5	WP_093954453.1	WP_093954453.1	1457	Amycolatopsis vastitatis	302		
m0105	3ccbadd7e660120a138f6df238b1b9ae	CAA32820.1	CAA32820.1;P06873	Proteinase K	Parengyodontium album	384	21	3.40.50.1820
m0106	3cdb04dfc6e8e2e6816fbe523d088f25	KNX38636.1	KNX38636.1	1240	Luteipulveratus halotolerans	303		
m0107	3d98c4ffc15561968b8fbb11d2ed071a	AFA76036.1	AFA76036.1;H6N4Z1	Lcp2VH2	Gordonia polyisoprenivorans	388	16	NA
m0108	3daf95d51a344e67e10dd0832d970bba	WP_037320891.1	WP_037320891.1	PLAase I	Amycolatopsis orientalis	245		
m0109	3dcbffcfab5a9bf0b1856144dd30e5ef	WP_093411427.1	WP_093411427.1	1545	Micromonospora sediminimaris	467		
m0110	3ecb425bded1a0f79d8f0e0d110588f5	WP_109361459.1	WP_109361459.1	TEP102	Streptomyces sp. V2	432		
m0111	3ed7551a77d0f6098185c1af7d8c8385	WP_093473685.1	WP_093473685.1	ESM186	Halopseudomonas yangmingensis	303		
m0112	3f5b7ed180255f20639a75548bb8ac56	WP_130401777.1	WP_130401777.1	1637	Micromonospora violae	462		
m0113	4101ed79233a5b5898733d86311407b2	WP_019633337.1	WP_019633337.1	TEP101	Actinomadura atramentaria	301		
m0114	4128006510697cae616c99ca6fbb128c	WP_233427406.1	WP_233427406.1	DP040	Actinokineospora spheciospongiae	299		
m0115	41ec3fae20c0008c7ca666cd96974233	WP_107095481.1	WP_107095481.1	Enzyme 607	Actinobacteria bacterium OV320	310	1	3.40.50.1820
m0116	426c9c3680fe7091b7e6f1c7a0f7e7d3	AAP85930.1	AAP85930.1;Q7WXF6	PhaZ4	Cuprivadus necator ATC17699	245	3	3.40.50.1820
m0117	42aa40364f5684f1f255819ab69b7b92	A0A078MGG8	A0A078MGG8;WP_044499735.1	PmC	Pseudomonas  mendocina ATCC 53552	302	1	3.40.50.1820
m0118	4307017d78508de526bb8422be94a4c4	A4W93_05950	A4W93_05950;WP_085749752.1	EstB	Pseudomonas sp. strain 9.2	292	1	3.40.50.1820
m0119	4372f68d441785c9d134905aed4aae6b	WP_211769896.1	WP_211769896.1	TEP103	Kutzneria sp. CA-103260	293		
m0120	43855fcf31b8ee18bc3c65f3b00f10cb	WP_104115406.1	WP_104115406.1	401	Micromonospora chalcea	296		
m0121	440c2c28c74998f465ccf99910827774	UAC02078.1	UAC02078.1	ESM082	Dactylosporangium vinaceum	269		
m0122	4413a75f4591f7557a156f377930d8c1	A0A2E3XQJ6	A0A2E3XQJ6	Nyl18	Halobacteriovoraceae bacterium	328		
m0123	443647f8fdd6aeb0fa7cd9fb8076c86d	A0A3D4HM79	A0A3D4HM79	Nyl39	Synergistaceae bacterium	314		
m0124	462d8720dba9f954496a198bf18ce71c	WP_378272130.1	WP_378272130.1	serineprotease	Actinomadura keratinilytica	386		
m0125	46578a460f23e13d1ebe0b0ebf887282	ADV92527.1	ADV92527.1;ADV92571;E9LVH9	Thc_Cut2	Thermobifida cellulosilytica DSM44535	262	1	3.40.50.1820
m0126	46e18f09ca1ffe3e4eda0f6cae364c1e	A0A080NJE8	A0A080NJE8;WP_034398300.1	PhaZCac	Commamonas acidivorans YM1609	734	28	3.40.50.1820
m0127	476b1b64d6172e51befe003e4e5d70cb	BAU20375	BAU20375	PAM	Actinomadura keratinilytica	386		
m0128	482a4e9fd90b37223b8f0f81a2d54eea	MBT9528079.1	MBT9528079.1	ESM169	Rhizobacter sp.	299		
m0129	4862c74fdcd52e6437a16fe8f493fc97	R5FI29	R5FI29	Nyl85	Faecalibacterium sp. CAG:1138	302		
m0130	486620f02642fa1a8f78c36a2740b0ec	MGYP001121581011	MGYP001121581011	DP059	Compost metagenome	445		
m0131	48ba5f056713b1c70f39bd5277e17500	A0A661XAJ6	A0A661XAJ6	Nyl57	Candidatus Zhuqueibacterota bacterium	315		
m0132	499c56dadef662e14b044019d288f152	GHJ08786.1	GHJ08786.1	ESM070	Micromonospora sp. AKA109	427		
m0133	4ae54f06384b9660b40e76e9a902f585	OP972509	OP972509;WBR49956	UMG-SP-1	Metagenome	438	10	3.90.1300.10
m0134	4b02a9379189f4f3f4a6d2b07ad427c9	Q0JZG9	Q0JZG9;WP_010811062.1	PhaZ6	Cuprivadus necator ATC17699	362	31	3.40.50.1820
m0135	4b50fcb2d78d50a7f5693abba7e356b1	W6R2Y2	W6R2Y2;WP_003460012.1	lip1; Mors1	Ectopseudomonas oleovorans	201	17	TBDX
m0136	4b8623751837c39c9fe582aa5d675187	ACV09511	ACV09511	DP003	Jonesia denitrificans	319		
m0137	4be16a85172c726f7f8d6dbd2053955f	AII11221	AII11221	LMC031	Rhodococcus opacus R7	348	14	2.60.40.420
m0138	4c8584c9364804042a9544a4f193e5dc	MBX3624429.1	MBX3624429.1	DP038	Rhizobacter sp.	288		
m0139	4c93b29cd359ce02e9f06d853bb00619	WP_085690612	WP_085690612	MG8	Pseudomonas sp.	218	38	3.40.50.1820
m0140	4ce5f290ca4d5d58749e55ef4f739ea0	WP_111700265.1	WP_111700265.1	1868	Microbispora triticiradicis	436		
m0141	4d6c690dd47d3941954de2c9d2abaf2f	E5BBQ2	E5BBQ2	TfCut_1; Cut-1.kw3	Thermobifida fusca	319	1	3.40.50.1820
m0142	4dfca93c424da8986ee3fb484d868de2	GBD22443	GBD22443;GBD22443.1	LCC-like	HR29	293	1	3.40.50.1820
m0143	4e42b62ac9f3158a2a5a2b35e117d950	A0A0P0ZE81	A0A0P0ZE81;BAT32793.1	GB-1; CLE	Cryptococcus flavus	239	2	3.40.50.1820
m0144	4eb20c9016001fd934311ea5fc36f89f	WP_143590710.1	WP_143590710.1	385	Thermoactinospora rubra	272		
m0145	4f68c367317a6c09df48faffc017ad9e	WP_093412886.1	WP_093412886.1	Enzyme 611	Saccharopolyspora flava	293	1	3.40.50.1820
m0146	4fc6ca50b7b51c5b7f98512adca3c679	WP_203790592.1	WP_203790592.1	ESM060	Paractinoplanes rishiriensis	410		
m0147	512b62a8993ab9e45d25bcdfa650b798	7C2A_A	7C2A_A	E4	Altericroceibacterium indicum	191		
m0148	51637a74ae9efe92560e94b5e2bc6178	UFE15760.1	UFE15760.1	Lcp1	Microtetraspora sp. AC03309	410		
m0149	52ac6083b4c7d6faf903f936007224d2	WP_209642273.1	WP_209642273.1	KbPETase	Kibdelosporangium banguiense	270		
m0150	5353a76b2d62b148881304e276a3a0e0	P29600	P29600	Subtilisin; Savinase	Lederbergia (Bacillus) lentus	269	21	3.40.50.1820
m0151	546363f6f7e62663a681aa0546a7c08c	WDT94189	WDT94189	TA29	Thermoleophilum album	296		
m0152	551946ddbe6046c13ca1a257eab4aeff	WP_267938240.1	WP_267938240.1	ESM006	Saccharothrix sp. S26	405		
m0153	553239996e512830a1db6b67fb4aa1c7	7CUV_A	7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1	PHL-7; PES-H1; PES-H2	Thermoanaerobacter sp.	259	1	3.40.50.1820
m0154	55c56bf6f40cb5a2497253d78cfe7803	WP_212846608.1	WP_212846608.1	TEP181	Actinoplanes ianthinogenes	421		
m0155	56793a483b6506d4f822ce4dab41cbcb	NUT34383.1	NUT34383.1	DP084	Hamadaea sp.	285		
m0156	572db808330016b2e517a2e6db0d8477	UNZ81746	UNZ81746;UNZ81746.1	IS10	Chloroflexi bacterium	314	23	3.40.50.1820
m0157	574237800be392daa0a6c80748375073	WP_229068674.1	WP_229068674.1	DP043	Actinoplanes sp. DH11	312		
m0158	5803ed5f151b9467fa2e8894554b330e	MGYP001489421514	MGYP001489421514	DP056	Compost metagenome	303		
m0159	586a335986f45e096f6ca073737678a5	A0A7W8QII1	A0A7W8QII1;WP_312893488.1	Nc-NylC	Nocardiopsis composta	344	9	3.60.70.12
m0160	5a6ca9ba6be2179ba6074343233d0a9b	WP_081971423.1	WP_081971423.1	1463	Dactylosporangium aurantiacum	265		
m0161	5a880c3b46d61fb2b4fa713a243c511a	QPA27412.1	QPA27412.1;WP_010659881.1	dsPETase06	Pseudomonadota bacterium	352	35	3.40.50.1820
m0162	5b3f01f3bbd1d34e9bcd72527c959781	WP_158643351.1	WP_158643351.1	412	Ketobacter alkanivorans	311		
m0163	5b6bcacc9716a844b6969cbeb5e49ef1	WP_082403176.1	WP_082403176.1	1491	Saccharothrix sp. NRRL B-16348	455		
m0164	5c06f1259bc12791a4627d9b18c94185	AGT90042.1	AGT90042.1	CCM2595	Rhodococcus erythropolis	483	10	3.90.1300.10
m0165	5c6047089b459f01b0f48bd717dcdfc0	WAT79796.1	WAT79796.1	TGL	Bacillus safensis	213		
m0166	5cee52f57ef4e114863f6926cabdca90	BEG79545	BEG79545	PA4-degrading enzyme	Pseudoalteromonas sp.	716		
m0167	5e3a225d0c4dad34e74078ea45904b70	ADV92525.1	ADV92525.1;E9LVH7	Tha_Cut1; cut1	Thermobifida alba DSM43185	262	1	3.40.50.1820
m0168	5e9df7f0c5b6442f1239982caf867978	7NEI	7NEI	PHL-7	Compost metagenome	267		
m0169	5fa3e19ca90991487c80ed55e34da806	AAF66684.1	AAF66684.1	PulA	Pseudomonas fluorescens	451	4	3.40.50.1820
m0170	6012a802711a9bb008ee0895a518a5a0	AAA65705.1	AAA65705.1;Q51871	PhaZ5	Paucimonas lemoignei	433	30	3.40.50.1820
m0171	604018ae8af9058028c669f8ed8de020	A0A1F4JXW8	A0A1F4JXW8;OGB27210	ApLip-Ec	Aquabacterium parvum	426	1	3.40.50.1820
m0172	6139d7ee947801e1ffa5c9345c785900	AAK11724.1	AAK11724.1;AY026386	PURase	Rhodococcus erythropolis MP50	525	10	3.90.1300.10
m0173	61a4ab03c350b74dc8e27682811b973f	P94146	P94146	PhaZAfa	Alcaligenes faecalis	635	30	3.40.50.1820
m0174	61d801881a590b1495fd2352c700c042	WDT94064	WDT94064	TA21	Thermoleophilum album	352		
m0175	62f7546aebcb1a559748d086de6571e6	WP_260422593.1	WP_260422593.1	TEP111	Micromonospora carbonacea	424		
m0176	63f3bcdf9d4e41b30836917c8f069d43	UNZ81748	UNZ81748;UNZ81748.1	IS12	Chloroflexi bacterium	318	23	3.40.50.1820
m0177	6435b353e1e02d2f720bc95ef5cb13af	EGD44994.1	EGD44994.1	Enzyme 503 like	Nocardioidaceae bacterium	294	1	3.40.50.1820
m0178	643cdc8e6bf40238fb4a3568cc8eb4f8	WP_348608127.1	WP_348608127.1	ReU-like	Rhodococcus equi TB-60	472	10	3.90.1300.10
m0179	6479c4b689da748f2cb786f88522f290	A0A7C6SQZ1	A0A7C6SQZ1	Nyl65	Clostridiales bacterium	318		
m0180	647a8a79005fc7f3a762d4b29e0328ad	XHH12375	XHH12375	NylC2	Microbacterium oxydans	339		
m0181	6501b0257cf940e7d8aa9266fd92aaa1	ACY56506.1	ACY56506.1;GU116480	PURase	Microbacterium hydrocarbonoxydans	283	22	3.40.50.1820
m0182	659a58dc5abc0fd64c7c7e596bb56dd4	B0FY08	B0FY08	PLase3	Amycolatopsis (Nocardia) orientalis	364	12	2.40.10.10
m0183	66ecc46b29b845a7a916ce1874720817	WP_132413760.1	WP_132413760.1	1468	Kribbella albertanoniae	444		
m0184	677a11fa0e32fbd01338ba6d30fc718b	KPI12031.1	KPI12031.1;WP_082414832.1	Enzyme 405	Actinobacteria bacterium OK074	302	1	3.40.50.1820
m0185	67b4409cf7dfe74bbb08798733600bfc	MT664882	MT664882;WP_254586337.1	Lcp2	Streptomyces sp. AC04842	407	16	NA
m0186	688e3468b20f955579952d514c187611	WP_089021493.1	WP_089021493.1	1641	Micromonospora coriariae	460		
m0187	68c96339ea5e9153dffdfbe8f9906985	WP_139580723.1	WP_139580723.1	DP092	Microbispora catharanthi	450		
m0188	68f440a1f49336f2bc51060f5c2e99f1	MBO9532528.1	MBO9532528.1	APET-20	Solirubrobacteraceae bacterium	293		
m0189	690953c8ee380d8f7a711710318247ac	WP_145923095.1	WP_145923095.1	1635	Micromonospora sp. HM134	487		
m0190	6b1009cf128e698e040b3329caa14ce2	WP_229836555.1	WP_229836555.1	ESM090	Dactylosporangium sucinum	285		
m0191	6bfc5e52adfd5c1d647dbdd440a07380	WP_132386942.1	WP_132386942.1	1489	Micromonospora sp. KC723	447		
m0192	6c8a21cf9b056c70de13236ba6a2c881	A0A6A7M915	A0A6A7M915	Nyl58	Rhodospirillales bacterium	342		
m0193	6c92a78329d5a05cad38caf62075d747	P19833	P19833;P19833.1	PaCut	Pseudomonas alcaligenes	319	1	3.40.50.1820
m0194	6c94e122d721e790088493d35c7c03a9	WP_203733135.1	WP_203733135.1	DP082	Paractinoplanes durhamensis	295		
m0195	6cfa5991a1358a2618da129bb29a2d1c	SUD16364	SUD16364;SUD16364.1	PbauzCut	Halopseudomonas bauzanensis	298	1	3.40.50.1820
m0196	6def7fc8a6f81bb797445e688dbb615f	OPG10926.1	OPG10926.1	169	Microbispora sp. GKU 823	308		
m0197	6e59b2b22d0932610243c38a9455adb5	WP_141984372.1	WP_141984372.1	1482	Saccharothrix saharensis	413		
m0198	6e80f2f31cbe7bc9184caed2bea23776	WP_239086781.1	WP_239086781.1	ESM177	Catellatospora methionotrophica	290		
