node_id,sequence_md5,accession,accession_all,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0332,bb60668c33aefeacbb320f1a972407e4,ABP86951,ABP86951,C001,1,280,PmC,Ectopseudomonas mendocina,,
m0438,ee0092b4288da1c69a59e16f2b702cdf,ACC95208.1,ACC95208.1,C001,1,308,PET2; lipIAF5-2,Metagenome,1,3.40.50.1820
m0136,4b8623751837c39c9fe582aa5d675187,ACV09511,ACV09511,C001,1,319,DP003,Jonesia denitrificans,,
m0270,95b8c354124ce6fc0e73869c1285b609,ACY95991.1,ACY95991.1;WP_012850775.1,C001,1,292,Tcur0390,Thermobifida curvata DSM43183,1,3.40.50.1820
m0357,c4c87c36c70a8f1b15d4f8d38155f609,ADK73612,ADK73612;ADK73612.1,C001,1,302,PLE629,Marinobacter sp.,1,3.40.50.1820
m0032,10d87dbad4c4c7bfd7d5c331cef5b9ce,ADM47605.1,ADM47605.1,C001,1,262,Enzyme 702,Thermobifida fusca,1,3.40.50.1820
m0354,c3b10fec34299e75939e57d3458275fe,ADV66860.1,ADV66860.1;E8U721,C001,1,315,PET1; DmPETase,Deinococcus maricopensis DSM 21211,1,3.40.50.1820
m0167,5e3a225d0c4dad34e74078ea45904b70,ADV92525.1,ADV92525.1;E9LVH7,C001,1,262,Tha_Cut1; cut1,Thermobifida alba DSM43185,1,3.40.50.1820
m0423,e65e54bed8b506d0ddf1f5164bf29425,ADV92526.1,ADV92526.1;E9LVH8,C001,1,262,Thc_cut1,Thermobifida cellulosilytica DSM44535,1,3.40.50.1820
m0125,46578a460f23e13d1ebe0b0ebf887282,ADV92527.1,ADV92527.1;ADV92571;E9LVH9,C001,1,262,Thc_Cut2,Thermobifida cellulosilytica DSM44535,1,3.40.50.1820
m0208,7290711b3d888830a61b777dcd01df5d,ADV92528.1,ADV92528.1;E9LVI0_THEFU,C001,1,262,TfH42_Cut1,Thermobifida fusca DSM44342,1,3.40.50.1820
m0290,a0445e5a5b156ccfedc088c49acfd84a,AET05799.1,AET05799.1;CAH17553.1;JN129500.1;Q47RJ6_THEFY;Q6A0I4;WP_011291330.1,C001,1,301,Cut2,Thermobifida fusca NRRL B-8184,1,3.40.50.1820
m0054,1b0d2c147b96bad033703fb124a50764,AEV21261.1,AEV21261.1;G9BY57,C001,1,293,HRB29-GBD22443 like,LCC leaf compost metagenome,1,3.40.50.1820
m0215,761f31759bb5d73ea55282d40c050c2e,AFA45122.1,AFA45122.1;H6WX58,C001,1,262,Thh_Est,Thermobifida halotolerans,1,3.40.50.1820
m0391,d67ede223c06bbb9c7903735558b4123,AGT96415,AGT96415;AGT96415.1,C001,1,314,MGS0109 (KC986401),Marine metagenome,1,3.40.50.1820
m0368,cae1f0e206dd5d377dbfb013f72cd60c,AJ810119,AJ810119;CAH17554.1,C001,1,301,BTA-2; TfH,Thermobifida fusca DSM43793,1,3.40.50.1820
m0001,004af9e9b29cb7a99eee6d96edfaabcd,ATH80290,ATH80290,C001,1,280,HP,Ectopseudomonas mendocina,,
m0303,a9bad1df9172c94be6b225bd32b6bd1d,BAB86909,BAB86909;Q8RR62,C001,1,304,PbsA,Acidovorax delafieldii Strain BS-3,1,3.40.50.1820
m0077,2b9fd2b29499ad2d285db6505328e11d,BAI99230,BAI99230;BAI99230.2;D4Q9N1,C001,1,296,Est1; Enzyme 708,Thermobifida alba AHK119,1,3.40.50.1820
m0361,c627badfbdd42acfa7664595a681b789,BAK48590.1,BAK48590.1;F7IX06,C001,1,300,Est119; Est2,Thermobifida alba AHK119,1,3.40.50.1820
m0376,cf88b3e711edffd341ba052fb3365c25,CBY05530,CBY05530;E5BBQ3_THEFU,C001,1,261,TfCut_2; Cut-2.kw3,Thermobifida fusca,1,3.40.50.1820
m0045,161e4dc2c4ef1e36fe625c65439a815b,CCH19814.1,CCH19814.1,C001,1,465,1617,Micromonospora lupini,,
m0409,e0db2a4f62c16fd0850cb05f28dbe103,CCK74972.1,CCK74972.1;R4YKL9_OLEAN,C001,1,310,PETase,Oleispira antarctica,1,3.40.50.1820
m0339,be8748feeb335dbb23ea57c0ca66828f,D1A9G5,D1A9G5;WP_012851645.1,C001,1,289,Tcur_1278,Thermobifida curvata DSM43183,1,3.40.50.1820
m0419,e5571e8fd143e90bd5db0ca52ce67226,DAC80635,DAC80635;DAC80635.1,C001,1,284,SM14; SM14est,Streptomyces sp.,1,3.40.50.1820
m0141,4d6c690dd47d3941954de2c9d2abaf2f,E5BBQ2,E5BBQ2,C001,1,319,TfCut_1; Cut-1.kw3,Thermobifida fusca,1,3.40.50.1820
m0177,6435b353e1e02d2f720bc95ef5cb13af,EGD44994.1,EGD44994.1,C001,1,294,Enzyme 503 like,Nocardioidaceae bacterium,1,3.40.50.1820
m0142,4dfca93c424da8986ee3fb484d868de2,GBD22443,GBD22443;GBD22443.1,C001,1,293,LCC-like,HR29,1,3.40.50.1820
m0284,9be600f74fc6650fed502d1de7647551,GFJ87714.1,GFJ87714.1,C001,1,402,ESM033,Phytohabitans rumicis,,
m0432,eba0373101b5f637e985de667b0b86e7,GGO06455.1,GGO06455.1,C001,1,296,TEP061,Microbispora rosea subsp. aerata,,
m0261,908216a2c74668c66d426a981d0e781f,GGR16917.1,GGR16917.1,C001,1,431,ESM136,Actinoplanes ianthinogenes,,
m0132,499c56dadef662e14b044019d288f152,GHJ08786.1,GHJ08786.1,C001,1,427,ESM070,Micromonospora sp. AKA109,,
m0061,21529d199ac34be22c7967f66af4194b,GIG90696.1,GIG90696.1,C001,1,472,TEP092,Plantactinospora endophytica,,
m0384,d3daf5d62100e8ce832f8dde87008494,GIU85367.1,GIU85367.1,C001,1,276,ESM050,Acidimicrobiales bacterium,,
m0323,b58a47b76cafd61a000f8498a34fd166,GIU85371.1,GIU85371.1,C001,1,242,TEP189,Acidimicrobiales bacterium,,
m0099,37caf8c38d262f6d271a5e7c422d4423,JGI20132J14458_10325381,JGI20132J14458_10325381,C001,1,257,Enzyme 307 like,Metagenome,1,3.40.50.1820
m0356,c48ea13e3b7c4343a47482e71c9b2abe,JzSedJan11_10004914,JzSedJan11_10004914,C001,1,263,Enzyme 211 like,Metagenome,1,3.40.50.1820
m0106,3cdb04dfc6e8e2e6816fbe523d088f25,KNX38636.1,KNX38636.1,C001,1,303,1240,Luteipulveratus halotolerans,,
m0184,677a11fa0e32fbd01338ba6d30fc718b,KPI12031.1,KPI12031.1;WP_082414832.1,C001,1,302,Enzyme 405,Actinobacteria bacterium OK074,1,3.40.50.1820
m0348,c14a617c964156f1d3d4b9dedd1535b4,KPI31299.1,KPI31299.1,C001,1,306,607-Nsp,Actinobacteria bacterium OV320,,
m0205,710f4592bfa0115da9f3500092b3518f,KU695573,KU695573;WP_022964382.1,C001,1,307,PpCutA; PoCut,Pseudomonas oleovorans DSM 50188,1,3.40.50.1820
m0414,e44d2abc0169b043201fff28f40feeb9,KZY99137.1,KZY99137.1,C001,1,292,APET-32,Oleibacter sp. HI0075,,
m0285,9c6726c69068e8abf43de5f7f465e825,MBA55398.1,MBA55398.1,C001,1,303,PC8,Pseudomonadales bacterium,,
m0328,b80b1227f73f4dd4ff1fd9546d415275,MBE65357.1,MBE65357.1,C001,1,305,APET-29,Gammaproteobacteria bacterium,,
m0453,f2e235a71b5ce3ac861bb6b70e9c8fef,MBF9135495.1,MBF9135495.1,C001,1,346,ESM061,Plantactinospora alkalitolerans,,
m0312,aea6a56696f03519f9e6511f50cff512,MBJ7347705.1,MBJ7347705.1,C001,1,292,DP080,Thermoleophilaceae bacterium,,
m0248,8665fb3ab4a93730539cbcef27fe971c,MBN1171866.1,MBN1171866.1,C001,1,325,TEP083,Micromonosporaceae bacterium,,
m0267,93e9e12285afdbc5032f261307327236,MBN2622270.1,MBN2622270.1,C001,1,322,DP057,Acidimicrobiales bacterium,,
m0260,8fede4413e76abb354158b5bb05b5c6e,MBO4274871.1,MBO4274871.1,C001,1,432,ESM024,Microbispora triticiradicis,,
m0188,68f440a1f49336f2bc51060f5c2e99f1,MBO9532528.1,MBO9532528.1,C001,1,293,APET-20,Solirubrobacteraceae bacterium,,
m0013,073f8bc76f09e2183891c86f93e05b7d,MBO9569276.1,MBO9569276.1,C001,1,284,TEP091,Cellulomonas iranensis,,
m0211,74f45b9b297fc969ba3fd070bdedc403,MBT8227529.1,MBT8227529.1,C001,1,451,DP021,Dactylosporangium sp.,,
m0128,482a4e9fd90b37223b8f0f81a2d54eea,MBT9528079.1,MBT9528079.1,C001,1,299,ESM169,Rhizobacter sp.,,
m0016,0a552022c4776bbf93ebe23164db0cd0,MBW4703769.1,MBW4703769.1,C001,1,474,ESM101,Micromonospora sp. RL09-050-HVF-A,,
m0075,2af6d737171357f18fd9f3cddedf6015,MBX2857432.1,MBX2857432.1,C001,1,275,APET-28,Cellvibrionaceae bacterium,,
m0221,790629d20f9a499b3cf518e1e7000b71,MBX3621832.1,MBX3621832.1,C001,1,280,ESM045,Rhizobacter sp.,,
m0138,4c8584c9364804042a9544a4f193e5dc,MBX3624429.1,MBX3624429.1,C001,1,288,DP038,Rhizobacter sp.,,
m0097,362632b30b43e3854087c699d608f0b1,MBX3625601.1,MBX3625601.1,C001,1,290,APET-17,Rhizobacter sp.,,
m0393,d79cf5b4d590dd725f813e9a110c9f14,MCF0091346.1,MCF0091346.1,C001,1,469,ESM130,Micromonospora sp. MH99,,
m0333,bc7a038f9383a1c9351ad53e8f89a243,MEC8523093,MEC8523093;MEC8523093.1,C001,1,292,dsPETase05,Pseudomonadota bacterium,1,3.40.50.1820
m0317,b3098fdcf4be1ef53a8636f87b4e409c,MGYP000221121644,MGYP000221121644,C001,1,425,DP081,Marine metagenome,,
m0212,75970cca0aca8c2628e21abeff92d2b0,MGYP000271253724,MGYP000271253724,C001,1,420,DP068,Marine metagenome,,
m0004,010991495537828f0796c93512058d2e,MGYP000321434903,MGYP000321434903,C001,1,259,TEP037,,,
m0076,2b913d598a604cd64df1b67d929b5d6f,MGYP000532440779,MGYP000532440779,C001,1,307,MG8,Oral metagenome,,
m0130,486620f02642fa1a8f78c36a2740b0ec,MGYP001121581011,MGYP001121581011,C001,1,445,DP059,Compost metagenome,,
m0096,3553b7c612834728bae59c60af19fbda,MGYP001477358452,MGYP001477358452,C001,1,300,TEP014,Bioreactor metagenome,,
m0158,5803ed5f151b9467fa2e8894554b330e,MGYP001489421514,MGYP001489421514,C001,1,303,DP056,Compost metagenome,,
m0052,18f1178aa194bcd44f9de9bf8b6ef166,MPZ00478.1,MPZ00478.1,C001,1,285,APET-25,Actinophytocola sp.,,
m0418,e525d1329e534ccfe83308865ef3fa06,MTK05241.1,MTK05241.1,C001,1,449,ESM173,Micromonospora sp. CP22,,
m0469,fcafc8f695c58e71718b19c1a7c315ba,N20M5AZM016,N20M5AZM016,C001,1,258,PE-H; B7O88_11480,Halopseudomonas aestusnigri VGXO14,20,3.40.50.1820
m0155,56793a483b6506d4f822ce4dab41cbcb,NUT34383.1,NUT34383.1,C001,1,285,DP084,Hamadaea sp.,,
m0047,174ba911d73b1edc801c52651ec17efd,ODU60407.1,ODU60407.1,C001,1,305,Enzyme 412,Ketobacter alkanivorans,1,3.40.50.1820
m0472,fe08eef9c8f87d7d57af2914ff906b14,OK558824,OK558824;UUT36763,C001,1,316,PLE628,Marinobacter sp.,1,3.40.50.1820
m0044,15938ddd57d7448aa110a9139193c91b,OK558825,OK558825;UUT36764,C001,1,307,PET12; PbCut; SbCut; AAW51_2473,Caldimonas brevitalea,1,3.40.50.1820
m0320,b413b66095d2f7ce85f02f9748d49cb5,OKK16161.1,OKK16161.1,C001,1,425,1537,Streptomyces sp. CB00455,,
m0196,6def7fc8a6f81bb797445e688dbb615f,OPG10926.1,OPG10926.1,C001,1,308,169,Microbispora sp. GKU 823,,
m0193,6c92a78329d5a05cad38caf62075d747,P19833,P19833;P19833.1,C001,1,319,PaCut,Pseudomonas alcaligenes,1,3.40.50.1820
m0306,aa5e991d0a1e69991b26163c98de8ec8,PWR09075.1,PWR09075.1,C001,1,292,ESM157,Micromonospora acroterricola,,
m0161,5a880c3b46d61fb2b4fa713a243c511a,QPA27412.1,QPA27412.1;WP_010659881.1,C001,1,352,dsPETase06,Pseudomonadota bacterium,35,3.40.50.1820
m0341,c0173ba184ddb729e7ef9122ecff0145,RGD93181,RGD93181;RGD93181.1,C001,1,270,HG-3,Clostridiales bacterium AM23-16LB,1,3.40.50.1820
m0206,71d88f44c8ddca8715a62d0d30305df5,RLI42440.1,RLI42440.1,C001,1,262,PET46,Candidatus Bathyarchaeota archaeon,1,3.40.50.1820
m0040,14a5c3e1584a0ee2518f18810a7fed98,RLT92980.1,RLT92980.1,C001,1,269,Enzyme 403,Ketobacter sp.,1,3.40.50.1820
m0043,1545cf731ea10ee62b256807199e37d8,RLU00646.1,RLU00646.1,C001,1,312,RgCut-II,Rhizobacter gummiphilus,1,3.40.50.1820
m0279,9a39f26de8397ad8e82c7ddd5ffb0a75,RZL02950.1,RZL02950.1,C001,1,295,1395,Herbihabitans rhizosphaerae,,
m0002,00855c73c087597a6c69fa2b114d731e,SAY37579.1,SAY37579.1,C001,1,260,PHL-11,Compost metagenome,1,3.40.50.1820
m0264,925eaa1d8c145880ff409530b973e7fe,SAY37582.1,SAY37582.1,C001,1,260,PHL-21,Compost metagenome,1,3.40.50.1820
m0424,e6c1800b97f5f0184a1dd73540deb95a,SAY37583.1,SAY37583.1,C001,1,259,PHL-31,Compost metagenome,1,3.40.50.1820
m0307,aaa9786d473a7eb02349e757ab50352c,SAY37584.1,SAY37584.1,C001,1,257,PHL-41,Compost metagenome,1,3.40.50.1820
m0021,0c75d9f81ae52914a609ec24d4c68ea2,SAY37587,SAY37587;SAY37587.1,C001,1,257,PHL-51,Compost metagenome,1,3.40.50.1820
m0457,f5ac2c525370f659e6c1b4fc71e16ce1,SAY37589,SAY37589;SAY37589.1,C001,1,257,PHL-61,Compost metagenome,1,3.40.50.1820
m0471,fd6fe4eecb575bbb51d49f121a523532,SDZ16714.1,SDZ16714.1,C001,1,294,Mipa-P,Micromonospora pattaloongensis,,
m0039,1361228bf3f1c19ea8214555076414a7,SHM40309,SHM40309;SHM40309.1,C001,1,299,CaPETase,Cryptosporangium aurantiacum,1,3.40.50.1820
m0443,ef08656ab980fbd8c17fe79b6060a681,SJZ42839.1,SJZ42839.1;WP_078759821.1,C001,1,311,MtCut; Enzyme 606,Marinactinospora thermotolerans,1,3.40.50.1820
m0059,20f7abda67d907b1e03456185b9a7df8,SPF04022.1,SPF04022.1,C001,1,287,1392,Streptomyces sp. MA5143a,,
m0195,6cfa5991a1358a2618da129bb29a2d1c,SUD16364,SUD16364;SUD16364.1,C001,1,298,PbauzCut,Halopseudomonas bauzanensis,1,3.40.50.1820
m0098,36a989ab704be3f0d22479cc94524084,TDP67440,TDP67440,C001,1,294,DP006,Actinokineospora alba,,
m0289,9ffafefd549320c21cd92af62f19d6eb,TQL66274.1,TQL66274.1,C001,1,286,1309,Nocardioides albertanoniae,,
m0257,8c0f8f5d213b7906c63a5fb5aa82b750,TWG17167.1,TWG17167.1,C001,1,465,ESM062,Micromonospora taraxaci,,
m0121,440c2c28c74998f465ccf99910827774,UAC02078.1,UAC02078.1,C001,1,269,ESM082,Dactylosporangium vinaceum,,
m0301,a5e57aa9699b655bb23f42f50c4debb3,W0TJ64,W0TJ64;WP_015787089.1,C001,1,304,Cut190,Saccharomonospora viridis AHK190,1,3.40.50.1820
m0380,d1aa8fa7800d986fee5acab07614bd0d,WAU86704,WAU86704;WAU86704.1,C001,1,263,PET40,Amycolatopsis bacterium,1,3.40.50.1820
m0297,a2f79a79ff4db5f56ded2690d708f4c9,WBC00352.1,WBC00352.1,C001,1,415,ESM012,Solwaraspora sp. WMMA2059,,
m0018,0b490a6d93d67b0ebb2d6cd3d80f9d9a,WKW63607.1,WKW63607.1,C001,1,434,PET93,Maribacter dokdonensis,,
m0252,88d5d5ad4f13b7f9976990ed82e5489d,WKW63608.1,WKW63608.1,C001,1,433,PET94,Arenibacter palladensis,,
m0235,81f568dbaa464c36246be059cfa19188,WNY00484.1,WNY00484.1,C001,1,282,GlacPETase,Pseudomonas sp.,1,3.40.50.1820
m0305,aa2b99b06ee80b2a22d650e6f32f1c1e,WOR09923,WOR09923,C001,1,257,SIBER-1,Microbispora sp.,1,3.40.50.1820
m0304,aa1b463709fa62d66034d00d46f2bb52,WP_008690040.1,WP_008690040.1,C001,1,313,HG-5,Longicatena bacterium,,
m0369,cb8aae798de32e627b62936dbc407aaf,WP_013736455.1,WP_013736455.1,C001,1,448,1546,Micromonospora sp. (multispecies),,
m0293,a0904c35f59716a292ebfca5adfcbc0e,WP_013858543.1,WP_013858543.1,C001,1,254,HG-4,Heyndrickxia coagulans,1,3.40.50.1820
m0316,b2ce4b3f3cb218404c049bd6ca3c3fef,WP_018657411.1,WP_018657411.1,C001,1,287,APET-24,Actinomadura flavalba,,
m0420,e56db99e4a0ff79df4c68a9972670396,WP_019629726.1,WP_019629726.1,C001,1,285,APET-15,Actinomadura atramentaria,,
m0113,4101ed79233a5b5898733d86311407b2,WP_019633337.1,WP_019633337.1,C001,1,301,TEP101,Actinomadura atramentaria,,
m0080,2cdb0469feb77ba7e2d63ca3b108b137,WP_031525917.1,WP_031525917.1,C001,1,426,ESM043,Streptomyces sp. NRRL F-5123,,
m0222,79c49015e4218f7c3a46046c08b8030d,WP_035284691,WP_035284691,C001,1,297,DP007,Actinokineospora spheciospongiae,,
m0426,e6cfd2897ec399a6f1d3ec1c6a98cdb7,WP_039353427,WP_039353427;WP_039353427.1,C001,1,366,PET30,Kaistella (Chryseobacterium) jeonii,1,3.40.50.1820
m0200,6f59754c646b6771593cdb66b1cc732b,WP_045318561.1,WP_045318561.1,C001,1,424,1678,Lentzea aerocolonigenes,,
m0245,84adddad34e99d2a499ea48da9b8e877,WP_051808300.1,WP_051808300.1,C001,1,277,1638,Actinoplanes subtropicus,,
m0392,d78ca54fff3eddbc5a27aec8c337f94f,WP_058088494.1,WP_058088494.1,C001,1,279,AdCut,Acidovorax delafieldii,1,3.40.50.1820
m0037,1197ee1b96f74dd16a31dad1ba334c46,WP_062195544.1,WP_062195544.1,C001,1,292,Enzyme 406,Comamonadaceae bacterium,1,3.40.50.1820
m0334,bd809f78218b2481c1bf1b3a46c74053,WP_065917710.1,WP_065917710.1,C001,1,276,1169,Lentzea guizhouensis,,
m0428,e7d1a404d6aeb48e1849f68fefcf018f,WP_067035690.1,WP_067035690.1,C001,1,423,1876,Streptomyces dysideae,,
m0278,9a2d32901525985492563aa339b79812,WP_068752972.1,WP_068752972.1,C001,1,300,PC6,Thermobifida cellulosilytica,,
m0091,325634c8b48334249f0532c897258e2e,WP_068824797.1,WP_068824797.1,C001,1,297,jmPE14,Pseudomonas sp. JM16B3,1,3.40.50.1820
m0378,d09446e7bab13e062244cd0babc73a84,WP_073887759.1,WP_073887759.1,C001,1,415,1465,Saccharothrix sp. CB00851,,
m0427,e7456e8fab716e570d81b4e7665698f5,WP_075737041.1,WP_075737041.1,C001,1,304,1496,Streptomyces acidiscabies,,
m0310,adfd257d774083524a52123058ec51d1,WP_075975245.1,WP_075975245.1,C001,1,307,PC5,Actinokineospora bangkokensis,,
m0272,95d3a22f0e3002d3ebc3f9cc29dfe4d8,WP_078844206.1,WP_078844206.1,C001,1,348,1555,Streptomyces achromogenes,,
m0160,5a6ca9ba6be2179ba6074343233d0a9b,WP_081971423.1,WP_081971423.1,C001,1,265,1463,Dactylosporangium aurantiacum,,
m0381,d2d63d5f8721e814ea2a657ecc8fe703,WP_082377728.1,WP_082377728.1,C001,1,469,1534,Micromonospora sp. NRRL B-16802,,
m0163,5b6bcacc9716a844b6969cbeb5e49ef1,WP_082403176.1,WP_082403176.1,C001,1,455,1491,Saccharothrix sp. NRRL B-16348,,
m0400,dbb69c16a79774a1a51b4b80a8f1bd63,WP_083302694.1,WP_083302694.1,C001,1,463,1594,Micromonospora carbonacea,,
m0056,1e1f498fae0e6d56fb87a52a1fef96ff,WP_083947829,WP_083947829;WP_083947829.1,C001,1,284,Enzyme 711,Thermobifida cellulosilytica,1,3.40.50.1820
m0269,95981aed79b153af6c6d1c44c404d164,WP_083950838.1,WP_083950838.1,C001,1,297,917,Actinomadura bacterium,,
m0450,f2230dff660f44612d863d5256b21d66,WP_084261341.1,WP_084261341.1,C001,1,473,ESM080,Micromonospora rifamycinica,,
m0335,bd90b02ae5726ceb4ec9f4431ba2ac16,WP_084400763.1,WP_084400763.1,C001,1,436,1506,Lentzea albidocapillata,,
m0325,b6f1885d482dc52936e39d224a8c33d1,WP_084434874.1,WP_084434874.1,C001,1,289,1663,Kibdelosporangium aridum,,
m0239,82d420ad8219d9469aeea11873ba7544,WP_084578793.1,WP_084578793.1,C001,1,337,1718,Kutzneria sp. 744,,
m0089,31e8cee08e99636ef7d35f9f5457bb57,WP_085749238,WP_085749238;WP_085749238.1,C001,1,279,RgPETase; RgCut-I,Rhizobacter gummiphilus NS21,1,3.40.50.1820
m0086,3159d0f519fd0565b7134f18713e8324,WP_085750434.1,WP_085750434.1,C001,1,289,DP039,Piscinibacter gummiphilus,,
m0315,b2964719fb8ec22dc054cd79f0d5be48,WP_086599340.1,WP_086599340.1,C001,1,455,TEP097,Streptomyces swartbergensis,,
m0466,fb6cb498ca713c8ff665a94eeaeab29f,WP_086668955.1,WP_086668955.1,C001,1,375,1475,Lentzea kentuckyensis,,
m0029,0f43f7fe3f0c0042197df2508ee850e3,WP_086784246.1,WP_086784246.1,C001,1,418,1654,Crossiella equi,,
m0268,9584eb11232d43e7df101608e2829102,WP_086849962.1,WP_086849962.1,C001,1,309,554,Amycolatopsis kentuckyensis,,
m0433,ebab773a50031e4f18dfa532f93c9379,WP_088988822.1,WP_088988822.1,C001,1,465,1621,Micromonospora chokoriensis,,
m0186,688e3468b20f955579952d514c187611,WP_089021493.1,WP_089021493.1,C001,1,460,1641,Micromonospora coriariae,,
m0404,de58930843f53b731bc34d03f729488d,WP_090538641,WP_090538641;WP_090538641.1,C001,1,304,Hfor_PE-H,Halopseudomonas formosensis,1,3.40.50.1820
m0008,0600d8fd8a62760bde8393fb0fde0e0d,WP_091283529.1,WP_091283529.1,C001,1,463,1591,Micromonospora haikouensis,,
m0439,ee65196da3cdd70d808c0f9ce2241ace,WP_091317053.1,WP_091317053.1,C001,1,309,ESM167,Amycolatopsis tolypomycina,,
m0082,2da35d44369fc57fbab077687acd8caf,WP_091450391.1,WP_091450391.1,C001,1,281,1228,Actinokineospora iranica,,
m0292,a07188a7bbb3e92357c73d9654c37734,WP_091553551.1,WP_091553551.1,C001,1,463,1628,Micromonospora pattaloongensis,,
m0283,9bc4714d8e79f6fcfcad8aca634001ab,WP_092528534.1,WP_092528534.1,C001,1,299,282,Amycolatopsis arida,,
m0109,3dcbffcfab5a9bf0b1856144dd30e5ef,WP_093411427.1,WP_093411427.1,C001,1,467,1545,Micromonospora sediminimaris,,
m0145,4f68c367317a6c09df48faffc017ad9e,WP_093412886.1,WP_093412886.1,C001,1,293,Enzyme 611,Saccharopolyspora flava,1,3.40.50.1820
m0111,3ed7551a77d0f6098185c1af7d8c8385,WP_093473685.1,WP_093473685.1,C001,1,303,ESM186,Halopseudomonas yangmingensis,,
m0104,3b8571a2d62a99f31d344cab5662e8e5,WP_093954453.1,WP_093954453.1,C001,1,302,1457,Amycolatopsis vastitatis,,
m0353,c38a15e286e531b02f655ce186f4c301,WP_099848711.1,WP_099848711.1,C001,1,444,1525,Verrucosispora sp. CNZ293,,
m0250,871ef0545eb8542ab53b599df2bff175,WP_101366623.1,WP_101366623.1,C001,1,468,1625,Plantactinospora sp. CNZ320,,
m0444,ef0ce8fcf0fe89871330b7d41cec0e7b,WP_101893509.1,WP_101893509.1,C001,1,283,Enzyme 409,Ketobacter sp.,1,3.40.50.1820
m0394,d887c31f2cd02dc21c2c52c61d02bd31,WP_103564314.1,WP_103564314.1,C001,1,298,1340,Actinomadura rubteroloni,,
m0446,f00445f8b289d0164aff442192f24187,WP_103939557.1,WP_103939557.1,C001,1,292,PC3,Thermomonospora echinospora,,
m0120,43855fcf31b8ee18bc3c65f3b00f10cb,WP_104115406.1,WP_104115406.1,C001,1,296,401,Micromonospora chalcea,,
m0410,e125fba23d29946317aa25973b8c03cb,WP_104613137.1,WP_104613137.1,C001,1,301,Enzyme 701,Thermobifida fusca,1,3.40.50.1820
m0411,e1a1ea6ee428462b281b661258d4bb19,WP_104739856.1,WP_104739856.1,C001,1,288,APET-27,Halopseudomonas oceani,,
m0115,41ec3fae20c0008c7ca666cd96974233,WP_107095481.1,WP_107095481.1,C001,1,310,Enzyme 607,Actinobacteria bacterium OV320,1,3.40.50.1820
m0110,3ecb425bded1a0f79d8f0e0d110588f5,WP_109361459.1,WP_109361459.1,C001,1,432,TEP102,Streptomyces sp. V2,,
m0280,9b203af8e18663d4e3880d49e74753ac,WP_109639600.1,WP_109639600.1,C001,1,422,1573,Lentzea atacamensis,,
m0085,31564b91ecf89c422e16abc249221256,WP_110080872.1,WP_110080872.1,C001,1,316,1424,Actinokineospora spheciospongiae,,
m0360,c5df14884c3311c4b6216b9fc6bf19bd,WP_110567505.1,WP_110567505.1,C001,1,465,1603,Micromonospora arborensis,,
m0058,2053c1f056678cc0df8796d8990fb355,WP_111214096.1,WP_111214096.1,C001,1,462,ESM059,Micromonospora craterilacus,,
