enzyme_name,organism,sequence_md5,node_id,sequence_length,matches_v1_node
1424,Actinokineospora spheciospongiae,31564b91ecf89c422e16abc249221256,m0085,316,0
DP039,Piscinibacter gummiphilus,3159d0f519fd0565b7134f18713e8324,m0086,289,0
lcp1,,316e87e4b339708fb285d715f460c8d2,m0087,406,0
TEP041,Crossiella sp. SN42,3195c72d9a6cc23e6a918505eb460744,m0088,266,0
RgCut-2,Piscinibacter gummiphilus,31e8cee08e99636ef7d35f9f5457bb57,m0089,279,1
PhaZ5,Cupriavidus necator,32320ea9636947aaaa29de601c9a9fa4,m0090,407,1
PaE,Moesziomyces antarcticus,339540f3809d8ac98ee633f1da7247e9,m0093,224,1
MGS0084,Environmental metagenome,342ff8b50fc233be7b68dc6cd032d5a7,m0094,411,1
Nyl93,Gordonia asplenii,34845c057c0fc493b1f6938327b2a52a,m0095,376,0
TEP014,Bioreactor metagenome,3553b7c612834728bae59c60af19fbda,m0096,300,0
APET-17,Rhizobacter sp.,362632b30b43e3854087c699d608f0b1,m0097,290,0
DP006,Actinokineospora alba,36a989ab704be3f0d22479cc94524084,m0098,294,0
ESM065,Micromonospora qiuiae,38977381259c624bdcec8191c6717c7a,m0100,323,0
Nyl87,Peptoniphilus sp. BV3C26,39f5ef8b2abbe007e623b9ceb5a0c815,m0101,313,0
DP017,Actinokineospora xionganensis,3a8b3b50918fa1553710b5c8d094771c,m0102,283,0
Nyl68,Bacteroidota bacterium,3b00f12fd36416ff8790c3e56ebd219c,m0103,312,0
1457,Amycolatopsis vastitatis,3b8571a2d62a99f31d344cab5662e8e5,m0104,302,0
Proteinase K,Parengyodontium album,3ccbadd7e660120a138f6df238b1b9ae,m0105,384,1
1240,Luteipulveratus halotolerans,3cdb04dfc6e8e2e6816fbe523d088f25,m0106,303,0
Lcp2VH2,Gordonia polyisoprenivorans,3d98c4ffc15561968b8fbb11d2ed071a,m0107,388,1
PLAase I,Amycolatopsis orientalis,3daf95d51a344e67e10dd0832d970bba,m0108,245,0
1545,Micromonospora sediminimaris,3dcbffcfab5a9bf0b1856144dd30e5ef,m0109,467,0
TEP102,Streptomyces sp. V2,3ecb425bded1a0f79d8f0e0d110588f5,m0110,432,0
ESM186,Halopseudomonas yangmingensis,3ed7551a77d0f6098185c1af7d8c8385,m0111,303,0
1637,Micromonospora violae,3f5b7ed180255f20639a75548bb8ac56,m0112,462,0
TEP101,Actinomadura atramentaria,4101ed79233a5b5898733d86311407b2,m0113,301,0
DP040,Actinokineospora spheciospongiae,4128006510697cae616c99ca6fbb128c,m0114,299,0
PhaZ4,Cupriavidus necator,426c9c3680fe7091b7e6f1c7a0f7e7d3,m0116,245,1
PsCut,Pseudomonas saudimassiliensis,42aa40364f5684f1f255819ab69b7b92,m0117,302,1
RgPETase,Piscinibacter gummiphilus,4307017d78508de526bb8422be94a4c4,m0118,292,1
TEP103,Kutzneria sp. CA-103260,4372f68d441785c9d134905aed4aae6b,m0119,293,0
401,Micromonospora chalcea,43855fcf31b8ee18bc3c65f3b00f10cb,m0120,296,0
ESM082,Dactylosporangium vinaceum,440c2c28c74998f465ccf99910827774,m0121,269,0
Nyl18,Halobacteriovoraceae bacterium,4413a75f4591f7557a156f377930d8c1,m0122,328,0
Nyl39,Synergistaceae bacterium,443647f8fdd6aeb0fa7cd9fb8076c86d,m0123,314,0
serineprotease,Actinomadura keratinilytica,462d8720dba9f954496a198bf18ce71c,m0124,386,0
Thc_Cut2,Thermobifida cellulosilytica,46578a460f23e13d1ebe0b0ebf887282,m0125,262,1
PhaZCac,Delftia acidovorans,46e18f09ca1ffe3e4eda0f6cae364c1e,m0126,734,1
PAM,Actinomadura keratinilytica,476b1b64d6172e51befe003e4e5d70cb,m0127,386,0
ESM169,Rhizobacter sp.,482a4e9fd90b37223b8f0f81a2d54eea,m0128,299,0
Nyl85,Faecalibacterium sp. CAG:1138,4862c74fdcd52e6437a16fe8f493fc97,m0129,302,0
DP059,Compost metagenome,486620f02642fa1a8f78c36a2740b0ec,m0130,445,0
Nyl57,Candidatus Zhuqueibacterota bacterium,48ba5f056713b1c70f39bd5277e17500,m0131,315,0
ESM070,Micromonospora sp. AKA109,499c56dadef662e14b044019d288f152,m0132,427,0
UMG-SP-1,Environmental sample,4ae54f06384b9660b40e76e9a902f585,m0133,438,1
PhaZd1,Cupriavidus necator,4b02a9379189f4f3f4a6d2b07ad427c9,m0134,362,1
PpEst,Ectopseudomonas oleovorans,4b50fcb2d78d50a7f5693abba7e356b1,m0135,201,1
DP003,Jonesia denitrificans,4b8623751837c39c9fe582aa5d675187,m0136,319,0
DP038,Rhizobacter sp.,4c8584c9364804042a9544a4f193e5dc,m0138,288,0
EstB,Pseudomonas sp. B10,4c93b29cd359ce02e9f06d853bb00619,m0139,218,1
1868,Microbispora triticiradicis,4ce5f290ca4d5d58749e55ef4f739ea0,m0140,436,0
BhrPETase,bacterium HR29,4dfca93c424da8986ee3fb484d868de2,m0142,293,1
CfCLE,Saitozyma flava,4e42b62ac9f3158a2a5a2b35e117d950,m0143,239,1
385,Thermoactinospora rubra,4eb20c9016001fd934311ea5fc36f89f,m0144,272,0
611,Saccharopolyspora flava,4f68c367317a6c09df48faffc017ad9e,m0145,293,1
ESM060,Paractinoplanes rishiriensis,4fc6ca50b7b51c5b7f98512adca3c679,m0146,410,0
E4,Altericroceibacterium indicum,512b62a8993ab9e45d25bcdfa650b798,m0147,191,0
Lcp1,Microtetraspora sp. AC03309,51637a74ae9efe92560e94b5e2bc6178,m0148,410,0
KbPETase,Kibdelosporangium banguiense,52ac6083b4c7d6faf903f936007224d2,m0149,270,0
Subtilisin Savinase,Lederbergia lenta,5353a76b2d62b148881304e276a3a0e0,m0150,269,1
TA29,Thermoleophilum album,546363f6f7e62663a681aa0546a7c08c,m0151,296,0
ESM006,Saccharothrix sp. S26,551946ddbe6046c13ca1a257eab4aeff,m0152,405,0
TEP181,Actinoplanes ianthinogenes,55c56bf6f40cb5a2497253d78cfe7803,m0154,421,0
DP084,Hamadaea sp.,56793a483b6506d4f822ce4dab41cbcb,m0155,285,0
IS10,Chloroflexi bacterium enrichment culture,572db808330016b2e517a2e6db0d8477,m0156,314,1
DP043,Actinoplanes sp. DH11,574237800be392daa0a6c80748375073,m0157,312,0
DP056,Compost metagenome,5803ed5f151b9467fa2e8894554b330e,m0158,303,0
Nc-NylC,Nocardiopsis composta,586a335986f45e096f6ca073737678a5,m0159,344,1
1463,Dactylosporangium aurantiacum,5a6ca9ba6be2179ba6074343233d0a9b,m0160,265,0
PD3,Brucella anthropi,5a880c3b46d61fb2b4fa713a243c511a,m0161,352,1
412,Ketobacter alkanivorans,5b3f01f3bbd1d34e9bcd72527c959781,m0162,311,0
1491,Saccharothrix sp. NRRL B-16348,5b6bcacc9716a844b6969cbeb5e49ef1,m0163,455,0
Amidase,Rhodococcus erythropolis,5c06f1259bc12791a4627d9b18c94185,m0164,483,1
TGL,Bacillus safensis,5c6047089b459f01b0f48bd717dcdfc0,m0165,213,0
PA4-degrading enzyme,Pseudoalteromonas sp.,5cee52f57ef4e114863f6926cabdca90,m0166,716,0
Tha_Cut1,Thermobifida alba,5e3a225d0c4dad34e74078ea45904b70,m0167,262,1
PHL-7,Compost metagenome,5e9df7f0c5b6442f1239982caf867978,m0168,267,0
EsterasePulA,Pseudomonas fluorescens,5fa3e19ca90991487c80ed55e34da806,m0169,451,1
PhaZ5,Paucimonas lemoignei,6012a802711a9bb008ee0895a518a5a0,m0170,433,1
BurPL,Burkholderiales bacterium,604018ae8af9058028c669f8ed8de020,m0171,426,1
Amidase,Rhodococcus erythropolis,6139d7ee947801e1ffa5c9345c785900,m0172,525,1
TA21,Thermoleophilum album,61d801881a590b1495fd2352c700c042,m0174,352,0
TEP111,Micromonospora carbonacea,62f7546aebcb1a559748d086de6571e6,m0175,424,0
IS12,Chloroflexi bacterium enrichment culture,63f3bcdf9d4e41b30836917c8f069d43,m0176,318,1
503,Nocardioidaceae bacterium,6435b353e1e02d2f720bc95ef5cb13af,m0177,294,1
Nyl65,Clostridiales bacterium,6479c4b689da748f2cb786f88522f290,m0179,318,0
NylC2,Microbacterium oxydans,647a8a79005fc7f3a762d4b29e0328ad,m0180,339,0
Amidase,Microbacterium hydrocarbonoxydans,6501b0257cf940e7d8aa9266fd92aaa1,m0181,283,1
1468,Kribbella albertanoniae,66ecc46b29b845a7a916ce1874720817,m0183,444,0
405,Actinobacteria bacterium OK074,677a11fa0e32fbd01338ba6d30fc718b,m0184,302,1
Lcp2,Streptomyces sp. AC04842,67b4409cf7dfe74bbb08798733600bfc,m0185,407,1
1641,Micromonospora coriariae,688e3468b20f955579952d514c187611,m0186,460,0
DP092,Microbispora catharanthi,68c96339ea5e9153dffdfbe8f9906985,m0187,450,0
APET-20,Solirubrobacteraceae bacterium,68f440a1f49336f2bc51060f5c2e99f1,m0188,293,0
1635,Micromonospora sp. HM134,690953c8ee380d8f7a711710318247ac,m0189,487,0
ESM090,Dactylosporangium sucinum,6b1009cf128e698e040b3329caa14ce2,m0190,285,0
1489,Micromonospora sp. KC723,6bfc5e52adfd5c1d647dbdd440a07380,m0191,447,0
Nyl58,Rhodospirillales bacterium,6c8a21cf9b056c70de13236ba6a2c881,m0192,342,0
Mors1,Moraxella sp. TA144,6c92a78329d5a05cad38caf62075d747,m0193,319,1
DP082,Paractinoplanes durhamensis,6c94e122d721e790088493d35c7c03a9,m0194,295,0
PaCut,Aquipseudomonas alcaligenes,6cfa5991a1358a2618da129bb29a2d1c,m0195,298,1
169,Microbispora sp. GKU 823,6def7fc8a6f81bb797445e688dbb615f,m0196,308,0
1482,Saccharothrix saharensis,6e59b2b22d0932610243c38a9455adb5,m0197,413,0
ESM177,Catellatospora methionotrophica,6e80f2f31cbe7bc9184caed2bea23776,m0198,290,0
NylC1,Leucobacter chromiiresistens,6eeb7b649b01121426a96ddee3c2c007,m0199,357,0
1678,Lentzea aerocolonigenes,6f59754c646b6771593cdb66b1cc732b,m0200,424,0
ESM084,Actinoallomurus spadix,701849adbc66ce54e28ad407951aee3b,m0202,424,0
TEP114,Actinoallomurus spadix,701849adbc66ce54e28ad407951aee3b,m0202,424,0
407,Allorhizocola rhizosphaerae,70461e4ccc8f072afc5757915d4ab26f,m0203,436,0
ESM096,Pseudomonas subflava,706fff86ca9f67473863ad795f5707fc,m0204,296,0
PpelaLip,Halopseudomonas pelagia,710f4592bfa0115da9f3500092b3518f,m0205,307,1
PET46,Candidatus Bathyarchaeota archaeon,71d88f44c8ddca8715a62d0d30305df5,m0206,262,1
TEP164,Crossiella sp. SN42,7269cc72c4e11c63f64df5c2d937af35,m0207,403,0
TfH42_Cut1,Thermobifida fusca,7290711b3d888830a61b777dcd01df5d,m0208,262,1
Nyl32,Treponema sp.,73f07a67f93f50ac08de42fd3f33928a,m0209,328,0
RPA1511,Rhodopseudomonas palustris,7452d6761b99d133be32ee4b17239cd1,m0210,295,1
DP021,Dactylosporangium sp.,74f45b9b297fc969ba3fd070bdedc403,m0211,451,0
DP068,Marine metagenome,75970cca0aca8c2628e21abeff92d2b0,m0212,420,0
PpPETase,Pseudomonas paralcaligenes,75b2b72259a73dea11dea49d5062379d,m0213,298,0
Nyl84,Mycobacterium avium subsp. paratuberculosis,760d48b991f3789858295120e590915c,m0214,347,0
Thh_Est,Thermobifida halotolerans,761f31759bb5d73ea55282d40c050c2e,m0215,262,1
1521,Micromonospora sp. KC213,77a7b5a521e48effd1710f14533ed6a5,m0216,443,0
NylA,Paenarthrobacter ureafaciens,77bca54fb186cc66d3f509d6fb835b65,m0218,493,1
1522,Catellatospora paridis,783d312623e9a23ce795d29a255d97a8,m0219,276,0
Nyl11,Ferrimonas marina,78f18c1dd8a82d742a0cccc5a0e6a951,m0220,343,0
ESM045,Rhizobacter sp.,790629d20f9a499b3cf518e1e7000b71,m0221,280,0
DP007,Actinokineospora spheciospongiae,79c49015e4218f7c3a46046c08b8030d,m0222,297,0
191,Streptomyces sp. SCA2-2,7a0b4f5fc6faf46b8f8e8de955097dbe,m0223,316,0
DP078,Pseudomonas fluvialis,7ad7db832510d64d62b4e29db40fa372,m0225,298,0
ESM038,Microbispora sp. H10830,7cf1ce68095952a5cc8abd5bbcfd1ff7,m0226,450,0
Nepenthesin-1,Nepenthes distillatoria,7d1184184e0086123cd94070ab861eb2,m0227,437,0
ESM064,Phytohabitans aurantiacus,7d398f96d8a77630de8a9da0c6635b29,m0228,401,0
TA26,Thermoleophilum album,7d43cc8143961b92bacba0d218fe7818,m0229,321,0
DP016,Actinomadura physcomitrii,7e5680dfd06abf1e4f5a432453eb246d,m0230,310,0
ESM026,Microbispora sp. ATCC PTA-5024,7f597bfa435ab3ad4d01391067fcea07,m0231,435,0
Lip4_120,Caldibacillus thermoamylovorans,7f7526ac0c7c4c8440ba6812322c88d5,m0232,417,1
MGS0156,Environmental metagenome,81a9df90765d3ca5a2dbd97ac8fe0e4f,m0234,421,1
NylCK,Kocuria sp. KY2,821c28b3e158579536d0795e3661b21a,m0236,355,1
porcine pancreatic lipase,Sus scrofa,829800eec935d841bf6bcc8772be89b2,m0237,112,0
BaCut1,Blastobotrys sp. G-9,82b7aa41d984234dbb69f23c5dfebbb9,m0238,222,1
1718,Kutzneria sp. 744,82d420ad8219d9469aeea11873ba7544,m0239,337,0
DP061,Paractinoplanes polyasparticus,83679359d645f51f2cc5de9332d999c2,m0240,457,0
Nyl12,Gammaproteobacteria bacterium 39-13,837c8cc88d3bee11c34fe65c687d9dcb,m0241,328,0
ESM121,Micromonospora sp. D93,83d0a1b5946039d3d9f242317fa6fb04,m0242,337,0
aryl acylamidase,Nocardia farcinica,848290309a9cbec4776951ce54a69af3,m0243,479,0
Nyl14,Olsenella sp. An290,8498b2d8f6b8bed93dff49ed65b14a6a,m0244,335,0
1638,Actinoplanes subtropicus,84adddad34e99d2a499ea48da9b8e877,m0245,277,0
RoxA,Steroidobacter cummioxidans,84ba28218df106867af936d87aba63b4,m0246,678,1
TEP083,Micromonosporaceae bacterium,8665fb3ab4a93730539cbcef27fe971c,m0248,325,0
1519,Verrucosispora sp. SN26_14.1,86e8274d483618172b997d8cd41d9088,m0249,426,0
1625,Plantactinospora sp. CNZ320,871ef0545eb8542ab53b599df2bff175,m0250,468,0
ESM052,Paractinoplanes deccanensis,87d890e381a7d683e581e77330a26d0d,m0251,417,0
PET94,Arenibacter palladensis,88d5d5ad4f13b7f9976990ed82e5489d,m0252,433,0
Nyl04,Gonapodya prolifera,89a542779c863e59d7568848d38bc88c,m0253,366,0
Nyl25,Sulfobacillus benefaciens,8a8c23e1f5be053cf56566f33d5c2c4f,m0255,325,0
PhaZ2,Cupriavidus necator,8b6e9ddd1da10e1d0d3c47e2aeaaba85,m0256,404,1
ESM062,Micromonospora taraxaci,8c0f8f5d213b7906c63a5fb5aa82b750,m0257,465,0
Est18_23,Caldibacillus thermoamylovorans,8f7ceab2fc48801f9eff4ec96dd6b2b3,m0258,491,1
NylC5,Gordonia sp. (in: high G+C Gram-positive bacteria),8f9519fc6a65305fa5d478fdece2fc6f,m0259,364,0
ESM024,Microbispora triticiradicis,8fede4413e76abb354158b5bb05b5c6e,m0260,432,0
ESM136,Actinoplanes ianthinogenes,908216a2c74668c66d426a981d0e781f,m0261,431,0
TEP168,Micromonospora lutea,919d07e2ff9f6934831419a4fee7cec4,m0262,449,0
APET-5,Lentzea guizhouensis,91fdd1b5e2e32c2e3842e6b87058f3ad,m0263,298,0
PHL-2,compost metagenome,925eaa1d8c145880ff409530b973e7fe,m0264,260,1
ESM140,Amycolatopsis sp. WQ 127309,93b32d1591ea6472ac216d086e5cbcd0,m0265,308,0
DP008,Herbihabitans rhizosphaerae,93d3e56e0fbe62971eaa3408dd5c2753,m0266,297,0
DP057,Acidimicrobiales bacterium,93e9e12285afdbc5032f261307327236,m0267,322,0
554,Amycolatopsis kentuckyensis,9584eb11232d43e7df101608e2829102,m0268,309,0
917,Actinomadura bacterium,95981aed79b153af6c6d1c44c404d164,m0269,297,0
Tcur0390,Thermomonospora curvata,95b8c354124ce6fc0e73869c1285b609,m0270,292,1
Lcp1,Streptomyces sp. AC04842,95d1e9d1e5c89ada66637cb1f2c7e05e,m0271,410,1
1555,Streptomyces achromogenes,95d3a22f0e3002d3ebc3f9cc29dfe4d8,m0272,348,0
TEP163,Streptomyces sp. TRM70350,96377f7c445eeaa275813b1b600057b4,m0274,418,0
PlaM4,PLA disk compost metagenome,970357e6455a991c27de46edeee96a39,m0275,431,1
PhaZpst,Stutzerimonas stutzeri,9779282f44f5947a072f15c26945d21a,m0276,576,1
Nyl54,Acrocarpospora macrocephala,98b7cab0bd87dc8928ce3d2268c12837,m0277,313,0
PC6,Thermobifida cellulosilytica,9a2d32901525985492563aa339b79812,m0278,300,0
1395,Herbihabitans rhizosphaerae,9a39f26de8397ad8e82c7ddd5ffb0a75,m0279,295,0
1573,Lentzea atacamensis,9b203af8e18663d4e3880d49e74753ac,m0280,422,0
PET12,Caldimonas brevitalea,9b361d2c16557499693210de2a8a01b4,m0281,298,1
Nyl30,Clostridium perfringens,9b90c9e3ec99c954a957af14f8a6dbfa,m0282,325,0
282,Amycolatopsis arida,9bc4714d8e79f6fcfcad8aca634001ab,m0283,299,0
ESM033,Phytohabitans rumicis,9be600f74fc6650fed502d1de7647551,m0284,402,0
PC8,Pseudomonadales bacterium,9c6726c69068e8abf43de5f7f465e825,m0285,303,0
RoxB,Steroidobacter cummioxidans,9c7dbb673a1f18286b846d8354918b3d,m0286,681,1
Nyl29,Halanaerobium sp.,9ddbfd65b32950166fd96c22ff7b9b51,m0288,302,0
1309,Nocardioides albertanoniae,9ffafefd549320c21cd92af62f19d6eb,m0289,286,0
BTA-1,Thermobifida fusca,a0445e5a5b156ccfedc088c49acfd84a,m0290,301,1
Tfu_0883,Thermobifida fusca,a0445e5a5b156ccfedc088c49acfd84a,m0290,301,1
Cut2,Thermobifida fusca,a0445e5a5b156ccfedc088c49acfd84a,m0290,301,1
FoCut5a,Fusarium oxysporum,a0550530145e06d4170e283fb389aa62,m0291,230,1
1628,Micromonospora pattaloongensis,a07188a7bbb3e92357c73d9654c37734,m0292,463,0
HG-4,Heyndrickxia coagulans,a0904c35f59716a292ebfca5adfcbc0e,m0293,254,1
Nyl63,Oceanithermus sp.,a1903a69f23f1f6796d526895436a50c,m0294,288,0
Sub1,Streptomyces scabiei,a2dfe48912d34dabd9ec983f2380b945,m0296,186,1
ESM012,Solwaraspora sp. WMMA2059,a2f79a79ff4db5f56ded2690d708f4c9,m0297,415,0
PFL1,Pelosinus fermentans,a436d17bdfc2c17a51007a01c569dc7a,m0298,402,1
LCP_STRK3,Streptomyces sp. K30,a4c818ade03b8dd4ac34b64a7842f3ec,m0299,397,0
Cbotu_EstB,Clostridium botulinum,a4cafac901140b6b19f1c384d078b5d5,m0300,400,1
Cut190,Saccharomonospora viridis,a5e57aa9699b655bb23f42f50c4debb3,m0301,304,1
P-nylA,Pseudomonas sp. NK87,a79509a510d90a50f6702955b1ad3b49,m0302,493,1
AdCut,Acidovorax delafieldii,a9bad1df9172c94be6b225bd32b6bd1d,m0303,304,1
PbsA,Acidovorax delafieldii,a9bad1df9172c94be6b225bd32b6bd1d,m0303,304,1
HG-5,Longicatena bacterium,aa1b463709fa62d66034d00d46f2bb52,m0304,313,0
ESM157,Micromonospora acroterricola,aa5e991d0a1e69991b26163c98de8ec8,m0306,292,0
PHL-4,Compost metagenome,aaa9786d473a7eb02349e757ab50352c,m0307,257,1
M-NylC,Microbacterium sp.,aaede276fbd61767d03028e2d193d5a7,m0308,340,1
ABO2449,Alcanivorax borkumensis,ab6b2d53513cc127c20db4ff15e7a322,m0309,305,1
PC5,Actinokineospora bangkokensis,adfd257d774083524a52123058ec51d1,m0310,307,0
CRL,Diutina rugosa,ae6cbacf6d3d769dff0a3b8f7cedca64,m0311,538,0
DP080,Thermoleophilaceae bacterium,aea6a56696f03519f9e6511f50cff512,m0312,292,0
PET27,Aequorivita sp. CIP111184,afb025038508228d84d2fe8c130d5d14,m0313,364,1
TvgC,Thermovenabulum gondwanense,b22bccd61057993ecd2ea241ac190b32,m0314,326,0
