node_id,sequence_md5,accession,sequence_length,component_id,component_kind,is_new,outcome,v1_component,merged_from,cath,pazy_id,activity
m0284,9be600f74fc6650fed502d1de7647551,ESM033,402,M1,merged,1,merge,,1;20;35,,,
m0319,b3403aecb7ec20ee0e5b0e79cac01b17,ESM035,398,M1,merged,1,merge,,1;20;35,,,
m0226,7cf1ce68095952a5cc8abd5bbcfd1ff7,ESM038,450,M1,merged,1,merge,,1;20;35,,,
m0080,2cdb0469feb77ba7e2d63ca3b108b137,ESM043,426,M1,merged,1,merge,,1;20;35,,,
m0221,790629d20f9a499b3cf518e1e7000b71,ESM045,280,M1,merged,1,merge,,1;20;35,,,
m0384,d3daf5d62100e8ce832f8dde87008494,ESM050,276,M1,merged,1,merge,,1;20;35,,,
m0251,87d890e381a7d683e581e77330a26d0d,ESM052,417,M1,merged,1,merge,,1;20;35,,,
m0322,b4e16b9dec1e241cf86cedf832d14404,ESM058,447,M1,merged,1,merge,,1;20;35,,,
m0058,2053c1f056678cc0df8796d8990fb355,ESM059,462,M1,merged,1,merge,,1;20;35,,,
m0146,4fc6ca50b7b51c5b7f98512adca3c679,ESM060,410,M1,merged,1,merge,,1;20;35,,,
m0453,f2e235a71b5ce3ac861bb6b70e9c8fef,ESM061,346,M1,merged,1,merge,,1;20;35,,,
m0257,8c0f8f5d213b7906c63a5fb5aa82b750,ESM062,465,M1,merged,1,merge,,1;20;35,,,
m0228,7d398f96d8a77630de8a9da0c6635b29,ESM064,401,M1,merged,1,merge,,1;20;35,,,
m0100,38977381259c624bdcec8191c6717c7a,ESM065,323,M1,merged,1,merge,,1;20;35,,,
m0468,fbdf1fd8bb136bc1f27b76dfedecd095,ESM069,443,M1,merged,1,merge,,1;20;35,,,
m0132,499c56dadef662e14b044019d288f152,ESM070,427,M1,merged,1,merge,,1;20;35,,,
m0450,f2230dff660f44612d863d5256b21d66,ESM080,473,M1,merged,1,merge,,1;20;35,,,
m0337,bdf8d7a37e7c86332298115201631ed5,ESM081,402,M1,merged,1,merge,,1;20;35,,,
m0121,440c2c28c74998f465ccf99910827774,ESM082,269,M1,merged,1,merge,,1;20;35,,,
m0202,701849adbc66ce54e28ad407951aee3b,ESM084,424,M1,merged,1,merge,,1;20;35,,,
m0190,6b1009cf128e698e040b3329caa14ce2,ESM090,285,M1,merged,1,merge,,1;20;35,,,
m0049,1801d10ed570ce70933bdbe9f25a34b6,ESM093,279,M1,merged,1,merge,,1;20;35,,,
m0204,706fff86ca9f67473863ad795f5707fc,ESM096,296,M1,merged,1,merge,,1;20;35,,,
m0366,c9ffb681928784046345a8ec3ee7f48b,ESM097,417,M1,merged,1,merge,,1;20;35,,,
m0016,0a552022c4776bbf93ebe23164db0cd0,ESM101,474,M1,merged,1,merge,,1;20;35,,,
m0242,83d0a1b5946039d3d9f242317fa6fb04,ESM121,337,M1,merged,1,merge,,1;20;35,,,
m0390,d5df0a16c2eaa48e8fab4f9997684475,ESM128,299,M1,merged,1,merge,,1;20;35,,,
m0393,d79cf5b4d590dd725f813e9a110c9f14,ESM130,469,M1,merged,1,merge,,1;20;35,,,
m0261,908216a2c74668c66d426a981d0e781f,ESM136,431,M1,merged,1,merge,,1;20;35,,,
m0464,fb2204e84d7a9a86df947cd20e179223,ESM139,339,M1,merged,1,merge,,1;20;35,,,
m0265,93b32d1591ea6472ac216d086e5cbcd0,ESM140,308,M1,merged,1,merge,,1;20;35,,,
m0062,21b9ee3c2d064bd97bf205292edd4e77,ESM144,288,M1,merged,1,merge,,1;20;35,,,
m0452,f2a58e1db1245fbca5aba50020c17682,ESM156,293,M1,merged,1,merge,,1;20;35,,,
m0306,aa5e991d0a1e69991b26163c98de8ec8,ESM157,292,M1,merged,1,merge,,1;20;35,,,
m0371,cbddcdc003933ffe8ee63f00b7c12abf,ESM159,301,M1,merged,1,merge,,1;20;35,,,
m0019,0bed3021f541af53d7f9285ae8d85094,ESM160,296,M1,merged,1,merge,,1;20;35,,,
m0439,ee65196da3cdd70d808c0f9ce2241ace,ESM167,309,M1,merged,1,merge,,1;20;35,,,
m0128,482a4e9fd90b37223b8f0f81a2d54eea,ESM169,299,M1,merged,1,merge,,1;20;35,,,
m0418,e525d1329e534ccfe83308865ef3fa06,ESM173,449,M1,merged,1,merge,,1;20;35,,,
m0198,6e80f2f31cbe7bc9184caed2bea23776,ESM177,290,M1,merged,1,merge,,1;20;35,,,
m0111,3ed7551a77d0f6098185c1af7d8c8385,ESM186,303,M1,merged,1,merge,,1;20;35,,,
m0361,c627badfbdd42acfa7664595a681b789,F7IX06,300,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0054,1b0d2c147b96bad033703fb124a50764,G9BY57,293,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0142,4dfca93c424da8986ee3fb484d868de2,GBD22443,293,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0215,761f31759bb5d73ea55282d40c050c2e,H6WX58,262,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0304,aa1b463709fa62d66034d00d46f2bb52,HG-5,313,M1,merged,1,merge,,1;20;35,,,
m0001,004af9e9b29cb7a99eee6d96edfaabcd,HP,280,M1,merged,1,merge,,1;20;35,,,
m0099,37caf8c38d262f6d271a5e7c422d4423,JGI20132J14458_10325381,257,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0382,d357a79e14b6376e4d3557864252bfe8,JN129499.1,319,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0290,a0445e5a5b156ccfedc088c49acfd84a,JN129500.1,301,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0356,c48ea13e3b7c4343a47482e71c9b2abe,JzSedJan11_10004914,263,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0205,710f4592bfa0115da9f3500092b3518f,KU695573,307,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0435,ec1108b84e036f58c2b72e2c1fcd594e,KaPETase,286,M1,merged,1,merge,,1;20;35,,,
m0149,52ac6083b4c7d6faf903f936007224d2,KbPETase,270,M1,merged,1,merge,,1;20;35,,,
m0442,eeae01ba76427bc51c141cb43ccba7fd,Kubu-P,288,M1,merged,1,merge,,1;20;35,,,
m0333,bc7a038f9383a1c9351ad53e8f89a243,MEC8523093.1,292,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0076,2b913d598a604cd64df1b67d929b5d6f,MG8,307,M1,merged,1,merge,,1;20;35,,,
m0471,fd6fe4eecb575bbb51d49f121a523532,Mipa-P,294,M1,merged,1,merge,,1;20;35,,,
m0469,fcafc8f695c58e71718b19c1a7c315ba,N20M5AZM016,258,M1,merged,0,,20,1;20;35,3.40.50.1820,,
m0047,174ba911d73b1edc801c52651ec17efd,ODU60407.1,305,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0472,fe08eef9c8f87d7d57af2914ff906b14,OK558824,316,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0044,15938ddd57d7448aa110a9139193c91b,OK558825,307,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0193,6c92a78329d5a05cad38caf62075d747,P19833,319,M1,merged,0,,1,1;20;35,3.40.50.1820,,
m0446,f00445f8b289d0164aff442192f24187,PC3,292,M1,merged,1,merge,,1;20;35,,,
m0475,fe354046ad936ac3305fe124cc0c4bcc,PC4,309,M1,merged,1,merge,,1;20;35,,,
m0310,adfd257d774083524a52123058ec51d1,PC5,307,M1,merged,1,merge,,1;20;35,,,
m0278,9a2d32901525985492563aa339b79812,PC6,300,M1,merged,1,merge,,1;20;35,,,
m0285,9c6726c69068e8abf43de5f7f465e825,PC8,303,M1,merged,1,merge,,1;20;35,,,
m0018,0b490a6d93d67b0ebb2d6cd3d80f9d9a,PET93,434,M1,merged,1,merge,,1;20;35,,,
m0252,88d5d5ad4f13b7f9976990ed82e5489d,PET94,433,M1,merged,1,merge,,1;20;35,,,
m0168,5e9df7f0c5b6442f1239982caf867978,PHL-7,267,M1,merged,1,merge,,1;20;35,,,
m0332,bb60668c33aefeacbb320f1a972407e4,PmC,280,M1,merged,1,merge,,1;20;35,,,
m0213,75b2b72259a73dea11dea49d5062379d,PpPETase,298,M1,merged,1,merge,,1;20;35,,,
