component_id,size_rank,canonical_accession,n_members,n_with_v1_overlay,v1_component_spread,cath_folds,member_accessions
C010,11,AAP85930.1,5,5,3,3.40.50.1820,AAP85930.1;WP_010813770.1;WP_011614907.1;WP_011616504.1;WP_011616952.1
C022,12,APJ12152,5,3,26,3.40.50.1820,APJ12152;BAC67195.1;BAV72205.1;WAT79796.1;JW44_1708
C012,13,ABY53108.1,4,2,11,2.40.10.10,ABY53108.1;P00761.1;Q75UA4;WP_037320891.1
C014,14,ACY56506.1,4,3,22,3.40.50.1820,ACY56506.1;WDT94443;WP_013956815.1;WP_034768559.1
C009,15,AAP41848.1,3,3,15,NA,AAP41848.1;AQV11968.1;WP_085748997.1
C002,16,7C2A_A,2,1,17,TBDX,7C2A_A;WP_003460012.1
C013,17,ABY67151.1,2,1,12,2.40.10.10,ABY67151.1;WP_044849715.1
C018,18,AII11185.1,2,2,14,2.60.40.420,AII11185.1;AII11221.1
C026,19,BAF57212.1,2,2,5,3.40.50.1820,BAF57212.1;BAF57213.1
C029,20,CAA24927.1,2,1,42,3.40.710.10,CAA24927.1;CAA26616.1
C035,21,WDT94189,2,1,32,3.40.50.1820,WDT94189;WP_011589723.1
C036,22,WP_010811062.1,2,2,31,3.40.50.1820,WP_010811062.1;WP_011617846.1
C039,23,WP_011615575.1,2,2,28,3.40.50.1820,WP_011615575.1;WP_034398300.1
C007,24,AAA33742.1,1,0,,,AAA33742.1
C016,25,AGT96414.1,1,1,8,3.40.710.10,AGT96414.1
C017,26,AHG30919.1,1,1,41,3.40.710.10,AHG30919.1
C019,27,AKJ87250,1,1,18,TBDY,AKJ87250
C020,28,AKJ87264,1,1,24,3.40.50.1820,AKJ87264
C024,29,BAA32541.1,1,1,29,3.40.50.1820,BAA32541.1
C025,30,BAD07474.1,1,0,,,BAD07474.1
C027,31,BAF57214.1,1,1,40,3.40.50.1820,BAF57214.1
C028,32,BEG79545,1,0,,,BEG79545
C030,33,CAA83122.1,1,1,7,3.40.50.1820,CAA83122.1
C031,34,NP_390179.1,1,0,,,NP_390179.1
C032,35,NP_999368.1,1,0,,,NP_999368.1
C033,36,P08684.4,1,0,,,P08684.4
C034,37,UNZ81747.1,1,1,43,3.40.710.10,UNZ81747.1
C037,38,WP_011157072.1,1,1,6,3.40.50.1820,WP_011157072.1
C038,39,WP_011615004.1,1,1,33,3.40.50.1820,WP_011615004.1
C040,40,WP_012433325.1,1,1,19,TBDZ,WP_012433325.1
C041,41,WP_034767800,1,1,36,3.40.50.1820,WP_034767800
C042,42,WP_041846030,1,1,37,3.40.50.1820,WP_041846030
C043,43,WP_085690612,1,1,38,3.40.50.1820,WP_085690612
C044,44,WP_108898647,1,1,39,3.40.50.1820,WP_108898647
C045,45,WP_132259156.1,1,1,34,3.40.50.1820,WP_132259156.1
C046,46,GuaPA,1,0,,,GuaPA
