node_id,sequence_md5,accession,accession_all,component_id,size_rank,sequence_length,enzyme_name,organism,v1_component,cath
m0047,161e4dc2c4ef1e36fe625c65439a815b,CCH19814.1,CCH19814.1,C001,1,465,1617,Micromonospora lupini,,
m0422,e0db2a4f62c16fd0850cb05f28dbe103,CCK74972.1,CCK74972.1,C001,1,310,PET5,Oleispira antarctica,1,3.40.50.1820
m0432,e5571e8fd143e90bd5db0ca52ce67226,DAC80635.1,DAC80635.1,C001,1,284,SM14est,Streptomyces sp. SM14,1,3.40.50.1820
m0146,4d6c690dd47d3941954de2c9d2abaf2f,E5BBQ2,E5BBQ2,C001,1,319,TfCut_1; Cut-1.kw3,Thermobifida fusca,1,3.40.50.1820
m0182,6435b353e1e02d2f720bc95ef5cb13af,EGD44994.1,EGD44994.1,C001,1,294,503,Nocardioidaceae bacterium,1,3.40.50.1820
m0147,4dfca93c424da8986ee3fb484d868de2,GBD22443.1,GBD22443.1,C001,1,293,BhrPETase,bacterium HR29,1,3.40.50.1820
m0292,9be600f74fc6650fed502d1de7647551,GFJ87714.1,GFJ87714.1,C001,1,402,ESM033,Phytohabitans rumicis,,
m0447,eba0373101b5f637e985de667b0b86e7,GGO06455.1,GGO06455.1,C001,1,296,TEP061,Microbispora rosea subsp. aerata,,
m0269,908216a2c74668c66d426a981d0e781f,GGR16917.1,GGR16917.1,C001,1,431,ESM136,Actinoplanes ianthinogenes,,
m0134,499c56dadef662e14b044019d288f152,GHJ08786.1,GHJ08786.1,C001,1,427,ESM070,Micromonospora sp. AKA109,,
m0063,21529d199ac34be22c7967f66af4194b,GIG90696.1,GIG90696.1,C001,1,472,TEP092,Plantactinospora endophytica,,
m0395,d3daf5d62100e8ce832f8dde87008494,GIU85367.1,GIU85367.1,C001,1,276,ESM050,Acidimicrobiales bacterium,,
m0335,b58a47b76cafd61a000f8498a34fd166,GIU85371.1,GIU85371.1,C001,1,242,TEP189,Acidimicrobiales bacterium,,
m0108,3cdb04dfc6e8e2e6816fbe523d088f25,KNX38636.1,KNX38636.1,C001,1,303,1240,Luteipulveratus halotolerans,,
m0189,677a11fa0e32fbd01338ba6d30fc718b,KPI12031.1,KPI12031.1,C001,1,302,405,Actinobacteria bacterium OK074,1,3.40.50.1820
m0360,c14a617c964156f1d3d4b9dedd1535b4,KPI31299.1,KPI31299.1,C001,1,306,607-Nsp,Actinobacteria bacterium OV320,,
m0427,e44d2abc0169b043201fff28f40feeb9,KZY99137.1,KZY99137.1,C001,1,292,APET-32,Oleibacter sp. HI0075,,
m0293,9c6726c69068e8abf43de5f7f465e825,MBA55398.1,MBA55398.1,C001,1,303,PC8,Pseudomonadales bacterium,,
m0340,b80b1227f73f4dd4ff1fd9546d415275,MBE65357.1,MBE65357.1,C001,1,305,APET-29,Gammaproteobacteria bacterium,,
m0467,f2e235a71b5ce3ac861bb6b70e9c8fef,MBF9135495.1,MBF9135495.1,C001,1,346,ESM061,Plantactinospora alkalitolerans,,
m0323,aea6a56696f03519f9e6511f50cff512,MBJ7347705.1,MBJ7347705.1,C001,1,292,DP080,Thermoleophilaceae bacterium,,
m0254,8665fb3ab4a93730539cbcef27fe971c,MBN1171866.1,MBN1171866.1,C001,1,325,TEP083,Micromonosporaceae bacterium,,
m0275,93e9e12285afdbc5032f261307327236,MBN2622270.1,MBN2622270.1,C001,1,322,DP057,Acidimicrobiales bacterium,,
m0268,8fede4413e76abb354158b5bb05b5c6e,MBO4274871.1,MBO4274871.1,C001,1,432,ESM024,Microbispora triticiradicis,,
m0193,68f440a1f49336f2bc51060f5c2e99f1,MBO9532528.1,MBO9532528.1,C001,1,293,APET-20,Solirubrobacteraceae bacterium,,
m0014,073f8bc76f09e2183891c86f93e05b7d,MBO9569276.1,MBO9569276.1,C001,1,284,TEP091,Cellulomonas iranensis,,
m0215,74f45b9b297fc969ba3fd070bdedc403,MBT8227529.1,MBT8227529.1,C001,1,451,DP021,Dactylosporangium sp.,,
m0130,482a4e9fd90b37223b8f0f81a2d54eea,MBT9528079.1,MBT9528079.1,C001,1,299,ESM169,Rhizobacter sp.,,
m0017,0a552022c4776bbf93ebe23164db0cd0,MBW4703769.1,MBW4703769.1,C001,1,474,ESM101,Micromonospora sp. RL09-050-HVF-A,,
m0078,2af6d737171357f18fd9f3cddedf6015,MBX2857432.1,MBX2857432.1,C001,1,275,APET-28,Cellvibrionaceae bacterium,,
m0226,790629d20f9a499b3cf518e1e7000b71,MBX3621832.1,MBX3621832.1,C001,1,280,ESM045,Rhizobacter sp.,,
m0142,4c8584c9364804042a9544a4f193e5dc,MBX3624429.1,MBX3624429.1,C001,1,288,DP038,Rhizobacter sp.,,
m0100,362632b30b43e3854087c699d608f0b1,MBX3625601.1,MBX3625601.1,C001,1,290,APET-17,Rhizobacter sp.,,
m0405,d79cf5b4d590dd725f813e9a110c9f14,MCF0091346.1,MCF0091346.1,C001,1,469,ESM130,Micromonospora sp. MH99,,
m0345,bc7a038f9383a1c9351ad53e8f89a243,MEC8523093,MEC8523093,C001,1,292,dsPETase06,Pseudomonadota bacterium,1,3.40.50.1820
m0329,b3098fdcf4be1ef53a8636f87b4e409c,MGYP000221121644,MGYP000221121644,C001,1,425,DP081,Marine metagenome,,
m0216,75970cca0aca8c2628e21abeff92d2b0,MGYP000271253724,MGYP000271253724,C001,1,420,DP068,Marine metagenome,,
m0079,2b913d598a604cd64df1b67d929b5d6f,MGYP000532440779,MGYP000532440779,C001,1,307,MG8,Oral metagenome,,
m0132,486620f02642fa1a8f78c36a2740b0ec,MGYP001121581011,MGYP001121581011,C001,1,445,DP059,Compost metagenome,,
m0099,3553b7c612834728bae59c60af19fbda,MGYP001477358452,MGYP001477358452,C001,1,300,TEP014,Bioreactor metagenome,,
m0163,5803ed5f151b9467fa2e8894554b330e,MGYP001489421514,MGYP001489421514,C001,1,303,DP056,Compost metagenome,,
m0054,18f1178aa194bcd44f9de9bf8b6ef166,MPZ00478.1,MPZ00478.1,C001,1,285,APET-25,Actinophytocola sp.,,
m0361,c1a1ed20efb294068bc8e1483c391d0c,MSQ87502.1,MSQ87502.1,C001,1,326,APET-23,Alphaproteobacteria bacterium,,
m0431,e525d1329e534ccfe83308865ef3fa06,MTK05241.1,MTK05241.1,C001,1,449,ESM173,Micromonospora sp. CP22,,
m0160,56793a483b6506d4f822ce4dab41cbcb,NUT34383.1,NUT34383.1,C001,1,285,DP084,Hamadaea sp.,,
m0049,174ba911d73b1edc801c52651ec17efd,ODU60407.1,ODU60407.1,C001,1,305,406,Comamonadaceae bacterium,1,3.40.50.1820
m0176,604018ae8af9058028c669f8ed8de020,OGB27210,OGB27210,C001,1,426,BurPL,Burkholderiales bacterium,1,3.40.50.1820
m0332,b413b66095d2f7ce85f02f9748d49cb5,OKK16161.1,OKK16161.1,C001,1,425,1537,Streptomyces sp. CB00455,,
m0201,6def7fc8a6f81bb797445e688dbb615f,OPG10926.1,OPG10926.1,C001,1,308,169,Microbispora sp. GKU 823,,
m0198,6c92a78329d5a05cad38caf62075d747,P19833.1,P19833.1,C001,1,319,Mors1,Moraxella sp. TA144,1,3.40.50.1820
m0315,aa5e991d0a1e69991b26163c98de8ec8,PWR09075.1,PWR09075.1,C001,1,292,ESM157,Micromonospora acroterricola,,
m0166,5a880c3b46d61fb2b4fa713a243c511a,QPA27412.1,QPA27412.1,C001,1,352,PD3,Brucella anthropi,35,3.40.50.1820
m0353,c0173ba184ddb729e7ef9122ecff0145,RGD93181.1,RGD93181.1,C001,1,270,HG-3,Clostridiales bacterium AM23-16LB,1,3.40.50.1820
m0210,71d88f44c8ddca8715a62d0d30305df5,RLI42440.1,RLI42440.1,C001,1,262,PET46,Candidatus Bathyarchaeota archaeon,1,3.40.50.1820
m0042,14a5c3e1584a0ee2518f18810a7fed98,RLT92980.1,RLT92980.1,C001,1,269,409,Ketobacter sp.,1,3.40.50.1820
m0045,1545cf731ea10ee62b256807199e37d8,RLU00646.1,RLU00646.1,C001,1,312,403,Ketobacter sp.,1,3.40.50.1820
m0287,9a39f26de8397ad8e82c7ddd5ffb0a75,RZL02950.1,RZL02950.1,C001,1,295,1395,Herbihabitans rhizosphaerae,,
m0002,00855c73c087597a6c69fa2b114d731e,SAY37579.1,SAY37579.1,C001,1,260,PHL-1,compost metagenome,1,3.40.50.1820
m0272,925eaa1d8c145880ff409530b973e7fe,SAY37582.1,SAY37582.1,C001,1,260,PHL-2,compost metagenome,1,3.40.50.1820
m0437,e6c1800b97f5f0184a1dd73540deb95a,SAY37583.1,SAY37583.1,C001,1,259,PHL-3,Compost metagenome,1,3.40.50.1820
m0317,aaa9786d473a7eb02349e757ab50352c,SAY37584.1,SAY37584.1,C001,1,257,PHL-4,Compost metagenome,1,3.40.50.1820
m0022,0c75d9f81ae52914a609ec24d4c68ea2,SAY37587,SAY37587,C001,1,257,PHL-5,Compost metagenome,1,3.40.50.1820
m0471,f5ac2c525370f659e6c1b4fc71e16ce1,SAY37589,SAY37589,C001,1,257,PHL-6,Compost metagenome,1,3.40.50.1820
m0484,fd6fe4eecb575bbb51d49f121a523532,SDZ16714.1,SDZ16714.1,C001,1,294,Mipa-P,Micromonospora pattaloongensis,,
m0040,1361228bf3f1c19ea8214555076414a7,SHM40309,SHM40309,C001,1,299,CaPETase,Cryptosporangium aurantiacum,1,3.40.50.1820
m0458,ef08656ab980fbd8c17fe79b6060a681,SJZ42839.1,SJZ42839.1,C001,1,311,606,Marinactinospora thermotolerans,1,3.40.50.1820
m0061,20f7abda67d907b1e03456185b9a7df8,SPF04022.1,SPF04022.1,C001,1,287,1392,Streptomyces sp. MA5143a,,
m0200,6cfa5991a1358a2618da129bb29a2d1c,SUD16364,SUD16364,C001,1,298,PaCut,Aquipseudomonas alcaligenes,1,3.40.50.1820
m0101,36a989ab704be3f0d22479cc94524084,TDP67440,TDP67440,C001,1,294,DP006,Actinokineospora alba,,
m0296,9ffafefd549320c21cd92af62f19d6eb,TQL66274.1,TQL66274.1,C001,1,286,1309,Nocardioides albertanoniae,,
m0265,8c0f8f5d213b7906c63a5fb5aa82b750,TWG17167.1,TWG17167.1,C001,1,465,ESM062,Micromonospora taraxaci,,
m0123,440c2c28c74998f465ccf99910827774,UAC02078.1,UAC02078.1,C001,1,269,ESM082,Dactylosporangium vinaceum,,
m0486,fe08eef9c8f87d7d57af2914ff906b14,UUT36763,UUT36763,C001,1,316,PLE629,Marinobacter sp.,1,3.40.50.1820
m0046,15938ddd57d7448aa110a9139193c91b,UUT36764,UUT36764,C001,1,307,PLE628,Marinobacter sp.,1,3.40.50.1820
m0391,d1aa8fa7800d986fee5acab07614bd0d,WAU86704,WAU86704,C001,1,263,PET40,Amycolatopsis bacterium,1,3.40.50.1820
m0304,a2f79a79ff4db5f56ded2690d708f4c9,WBC00352.1,WBC00352.1,C001,1,415,ESM012,Solwaraspora sp. WMMA2059,,
m0019,0b490a6d93d67b0ebb2d6cd3d80f9d9a,WKW63607.1,WKW63607.1,C001,1,434,PET93,Maribacter dokdonensis,,
m0259,88d5d5ad4f13b7f9976990ed82e5489d,WKW63608.1,WKW63608.1,C001,1,433,PET94,Arenibacter palladensis,,
m0239,81f568dbaa464c36246be059cfa19188,WNY00484.1,WNY00484.1,C001,1,282,GlacPETase,Pseudomonas sp.,1,3.40.50.1820
m0313,aa2b99b06ee80b2a22d650e6f32f1c1e,WOR09923.1,WOR09923.1,C001,1,257,SIBER-1,Microbispora sp.,1,3.40.50.1820
m0312,aa1b463709fa62d66034d00d46f2bb52,WP_008690040.1,WP_008690040.1,C001,1,313,HG-5,Longicatena bacterium,,
m0278,95b8c354124ce6fc0e73869c1285b609,WP_012850775.1,WP_012850775.1,C001,1,292,Tcur0390,Thermomonospora curvata,1,3.40.50.1820
m0351,be8748feeb335dbb23ea57c0ca66828f,WP_012851645.1,WP_012851645.1,C001,1,289,Tcur_1278,Thermomonospora curvata,1,3.40.50.1820
m0380,cb8aae798de32e627b62936dbc407aaf,WP_013736455.1,WP_013736455.1,C001,1,448,1546,Micromonospora sp. (multispecies),,
m0300,a0904c35f59716a292ebfca5adfcbc0e,WP_013858543.1,WP_013858543.1,C001,1,254,HG-4,Heyndrickxia coagulans,1,3.40.50.1820
m0308,a5e57aa9699b655bb23f42f50c4debb3,WP_015787089.1,WP_015787089.1,C001,1,304,Cut190,Saccharomonospora viridis,1,3.40.50.1820
m0328,b2ce4b3f3cb218404c049bd6ca3c3fef,WP_018657411.1,WP_018657411.1,C001,1,287,APET-24,Actinomadura flavalba,,
m0433,e56db99e4a0ff79df4c68a9972670396,WP_019629726.1,WP_019629726.1,C001,1,285,APET-15,Actinomadura atramentaria,,
m0115,4101ed79233a5b5898733d86311407b2,WP_019633337.1,WP_019633337.1,C001,1,301,TEP101,Actinomadura atramentaria,,
m0209,710f4592bfa0115da9f3500092b3518f,WP_022964382.1,WP_022964382.1,C001,1,307,PpelaLip,Halopseudomonas pelagia,1,3.40.50.1820
m0083,2cdb0469feb77ba7e2d63ca3b108b137,WP_031525917.1,WP_031525917.1,C001,1,426,ESM043,Streptomyces sp. NRRL F-5123,,
m0227,79c49015e4218f7c3a46046c08b8030d,WP_035284691,WP_035284691,C001,1,297,DP007,Actinokineospora spheciospongiae,,
m0082,2cd5f487f5114193eaf1c99806f6ef63,WP_036989706.1,WP_036989706.1,C001,1,302,PbauzCut,Halopseudomonas bauzanensis,1,3.40.50.1820
m0439,e6cfd2897ec399a6f1d3ec1c6a98cdb7,WP_039353427.1,WP_039353427.1,C001,1,366,PET30,Kaistella jeonii,1,3.40.50.1820
m0119,42aa40364f5684f1f255819ab69b7b92,WP_044499735.1,WP_044499735.1,C001,1,302,PsCut,Pseudomonas saudimassiliensis,1,3.40.50.1820
m0205,6f59754c646b6771593cdb66b1cc732b,WP_045318561.1,WP_045318561.1,C001,1,424,1678,Lentzea aerocolonigenes,,
m0289,9b361d2c16557499693210de2a8a01b4,WP_047194864.1,WP_047194864.1,C001,1,298,PET12,Caldimonas brevitalea,1,3.40.50.1820
m0251,84adddad34e99d2a499ea48da9b8e877,WP_051808300.1,WP_051808300.1,C001,1,277,1638,Actinoplanes subtropicus,,
m0420,df38ea060b5dad0dfc9a593e4dce333c,WP_054022242.1,WP_054022242.1,C001,1,290,ISPETase,Piscinibacter sakaiensis,1,3.40.50.1820
m0038,1197ee1b96f74dd16a31dad1ba334c46,WP_062195544.1,WP_062195544.1,C001,1,292,CtPl,Caldimonas taiwanensis,1,3.40.50.1820
m0346,bd809f78218b2481c1bf1b3a46c74053,WP_065917710.1,WP_065917710.1,C001,1,276,1169,Lentzea guizhouensis,,
m0441,e7d1a404d6aeb48e1849f68fefcf018f,WP_067035690.1,WP_067035690.1,C001,1,423,1876,Streptomyces dysideae,,
m0286,9a2d32901525985492563aa339b79812,WP_068752972.1,WP_068752972.1,C001,1,300,PC6,Thermobifida cellulosilytica,,
m0094,325634c8b48334249f0532c897258e2e,WP_068824797.1,WP_068824797.1,C001,1,297,jmPE14,Pseudomonas sp. JM16B3,1,3.40.50.1820
m0389,d09446e7bab13e062244cd0babc73a84,WP_073887759.1,WP_073887759.1,C001,1,415,1465,Saccharothrix sp. CB00851,,
m0440,e7456e8fab716e570d81b4e7665698f5,WP_075737041.1,WP_075737041.1,C001,1,304,1496,Streptomyces acidiscabies,,
m0321,adfd257d774083524a52123058ec51d1,WP_075975245.1,WP_075975245.1,C001,1,307,PC5,Actinokineospora bangkokensis,,
m0280,95d3a22f0e3002d3ebc3f9cc29dfe4d8,WP_078844206.1,WP_078844206.1,C001,1,348,1555,Streptomyces achromogenes,,
m0165,5a6ca9ba6be2179ba6074343233d0a9b,WP_081971423.1,WP_081971423.1,C001,1,265,1463,Dactylosporangium aurantiacum,,
m0392,d2d63d5f8721e814ea2a657ecc8fe703,WP_082377728.1,WP_082377728.1,C001,1,469,1534,Micromonospora sp. NRRL B-16802,,
m0168,5b6bcacc9716a844b6969cbeb5e49ef1,WP_082403176.1,WP_082403176.1,C001,1,455,1491,Saccharothrix sp. NRRL B-16348,,
m0412,dbb69c16a79774a1a51b4b80a8f1bd63,WP_083302694.1,WP_083302694.1,C001,1,463,1594,Micromonospora carbonacea,,
m0058,1e1f498fae0e6d56fb87a52a1fef96ff,WP_083947829,WP_083947829,C001,1,284,711,Thermobifida cellulosilytica,1,3.40.50.1820
m0277,95981aed79b153af6c6d1c44c404d164,WP_083950838.1,WP_083950838.1,C001,1,297,917,Actinomadura bacterium,,
m0464,f2230dff660f44612d863d5256b21d66,WP_084261341.1,WP_084261341.1,C001,1,473,ESM080,Micromonospora rifamycinica,,
m0347,bd90b02ae5726ceb4ec9f4431ba2ac16,WP_084400763.1,WP_084400763.1,C001,1,436,1506,Lentzea albidocapillata,,
m0337,b6f1885d482dc52936e39d224a8c33d1,WP_084434874.1,WP_084434874.1,C001,1,289,1663,Kibdelosporangium aridum,,
m0244,82d420ad8219d9469aeea11873ba7544,WP_084578793.1,WP_084578793.1,C001,1,337,1718,Kutzneria sp. 744,,
m0092,31e8cee08e99636ef7d35f9f5457bb57,WP_085749238,WP_085749238,C001,1,279,RgCut-2,Piscinibacter gummiphilus,1,3.40.50.1820
m0120,4307017d78508de526bb8422be94a4c4,WP_085749752.1,WP_085749752.1,C001,1,292,RgPETase,Piscinibacter gummiphilus,1,3.40.50.1820
m0089,3159d0f519fd0565b7134f18713e8324,WP_085750434.1,WP_085750434.1,C001,1,289,DP039,Piscinibacter gummiphilus,,
m0327,b2964719fb8ec22dc054cd79f0d5be48,WP_086599340.1,WP_086599340.1,C001,1,455,TEP097,Streptomyces swartbergensis,,
m0479,fb6cb498ca713c8ff665a94eeaeab29f,WP_086668955.1,WP_086668955.1,C001,1,375,1475,Lentzea kentuckyensis,,
m0030,0f43f7fe3f0c0042197df2508ee850e3,WP_086784246.1,WP_086784246.1,C001,1,418,1654,Crossiella equi,,
m0276,9584eb11232d43e7df101608e2829102,WP_086849962.1,WP_086849962.1,C001,1,309,554,Amycolatopsis kentuckyensis,,
m0343,b96e3838fee9bee7a9d7d7d57eda9386,WP_088276085.1,WP_088276085.1,C001,1,304,PE-H,Halopseudomonas aestusnigri,1,3.40.50.1820
m0448,ebab773a50031e4f18dfa532f93c9379,WP_088988822.1,WP_088988822.1,C001,1,465,1621,Micromonospora chokoriensis,,
m0191,688e3468b20f955579952d514c187611,WP_089021493.1,WP_089021493.1,C001,1,460,1641,Micromonospora coriariae,,
m0417,de58930843f53b731bc34d03f729488d,WP_090538641,WP_090538641,C001,1,304,Hfor_PE-H,Halopseudomonas formosensis,1,3.40.50.1820
m0008,0600d8fd8a62760bde8393fb0fde0e0d,WP_091283529.1,WP_091283529.1,C001,1,463,1591,Micromonospora haikouensis,,
m0454,ee65196da3cdd70d808c0f9ce2241ace,WP_091317053.1,WP_091317053.1,C001,1,309,ESM167,Amycolatopsis tolypomycina,,
m0085,2da35d44369fc57fbab077687acd8caf,WP_091450391.1,WP_091450391.1,C001,1,281,1228,Actinokineospora iranica,,
m0299,a07188a7bbb3e92357c73d9654c37734,WP_091553551.1,WP_091553551.1,C001,1,463,1628,Micromonospora pattaloongensis,,
m0291,9bc4714d8e79f6fcfcad8aca634001ab,WP_092528534.1,WP_092528534.1,C001,1,299,282,Amycolatopsis arida,,
m0111,3dcbffcfab5a9bf0b1856144dd30e5ef,WP_093411427.1,WP_093411427.1,C001,1,467,1545,Micromonospora sediminimaris,,
m0150,4f68c367317a6c09df48faffc017ad9e,WP_093412886.1,WP_093412886.1,C001,1,293,611,Saccharopolyspora flava,1,3.40.50.1820
m0113,3ed7551a77d0f6098185c1af7d8c8385,WP_093473685.1,WP_093473685.1,C001,1,303,ESM186,Halopseudomonas yangmingensis,,
m0106,3b8571a2d62a99f31d344cab5662e8e5,WP_093954453.1,WP_093954453.1,C001,1,302,1457,Amycolatopsis vastitatis,,
m0365,c38a15e286e531b02f655ce186f4c301,WP_099848711.1,WP_099848711.1,C001,1,444,1525,Verrucosispora sp. CNZ293,,
m0256,871ef0545eb8542ab53b599df2bff175,WP_101366623.1,WP_101366623.1,C001,1,468,1625,Plantactinospora sp. CNZ320,,
m0406,d887c31f2cd02dc21c2c52c61d02bd31,WP_103564314.1,WP_103564314.1,C001,1,298,1340,Actinomadura rubteroloni,,
m0460,f00445f8b289d0164aff442192f24187,WP_103939557.1,WP_103939557.1,C001,1,292,PC3,Thermomonospora echinospora,,
m0122,43855fcf31b8ee18bc3c65f3b00f10cb,WP_104115406.1,WP_104115406.1,C001,1,296,401,Micromonospora chalcea,,
m0423,e125fba23d29946317aa25973b8c03cb,WP_104613137.1,WP_104613137.1,C001,1,301,701,Thermobifida fusca,1,3.40.50.1820
m0424,e1a1ea6ee428462b281b661258d4bb19,WP_104739856.1,WP_104739856.1,C001,1,288,APET-27,Halopseudomonas oceani,,
m0414,dd4887803543f9fc859e835391eb4af2,WP_107095481.1,WP_107095481.1,C001,1,271,607,Actinobacteria bacterium OV320,,
m0112,3ecb425bded1a0f79d8f0e0d110588f5,WP_109361459.1,WP_109361459.1,C001,1,432,TEP102,Streptomyces sp. V2,,
m0288,9b203af8e18663d4e3880d49e74753ac,WP_109639600.1,WP_109639600.1,C001,1,422,1573,Lentzea atacamensis,,
m0088,31564b91ecf89c422e16abc249221256,WP_110080872.1,WP_110080872.1,C001,1,316,1424,Actinokineospora spheciospongiae,,
m0371,c5df14884c3311c4b6216b9fc6bf19bd,WP_110567505.1,WP_110567505.1,C001,1,465,1603,Micromonospora arborensis,,
m0060,2053c1f056678cc0df8796d8990fb355,WP_111214096.1,WP_111214096.1,C001,1,462,ESM059,Micromonospora craterilacus,,
m0144,4ce5f290ca4d5d58749e55ef4f739ea0,WP_111700265.1,WP_111700265.1,C001,1,436,1868,Microbispora triticiradicis,,
m0324,afb025038508228d84d2fe8c130d5d14,WP_111881932.1,WP_111881932.1,C001,1,364,PET27,Aequorivita sp. CIP111184,1,3.40.50.1820
m0465,f246639aef84a3e6be3c89eac9b2dfbf,WP_112669767.1,WP_112669767.1,C001,1,461,1620,Micromonospora saelicesensis,,
m0081,2c71453465b0acb39d172983ac4a7387,WP_116023875.1,WP_116023875.1,C001,1,279,APET-19,Thermomonospora umbrina,,
m0457,eeae01ba76427bc51c141cb43ccba7fd,WP_116180173.1,WP_116180173.1,C001,1,288,Kubu-P,Kutzneria buriramensis,,
m0452,ece8f45d57141ab0f29280d76fc2a9b7,WP_116813002.1,WP_116813002.1,C001,1,288,247,Steroidobacter cummioxidans,,
m0388,d03a36b0671215d716f1df2ade24268f,WP_118011433.1,WP_118011433.1,C001,1,259,HG-2,Holdemanella biformis,1,3.40.50.1820
m0390,d0cd1d061b574c3e97321300be9b3c6e,WP_120326365.1,WP_120326365.1,C001,1,300,486,Micromonospora globbae,,
m0475,f85c8564f510148807a599ea6a5cf433,WP_123685830.1,WP_123685830.1,C001,1,289,414,Amycolatopsis bacterium,,
m0480,fbbad91070ae99aa6eed1595044335d5,WP_124770494.1,WP_124770494.1,C001,1,329,1571,Micromonospora inaquosa,,
m0400,d5d535a4628f661aac624e4bf67a6739,WP_124822775.1,WP_124822775.1,C001,1,465,1611,Micromonospora ureilytica,,
m0396,d4376d2f4006abaa992a58c321df357d,WP_125191182.1,WP_125191182.1,C001,1,315,1477,Streptomyces sp. RP5T,,
m0488,fe354046ad936ac3305fe124cc0c4bcc,WP_125313231.1,WP_125313231.1,C001,1,309,PC4,Amycolatopsis eburnea,,
m0358,c0d2eecc958484c772145471290f41e4,WP_129786244.1,WP_129786244.1,C001,1,287,DP089,Promicromonospora panici,,
m0228,7a0b4f5fc6faf46b8f8e8de955097dbe,WP_129849678.1,WP_129849678.1,C001,1,316,191,Streptomyces sp. SCA2-2,,
