node_id	sequence_md5	accession	accession_all	enzyme_name	enzyme_name_all	organism	sequence_length	n_source_rows	v1_component	cath
m0021	0c554c0dd255de614d248db3118d89da	AAK28498.1	AAK28498.1	AmdA	AmdA	Agrobacterium tumefaciens	517	1	10	3.90.1300.10
m0022	0c75d9f81ae52914a609ec24d4c68ea2	SAY37587	SAY37587	PHL-5	PHL-5	Compost metagenome	257	1	1	3.40.50.1820
m0023	0ccba4d53ac83e5437ecd1027cfe4ab8	TAL40028	TAL40028	Nyl50	Nyl50	Alphaproteobacteria bacterium	305	1		
m0024	0ce515d8f0c2a6b72722a127e726b8d7	BAF57212.1	BAF57212.1	PlaM7	PlaM7	PLA disk compost metagenome	283	1	5	3.40.50.1820
m0025	0d1c7296209804664d2da95c23eea089	P08684.4	P08684.4	CYP450	CYP450	Homo sapiens	503	1		
m0026	0d26a77d2ffda03e4582e295927066c6	WP_011061486.1	WP_011061486.1	PueA	PueA	Pseudomonas protegens	617	1	4	3.40.50.1820
m0027	0d51bfebc665db66f2d9c28959b141d3	WP_130464304.1	WP_130464304.1	1538	1538	Plantactinospora sp. B6F1	472	1		
m0028	0dd151000d71720a7a8996bf7fb3acbf	P80008.1	P80008.1	Arylacylamidase	Arylacylamidase	Nocardia globerula	28	1		
m0029	0e841a3c1f59a0cfd7b1ac47b6e7b1bd	WKA69984.1	WKA69984.1	CpCut1	CpCut1	Cladosporium sp.	221	1	2	3.40.50.1820
m0030	0f43f7fe3f0c0042197df2508ee850e3	WP_086784246.1	WP_086784246.1	1654	1654	Crossiella equi	418	1		
m0031	0ff17ebdb173018728d2219bcd5f4e38	AAA21974.1	AAA21974.1	PhaZAfa	PhaZAfa	Alcaligenes faecalis	488	1		
m0032	1090fc7df5cb6e4866fd00779c1d8e28	ANG60415	ANG60415	GatA	GatA;Urethanase	Lysinibacillus fusiformis	472	2	10	3.90.1300.10
m0033	10d87dbad4c4c7bfd7d5c331cef5b9ce	ADM47605.1	ADM47605.1	702	702	Thermobifida fusca	262	1	1	3.40.50.1820
m0034	10e219e71a25db666947cbd3afc63123	ASA57064.1	ASA57064.1	PET6	PET6	Vibrio gazogenes	298	1	1	3.40.50.1820
m0035	10f99a34d701d302d6cd789182b6508e	A0A7V9NEU5	A0A7V9NEU5	Nyl71	Nyl71	Acidobacteriota bacterium	359	1		
m0036	1101bda63c95a021aad8d9924dfba646	ALS54749.1	ALS54749.1	Chath_Est1	Chath_Est1	Hungatella hathewayi	528	1		
m0037	11448cbf80389c1a758d8dfcba90907c	BAV72205.1	BAV72205.1	PBATHBp	PBATHBp	Bacillus pumilus	215	1	26	3.40.50.1820
m0038	1197ee1b96f74dd16a31dad1ba334c46	WP_062195544.1	WP_062195544.1	CtPl	CtPl	Caldimonas taiwanensis	292	1	1	3.40.50.1820
m0039	12efbdad63de5275909365067113db41	UNZ81747.1	UNZ81747.1	IS11	IS11	Dehalococcoidia bacterium	455	1	43	3.40.710.10
m0040	1361228bf3f1c19ea8214555076414a7	SHM40309	SHM40309	CaPETase	CaPETase	Cryptosporangium aurantiacum	299	1	1	3.40.50.1820
m0041	149e83bf7e1c0307af6bc10d0662ef3b			GlacPETase	GlacPETase		282	1		
m0042	14a5c3e1584a0ee2518f18810a7fed98	RLT92980.1	RLT92980.1	409	409	Ketobacter sp.	269	1	1	3.40.50.1820
m0043	14c85d0adef7eb6df5a6ed35c4a73ba8	UFE15763.1	UFE15763.1	lcp2	lcp2		402	1		
m0044	15317ec096461afae2a6111e17b27633	WP_011615004.1	WP_011615004.1	PhaY2	PhaY2	Cupriavidus necator	293	1	33	3.40.50.1820
m0045	1545cf731ea10ee62b256807199e37d8	RLU00646.1	RLU00646.1	403	403	Ketobacter sp.	312	1	1	3.40.50.1820
m0046	15938ddd57d7448aa110a9139193c91b	UUT36764	UUT36764	PLE628	PLE628	Marinobacter sp.	307	1	1	3.40.50.1820
m0047	161e4dc2c4ef1e36fe625c65439a815b	CCH19814.1	CCH19814.1	1617	1617	Micromonospora lupini	465	1		
m0048	167f1e4e4481dfb27bd087d9b3902929	Q75UA4	Q75UA4	PLAase	PLAase	Amycolatopsis (Nocardia) sp. strain K104-1	238	1	11	2.40.10.10
m0049	174ba911d73b1edc801c52651ec17efd	ODU60407.1	ODU60407.1	406	406	Comamonadaceae bacterium	305	1	1	3.40.50.1820
m0050	17cf0142a842915adf56bd16d1f70336	WP_260709492.1	WP_260709492.1	TEP054	TEP054	Dactylosporangium aurantiacum	437	1		
m0051	1801d10ed570ce70933bdbe9f25a34b6	WP_239135698.1	WP_239135698.1	ESM093	ESM093	Dactylosporangium siamense	279	1		
m0052	1825599eda3fb3a78763126d00597799	5ZOA_A	5ZOA_A	TfH	TfH	Thermobifida fusca	261	1		
m0053	18de7a550936804f8be57fdf26a8e0e3	ABY67151.1	ABY67151.1	PLAase III	PLAase III	Amycolatopsis orientalis	176	1		
m0054	18f1178aa194bcd44f9de9bf8b6ef166	MPZ00478.1	MPZ00478.1	APET-25	APET-25	Actinophytocola sp.	285	1		
m0055	198d14bb37149debc526a3f90e777956	WP_006368739.1	WP_006368739.1	Lcp1VH2	Lcp1VH2	Gordonia polyisoprenivorans	407	1	16	NA
m0056	1b0d2c147b96bad033703fb124a50764	AEV21261.1	AEV21261.1	LCC	LCC		293	1	1	3.40.50.1820
m0057	1dac4ce79e11274c7297487b461232e1	NP_390179.1	NP_390179.1	BsMPPE	BsMPPE	Bacillus subtilis	259	1		
m0058	1e1f498fae0e6d56fb87a52a1fef96ff	WP_083947829	WP_083947829	711	711	Thermobifida cellulosilytica	284	1	1	3.40.50.1820
m0059	1fd045e8b65176376e182facc216b772	OWT56952	OWT56952	Nyl16	Nyl16	Candidimonas nitroreducens	335	1		
m0060	2053c1f056678cc0df8796d8990fb355	WP_111214096.1	WP_111214096.1	ESM059	ESM059	Micromonospora craterilacus	462	1		
m0061	20f7abda67d907b1e03456185b9a7df8	SPF04022.1	SPF04022.1	1392	1392	Streptomyces sp. MA5143a	287	1		
m0062	213f66a13d29726369cc62acb0ec8c5b	WP_131292212.1	WP_131292212.1	Nyl47	Nyl47	Kribbella sindirgiensis	287	1		
m0063	21529d199ac34be22c7967f66af4194b	GIG90696.1	GIG90696.1	TEP092	TEP092	Plantactinospora endophytica	472	1		
m0064	21b9ee3c2d064bd97bf205292edd4e77	WP_239125827.1	WP_239125827.1	ESM144	ESM144	Catellatospora bangladeshensis	288	1		
m0065	228bd6d0bd6e93a1b69422e21d51b913			RtC	RtC		231	1		
m0066	228edba5269227f472a446139a646369	WP_108898647	WP_108898647	Ces39_5	Ces39_5	Caldibacillus thermoamylovorans	249	1	39	3.40.50.1820
m0067	2510ccd8faea4efb0652cab75394adfa	WP_144126986.1	WP_144126986.1	1507	1507	Catellatospora sichuanensis	275	1		
m0068	25535d4836a01c7d3cc4bbeba3c18437	XCO66867.1	XCO66867.1	PurH	PurH	Aeromicrobium sp.	286	1	1	3.40.50.1820
m0069	255e2b78ca9f54fe397d3917c1c6cae9	BCL64964.1	BCL64964.1;UNZ22463.1	PBATHRF	PBATHRF;RCut	Rhodococcoides fascians	216	2	2	3.40.50.1820
m0070	263a6865371a5e0924e53280192fa035	WP_034767800	WP_034767800	Ces19_14	Ces19_14	Caldibacillus thermoamylovorans	240	1	36	3.40.50.1820
m0071	263b6d9cf1f73ddee6c8d0410fdaf229	WP_011614907.1	WP_011614907.1	PhaZ1	PhaZ1	Cupriavidus necator	419	1	3	3.40.50.1820
m0072	27b40925ec9dab01a97010da9157f232	MSS57807	MSS57807	Nyl73	Nyl73	Stecheria intestinalis	319	1		
m0073	287dd238ca5f47fa0362cba5d21edbc6			GatA250	GatA250		491	1		
m0074	2907a9f9131390b753aa9953740df710			JW44_1708	JW44_1708		204	1		
m0075	2952634441666dbdb22a48ce9cde12c5	WP_034768559.1	WP_034768559.1	Est8_89	Est8_89	Caldibacillus thermoamylovorans	266	1	22	3.40.50.1820
m0076	2a3c4f5280e7c5835b8e1428f7044fe3	WP_233872418.1	WP_233872418.1	DP090	DP090	Streptomyces sp. ST2-7A	314	1		
m0077	2a9215b62ae074282dc7ffcda6232192	YCL34723	YCL34723	DIEGO	DIEGO	uncultured bacterium	293	1		
m0078	2af6d737171357f18fd9f3cddedf6015	MBX2857432.1	MBX2857432.1	APET-28	APET-28	Cellvibrionaceae bacterium	275	1		
m0079	2b913d598a604cd64df1b67d929b5d6f	MGYP000532440779	MGYP000532440779	MG8	MG8	Oral metagenome	307	1		
m0080	2b9fd2b29499ad2d285db6505328e11d	BAI99230.2	BAI99230.2	Est1	Est1	Thermobifida alba	296	1	1	3.40.50.1820
m0081	2c71453465b0acb39d172983ac4a7387	WP_116023875.1	WP_116023875.1	APET-19	APET-19	Thermomonospora umbrina	279	1		
m0082	2cd5f487f5114193eaf1c99806f6ef63	WP_036989706.1	WP_036989706.1	PbauzCut	PbauzCut	Halopseudomonas bauzanensis	302	1	1	3.40.50.1820
m0083	2cdb0469feb77ba7e2d63ca3b108b137	WP_031525917.1	WP_031525917.1	ESM043	ESM043	Streptomyces sp. NRRL F-5123	426	1		
m0084	2d321d769e7c7464a135d954c2a9a866	WP_149259982.1	WP_149259982.1	TEP067	TEP067	Actinomadura sp. K4S16	309	1		
m0085	2da35d44369fc57fbab077687acd8caf	WP_091450391.1	WP_091450391.1	1228	1228	Actinokineospora iranica	281	1		
m0086	2ddc62c97241531aed04530538ae54d8	XDS72785.1	XDS72785.1	Sis	Sis	uncultured bacterium	282	1	1	3.40.50.1820
m0087	2faa60f73ded9c502787ece47fca13f7	BAN51852.1	BAN51852.1	PCLE	PCLE	Paraphoma sp. B47-9	227	1	2	3.40.50.1820
m0088	31564b91ecf89c422e16abc249221256	WP_110080872.1	WP_110080872.1	1424	1424	Actinokineospora spheciospongiae	316	1		
m0089	3159d0f519fd0565b7134f18713e8324	WP_085750434.1	WP_085750434.1	DP039	DP039	Piscinibacter gummiphilus	289	1		
m0090	316e87e4b339708fb285d715f460c8d2	UFE15762.1	UFE15762.1	lcp1	lcp1		406	1		
m0091	3195c72d9a6cc23e6a918505eb460744	WP_256510026.1	WP_256510026.1	TEP041	TEP041	Crossiella sp. SN42	266	1		
m0092	31e8cee08e99636ef7d35f9f5457bb57	WP_085749238	WP_085749238	RgCut-2	RgCut-2	Piscinibacter gummiphilus	279	1	1	3.40.50.1820
m0093	32320ea9636947aaaa29de601c9a9fa4	WP_011616952.1	WP_011616952.1	PhaZ5	PhaZ5	Cupriavidus necator	407	1	3	3.40.50.1820
m0094	325634c8b48334249f0532c897258e2e	WP_068824797.1	WP_068824797.1	jmPE14	jmPE14	Pseudomonas sp. JM16B3	297	1	1	3.40.50.1820
m0095	336f0649eca9651f90fe2d208cd29559	WP_293218050.1	WP_293218050.1	GatA-like	GatA-like	Parvibaculum sp.	485	1	10	3.90.1300.10
m0096	339540f3809d8ac98ee633f1da7247e9	XP_014659518.1	XP_014659518.1	PaE	PaE	Moesziomyces antarcticus	224	1	2	3.40.50.1820
m0097	342ff8b50fc233be7b68dc6cd032d5a7	AKJ87250	AKJ87250	MGS0084	MGS0084	Environmental metagenome	411	1	18	TBDY
m0098	34845c057c0fc493b1f6938327b2a52a	WP_170196788.1	WP_170196788.1	Nyl93	Nyl93	Gordonia asplenii	376	1		
m0099	3553b7c612834728bae59c60af19fbda	MGYP001477358452	MGYP001477358452	TEP014	TEP014	Bioreactor metagenome	300	1		
m0100	362632b30b43e3854087c699d608f0b1	MBX3625601.1	MBX3625601.1	APET-17	APET-17	Rhizobacter sp.	290	1		
m0101	36a989ab704be3f0d22479cc94524084	TDP67440	TDP67440	DP006	DP006	Actinokineospora alba	294	1		
m0102	38977381259c624bdcec8191c6717c7a	WP_204038550.1	WP_204038550.1	ESM065	ESM065	Micromonospora qiuiae	323	1		
m0103	39f5ef8b2abbe007e623b9ceb5a0c815	U7UHN3	U7UHN3	Nyl87	Nyl87	Peptoniphilus sp. BV3C26	313	1		
m0104	3a8b3b50918fa1553710b5c8d094771c	WP_187224800.1	WP_187224800.1	DP017	DP017	Actinokineospora xionganensis	283	1		
m0105	3b00f12fd36416ff8790c3e56ebd219c	A0A7V5VEC1	A0A7V5VEC1	Nyl68	Nyl68	Bacteroidota bacterium	312	1		
m0106	3b8571a2d62a99f31d344cab5662e8e5	WP_093954453.1	WP_093954453.1	1457	1457	Amycolatopsis vastitatis	302	1		
m0107	3ccbadd7e660120a138f6df238b1b9ae	CAA32820.1	CAA32820.1	Proteinase K	Proteinase K	Parengyodontium album	384	1	21	3.40.50.1820
m0108	3cdb04dfc6e8e2e6816fbe523d088f25	KNX38636.1	KNX38636.1	1240	1240	Luteipulveratus halotolerans	303	1		
m0109	3d98c4ffc15561968b8fbb11d2ed071a	AFA76036.1	AFA76036.1	Lcp2VH2	Lcp2VH2	Gordonia polyisoprenivorans	388	1	16	NA
m0110	3daf95d51a344e67e10dd0832d970bba	WP_037320891.1	WP_037320891.1	PLAase I	PLAase I	Amycolatopsis orientalis	245	1		
m0111	3dcbffcfab5a9bf0b1856144dd30e5ef	WP_093411427.1	WP_093411427.1	1545	1545	Micromonospora sediminimaris	467	1		
m0112	3ecb425bded1a0f79d8f0e0d110588f5	WP_109361459.1	WP_109361459.1	TEP102	TEP102	Streptomyces sp. V2	432	1		
m0113	3ed7551a77d0f6098185c1af7d8c8385	WP_093473685.1	WP_093473685.1	ESM186	ESM186	Halopseudomonas yangmingensis	303	1		
m0114	3f5b7ed180255f20639a75548bb8ac56	WP_130401777.1	WP_130401777.1	1637	1637	Micromonospora violae	462	1		
m0115	4101ed79233a5b5898733d86311407b2	WP_019633337.1	WP_019633337.1	TEP101	TEP101	Actinomadura atramentaria	301	1		
m0116	4128006510697cae616c99ca6fbb128c	WP_233427406.1	WP_233427406.1	DP040	DP040	Actinokineospora spheciospongiae	299	1		
m0117	42091824cdf4b41fc5df083621ce6549			307	307		186	1		
m0118	426c9c3680fe7091b7e6f1c7a0f7e7d3	AAP85930.1	AAP85930.1	PhaZ4	PhaZ4	Cupriavidus necator	245	1	3	3.40.50.1820
m0119	42aa40364f5684f1f255819ab69b7b92	WP_044499735.1	WP_044499735.1	PsCut	PsCut	Pseudomonas saudimassiliensis	302	1	1	3.40.50.1820
m0120	4307017d78508de526bb8422be94a4c4	WP_085749752.1	WP_085749752.1	RgPETase	RgPETase	Piscinibacter gummiphilus	292	1	1	3.40.50.1820
m0121	4372f68d441785c9d134905aed4aae6b	WP_211769896.1	WP_211769896.1	TEP103	TEP103	Kutzneria sp. CA-103260	293	1		
m0122	43855fcf31b8ee18bc3c65f3b00f10cb	WP_104115406.1	WP_104115406.1	401	401	Micromonospora chalcea	296	1		
m0123	440c2c28c74998f465ccf99910827774	UAC02078.1	UAC02078.1	ESM082	ESM082	Dactylosporangium vinaceum	269	1		
m0124	4413a75f4591f7557a156f377930d8c1	A0A2E3XQJ6	A0A2E3XQJ6	Nyl18	Nyl18	Halobacteriovoraceae bacterium	328	1		
m0125	443647f8fdd6aeb0fa7cd9fb8076c86d	A0A3D4HM79	A0A3D4HM79	Nyl39	Nyl39	Synergistaceae bacterium	314	1		
m0126	462d8720dba9f954496a198bf18ce71c	WP_378272130.1	WP_378272130.1	serineprotease	serineprotease	Actinomadura keratinilytica	386	1		
m0127	46578a460f23e13d1ebe0b0ebf887282	ADV92527.1	ADV92527.1	Thc_Cut2	Thc_Cut2	Thermobifida cellulosilytica	262	1	1	3.40.50.1820
m0128	46e18f09ca1ffe3e4eda0f6cae364c1e	WP_034398300.1	WP_034398300.1	PhaZCac	PhaZCac	Delftia acidovorans	734	1	28	3.40.50.1820
m0129	476b1b64d6172e51befe003e4e5d70cb	BAU20375	BAU20375	PAM	PAM	Actinomadura keratinilytica	386	1		
m0130	482a4e9fd90b37223b8f0f81a2d54eea	MBT9528079.1	MBT9528079.1	ESM169	ESM169	Rhizobacter sp.	299	1		
m0131	4862c74fdcd52e6437a16fe8f493fc97	R5FI29	R5FI29	Nyl85	Nyl85	Faecalibacterium sp. CAG:1138	302	1		
m0132	486620f02642fa1a8f78c36a2740b0ec	MGYP001121581011	MGYP001121581011	DP059	DP059	Compost metagenome	445	1		
m0133	48ba5f056713b1c70f39bd5277e17500	A0A661XAJ6	A0A661XAJ6	Nyl57	Nyl57	Candidatus Zhuqueibacterota bacterium	315	1		
m0134	499c56dadef662e14b044019d288f152	GHJ08786.1	GHJ08786.1	ESM070	ESM070	Micromonospora sp. AKA109	427	1		
m0135	4a8a820285b21e37bfae31e65489a8ab			102	102		305	1		
m0136	4ae54f06384b9660b40e76e9a902f585	WBR49956.1	WBR49956.1	UMG-SP-1	UMG-SP-1	Metagenome	438	1	10	3.90.1300.10
m0137	4b02a9379189f4f3f4a6d2b07ad427c9	WP_010811062.1	WP_010811062.1	PhaZd1	PhaZd1	Cupriavidus necator	362	1	31	3.40.50.1820
m0138	4b50fcb2d78d50a7f5693abba7e356b1	WP_003460012.1	WP_003460012.1	PpEst	PpEst	Ectopseudomonas oleovorans	201	1	17	TBDX
m0139	4b8623751837c39c9fe582aa5d675187	ACV09511	ACV09511	DP003	DP003	Jonesia denitrificans	319	1		
m0140	4b8f6674246c65fd5e727f3c5653b97c			jmPE14	jmPE14		271	1		
m0141	4be16a85172c726f7f8d6dbd2053955f	AII11221.1	AII11221.1	LMC031	LMC031	Rhodococcus opacus R7	348	1	14	2.60.40.420
m0142	4c8584c9364804042a9544a4f193e5dc	MBX3624429.1	MBX3624429.1	DP038	DP038	Rhizobacter sp.	288	1		
m0143	4c93b29cd359ce02e9f06d853bb00619	WP_085690612	WP_085690612	EstB	EstB	Pseudomonas sp. B10	218	1	38	3.40.50.1820
m0144	4ce5f290ca4d5d58749e55ef4f739ea0	WP_111700265.1	WP_111700265.1	1868	1868	Microbispora triticiradicis	436	1		
m0145	4d4f817cbca0966f4f40247e73036a6e			HGMP01	HGMP01		275	1		
m0146	4d6c690dd47d3941954de2c9d2abaf2f	E5BBQ2	E5BBQ2	TfCut_1; Cut-1.kw3	TfCut_1; Cut-1.kw3	Thermobifida fusca	319	1	1	3.40.50.1820
m0147	4dfca93c424da8986ee3fb484d868de2	GBD22443.1	GBD22443.1	BhrPETase	BhrPETase	bacterium HR29	293	1	1	3.40.50.1820
m0148	4e42b62ac9f3158a2a5a2b35e117d950	BAT32793.1	BAT32793.1	CfCLE	CfCLE	Saitozyma flava	239	1	2	3.40.50.1820
m0149	4eb20c9016001fd934311ea5fc36f89f	WP_143590710.1	WP_143590710.1	385	385	Thermoactinospora rubra	272	1		
m0150	4f68c367317a6c09df48faffc017ad9e	WP_093412886.1	WP_093412886.1	611	611	Saccharopolyspora flava	293	1	1	3.40.50.1820
m0151	4fc6ca50b7b51c5b7f98512adca3c679	WP_203790592.1	WP_203790592.1	ESM060	ESM060	Paractinoplanes rishiriensis	410	1		
m0152	512b62a8993ab9e45d25bcdfa650b798	7C2A_A	7C2A_A	E4	E4	Altericroceibacterium indicum	191	1		
m0153	51637a74ae9efe92560e94b5e2bc6178	UFE15760.1	UFE15760.1	Lcp1	Lcp1	Microtetraspora sp. AC03309	410	1		
m0154	52ac6083b4c7d6faf903f936007224d2	WP_209642273.1	WP_209642273.1	KbPETase	KbPETase	Kibdelosporangium banguiense	270	1		
m0155	5353a76b2d62b148881304e276a3a0e0	P29600	P29600	Subtilisin Savinase	Subtilisin Savinase	Lederbergia lenta	269	1	21	3.40.50.1820
m0156	546363f6f7e62663a681aa0546a7c08c	WDT94189	WDT94189	TA29	TA29	Thermoleophilum album	296	1		
m0157	551946ddbe6046c13ca1a257eab4aeff	WP_267938240.1	WP_267938240.1	ESM006	ESM006	Saccharothrix sp. S26	405	1		
m0158	553239996e512830a1db6b67fb4aa1c7	7NEI	7NEI	PHL-7; PES-H1; PES-H2	PHL-7; PES-H1; PES-H2	Thermoanaerobacter sp.	259	1	1	3.40.50.1820
m0159	55c56bf6f40cb5a2497253d78cfe7803	WP_212846608.1	WP_212846608.1	TEP181	TEP181	Actinoplanes ianthinogenes	421	1		
m0160	56793a483b6506d4f822ce4dab41cbcb	NUT34383.1	NUT34383.1	DP084	DP084	Hamadaea sp.	285	1		
m0161	572db808330016b2e517a2e6db0d8477	UNZ81746.1	UNZ81746.1	IS10	IS10	Chloroflexi bacterium enrichment culture	314	1	23	3.40.50.1820
m0162	574237800be392daa0a6c80748375073	WP_229068674.1	WP_229068674.1	DP043	DP043	Actinoplanes sp. DH11	312	1		
m0163	5803ed5f151b9467fa2e8894554b330e	MGYP001489421514	MGYP001489421514	DP056	DP056	Compost metagenome	303	1		
m0164	586a335986f45e096f6ca073737678a5	WP_312893488.1	WP_312893488.1	Nc-NylC	Nc-NylC	Nocardiopsis composta	344	1	9	3.60.70.12
m0165	5a6ca9ba6be2179ba6074343233d0a9b	WP_081971423.1	WP_081971423.1	1463	1463	Dactylosporangium aurantiacum	265	1		
m0166	5a880c3b46d61fb2b4fa713a243c511a	QPA27412.1	QPA27412.1	PD3	PD3	Brucella anthropi	352	1	35	3.40.50.1820
m0167	5b3f01f3bbd1d34e9bcd72527c959781	WP_158643351.1	WP_158643351.1	412	412	Ketobacter alkanivorans	311	1		
m0168	5b6bcacc9716a844b6969cbeb5e49ef1	WP_082403176.1	WP_082403176.1	1491	1491	Saccharothrix sp. NRRL B-16348	455	1		
m0169	5c06f1259bc12791a4627d9b18c94185	AGT90042.1	AGT90042.1	Amidase	Amidase	Rhodococcus erythropolis	483	1	10	3.90.1300.10
m0170	5c6047089b459f01b0f48bd717dcdfc0	WAT79796.1	WAT79796.1	TGL	TGL	Bacillus safensis	213	1		
m0171	5cee52f57ef4e114863f6926cabdca90	BEG79545	BEG79545	PA4-degrading enzyme	PA4-degrading enzyme	Pseudoalteromonas sp.	716	1		
m0172	5e3a225d0c4dad34e74078ea45904b70	ADV92525.1	ADV92525.1	Tha_Cut1	Tha_Cut1	Thermobifida alba	262	1	1	3.40.50.1820
m0173	5e9df7f0c5b6442f1239982caf867978	7NEI	7NEI	PHL-7	PHL-7	Compost metagenome	267	1		
m0174	5fa3e19ca90991487c80ed55e34da806	AAF66684.1	AAF66684.1	EsterasePulA	EsterasePulA	Pseudomonas fluorescens	451	1	4	3.40.50.1820
m0175	6012a802711a9bb008ee0895a518a5a0	AAA65705.1	AAA65705.1	PhaZ5	PhaZ5	Paucimonas lemoignei	433	1	30	3.40.50.1820
m0176	604018ae8af9058028c669f8ed8de020	OGB27210	OGB27210	BurPL	BurPL	Burkholderiales bacterium	426	1	1	3.40.50.1820
m0177	6139d7ee947801e1ffa5c9345c785900	AAK11724.1	AAK11724.1	Amidase	Amidase	Rhodococcus erythropolis	525	1	10	3.90.1300.10
m0178	61a4ab03c350b74dc8e27682811b973f	P94146	P94146	PhaZAfa	PhaZAfa	Alcaligenes faecalis	635	1	30	3.40.50.1820
m0179	61d801881a590b1495fd2352c700c042	WDT94064	WDT94064	TA21	TA21	Thermoleophilum album	352	1		
m0180	62f7546aebcb1a559748d086de6571e6	WP_260422593.1	WP_260422593.1	TEP111	TEP111	Micromonospora carbonacea	424	1		
m0181	63f3bcdf9d4e41b30836917c8f069d43	UNZ81748.1	UNZ81748.1	IS12	IS12	Chloroflexi bacterium enrichment culture	318	1	23	3.40.50.1820
m0182	6435b353e1e02d2f720bc95ef5cb13af	EGD44994.1	EGD44994.1	503	503	Nocardioidaceae bacterium	294	1	1	3.40.50.1820
m0183	643cdc8e6bf40238fb4a3568cc8eb4f8	WP_348608127.1	WP_348608127.1	ReU-like	ReU-like	Rhodococcus equi TB-60	472	1	10	3.90.1300.10
m0184	6479c4b689da748f2cb786f88522f290	A0A7C6SQZ1	A0A7C6SQZ1	Nyl65	Nyl65	Clostridiales bacterium	318	1		
m0185	647a8a79005fc7f3a762d4b29e0328ad	XHH12375	XHH12375	NylC2	NylC2	Microbacterium oxydans	339	1		
m0186	6501b0257cf940e7d8aa9266fd92aaa1	ACY56506.1	ACY56506.1	Amidase	Amidase	Microbacterium hydrocarbonoxydans	283	1	22	3.40.50.1820
m0187	659a58dc5abc0fd64c7c7e596bb56dd4	WP_044849715.1	WP_044849715.1	PLase3	PLase3	Amycolatopsis (Nocardia) orientalis	364	1	12	2.40.10.10
m0188	66ecc46b29b845a7a916ce1874720817	WP_132413760.1	WP_132413760.1	1468	1468	Kribbella albertanoniae	444	1		
m0189	677a11fa0e32fbd01338ba6d30fc718b	KPI12031.1	KPI12031.1	405	405	Actinobacteria bacterium OK074	302	1	1	3.40.50.1820
m0190	67b4409cf7dfe74bbb08798733600bfc	WP_254586337.1	WP_254586337.1	Lcp2	Lcp2	Streptomyces sp. AC04842	407	1	16	NA
m0191	688e3468b20f955579952d514c187611	WP_089021493.1	WP_089021493.1	1641	1641	Micromonospora coriariae	460	1		
