node_id,accession,pazy_id,sequence_length,outcome,component_id,merged_from,activity,n_edges_to_v1,n_edges_to_delta
m0087,MGYP000532440779,13,307,merge,M1,1;20;35,Direct,69,198
m0209,MGYP001121581011,395,392,merge,M1,1;20;35,Direct,69,202
m0263,MGYP001477358452,454,261,merge,M1,1;20;35,Direct,69,196
m0248,MGYP001489421514,393,263,merge,M1,1;20;35,Direct,69,197
m0106,MPZ00478.1,264,256,merge,M1,1;20;35,Direct,10,47
m0364,MSQ87502.1,262,326,merge,M1,1;20;35,Direct,0,1
m0081,MSS57807,373,319,join,9,,Direct,5,40
m0268,MTK05241.1,450,414,merge,M1,1;20;35,Direct,68,199
m0352,NP_390179.1,497,286,novel,N2,,Direct,0,0
m0383,NP_999368.1,498,438,novel,N3,,Indirect,0,0
m0472,NUT34383.1,402,257,merge,M1,1;20;35,Direct,69,196
m0340,OKK16161.1,296,425,merge,M1,1;20;35,Direct,69,196
m0210,OPG10926.1,322,308,merge,M1,1;20;35,Direct,70,196
m0063,OWT56952,349,335,join,9,,Direct,6,40
m0485,P00761,251,231,join,11,,Indirect,1,0
m0028,P08684,252,503,novel,N4,,Indirect,0,0
m0270,PSR30050,351,325,join,9,,Direct,6,40
m0419,PWR09075.1,445,275,merge,M1,1;20;35,Direct,70,198
m0299,PWX09261.1,353,325,join,9,,Direct,2,37
m0134,R5FI29,378,302,join,9,,Direct,6,41
m0273,RLU00646.1,141,284,merge,M1,1;20;35,Direct,68,197
m0385,RYL92504.1,360,325,join,9,,Direct,6,40
m0323,SJZ42839.1,149,263,merge,M1,1;20;35,Direct,66,197
m0065,SPF04022.1,327,287,merge,M1,1;20;35,Direct,68,195
m0025,TAL40028,362,305,join,9,,Direct,6,40
m0215,TDP67440,382,263,merge,M1,1;20;35,Direct,68,196
m0196,TWG17167.1,423,412,merge,M1,1;20;35,Direct,68,200
m0110,U7UHN3,379,313,join,9,,Direct,6,40
m0050,UAC02078.1,430,251,merge,M1,1;20;35,Direct,70,198
m0170,WAT79796,253,213,join,26,,Direct,3,1
m0243,WBC00352.1,408,401,merge,M1,1;20;35,Direct,67,198
m0184,WDT94064,484,352,join,23,,Direct,6,1
m0154,WDT94189,486,296,join,32,,Direct,1,0
m0241,WDT94443,485,321,join,22,,Direct,1,0
m0022,WKW63607,495,434,merge,M1,1;20;35,Direct,4,3
m0432,WKW63608,496,408,merge,M1,1;20;35,Direct,19,20
m0229,WP_010949597.1,377,347,join,9,,Direct,6,39
m0388,WP_013736455.1,292,448,merge,M1,1;20;35,Direct,67,199
m0479,WP_014810472.1,375,334,join,9,,Direct,3,38
m0057,WP_018657411.1,263,248,merge,M1,1;20;35,Direct,7,103
m0342,WP_019629726.1,258,259,merge,M1,1;20;35,Direct,67,195
m0056,WP_019633337.1,465,272,merge,M1,1;20;35,Direct,70,196
m0336,WP_031525917.1,415,402,merge,M1,1;20;35,Direct,67,196
m0070,WP_035284691,383,266,merge,M1,1;20;35,Direct,69,199
m0213,WP_045318561.1,298,424,merge,M1,1;20;35,Direct,69,198
m0256,WP_051808300.1,323,277,merge,M1,1;20;35,Direct,67,196
m0155,WP_062195544.1,148,270,merge,M1,1;20;35,Direct,71,200
m0354,WP_065917710.1,300,276,merge,M1,1;20;35,Direct,68,199
m0448,WP_067035690.1,334,423,merge,M1,1;20;35,Direct,68,193
m0337,WP_068749367,245,326,join,9,,Direct,4,38
m0295,WP_068752972.1,340,300,merge,M1,1;20;35,Direct,70,196
m0427,WP_073391230.1,344,285,join,9,,Direct,6,39
m0398,WP_073887759.1,278,415,merge,M1,1;20;35,Direct,69,196
m0447,WP_075737041.1,299,304,merge,M1,1;20;35,Direct,68,196
m0492,WP_075885500.1,347,324,join,9,,Direct,6,39
m0331,WP_075975245.1,339,307,merge,M1,1;20;35,Direct,70,197
m0285,WP_078844206.1,307,348,merge,M1,1;20;35,Direct,67,196
m0165,WP_081971423.1,302,265,merge,M1,1;20;35,Direct,68,199
m0404,WP_082377728.1,281,469,merge,M1,1;20;35,Direct,68,201
m0168,WP_082403176.1,287,455,merge,M1,1;20;35,Direct,68,196
m0236,WP_082766707.1,345,343,join,9,,Direct,6,40
m0421,WP_083302694.1,311,463,merge,M1,1;20;35,Direct,69,202
m0190,WP_083947829,154,261,merge,M1,1;20;35,Direct,69,198
m0282,WP_083950838.1,295,297,merge,M1,1;20;35,Direct,68,197
m0278,WP_084261341.1,428,419,merge,M1,1;20;35,Direct,68,202
m0355,WP_084400763.1,317,436,merge,M1,1;20;35,Direct,69,197
m0345,WP_084434874.1,275,289,merge,M1,1;20;35,Direct,67,196
m0251,WP_084578793.1,325,337,merge,M1,1;20;35,Direct,66,197
m0381,WP_085750434.1,389,267,merge,M1,1;20;35,Direct,70,198
m0174,WP_086599340.1,464,402,merge,M1,1;20;35,Direct,69,196
m0481,WP_086668955.1,330,375,merge,M1,1;20;35,Direct,69,197
m0032,WP_086784246.1,306,418,merge,M1,1;20;35,Direct,68,196
m0281,WP_086849962.1,304,309,merge,M1,1;20;35,Direct,71,197
m0451,WP_088988822.1,279,465,merge,M1,1;20;35,Direct,68,200
m0199,WP_089021493.1,314,460,merge,M1,1;20;35,Direct,69,201
m0013,WP_091283529.1,308,463,merge,M1,1;20;35,Direct,69,201
m0205,WP_091317053.1,448,260,merge,M1,1;20;35,Direct,72,196
m0091,WP_091450391.1,333,281,merge,M1,1;20;35,Direct,69,198
m0312,WP_091553551.1,271,463,merge,M1,1;20;35,Direct,69,201
m0300,WP_092528534.1,331,299,merge,M1,1;20;35,Direct,67,196
m0117,WP_093411427.1,303,467,merge,M1,1;20;35,Direct,69,199
m0131,WP_093412886.1,151,261,merge,M1,1;20;35,Direct,71,198
m0262,WP_093473685.1,452,277,merge,M1,1;20;35,Direct,69,197
m0112,WP_093954453.1,312,302,merge,M1,1;20;35,Direct,67,198
m0371,WP_099848711.1,284,444,merge,M1,1;20;35,Direct,68,199
m0261,WP_101366623.1,273,468,merge,M1,1;20;35,Direct,70,200
m0413,WP_103564314.1,335,298,merge,M1,1;20;35,Direct,67,195
m0464,WP_103939557.1,337,292,merge,M1,1;20;35,Direct,68,196
m0123,WP_104115406.1,326,296,merge,M1,1;20;35,Direct,69,197
m0386,WP_104613137.1,152,262,merge,M1,1;20;35,Direct,71,196
m0293,WP_104739856.1,266,253,merge,M1,1;20;35,Direct,5,22
m0128,WP_109361459.1,466,402,merge,M1,1;20;35,Direct,69,196
m0296,WP_109639600.1,305,422,merge,M1,1;20;35,Direct,69,197
m0096,WP_110080872.1,329,316,merge,M1,1;20;35,Direct,68,197
m0377,WP_110567505.1,274,465,merge,M1,1;20;35,Direct,69,200
m0382,WP_111214096.1,420,409,merge,M1,1;20;35,Direct,68,200
m0145,WP_111700265.1,324,436,merge,M1,1;20;35,Direct,70,199
m0468,WP_112669767.1,309,461,merge,M1,1;20;35,Direct,69,199
m0113,WP_116023875.1,260,254,merge,M1,1;20;35,Direct,67,197
m0460,WP_116180173.1,276,288,merge,M1,1;20;35,Direct,68,202
m0456,WP_116813002.1,313,288,merge,M1,1;20;35,Direct,69,197
m0399,WP_120326365.1,328,300,merge,M1,1;20;35,Direct,70,197
m0475,WP_123685830.1,316,289,merge,M1,1;20;35,Direct,69,197
m0483,WP_124770494.1,321,329,merge,M1,1;20;35,Direct,69,199
m0410,WP_124822775.1,272,465,merge,M1,1;20;35,Direct,69,200
m0407,WP_125191182.1,289,315,merge,M1,1;20;35,Direct,67,197
m0490,WP_125313231.1,338,309,merge,M1,1;20;35,Direct,69,196
m0012,WP_129786244.1,403,257,merge,M1,1;20;35,Direct,69,196
m0237,WP_129849678.1,336,316,merge,M1,1;20;35,Direct,72,199
m0239,WP_130342639,384,264,merge,M1,1;20;35,Direct,67,196
m0118,WP_130401777.1,301,462,merge,M1,1;20;35,Direct,69,201
m0030,WP_130464304.1,277,472,merge,M1,1;20;35,Direct,69,203
m0260,WP_131056699.1,297,426,merge,M1,1;20;35,Direct,69,202
m0066,WP_131292212.1,361,287,join,9,,Direct,6,40
m0422,WP_132183354.1,318,454,merge,M1,1;20;35,Direct,68,199
m0231,WP_132337032.1,283,443,merge,M1,1;20;35,Direct,70,198
m0204,WP_132386942.1,282,447,merge,M1,1;20;35,Direct,70,197
m0195,WP_132413760.1,285,444,merge,M1,1;20;35,Direct,69,198
m0010,WP_137976057.1,288,378,merge,M1,1;20;35,Direct,66,197
m0271,WP_139580723.1,405,417,merge,M1,1;20;35,Direct,70,199
m0415,WP_139584963.1,294,465,merge,M1,1;20;35,Direct,67,198
m0394,WP_141569747.1,320,331,merge,M1,1;20;35,Direct,67,197
m0211,WP_141984372.1,290,413,merge,M1,1;20;35,Direct,68,197
m0003,WP_142197250.1,242,300,merge,M1,1;20;35,Direct,70,196
m0453,WP_143447025.1,480,286,merge,M1,1;20;35,Direct,69,196
m0150,WP_143590710.1,293,272,merge,M1,1;20;35,Direct,70,198
m0193,WP_144022925.1,447,256,merge,M1,1;20;35,Direct,68,197
m0073,WP_144126986.1,286,275,merge,M1,1;20;35,Direct,67,199
m0200,WP_145923095.1,332,487,merge,M1,1;20;35,Direct,69,200
m0396,WP_149259982.1,460,279,merge,M1,1;20;35,Direct,67,195
m0133,WP_150070118.1,468,261,merge,M1,1;20;35,Direct,70,198
m0059,WP_151597653.1,385,280,merge,M1,1;20;35,Direct,67,196
m0234,WP_155388305.1,291,276,merge,M1,1;20;35,Direct,66,197
m0167,WP_158852571.1,413,382,merge,M1,1;20;35,Direct,69,197
m0040,WP_161104454.1,392,261,merge,M1,1;20;35,Direct,67,195
m0194,WP_162908185.1,144,393,merge,M1,1;20;35,Direct,69,199
m0308,WP_167521412.1,407,423,merge,M1,1;20;35,Direct,70,200
m0105,WP_170196788.1,380,376,join,9,,Direct,6,39
m0292,WP_170322449.1,363,313,join,9,,Direct,6,31
m0369,WP_173061649.1,419,412,merge,M1,1;20;35,Direct,69,200
m0423,WP_181548579.1,426,408,merge,M1,1;20;35,Direct,69,201
m0235,WP_182904095.1,414,417,merge,M1,1;20;35,Direct,70,201
m0180,WP_184682765.1,398,273,merge,M1,1;20;35,Direct,69,195
m0104,WP_187224800.1,386,257,merge,M1,1;20;35,Direct,68,197
m0420,WP_199199185.1,441,313,merge,M1,1;20;35,Direct,69,197
m0332,WP_203733135.1,401,259,merge,M1,1;20;35,Direct,67,196
m0264,WP_203777396.1,418,417,merge,M1,1;20;35,Direct,67,198
m0014,WP_203790592.1,421,381,merge,M1,1;20;35,Direct,68,199
m0291,WP_203812622.1,444,262,merge,M1,1;20;35,Direct,69,197
m0163,WP_203847453.1,265,242,merge,M1,1;20;35,Direct,2,54
m0216,WP_203906211.1,446,257,merge,M1,1;20;35,Direct,67,198
m0477,WP_204038550.1,425,270,merge,M1,1;20;35,Direct,69,200
m0482,WP_209642273.1,257,254,merge,M1,1;20;35,Direct,68,197
m0491,WP_210157342.1,409,398,merge,M1,1;20;35,Direct,68,196
m0297,WP_211769896.1,467,248,merge,M1,1;20;35,Direct,69,199
m0486,WP_217634878.1,270,294,merge,M1,1;20;35,Direct,69,199
m0430,WP_218517662.1,472,392,merge,M1,1;20;35,Direct,69,200
m0093,WP_218920366.1,256,278,merge,M1,1;20;35,Direct,5,53
m0227,WP_220815207,241,298,merge,M1,1;20;35,Direct,69,198
m0266,WP_221382552.1,396,404,merge,M1,1;20;35,Direct,69,201
m0020,WP_229068674.1,391,269,merge,M1,1;20;35,Direct,69,199
m0225,WP_229836555.1,432,251,merge,M1,1;20;35,Direct,70,197
m0328,WP_232326807.1,411,416,merge,M1,1;20;35,Direct,68,200
m0046,WP_233427406.1,390,269,merge,M1,1;20;35,Direct,69,197
m0454,WP_233604767.1,474,391,merge,M1,1;20;35,Direct,70,202
m0274,WP_233872418.1,404,268,merge,M1,1;20;35,Direct,67,197
m0202,WP_239086781.1,451,251,merge,M1,1;20;35,Direct,68,197
m0367,WP_239095870.1,475,414,merge,M1,1;20;35,Direct,69,201
m0067,WP_239125827.1,443,251,merge,M1,1;20;35,Direct,67,199
m0258,WP_239135698.1,433,251,merge,M1,1;20;35,Direct,69,200
m0064,WP_242613666.1,319,288,merge,M1,1;20;35,Direct,71,199
m0309,WP_246087895.1,315,286,merge,M1,1;20;35,Direct,69,200
m0348,WP_247056560.1,442,260,merge,M1,1;20;35,Direct,70,196
m0254,WP_247684544.1,437,337,merge,M1,1;20;35,Direct,68,200
m0076,WP_250563816.1,479,261,merge,M1,1;20;35,Direct,69,198
m0161,WP_252275389.1,434,273,merge,M1,1;20;35,Direct,69,199
m0054,WP_252811421.1,431,375,merge,M1,1;20;35,Direct,68,195
m0368,WP_253762837.1,476,257,merge,M1,1;20;35,Direct,72,196
m0097,WP_256510026.1,457,266,merge,M1,1;20;35,Direct,69,200
m0219,WP_256510519.1,473,403,merge,M1,1;20;35,Direct,69,199
m0279,WP_260422593.1,470,411,merge,M1,1;20;35,Direct,69,201
m0465,WP_260709492.1,458,421,merge,M1,1;20;35,Direct,67,199
m0393,WP_264933993.1,455,402,merge,M1,1;20;35,Direct,67,196
m0156,WP_265247586.1,429,375,merge,M1,1;20;35,Direct,68,198
m0157,WP_267938240.1,406,405,merge,M1,1;20;35,Direct,69,198
m0203,WP_269740835.1,438,256,merge,M1,1;20;35,Direct,69,198
m0303,WP_271190254.1,435,400,merge,M1,1;20;35,Direct,68,196
m0469,WP_281901711.1,424,374,merge,M1,1;20;35,Direct,68,200
m0223,WP_307855560.1,469,261,merge,M1,1;20;35,Direct,68,197
m0212,XHH12374,246,357,join,9,,Direct,6,34
m0189,XHH12375,247,339,join,9,,Direct,6,33
m0276,XHH12378,248,364,join,9,,Direct,6,39
m0344,XP_005707592.1,376,361,join,9,,Direct,1,35
m0085,YCL34723,483,293,merge,M1,1;20;35,Direct,69,196
m0089,pazy:132,132,302,join,23,,Direct,9,2
m0321,pazy:133,133,297,join,23,,Direct,11,3
m0400,pazy:135,135,242,merge,M1,1;20;35,Direct,6,4
m0201,pazy:136,136,264,merge,M1,1;20;35,Direct,6,2
m0429,pazy:137,137,240,merge,M1,1;20;35,Direct,4,4
m0171,pazy:138,138,211,merge,M1,1;20;35,Direct,11,27
m0252,pazy:139,139,232,merge,M1,1;20;35,Direct,2,1
m0108,pazy:140,140,178,merge,M1,1;20;35,Direct,1,0
m0333,pazy:220,220,490,join,10,,Direct,8,3
m0403,pazy:222,222,472,join,10,,Direct,15,5
m0325,pazy:226,226,313,merge,M1,1;20;35,Direct,1,23
m0142,pazy:228,228,271,merge,M1,1;20;35,Direct,69,197
m0250,pazy:230,230,228,join,2,,Direct,9,2
m0068,pazy:232,232,231,join,2,,Direct,10,2
m0449,pazy:236,236,287,merge,M1,1;20;35,Direct,68,197
m0228,pazy:237,237,301,merge,M1,1;20;35,Direct,6,39
m0146,pazy:243,243,275,merge,M1,1;20;35,Direct,0,2
m0011,pazy:255,255,495,join,10,,Direct,9,3
m0060,pazy:453,453,409,merge,M1,1;20;35,Direct,68,200
m0265,pazy:471,471,377,merge,M1,1;20;35,Direct,68,195
m0127,pazy:477,477,412,merge,M1,1;20;35,Direct,66,198
m0083,pazy:487,487,204,join,26,,Direct,3,1
m0005,pazy:488,488,417,join,25,,Direct,6,0
m0335,pazy:489,489,299,novel,N5,,Direct,0,0
m0289,pazy:491,491,476,join,10,,Direct,7,3
m0478,pazy:492,492,491,join,10,,Direct,10,3
m0094,pazy:493,493,473,join,10,,Direct,10,5
