node_id	sequence_md5	accession	sequence_length	source	is_new	v1_component	cath	pazy_id	activity
m0089	2cb8429b4f066e923d4cdfee0c150e66	pazy:132	302	delta	1			132	Direct
m0090	2cd5f487f5114193eaf1c99806f6ef63	A0A031MKR8	302	v1	0	1	3.40.50.1820		
m0091	2da35d44369fc57fbab077687acd8caf	WP_091450391.1	281	delta	1			333	Direct
m0092	2ddc62c97241531aed04530538ae54d8	XDS72785.1	282	v1	0	1	3.40.50.1820		
m0093	2eb128f102cc13140badbff98397bead	WP_218920366.1	278	delta	1			256	Direct
m0094	2ed9ee8e5144960d9643ecf9b704cc6b	pazy:493	473	delta	1			493	Direct
m0095	2faa60f73ded9c502787ece47fca13f7	A0A060N399	227	v1	0	2	3.40.50.1820		
m0096	31564b91ecf89c422e16abc249221256	WP_110080872.1	316	delta	1			329	Direct
m0097	3195c72d9a6cc23e6a918505eb460744	WP_256510026.1	266	delta	1			457	Direct
m0098	31e8cee08e99636ef7d35f9f5457bb57	WP_085749238.1	279	v1	0	1	3.40.50.1820		
m0099	32320ea9636947aaaa29de601c9a9fa4	Q0K2G9	407	v1	0	3	3.40.50.1820		
m0100	325634c8b48334249f0532c897258e2e	WP_068824797.1	297	v1	0	1	3.40.50.1820		
m0101	336f0649eca9651f90fe2d208cd29559	-	485	v1	0	10	3.90.1300.10		
m0102	339540f3809d8ac98ee633f1da7247e9	AB739034	224	v1	0	2	3.40.50.1820		
m0103	342ff8b50fc233be7b68dc6cd032d5a7	KP347755.1	411	v1	0	18	TBDY		
m0104	345f201ff8d1e3e274fa0befed068849	WP_187224800.1	257	delta	1			386	Direct
m0105	34845c057c0fc493b1f6938327b2a52a	WP_170196788.1	376	delta	1			380	Direct
m0106	34c1852818547ac366dcf6bde03ccfd0	MPZ00478.1	256	delta	1			264	Direct
m0107	37caf8c38d262f6d271a5e7c422d4423	JGI20132J14458_10325381	257	v1	0	1	3.40.50.1820		
m0108	391373cb5db9b28c9daca5825c53c586	pazy:140	178	delta	1			140	Direct
m0109	39a7ac7133a69466be374ea3dab382e9	MCF0091346.1	416	delta	1			439	Direct
m0110	39f5ef8b2abbe007e623b9ceb5a0c815	U7UHN3	313	delta	1			379	Direct
m0111	3b00f12fd36416ff8790c3e56ebd219c	A0A7V5VEC1	312	delta	1			370	Direct
m0112	3b8571a2d62a99f31d344cab5662e8e5	WP_093954453.1	302	delta	1			312	Direct
m0113	3c24c71127138a8dac45afba8af40540	WP_116023875.1	254	delta	1			260	Direct
m0114	3ccbadd7e660120a138f6df238b1b9ae	P06873	384	v1	0	21	3.40.50.1820		
m0115	3cdb04dfc6e8e2e6816fbe523d088f25	KNX38636.1	303	delta	1			310	Direct
m0116	3d98c4ffc15561968b8fbb11d2ed071a	H6N4Z1	388	v1	0	16	NA		
m0117	3dcbffcfab5a9bf0b1856144dd30e5ef	WP_093411427.1	467	delta	1			303	Direct
m0118	3f5b7ed180255f20639a75548bb8ac56	WP_130401777.1	462	delta	1			301	Direct
m0119	41ec3fae20c0008c7ca666cd96974233	WP_107095481.1	310	v1	0	1	3.40.50.1820		
m0120	426c9c3680fe7091b7e6f1c7a0f7e7d3	Q7WXF6	245	v1	0	3	3.40.50.1820		
m0121	42aa40364f5684f1f255819ab69b7b92	A0A078MGG8	302	v1	0	1	3.40.50.1820		
m0122	4307017d78508de526bb8422be94a4c4	A4W93_05950	292	v1	0	1	3.40.50.1820		
m0123	43855fcf31b8ee18bc3c65f3b00f10cb	WP_104115406.1	296	delta	1			326	Direct
m0124	4396d62528f81dd793e1ad9a1339e777	EGD44994.1	259	delta	1			147	Direct
m0125	4413a75f4591f7557a156f377930d8c1	A0A2E3XQJ6	328	delta	1			350	Direct
m0126	443647f8fdd6aeb0fa7cd9fb8076c86d	A0A3D4HM79	314	delta	1			357	Direct
m0127	458e8b90a21baf7ebd97803a8ac2c21e	pazy:477	412	delta	1			477	Direct
m0128	45945d0ab5d678a18b781e0669cbb055	WP_109361459.1	402	delta	1			466	Direct
m0129	46578a460f23e13d1ebe0b0ebf887282	ADV92571	262	v1	0	1	3.40.50.1820		
m0130	46e18f09ca1ffe3e4eda0f6cae364c1e	A0A080NJE8	734	v1	0	28	3.40.50.1820		
m0131	46e4df7bb41b2ab3d8138860df25a8f0	WP_093412886.1	261	delta	1			151	Direct
m0132	476b1b64d6172e51befe003e4e5d70cb	BAU20375	386	delta	1			254	Direct
m0133	47a83e3990a0436b3cf05f20a51a8596	WP_150070118.1	261	delta	1			468	Direct
m0134	4862c74fdcd52e6437a16fe8f493fc97	R5FI29	302	delta	1			378	Direct
m0135	48ba5f056713b1c70f39bd5277e17500	A0A661XAJ6	315	delta	1			364	Direct
m0136	4988d0072931990a396b3d570551a7d2	MBO9532528.1	267	delta	1			261	Direct
m0137	4a0336bc720a4abac3701a6ac9778492	MBW4703769.1	420	delta	1			436	Direct
m0138	4a574ca3404dd23d7f43b897d52f7966	KPI12031.1	275	delta	1			142	Direct
m0139	4ae54f06384b9660b40e76e9a902f585	WBR49956	438	v1	0	10	3.90.1300.10		
m0140	4b02a9379189f4f3f4a6d2b07ad427c9	Q0JZG9	362	v1	0	31	3.40.50.1820		
m0141	4b50fcb2d78d50a7f5693abba7e356b1	W6R2Y2	201	v1	0	17	TBDX		
m0142	4b8f6674246c65fd5e727f3c5653b97c	pazy:228	271	delta	1			228	Direct
m0143	4be16a85172c726f7f8d6dbd2053955f	AII11221	348	v1	0	14	2.60.40.420		
m0144	4c93b29cd359ce02e9f06d853bb00619	WP_085690612	218	v1	0	38	3.40.50.1820		
m0145	4ce5f290ca4d5d58749e55ef4f739ea0	WP_111700265.1	436	delta	1			324	Direct
m0146	4d4f817cbca0966f4f40247e73036a6e	pazy:243	275	delta	1			243	Direct
m0147	4d6c690dd47d3941954de2c9d2abaf2f	E5BBQ2	319	v1	0	1	3.40.50.1820		
m0148	4dfca93c424da8986ee3fb484d868de2	GBD22443	293	v1	0	1	3.40.50.1820		
m0149	4e42b62ac9f3158a2a5a2b35e117d950	A0A0P0ZE81	239	v1	0	2	3.40.50.1820		
m0150	4eb20c9016001fd934311ea5fc36f89f	WP_143590710.1	272	delta	1			293	Direct
m0151	4f68c367317a6c09df48faffc017ad9e	WP_093412886.1	293	v1	0	1	3.40.50.1820		
m0152	512b62a8993ab9e45d25bcdfa650b798	A0A4P1LYH5	191	delta	1			494	Thomas
m0153	5353a76b2d62b148881304e276a3a0e0	P29600	269	v1	0	21	3.40.50.1820		
m0154	546363f6f7e62663a681aa0546a7c08c	WDT94189	296	delta	1			486	Direct
m0155	54c79fce7841fd9f7fcb988a58c8a786	WP_062195544.1	270	delta	1			148	Direct
m0156	54faf5bc264fec90658570714161a771	WP_265247586.1	375	delta	1			429	Direct
m0157	551946ddbe6046c13ca1a257eab4aeff	WP_267938240.1	405	delta	1			406	Direct
m0158	553239996e512830a1db6b67fb4aa1c7	7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1	259	v1	0	1	3.40.50.1820		
m0159	56cfdd56aa75ce0ccb483306ace4905e	GGR16917.1	397	delta	1			440	Direct
m0160	572db808330016b2e517a2e6db0d8477	UNZ81746	314	v1	0	23	3.40.50.1820		
m0161	5794398bf67cc8f02733bbe49ee5b5a7	WP_252275389.1	273	delta	1			434	Direct
m0162	586a335986f45e096f6ca073737678a5	A0A7W8QII1	344	v1	0	9	3.60.70.12		
m0163	592ca7c91c02c1d849ecccb2abd61b04	WP_203847453.1	242	delta	1			265	Direct
m0164	5a6512836ea29ab771cfdfefe8dd06d1	ACV09511	259	delta	1			381	Direct
m0165	5a6ca9ba6be2179ba6074343233d0a9b	WP_081971423.1	265	delta	1			302	Direct
m0166	5a880c3b46d61fb2b4fa713a243c511a	WP_010659881.1	352	v1	0	35	3.40.50.1820		
m0167	5ad88640a0909443935ffde6189148cd	WP_158852571.1	382	delta	1			413	Direct
m0168	5b6bcacc9716a844b6969cbeb5e49ef1	WP_082403176.1	455	delta	1			287	Direct
m0169	5c06f1259bc12791a4627d9b18c94185	AGT90042.1	483	v1	0	10	3.90.1300.10		
m0170	5c6047089b459f01b0f48bd717dcdfc0	WAT79796	213	delta	1			253	Direct
m0171	5c84500c673bc80c88548b8bab5b6f49	pazy:138	211	delta	1			138	Direct
m0172	5cee52f57ef4e114863f6926cabdca90	BEG79545	716	delta	1			249	Direct
m0173	5d5a068688da77ff57399d016ec7a637	MBT8227529.1	395	delta	1			387	Direct
m0174	5dae95b1ae471b5c1227bac36c1ec7a2	WP_086599340.1	402	delta	1			464	Direct
m0175	5e3a225d0c4dad34e74078ea45904b70	E9LVH7	262	v1	0	1	3.40.50.1820		
m0176	5e9df7f0c5b6442f1239982caf867978	7NEI	267	delta	1			37	Direct
m0177	5fa3e19ca90991487c80ed55e34da806	AAF66684.1	451	v1	0	4	3.40.50.1820		
m0178	6012a802711a9bb008ee0895a518a5a0	Q51871	433	v1	0	30	3.40.50.1820		
m0179	604018ae8af9058028c669f8ed8de020	A0A1F4JXW8	426	v1	0	1	3.40.50.1820		
m0180	604a7467661f309aee571ee1a3b32e3c	WP_184682765.1	273	delta	1			398	Direct
m0181	61096f3c3c59183340370910481286ed	ADV92526.1	265	delta	1			28	Direct
m0182	6139d7ee947801e1ffa5c9345c785900	AY026386	525	v1	0	10	3.90.1300.10		
m0183	61a4ab03c350b74dc8e27682811b973f	P94146	635	v1	0	30	3.40.50.1820		
m0184	61d801881a590b1495fd2352c700c042	WDT94064	352	delta	1			484	Direct
m0185	63f3bcdf9d4e41b30836917c8f069d43	UNZ81748	318	v1	0	23	3.40.50.1820		
m0186	6435b353e1e02d2f720bc95ef5cb13af	EGD44994.1	294	v1	0	1	3.40.50.1820		
m0187	643cdc8e6bf40238fb4a3568cc8eb4f8	-	472	v1	0	10	3.90.1300.10		
m0188	6479c4b689da748f2cb786f88522f290	A0A7C6SQZ1	318	delta	1			368	Direct
m0189	647a8a79005fc7f3a762d4b29e0328ad	XHH12375	339	delta	1			247	Direct
m0190	64afb4dfb438a3c53eb0b5acd62b58fa	WP_083947829	261	delta	1			154	Direct
m0191	6501b0257cf940e7d8aa9266fd92aaa1	GU116480	283	v1	0	22	3.40.50.1820		
m0192	659a58dc5abc0fd64c7c7e596bb56dd4	B0FY08	364	v1	0	12	2.40.10.10		
m0193	65c8b81cd9654afb64a9e720cf422064	WP_144022925.1	256	delta	1			447	Direct
m0194	65cee3e055016635a98ffb5607bc7ac7	WP_162908185.1	393	delta	1			144	Direct
m0195	66ecc46b29b845a7a916ce1874720817	WP_132413760.1	444	delta	1			285	Direct
m0196	675191dfc68739e49bbe92224e410269	TWG17167.1	412	delta	1			423	Direct
m0197	677a11fa0e32fbd01338ba6d30fc718b	WP_082414832.1	302	v1	0	1	3.40.50.1820		
m0198	67b4409cf7dfe74bbb08798733600bfc	MT664882	407	v1	0	16	NA		
m0199	688e3468b20f955579952d514c187611	WP_089021493.1	460	delta	1			314	Direct
m0200	690953c8ee380d8f7a711710318247ac	WP_145923095.1	487	delta	1			332	Direct
m0201	69bffdb070c4f59f57fb587d45e06c9c	pazy:136	264	delta	1			136	Direct
m0202	6b36ee7846daf9a5dd8cf184da779535	WP_239086781.1	251	delta	1			451	Direct
m0203	6b94d52b0435c23fcf2352a0b7fda352	WP_269740835.1	256	delta	1			438	Direct
m0204	6bfc5e52adfd5c1d647dbdd440a07380	WP_132386942.1	447	delta	1			282	Direct
m0205	6c187f4a3bb360a31c9e2b0b102191ae	WP_091317053.1	260	delta	1			448	Direct
m0206	6c8a21cf9b056c70de13236ba6a2c881	A0A6A7M915	342	delta	1			365	Direct
m0207	6c92a78329d5a05cad38caf62075d747	P19833	319	v1	0	1	3.40.50.1820		
m0208	6cfa5991a1358a2618da129bb29a2d1c	SUD16364.1	298	v1	0	1	3.40.50.1820		
m0209	6d23438286c1161ba0c5517a9eb36828	MGYP001121581011	392	delta	1			395	Direct
m0210	6def7fc8a6f81bb797445e688dbb615f	OPG10926.1	308	delta	1			322	Direct
m0211	6e59b2b22d0932610243c38a9455adb5	WP_141984372.1	413	delta	1			290	Direct
m0212	6eeb7b649b01121426a96ddee3c2c007	XHH12374	357	delta	1			246	Direct
m0213	6f59754c646b6771593cdb66b1cc732b	WP_045318561.1	424	delta	1			298	Direct
m0214	6f5b887d3833e9449f06aac8cfc2e5d6	YNPsite06_CeleraDRAFT_367810	495	v1	0	1	3.40.50.1820		
m0215	707b4a1056d9e4c0c63c7069d4846196	TDP67440	263	delta	1			382	Direct
m0216	709b1ef8284047eb5dad351e0fb5c87d	WP_203906211.1	257	delta	1			446	Direct
m0217	710f4592bfa0115da9f3500092b3518f	KU695573	307	v1	0	1	3.40.50.1820		
m0218	71d88f44c8ddca8715a62d0d30305df5	RLI42440.1	262	v1	0	1	3.40.50.1820		
m0219	7269cc72c4e11c63f64df5c2d937af35	WP_256510519.1	403	delta	1			473	Direct
m0220	7290711b3d888830a61b777dcd01df5d	E9LVI0_THEFU	262	v1	0	1	3.40.50.1820		
m0221	733c2c9763d7eca9809e1fd7f46990a1	GIU85367.1	244	delta	1			417	Direct
m0222	73f07a67f93f50ac08de42fd3f33928a	A0A351YZM4	328	delta	1			354	Direct
m0223	743cb076400a02360e0d5606258eac74	WP_307855560.1	261	delta	1			469	Direct
m0224	7452d6761b99d133be32ee4b17239cd1	Q6N9M9; RPA1511	295	v1	0	6	3.40.50.1820		
m0225	74be8125d4c4cf7b6b3c81829b9d4020	WP_229836555.1	251	delta	1			432	Direct
m0226	75970cca0aca8c2628e21abeff92d2b0	MGYP000271253724	420	delta	1			397	Direct
m0227	75b2b72259a73dea11dea49d5062379d	WP_220815207	298	delta	1			241	Direct
m0228	75bb9ab0210af3940fb95e2939ac10fe	pazy:237	301	delta	1			237	Direct
m0229	760d48b991f3789858295120e590915c	WP_010949597.1	347	delta	1			377	Direct
m0230	761f31759bb5d73ea55282d40c050c2e	H6WX58	262	v1	0	1	3.40.50.1820		
m0231	77a7b5a521e48effd1710f14533ed6a5	WP_132337032.1	443	delta	1			283	Direct
m0232	77b3eb7d458379633a6175152729a2e8	A4UZ13	283	v1	0	5	3.40.50.1820		
m0233	77bca54fb186cc66d3f509d6fb835b65	NYLA_FLASK	493	v1	0	10	3.90.1300.10		
m0234	783d312623e9a23ce795d29a255d97a8	WP_155388305.1	276	delta	1			291	Direct
m0235	788de8956c22b4613079ce26544dcdf2	WP_182904095.1	417	delta	1			414	Direct
m0236	78f18c1dd8a82d742a0cccc5a0e6a951	WP_082766707.1	343	delta	1			345	Direct
m0237	7a0b4f5fc6faf46b8f8e8de955097dbe	WP_129849678.1	316	delta	1			336	Direct
m0238	7acde97244b13e14de682a6f3f3def1e	YNP18_240440	258	v1	0	1	3.40.50.1820		
m0239	7b16607e5be9977938d6038ac1dd7c5e	WP_130342639	264	delta	1			384	Direct
m0240	7c4f3c2c61c18d9e4e47adb2e32a929a	MBN1171866.1	291	delta	1			461	Direct
m0241	7d43cc8143961b92bacba0d218fe7818	WDT94443	321	delta	1			485	Direct
m0242	7f7526ac0c7c4c8440ba6812322c88d5	WP_108898452.1	417	v1	0	25	3.40.50.1820		
m0243	8040f9a8c134be1d5c12c2eb7a63656a	WBC00352.1	401	delta	1			408	Direct
m0244	815c8cb8347c7ae5a0b5f9f5e645b5db	Q12559	545	v1	0	10	3.90.1300.10		
m0245	81a9df90765d3ca5a2dbd97ac8fe0e4f	AKJ87264	421	v1	0	24	3.40.50.1820		
m0246	81f568dbaa464c36246be059cfa19188	-	282	v1	0	1	3.40.50.1820		
m0247	821c28b3e158579536d0795e3661b21a	Q1EPR4	355	v1	0	9	3.60.70.12		
m0248	82ad083bac9eb6305fcf17a4e8351c35	MGYP001489421514	263	delta	1			393	Direct
m0249	82b7aa41d984234dbb69f23c5dfebbb9	-	222	v1	0	2	3.40.50.1820		
m0250	82b7c2b8fe6536c3c95f6f083c3a4609	pazy:230	228	delta	1			230	Direct
m0251	82d420ad8219d9469aeea11873ba7544	WP_084578793.1	337	delta	1			325	Direct
m0252	834aa2e01514df35f29d41f741f7f075	pazy:139	232	delta	1			139	Direct
m0253	837c8cc88d3bee11c34fe65c687d9dcb	A0A1Q3SHB0	328	delta	1			346	Direct
m0254	83d0a1b5946039d3d9f242317fa6fb04	WP_247684544.1	337	delta	1			437	Direct
m0255	8498b2d8f6b8bed93dff49ed65b14a6a	A0A1Y4BJH4	335	delta	1			348	Direct
m0256	84adddad34e99d2a499ea48da9b8e877	WP_051808300.1	277	delta	1			323	Direct
m0257	84ba28218df106867af936d87aba63b4	Q7X0P3	678	v1	0	15	NA		
m0258	850f0131dfb22d1ade350d5c551fb654	WP_239135698.1	251	delta	1			433	Direct
m0259	85933cc8711bcbd2db56860adfb2fd54	Chen, 2024	276	v1	0	22	3.40.50.1820		
m0260	86e8274d483618172b997d8cd41d9088	WP_131056699.1	426	delta	1			297	Direct
m0261	871ef0545eb8542ab53b599df2bff175	WP_101366623.1	468	delta	1			273	Direct
m0262	87336c7ec6e0ee245b625cc0709f3684	WP_093473685.1	277	delta	1			452	Direct
m0263	87aa35504c9b3d7a43c12213005621e0	MGYP001477358452	261	delta	1			454	Direct
m0264	87d890e381a7d683e581e77330a26d0d	WP_203777396.1	417	delta	1			418	Direct
m0265	88841de98bcd5eae5b30baba1632688f	pazy:471	377	delta	1			471	Direct
m0266	892cfb0a9cf2aa38806c0f7b6904fa1e	WP_221382552.1	404	delta	1			396	Direct
m0267	89a542779c863e59d7568848d38bc88c	KXS08985	366	delta	1			343	Direct
m0268	8a1e0dd9f3bc9ffc3fbc366fc7b3475e	MTK05241.1	414	delta	1			450	Direct
m0269	8a27f08047aeded2e90bf33e519d6d59	A0A840P940	332	v1	0	9	3.60.70.12		
m0270	8a8c23e1f5be053cf56566f33d5c2c4f	PSR30050	325	delta	1			351	Direct
m0271	8b5eda3b660f48ed8e0cf729119da83e	WP_139580723.1	417	delta	1			405	Direct
m0272	8b6e9ddd1da10e1d0d3c47e2aeaaba85	Q0K7T2	404	v1	0	3	3.40.50.1820		
m0273	8c1251b68a3542249bcb13a579295b5b	RLU00646.1	284	delta	1			141	Direct
m0274	8f128a4b842dd20ace17b9a042bec4c5	WP_233872418.1	268	delta	1			404	Direct
m0275	8f7ceab2fc48801f9eff4ec96dd6b2b3	WP_041847557.1	491	v1	0	23	3.40.50.1820		
m0276	8f9519fc6a65305fa5d478fdece2fc6f	XHH12378	364	delta	1			248	Direct
m0277	8fede4413e76abb354158b5bb05b5c6e	MBO4274871.1	432	delta	1			410	Direct
m0278	90fc02afd9329ba4e19b7248dd4fd834	WP_084261341.1	419	delta	1			428	Direct
m0279	91432115863bc23d05d003cd46c6aab1	WP_260422593.1	411	delta	1			470	Direct
m0280	925eaa1d8c145880ff409530b973e7fe	SAY37582.1	260	v1	0	1	3.40.50.1820		
m0281	9584eb11232d43e7df101608e2829102	WP_086849962.1	309	delta	1			304	Direct
m0282	95981aed79b153af6c6d1c44c404d164	WP_083950838.1	297	delta	1			295	Direct
m0283	95b8c354124ce6fc0e73869c1285b609	ACY95991.1	292	v1	0	1	3.40.50.1820		
