node_id,component_id_corrected,v1_component,cath,md5
n31,3,1,3.40.50.1820,46578a460f23e13d1ebe0b0ebf887282
n32,3,1,3.40.50.1820,6435b353e1e02d2f720bc95ef5cb13af
n33,3,1,3.40.50.1820,1b0d2c147b96bad033703fb124a50764
n34,3,1,3.40.50.1820,4dfca93c424da8986ee3fb484d868de2
n35,3,1,3.40.50.1820,fe31253f406d9725da382e4a9e67d782
n36,3,1,3.40.50.1820,e0db2a4f62c16fd0850cb05f28dbe103
n37,3,1,3.40.50.1820,c48ea13e3b7c4343a47482e71c9b2abe
n38,3,1,3.40.50.1820,6f5b887d3833e9449f06aac8cfc2e5d6
n39,3,1,3.40.50.1820,37caf8c38d262f6d271a5e7c422d4423
n40,3,1,3.40.50.1820,bc7a038f9383a1c9351ad53e8f89a243
n41,3,1,3.40.50.1820,174ba911d73b1edc801c52651ec17efd
n42,3,1,3.40.50.1820,604018ae8af9058028c669f8ed8de020
n43,3,1,3.40.50.1820,6c92a78329d5a05cad38caf62075d747
n44,3,1,3.40.50.1820,a0445e5a5b156ccfedc088c49acfd84a
n45,3,1,3.40.50.1820,d357a79e14b6376e4d3557864252bfe8
n46,3,1,3.40.50.1820,a0445e5a5b156ccfedc088c49acfd84a
n47,3,1,3.40.50.1820,a9bad1df9172c94be6b225bd32b6bd1d
n48,3,1,3.40.50.1820,c0173ba184ddb729e7ef9122ecff0145
n49,3,1,3.40.50.1820,71d88f44c8ddca8715a62d0d30305df5
n50,3,1,3.40.50.1820,14a5c3e1584a0ee2518f18810a7fed98
n51,3,1,3.40.50.1820,1545cf731ea10ee62b256807199e37d8
n52,3,1,3.40.50.1820,00855c73c087597a6c69fa2b114d731e
n53,3,1,3.40.50.1820,925eaa1d8c145880ff409530b973e7fe
n54,3,1,3.40.50.1820,e6c1800b97f5f0184a1dd73540deb95a
n55,3,1,3.40.50.1820,aaa9786d473a7eb02349e757ab50352c
n56,3,1,3.40.50.1820,0c75d9f81ae52914a609ec24d4c68ea2
n57,3,1,3.40.50.1820,f5ac2c525370f659e6c1b4fc71e16ce1
n58,3,1,3.40.50.1820,1361228bf3f1c19ea8214555076414a7
n59,3,1,3.40.50.1820,6cfa5991a1358a2618da129bb29a2d1c
n60,3,1,3.40.50.1820,fe08eef9c8f87d7d57af2914ff906b14
n61,3,1,3.40.50.1820,15938ddd57d7448aa110a9139193c91b
n62,3,1,3.40.50.1820,d1aa8fa7800d986fee5acab07614bd0d
n63,3,1,3.40.50.1820,81f568dbaa464c36246be059cfa19188
n64,3,1,3.40.50.1820,aa2b99b06ee80b2a22d650e6f32f1c1e
n65,3,1,3.40.50.1820,a0904c35f59716a292ebfca5adfcbc0e
n66,3,1,3.40.50.1820,2cd5f487f5114193eaf1c99806f6ef63
n67,3,1,3.40.50.1820,e6cfd2897ec399a6f1d3ec1c6a98cdb7
n68,3,1,3.40.50.1820,42aa40364f5684f1f255819ab69b7b92
n69,3,1,3.40.50.1820,d78ca54fff3eddbc5a27aec8c337f94f
n70,3,1,3.40.50.1820,1197ee1b96f74dd16a31dad1ba334c46
n71,3,1,3.40.50.1820,325634c8b48334249f0532c897258e2e
n72,3,1,3.40.50.1820,ef08656ab980fbd8c17fe79b6060a681
n73,3,1,3.40.50.1820,677a11fa0e32fbd01338ba6d30fc718b
n74,3,1,3.40.50.1820,1e1f498fae0e6d56fb87a52a1fef96ff
n75,3,1,3.40.50.1820,31e8cee08e99636ef7d35f9f5457bb57
n76,3,1,3.40.50.1820,b96e3838fee9bee7a9d7d7d57eda9386
n77,3,1,3.40.50.1820,de58930843f53b731bc34d03f729488d
n78,3,1,3.40.50.1820,4f68c367317a6c09df48faffc017ad9e
n79,3,1,3.40.50.1820,ef0ce8fcf0fe89871330b7d41cec0e7b
n80,3,1,3.40.50.1820,e125fba23d29946317aa25973b8c03cb
n81,3,1,3.40.50.1820,41ec3fae20c0008c7ca666cd96974233
n82,3,1,3.40.50.1820,afb025038508228d84d2fe8c130d5d14
n83,3,1,3.40.50.1820,fb68a33e966a9f713281583d4f5d357b
n84,3,1,3.40.50.1820,d03a36b0671215d716f1df2ade24268f
n85,3,1,3.40.50.1820,7acde97244b13e14de682a6f3f3def1e
n86,3,1,3.40.50.1820,c51ea9e72ca4f046ba7b615cdd6e1bc0
n87,3,1,3.40.50.1820,25535d4836a01c7d3cc4bbeba3c18437
n88,3,1,3.40.50.1820,2ddc62c97241531aed04530538ae54d8
n89,3,1,3.40.50.1820,ee0092b4288da1c69a59e16f2b702cdf
n90,27,20,3.40.50.1820,fcafc8f695c58e71718b19c1a7c315ba
n91,7,21,3.40.50.1820,0ac767e72406f2fc0cf50fd9008e6f16
n92,7,21,3.40.50.1820,c119a9b5c297563dbef710cd0dfbaa94
n93,7,21,3.40.50.1820,3ccbadd7e660120a138f6df238b1b9ae
n94,7,21,3.40.50.1820,c2dc98ad498bf96179a52733ac69516e
n95,7,21,3.40.50.1820,5353a76b2d62b148881304e276a3a0e0
n96,22,22,3.40.50.1820,6501b0257cf940e7d8aa9266fd92aaa1
n97,22,22,3.40.50.1820,2952634441666dbdb22a48ce9cde12c5
n98,22,22,3.40.50.1820,85933cc8711bcbd2db56860adfb2fd54
n99,8,23,3.40.50.1820,b8d2efe3a6d76dcf58f691a374d528ed
n100,8,23,3.40.50.1820,de7fd3cae353ad8fabd922f83140376c
n101,8,23,3.40.50.1820,de5188fe17cc9552eecfc6b69179e19d
n102,8,23,3.40.50.1820,e49911a7e5738e9056e9fb9c5a9aa7ae
n103,8,23,3.40.50.1820,23af3c0ada6021e4452780933588e6da
n104,8,23,3.40.50.1820,f0ef5b5426c1171b0f229df593d4d810
n105,8,23,3.40.50.1820,b9431762171b80707139661059a4d5f3
n106,8,23,3.40.50.1820,572db808330016b2e517a2e6db0d8477
n107,8,23,3.40.50.1820,63f3bcdf9d4e41b30836917c8f069d43
n108,8,23,3.40.50.1820,f768e32a79d0b17b006886911c31b36d
n109,8,23,3.40.50.1820,2aefc1d9f667923f2f590677c9bd72d3
n110,8,23,3.40.50.1820,fe1766a388c03c1e83be5dd8c749ba4b
n111,8,23,3.40.50.1820,8f7ceab2fc48801f9eff4ec96dd6b2b3
n112,18,24,3.40.50.1820,81a9df90765d3ca5a2dbd97ac8fe0e4f
n113,10,25,3.40.50.1820,f21de0ea2dcb603946ac9638d3076b59
n114,10,25,3.40.50.1820,a4cafac901140b6b19f1c384d078b5d5
n115,10,25,3.40.50.1820,970357e6455a991c27de46edeee96a39
n116,10,25,3.40.50.1820,bfc457646ef92b3c1ed060f134602fba
n117,10,25,3.40.50.1820,a436d17bdfc2c17a51007a01c569dc7a
n118,10,25,3.40.50.1820,7f7526ac0c7c4c8440ba6812322c88d5
n119,5,26,3.40.50.1820,067e281972e92f24fb345ef6c8870caa
n120,5,26,3.40.50.1820,cbe6e6c036ad8643698609d6a197ff5d
n121,5,26,3.40.50.1820,11448cbf80389c1a758d8dfcba90907c
n122,21,27,3.40.50.1820,d39f4e4eb5bc5b5de87a6807337446ec
n123,4,28,3.40.50.1820,46e18f09ca1ffe3e4eda0f6cae364c1e
n124,4,28,3.40.50.1820,f972c4fe64b984d09a783a3fcdfb3199
n125,29,29,3.40.50.1820,9779282f44f5947a072f15c26945d21a
n126,30,30,3.40.50.1820,61a4ab03c350b74dc8e27682811b973f
n127,30,30,3.40.50.1820,6012a802711a9bb008ee0895a518a5a0
n128,31,31,3.40.50.1820,c96dbeb66cbc47f7911296f991cdfb8d
n129,31,31,3.40.50.1820,4b02a9379189f4f3f4a6d2b07ad427c9
n130,34,32,3.40.50.1820,ab6b2d53513cc127c20db4ff15e7a322
n131,33,33,3.40.50.1820,15317ec096461afae2a6111e17b27633
n132,36,34,3.40.50.1820,085add734f10d1917f9638347ab618d2
n133,23,35,3.40.50.1820,9d30a8d3a59a8932a82976151ee0fdf1
n134,3,35,3.40.50.1820,5a880c3b46d61fb2b4fa713a243c511a
n135,39,36,3.40.50.1820,263a6865371a5e0924e53280192fa035
n136,40,37,3.40.50.1820,e5a559b306f8a40b94d6844216b41307
n137,41,38,3.40.50.1820,4c93b29cd359ce02e9f06d853bb00619
n138,42,39,3.40.50.1820,228edba5269227f472a446139a646369
n139,1,2,3.40.50.1820,e0b91bc8063c1c7e94e918fcfd8cf2bc
n140,1,2,3.40.50.1820,2faa60f73ded9c502787ece47fca13f7
n141,1,2,3.40.50.1820,ea7a24d47eff2487f1491b3ad67cce64
n142,1,2,3.40.50.1820,4e42b62ac9f3158a2a5a2b35e117d950
n143,1,2,3.40.50.1820,d46d1c755303a13d2a19d9393a49d2f7
n144,1,2,3.40.50.1820,cd3efa9108622a39c229634066ce0292
n145,1,2,3.40.50.1820,339540f3809d8ac98ee633f1da7247e9
n146,1,2,3.40.50.1820,255e2b78ca9f54fe397d3917c1c6cae9
n147,1,2,3.40.50.1820,b316862d7118e4358cbe8bf6be6de118
n148,1,2,3.40.50.1820,a0550530145e06d4170e283fb389aa62
n149,1,2,3.40.50.1820,02048bc3dc3b8c853e51fcc55038f6ac
n150,1,2,3.40.50.1820,f7e864f6573eccaba6017448237af700
n151,1,2,3.40.50.1820,dab2da810add966a777bb8c243da293b
n152,1,2,3.40.50.1820,a2dfe48912d34dabd9ec983f2380b945
n153,1,2,3.40.50.1820,255e2b78ca9f54fe397d3917c1c6cae9
n154,1,2,3.40.50.1820,0e841a3c1f59a0cfd7b1ac47b6e7b1bd
n155,1,2,3.40.50.1820,82b7aa41d984234dbb69f23c5dfebbb9
n156,32,3,3.40.50.1820,32320ea9636947aaaa29de601c9a9fa4
n157,32,3,3.40.50.1820,f3019f8a82e15ef9ac9ed61f6a611c97
n158,32,3,3.40.50.1820,8b6e9ddd1da10e1d0d3c47e2aeaaba85
n159,32,3,3.40.50.1820,263b6d9cf1f73ddee6c8d0410fdaf229
n160,32,3,3.40.50.1820,426c9c3680fe7091b7e6f1c7a0f7e7d3
n161,12,4,3.40.50.1820,da74b7409b4c0618cc66c7787e557585
n162,12,4,3.40.50.1820,c02edb9924a7f5bcd356a4cb811dd674
n163,12,4,3.40.50.1820,5fa3e19ca90991487c80ed55e34da806
n164,12,4,3.40.50.1820,0d26a77d2ffda03e4582e295927066c6
n165,12,4,3.40.50.1820,cb8ee61f26429b3ce6a175e6f02222ef
n166,11,5,3.40.50.1820,0ce515d8f0c2a6b72722a127e726b8d7
n167,11,5,3.40.50.1820,77b3eb7d458379633a6175152729a2e8
n168,13,40,3.40.50.1820,d8bf4c4b8965f1f5509d077b1db637c5
n169,35,6,3.40.50.1820,7452d6761b99d133be32ee4b17239cd1
n170,26,7,3.40.50.1820,c5c958d03feed023c70aead575ffd575
n171,15,8,3.40.710.10,be7dd8f21d1b03631b329ecc8c66318e
n172,16,41,3.40.710.10,c2610dc7556aacd9a00bede53a3a5ef9
n173,28,42,3.40.710.10,ec89fcce3f831d4efa72c84c4ac889ee
n174,37,43,3.40.710.10,12efbdad63de5275909365067113db41
n175,9,9,3.60.70.12,586a335986f45e096f6ca073737678a5
n176,9,9,3.60.70.12,8a27f08047aeded2e90bf33e519d6d59
n177,9,9,3.60.70.12,aaede276fbd61767d03028e2d193d5a7
n178,9,9,3.60.70.12,821c28b3e158579536d0795e3661b21a
n179,9,9,3.60.70.12,b48a5e7e77b3b427ca89ac65da361050
n180,9,9,3.60.70.12,ebd22bc012fd6e181f43bc728b85dc79
n181,2,10,3.90.1300.10,6139d7ee947801e1ffa5c9345c785900
n182,2,10,3.90.1300.10,0c554c0dd255de614d248db3118d89da
n183,2,10,3.90.1300.10,5c06f1259bc12791a4627d9b18c94185
n184,2,10,3.90.1300.10,1090fc7df5cb6e4866fd00779c1d8e28
n185,2,10,3.90.1300.10,c05531f7c89f4efafc1f2537c89ad129
n186,2,10,3.90.1300.10,c21fdb598a3887e2e8a5af55068ffec4
n187,2,10,3.90.1300.10,a79509a510d90a50f6702955b1ad3b49
n188,2,10,3.90.1300.10,77bca54fb186cc66d3f509d6fb835b65
n189,2,10,3.90.1300.10,815c8cb8347c7ae5a0b5f9f5e645b5db
n190,2,10,3.90.1300.10,4ae54f06384b9660b40e76e9a902f585
n191,2,10,3.90.1300.10,06d89e9f595b7abc6f662a4ea5fc3f77
n192,2,10,3.90.1300.10,e517914dc89db0a2eedf86b6f66bf60c
n193,2,10,3.90.1300.10,d91b645ebea282e1c771123a7abe685f
n194,2,10,3.90.1300.10,ccec191e60e12d1782682af2211d9640
n195,2,10,3.90.1300.10,336f0649eca9651f90fe2d208cd29559
n196,2,10,3.90.1300.10,643cdc8e6bf40238fb4a3568cc8eb4f8
n197,2,10,3.90.1300.10,e422c7b9aabe1a23f75d15bd35cf71a6
n198,19,11,2.40.10.10,c07da837b710b266f98b045916b5543a
n199,19,11,2.40.10.10,167f1e4e4481dfb27bd087d9b3902929
n200,20,12,2.40.10.10,659a58dc5abc0fd64c7c7e596bb56dd4
n201,17,14,2.60.40.420,a231cf4880bedee499375b591f4c7cfc
n202,17,14,2.60.40.420,4be16a85172c726f7f8d6dbd2053955f
n203,6,15,NA,9c7dbb673a1f18286b846d8354918b3d
n204,6,15,NA,073907a632be32c5b92c8381c4de0c90
n205,6,15,NA,84ba28218df106867af936d87aba63b4
n206,24,16,NA,198d14bb37149debc526a3f90e777956
n207,24,16,NA,3d98c4ffc15561968b8fbb11d2ed071a
n208,24,16,NA,024678fb7e5f5a204647fd2d1e393aab
n209,24,16,NA,95d1e9d1e5c89ada66637cb1f2c7e05e
n210,24,16,NA,67b4409cf7dfe74bbb08798733600bfc
n211,38,17,TBDX,4b50fcb2d78d50a7f5693abba7e356b1
n212,25,18,TBDY,342ff8b50fc233be7b68dc6cd032d5a7
n213,14,19,TBDZ,b6f8363af9f6b89b71da887bdc4c3060
