node_id,pazy_accession,v1_component,cath,comp_allpairs_u11_ruleA,comp_local_u11_ruleC,comp_local_u12_ruleC,seqlen,is_redundant,md5_group
n166,AB302138; A4UZ12,5,3.40.50.1820,25,23,29,283,0,11
n167,A4UZ13,5,3.40.50.1820,25,23,29,283,0,93
n168,AB302140,40,3.40.50.1820,26,24,30,338,0,169
n169,Q6N9M9; RPA1511,6,3.40.50.1820,27,25,31,295,0,91
n170,LIPB_PSEA2,7,3.40.50.1820,28,26,32,342,0,153
n171,AGT96414.1,8,3.40.710.10,29,27,33,390,0,138
n172,AHG30919.1,41,3.40.710.10,30,28,34,414,0,147
n173,NYLB_FLASK,42,3.40.710.10,31,29,35,392,0,190
n174,UNZ81747,43,3.40.710.10,32,30,36,455,0,19
n175,A0A7W8QII1,9,3.60.70.12,33,31,37,344,0,69
n176,A0A840P940,9,3.60.70.12,33,31,37,332,0,104
n177,KQR39103,9,3.60.70.12,33,31,37,340,0,128
n178,Q1EPR4,9,3.60.70.12,33,31,37,355,0,100
n179,Q1EPR5,9,3.60.70.12,33,31,37,355,0,132
n180,NYLC_FLASK,9,3.60.70.12,33,31,37,355,0,189
n181,AY026386,10,3.90.1300.10,34,32,38,525,0,76
n182,AAK28498.1,10,3.90.1300.10,34,32,38,517,0,9
n183,AGT90042.1,10,3.90.1300.10,34,32,38,483,0,71
n184,ANG60415.1,10,3.90.1300.10,34,32,38,472,0,14
n185,ARF18137.1,10,3.90.1300.10,34,32,38,472,0,143
n186,BAI44731,10,3.90.1300.10,34,32,38,479,0,146
n187,NYLA_PSES8,10,3.90.1300.10,34,32,38,493,0,124
n188,NYLA_FLASK,10,3.90.1300.10,34,32,38,493,0,94
n189,Q12559,10,3.90.1300.10,34,32,38,545,0,97
n190,WBR49956,10,3.90.1300.10,34,32,38,438,0,57
n191,WBR49957,10,3.90.1300.10,34,32,38,439,0,5
n192,WBR49958,10,3.90.1300.10,34,32,38,439,0,182
n193,WP_011209364.1,10,3.90.1300.10,34,32,38,479,0,170
n194,WP_185053500,10,3.90.1300.10,34,32,38,471,0,159
n195,-,10,3.90.1300.10,34,32,38,485,0,45
n196,-,10,3.90.1300.10,34,32,38,472,0,80
n197,BBP47208; XP_036664376,10,3.90.1300.10,34,32,38,551,0,180
n198,B0FLR6,11,2.40.10.10,35,33,39,241,0,144
n199,Q75UA4,11,2.40.10.10,35,33,39,238,0,25
n200,B0FY08,12,2.40.10.10,36,34,40,364,0,82
n201,AII11185,14,2.60.40.420,37,35,41,516,0,119
n202,AII11221,14,2.60.40.420,37,35,41,348,0,60
n203,A0A1S6Q8F9,15,NA,38,36,42,681,0,114
n204,LC073705,15,NA,38,36,42,679,0,6
n205,Q7X0P3,15,NA,38,36,42,678,0,102
n206,H6N162,16,NA,39,37,43,407,0,27
n207,H6N4Z1,16,NA,39,37,43,388,0,50
n208,Q3L8N0,16,NA,39,37,43,407,0,3
n209,MT664881,16,NA,39,37,43,410,0,109
n210,MT664882,16,NA,39,37,43,407,0,84
n211,W6R2Y2,17,TBDX,40,38,44,201,0,59
n212,KP347755.1,18,TBDY,41,39,45,411,0,47
n213,ACD16728.1,19,TBDZ,42,40,46,316,0,133
