node_id,component,component_size
m0348,1,229
m0349,1,229
m0351,1,229
m0354,1,229
m0356,1,229
m0359,1,229
m0363,1,229
m0364,1,229
m0365,1,229
m0368,1,229
m0369,1,229
m0370,1,229
m0371,1,229
m0372,1,229
m0377,1,229
m0378,1,229
m0380,1,229
m0382,1,229
m0383,1,229
m0385,1,229
m0387,1,229
m0388,1,229
m0390,1,229
m0393,1,229
m0394,1,229
m0396,1,229
m0397,1,229
m0399,1,229
m0401,1,229
m0404,1,229
m0405,1,229
m0407,1,229
m0408,1,229
m0409,1,229
m0411,1,229
m0010,2,45
m0020,2,45
m0030,2,45
m0048,2,45
m0051,2,45
m0060,2,45
m0083,2,45
m0085,2,45
m0087,2,45
m0106,2,45
m0107,2,45
m0111,2,45
m0113,2,45
m0136,2,45
m0152,2,45
m0165,2,45
m0172,2,45
m0180,2,45
m0186,2,45
m0190,2,45
m0206,2,45
m0208,2,45
m0218,2,45
m0219,2,45
m0220,2,45
m0224,2,45
m0240,2,45
m0245,2,45
m0250,2,45
m0255,2,45
m0268,2,45
m0275,2,45
m0283,2,45
m0286,2,45
m0316,2,45
m0321,2,45
m0353,2,45
m0357,2,45
m0361,2,45
m0379,2,45
m0384,2,45
m0386,2,45
m0389,2,45
m0403,2,45
m0412,2,45
m0009,3,19
m0019,3,19
m0028,3,19
m0061,3,19
m0116,3,19
m0140,3,19
m0146,3,19
m0151,3,19
m0189,3,19
m0199,3,19
m0222,3,19
m0238,3,19
m0262,3,19
m0270,3,19
m0300,3,19
m0306,3,19
m0326,3,19
m0358,3,19
m0362,3,19
m0005,4,16
m0025,4,16
m0054,4,16
m0057,4,16
m0073,4,16
m0081,4,16
m0202,4,16
m0203,4,16
m0252,4,16
m0257,4,16
m0279,4,16
m0327,4,16
m0338,4,16
m0355,4,16
m0374,4,16
m0400,4,16
m0031,5,14
m0115,5,14
m0133,5,14
m0148,5,14
m0149,5,14
m0207,5,14
m0223,5,14
m0288,5,14
m0289,5,14
m0352,5,14
m0360,5,14
m0391,5,14
m0398,5,14
m0410,5,14
m0006,6,10
m0036,6,10
m0044,6,10
m0076,6,10
m0091,6,10
m0128,6,10
m0157,6,10
m0234,6,10
m0302,6,10
m0373,6,10
m0004,7,5
m0237,7,5
m0259,7,5
m0260,7,5
m0392,7,5
m0016,8,5
m0089,8,5
m0109,8,5
m0308,8,5
m0310,8,5
m0027,9,5
m0144,9,5
m0147,9,5
m0334,9,5
m0375,9,5
m0058,10,5
m0099,10,5
m0178,10,5
m0342,10,5
m0376,10,5
m0059,11,5
m0079,11,5
m0100,11,5
m0221,11,5
m0395,11,5
m0023,12,4
m0143,12,4
m0299,12,4
m0323,12,4
m0040,13,4
m0092,13,4
m0301,13,4
m0406,13,4
m0063,14,4
m0153,14,4
m0181,14,4
m0211,14,4
m0008,15,3
m0062,15,3
m0325,15,3
m0011,16,3
m0210,16,3
m0249,16,3
m0108,17,2
m0402,17,2
m0117,18,2
m0319,18,2
m0118,19,2
m0127,19,2
m0120,20,2
m0256,20,2
m0130,21,2
m0269,21,2
m0366,22,2
m0381,22,2
m0014,23,1
m0021,24,1
m0022,25,1
m0033,26,1
m0037,27,1
m0046,28,1
m0055,29,1
m0082,30,1
m0122,31,1
m0141,32,1
m0154,33,1
m0195,34,1
m0196,35,1
m0200,36,1
m0201,37,1
m0239,38,1
m0285,39,1
m0296,40,1
m0298,41,1
m0307,42,1
m0313,43,1
m0346,44,1
m0350,45,1
m0367,46,1
