n213	n163	25.9	9.93	21
n191	n154	29.4	2.78	23
n191	n79	38.1	4.74	23
n191	n22	45.5	6.19	22
n191	n27	45.5	6.19	22
n190	n188	30.2	1.45e-41	161
n190	n187	30.0	1.04e-39	154
n190	n183	30.3	1.72e-34	137
n190	n189	26.4	1.67e-29	121
n190	n181	39.7	2.41e-28	117
n190	n185	33.3	2.41e-28	117
n190	n182	36.9	2.66e-27	113
n190	n186	32.6	4.54e-27	112
n190	n184	33.6	1.12e-25	108
n190	n184	26.1	7.28e-09	52
n190	n185	26.0	5.22e-07	46
n190	n69	23.3	0.00054	36
n190	n182	27.1	0.0035	33
n190	n181	42.5	0.0174	31
n190	n124	22.5	0.147	28
n190	n169	32.5	1.63	24
n190	n154	29.2	2.77	23
n190	n139	33.3	2.77	23
n189	n183	23.3	1.39e-25	108
n189	n184	33.1	9.02e-25	105
n189	n185	31.7	9.97e-24	102
n189	n188	23.7	2.3e-20	91
n189	n187	23.2	5.12e-20	89
n189	n181	26.4	3.44e-16	77
n189	n186	26.8	5.86e-16	76
n189	n182	28.0	7.65e-16	75
n189	n38	25.0	0.533	26
n189	n181	44.8	0.908	25
n189	n88	37.1	1.19	25
n189	n176	32.6	5.89	23
n189	n154	23.5	7.69	22
n188	n187	98.6	4.29e-284	966
n188	n186	39.5	7.51e-79	285
n188	n183	31.1	4.45e-47	179
n188	n184	30.1	7.58e-47	178
n188	n185	33.3	8.4e-38	148
n188	n181	35.4	5.29e-24	102
n188	n182	28.9	1.76e-19	87
n188	n185	34.9	4.35e-10	56
n188	n95	21.7	1.4	25
n188	n125	26.9	2.39	24
n188	n65	27.1	6.96	22
n187	n186	39.2	3.73e-78	282
n187	n183	31.3	1.17e-47	181
n187	n185	33.3	2.89e-38	150
n187	n184	34.5	3.19e-37	146
n187	n181	35.0	1.54e-23	101
n187	n182	28.9	3e-19	87
n187	n185	35.8	1.49e-10	58
n187	n184	34.0	2.82e-09	54
n187	n95	20.2	0.822	25
n187	n125	26.9	2.39	24
n186	n184	29.5	8.72e-40	155
n186	n185	29.0	9.65e-39	151
n186	n183	29.2	8.17e-38	148
n186	n181	34.1	4.35e-23	99
n186	n182	31.7	4.81e-22	96
n186	n182	29.6	3.95e-08	50
n186	n181	33.0	3.35e-07	47
n186	n169	29.4	0.0722	29
n186	n25	26.6	0.161	28
n186	n45	26.1	0.468	26
n186	n14	26.1	0.468	26
n186	n134	24.0	0.611	26
n186	n58	23.8	1.04	25
n186	n170	30.7	2.32	24
n186	n22	25.4	3.96	23
n186	n27	25.4	3.96	23
n186	n29	32.3	5.17	23
n186	n138	26.6	6.76	22
n186	n87	25.5	6.76	22
n186	n13	32.3	8.83	22
n186	n107	40.0	8.83	22
n186	n80	32.3	8.83	22
n186	n26	32.3	8.83	22
n185	n184	75.8	4.33e-217	744
n185	n183	28.2	3.26e-47	179
n185	n182	33.7	5.77e-36	142
n185	n181	35.4	7.53e-36	142
n185	n181	38.8	1.17e-12	65
n185	n182	28.7	8.39e-11	59
n185	n126	33.3	2.29	24
n185	n124	54.5	2.99	23
n184	n183	31.1	2.58e-52	196
n184	n181	39.9	1.92e-39	154
n184	n182	34.8	7.53e-36	142
n184	n181	34.5	3.4e-12	63
n184	n182	27.3	4.45e-12	63
n184	n7	20.0	1.75	24
n184	n105	25.0	5.1	23
n183	n181	28.5	2.83e-38	150
n183	n182	26.6	4.85e-22	96
n183	n157	27.4	0.277	27
n183	n160	29.5	0.616	26
n183	n127	27.0	0.805	25
n183	n83	29.2	4	23
n183	n134	28.7	5.22	23
n183	n87	33.3	6.81	22
n182	n181	35.0	6.89e-83	298
n182	n165	21.1	0.00142	35
n182	n154	26.9	2.51	24
n182	n169	27.5	4.28	23
n181	n95	22.8	0.513	26
n181	n124	27.2	1.95	24
n180	n179	98.6	1.57e-203	698
n180	n178	95.8	1.16e-198	682
n180	n177	60.2	6.12e-115	404
n180	n176	59.2	2.66e-110	389
n180	n175	56.9	5.75e-97	344
n180	n35	41.0	0.266	27
n180	n159	35.8	1.01	25
n180	n156	34.6	1.72	24
n180	n108	45.0	8.54	22
n179	n178	97.2	1.47e-201	692
n179	n177	59.6	1.97e-113	399
n179	n176	58.3	2.49e-108	382
n179	n175	56.3	1.09e-95	340
n179	n35	41.0	0.266	27
n179	n126	29.2	0.592	25
n179	n159	35.8	1.01	25
n179	n123	25.0	1.72	24
n179	n156	34.6	1.72	24
n179	n108	45.0	8.54	22
n178	n177	60.2	6.77e-114	401
n178	n176	58.9	5.55e-108	381
n178	n175	56.6	6.36e-96	341
n178	n126	29.2	0.592	25
n178	n123	25.6	0.592	25
n178	n35	30.9	1.32	24
n178	n156	34.6	1.72	24
n178	n9	28.9	2.94	23
n178	n159	36.5	3.84	23
n178	n108	45.0	8.54	22
n177	n176	57.8	1.77e-103	366
n177	n175	50.3	1.5e-86	310
n176	n175	68.2	5.52e-126	441
n176	n108	38.5	3.59	23
n176	n129	29.1	6.12	22
n175	n42	26.8	0.197	27
n175	n5	25.7	2.18	23
n175	n24	33.3	2.85	23
n175	n107	28.9	4.85	22
n174	n172	26.9	4.43e-17	79
n174	n171	25.3	4.9e-08	49
n174	n173	25.0	0.00163	34
n174	n129	41.9	3.76	23
n174	n9	30.2	6.42	22
n173	n172	32.6	0.0591	29
n173	n171	22.1	9.43	22
n172	n171	25.7	1.02e-20	91
n171	n100	39.3	7.19	22
n171	n111	37.0	9.39	22
n170	n77	39.3	3.69	23
n170	n109	61.5	4.83	22
n170	n111	50.0	6.3	22
n170	n110	33.3	6.3	22
n169	n96	25.1	1.34e-06	44
n169	n97	27.0	2.52e-05	40
n169	n35	23.7	0.00308	33
n169	n168	28.2	0.00686	32
n169	n3	22.6	0.0261	30
n169	n95	27.5	0.129	27
n169	n94	29.3	0.169	27
n169	n48	25.3	0.839	25
n169	n90	37.8	1.1	24
n169	n65	47.8	5.44	22
n168	n166	26.8	2.89e-05	40
n168	n167	26.8	2.89e-05	40
n168	n96	26.9	6.43e-05	39
n168	n138	37.5	0.00011	38
n168	n39	30.4	0.000711	35
n168	n131	37.9	0.00353	33
n168	n142	25.5	0.114	28
n168	n39	24.2	0.33	26
n168	n47	31.0	0.431	26
n168	n21	31.0	0.431	26
n168	n88	26.5	1.25	24
n168	n105	50.0	1.25	24
n168	n92	25.0	1.25	24
n168	n154	33.3	2.14	23
n168	n16	28.2	3.65	23
n168	n75	31.0	3.65	23
n168	n138	25.0	4.77	22
n168	n4	28.6	6.23	22
n168	n128	25.5	6.23	22
n168	n1	28.6	8.13	22
n167	n166	99.6	4.49e-169	584
n167	n118	25.0	0.0086	31
n167	n120	33.3	0.0728	28
n167	n130	23.3	0.0728	28
n167	n65	25.4	0.124	27
n167	n117	22.0	0.124	27
n167	n121	41.9	0.361	26
n167	n119	41.9	0.361	26
n167	n114	20.5	0.472	25
n167	n97	23.5	0.805	25
n167	n118	32.7	3.06	23
n166	n118	25.0	0.0086	31
n166	n120	33.3	0.0728	28
n166	n130	23.3	0.0728	28
n166	n117	22.0	0.124	27
n166	n65	25.4	0.124	27
n166	n121	41.9	0.361	26
n166	n119	41.9	0.361	26
n166	n114	20.5	0.472	25
n166	n97	23.5	0.805	25
n166	n118	32.7	3.06	23
n165	n162	79.0	6.03e-250	853
n165	n161	35.0	1.19e-80	291
n165	n164	34.4	4.69e-77	279
n165	n163	51.0	2.95e-71	260
n165	n163	31.2	5.63e-22	96
n165	n32	27.6	0.013	32
n165	n163	37.5	0.11	28
n165	n16	20.0	0.246	27
n165	n23	29.1	0.246	27
n165	n45	34.1	0.716	26
n165	n22	24.6	0.716	26
n165	n31	34.1	0.716	26
n165	n27	24.6	0.716	26
n165	n12	34.1	0.716	26
n165	n14	34.1	0.716	26
n165	n81	26.0	0.935	25
n165	n10	27.3	0.935	25
n165	n8	27.3	1.22	25
n165	n25	28.9	1.22	25
n165	n15	27.3	1.22	25
n165	n11	27.3	1.22	25
n165	n44	27.3	1.22	25
n165	n46	27.3	1.22	25
n165	n30	27.3	1.22	25
n165	n29	34.1	1.22	25
n165	n13	27.3	2.08	24
n165	n80	27.3	2.08	24
n165	n92	25.0	2.08	24
n165	n26	27.3	2.08	24
n165	n74	25.9	3.55	23
n165	n38	23.0	4.64	23
n165	n72	23.8	6.06	23
n165	n118	41.4	7.92	22
n164	n161	99.4	0	1241
n164	n162	48.1	1.93e-124	436
n164	n163	67.9	3.67e-99	352
n164	n163	74.1	1.02e-32	132
n164	n163	32.9	8.07e-30	122
n164	n113	23.1	0.000117	39
n164	n162	32.9	0.00221	34
n164	n32	26.7	0.0143	32
n164	n22	22.3	0.0417	30
n164	n27	22.3	0.0417	30
n164	n115	33.3	0.0417	30
n164	n45	24.3	0.0545	30
n164	n14	24.3	0.0545	30
n164	n23	25.3	0.0712	29
n164	n12	24.5	0.093	29
n164	n31	24.5	0.093	29
n164	n16	20.0	0.207	28
n164	n72	19.9	0.353	27
n164	n124	43.8	0.462	27
n164	n116	30.2	0.787	26
n164	n2	27.7	3.91	23
n164	n54	27.7	3.91	23
n164	n92	22.4	3.91	23
n164	n33	22.1	6.67	23
n163	n161	67.9	4.58e-99	352
n163	n162	33.9	6.94e-47	178
n163	n161	74.1	7.45e-33	132
n163	n161	30.6	6.99e-23	99
n163	n162	26.5	3.97e-18	83
n163	n32	24.2	0.0036	33
n163	n161	21.5	0.0399	30
n163	n113	20.3	0.151	28
n163	n72	22.7	0.576	26
n163	n64	28.4	1.28	25
n163	n33	32.8	1.67	24
n163	n115	42.9	1.67	24
n163	n116	42.9	1.67	24
n163	n118	29.8	2.19	24
n163	n138	37.5	4.87	23
n163	n102	32.6	4.87	23
n163	n9	26.1	6.36	22
n163	n81	31.2	6.36	22
n163	n34	39.1	6.36	22
n163	n114	29.4	8.31	22
n162	n161	48.1	3.58e-125	439
n162	n161	32.9	0.00203	34
n162	n118	24.7	0.424	27
n162	n32	37.1	2.75	24
n162	n92	22.3	4.69	23
n162	n23	38.2	8	22
n162	n14	35.3	8	22
n162	n12	35.3	8	22
n162	n25	34.3	8	22
n162	n45	35.3	8	22
n162	n31	35.3	8	22
n162	n29	34.3	8	22
n161	n113	23.5	2.37e-05	41
n161	n137	25.6	0.032	30
n161	n27	21.8	0.0417	30
n161	n115	33.3	0.0417	30
n161	n22	21.8	0.0417	30
n161	n45	23.6	0.0545	30
n161	n32	26.0	0.0545	30
n161	n14	23.6	0.0545	30
n161	n23	25.3	0.0712	29
n161	n12	23.8	0.093	29
n161	n31	23.8	0.093	29
n161	n16	19.6	0.121	28
n161	n72	20.6	0.207	28
n161	n124	43.8	0.462	27
n161	n116	30.2	0.787	26
n161	n92	22.4	3.91	23
n161	n2	30.8	5.1	23
n161	n54	30.8	5.1	23
n160	n157	63.1	2.42e-78	282
n160	n159	50.0	2.43e-62	229
n160	n158	40.6	2.37e-41	159
n160	n156	39.9	2.62e-40	156
n160	n157	69.6	1.6e-05	40
n160	n159	70.0	0.000395	35
n160	n158	53.1	0.000673	35
n160	n156	42.9	0.0127	30
n160	n123	21.4	0.107	27
n160	n140	29.3	3.46	22
n159	n157	56.0	2.02e-133	466
n159	n156	47.7	3.84e-108	382
n159	n158	41.3	1.62e-90	323
n158	n156	47.1	5.56e-88	315
n158	n157	39.9	2.51e-72	263
n158	n29	37.1	9.72	22
n158	n15	37.1	9.72	22
n158	n44	37.1	9.72	22
n158	n80	37.1	9.72	22
n158	n46	37.1	9.72	22
n157	n156	44.1	1.4e-86	310
n157	n113	20.9	1.53	24
n157	n116	44.8	4.45	23
n157	n115	43.5	9.92	22
n156	n140	42.9	2.58	23
n155	n141	62.8	2.27e-75	272
n155	n145	58.9	3.88e-67	245
n155	n144	54.8	3.4e-63	231
n155	n142	54.3	9.89e-63	230
n155	n146	29.3	1.55e-15	73
n155	n153	29.3	1.55e-15	73
n155	n152	32.6	2.02e-15	73
n155	n147	26.4	3.69e-09	52
n155	n139	29.0	6.3e-09	51
n155	n154	26.3	2.39e-08	49
n155	n150	30.3	5.89e-07	45
n155	n149	27.7	0.00061	35
n155	n143	26.0	0.00104	34
n155	n148	25.2	0.015	30
n155	n140	26.3	0.631	25
n155	n151	25.4	0.631	25
n155	n6	32.2	5.34	22
n155	n126	30.0	9.11	21
n154	n150	51.9	9.87e-55	203
n154	n143	45.9	3.51e-52	195
n154	n151	45.4	7.82e-52	194
n154	n148	47.8	6.62e-51	191
n154	n140	47.4	1.47e-50	190
n154	n139	50.0	5.6e-50	188
n154	n149	43.7	1.25e-49	186
n154	n147	32.7	9.63e-26	107
n154	n153	29.0	1.18e-15	74
n154	n146	29.0	1.18e-15	74
n154	n152	30.3	5.85e-15	71
n154	n145	30.1	3.21e-13	65
n154	n142	27.6	5.13e-11	58
n154	n141	28.2	6.7e-11	58
n154	n144	27.2	1.49e-10	57
n154	n126	26.2	0.0568	28
n154	n93	26.4	1.07	24
n154	n128	37.3	2.39	23
n154	n43	38.5	5.32	22
n153	n146	100.0	5.93e-121	423
n153	n152	44.2	1.04e-40	157
n153	n147	32.6	7.96e-25	104
n153	n141	32.5	2.65e-20	89
n153	n145	29.2	9.43e-18	80
n153	n139	32.4	3.96e-16	75
n153	n142	29.1	1.97e-15	73
n153	n144	29.2	1.97e-15	73
n153	n148	26.7	1.27e-14	70
n153	n143	25.7	3.71e-14	69
n153	n151	25.7	8.26e-14	67
n153	n140	27.4	1.41e-13	67
n153	n150	27.7	2.66e-12	62
n153	n149	26.0	3.25e-10	55
n153	n5	24.5	0.0191	30
n153	n20	32.8	0.162	27
n153	n15	24.3	8.87	21
n153	n46	24.3	8.87	21
n153	n44	24.3	8.87	21
n152	n146	44.2	8.92e-41	157
n152	n147	32.2	1.02e-20	90
n152	n142	33.7	3.41e-16	75
n152	n144	31.8	7.6e-16	74
n152	n141	33.0	9.93e-16	74
n152	n145	29.2	4.93e-15	71
n152	n139	29.9	4.17e-14	68
n152	n140	30.3	1.34e-12	63
n152	n148	25.3	3.3e-11	59
n152	n149	27.8	9.61e-11	57
n152	n150	24.7	1.26e-10	57
n152	n143	25.1	6.23e-10	54
n152	n151	24.7	1.39e-09	53
n152	n48	25.5	0.0366	28
n152	n112	24.8	0.107	27
n152	n39	28.6	0.405	25
n152	n89	27.8	0.902	24
n152	n38	30.9	0.902	24
n152	n125	29.7	1.18	23
n152	n137	24.7	2.01	23
n152	n122	23.6	9.97	20
n151	n143	98.3	4.08e-128	447
n151	n148	76.2	4.87e-97	344
n151	n140	57.7	8.36e-73	263
n151	n149	48.7	3.3e-61	225
n151	n139	55.8	1.06e-59	220
n151	n150	50.7	1.81e-51	193
n151	n147	31.9	1.89e-24	103
n151	n146	25.7	8.8e-14	67
n151	n142	26.2	4.99e-09	52
n151	n145	25.0	1.45e-08	50
n151	n144	25.3	4.23e-08	49
n151	n141	25.8	5.17e-06	42
n151	n82	24.3	0.501	25
n151	n72	51.7	0.854	24
n151	n67	50.0	2.48	23
n151	n28	32.6	4.24	22
n151	n74	37.5	5.54	22
n151	n23	39.3	7.23	21
n151	n27	36.7	7.23	21
n151	n22	36.7	7.23	21
n151	n58	29.2	9.44	21
n150	n143	49.3	3.74e-51	191
n150	n149	44.3	2.27e-48	182
n150	n148	47.1	6.6e-48	181
n150	n139	50.3	1.25e-46	176
n150	n140	46.2	6.83e-45	171
n150	n147	29.4	2.21e-19	86
n150	n146	27.7	2.62e-12	62
n150	n142	28.4	7.89e-09	51
n150	n145	29.0	3e-08	49
n150	n144	25.7	2.15e-06	43
n150	n141	27.6	1.39e-05	40
n150	n137	30.4	6.69	21
n150	n134	22.6	8.74	21
n149	n139	62.7	1.86e-67	246
n149	n140	53.8	1.21e-66	243
n149	n143	49.6	1.06e-62	230
n149	n148	48.7	5.42e-59	218
n149	n147	31.1	9.04e-22	94
n149	n142	27.6	1.6e-10	57
n149	n146	26.0	3.56e-10	55
n149	n144	26.9	1.35e-09	54
n149	n141	25.8	2.39e-06	43
n149	n145	29.7	2.39e-06	43
n149	n83	34.3	0.674	25
n149	n106	42.3	1.15	24
n149	n87	37.8	4.37	22
n148	n143	77.1	4.4e-98	347
n148	n140	57.5	3.88e-70	255
n148	n139	54.0	8.4e-57	210
n148	n147	30.6	2.31e-22	96
n148	n146	26.7	1.36e-14	70
n148	n142	24.6	1.45e-08	50
n148	n144	23.5	1.23e-07	47
n148	n141	23.9	5.17e-06	42
n148	n145	22.4	3.35e-05	39
n148	n134	26.9	0.132	27
n148	n82	27.3	0.383	25
n148	n67	28.2	1.9	23
n148	n52	34.8	7.23	21
n148	n53	24.0	7.23	21
n147	n140	32.9	5.18e-26	108
n147	n143	32.7	1.15e-25	107
n147	n146	32.6	7.48e-25	104
n147	n139	31.7	1.91e-20	89
n147	n145	24.9	4.41e-09	52
n147	n144	23.7	1.09e-07	47
n147	n142	27.9	3.16e-07	45
n147	n141	23.3	7.04e-07	44
n147	n137	21.4	0.338	25
n147	n109	22.5	0.442	25
n147	n97	23.2	0.577	25
n147	n71	21.8	1.29	23
n147	n24	37.5	4.89	22
n147	n113	30.0	6.38	21
n147	n110	30.0	8.33	21
n146	n141	32.5	2.65e-20	89
n146	n145	29.2	9.43e-18	80
n146	n139	32.4	3.96e-16	75
n146	n144	29.2	1.97e-15	73
n146	n142	29.1	1.97e-15	73
n146	n143	25.7	3.71e-14	69
n146	n140	27.4	1.41e-13	67
n146	n5	24.5	0.0191	30
n146	n20	32.8	0.162	27
n146	n15	24.3	8.87	21
n146	n46	24.3	8.87	21
n146	n44	24.3	8.87	21
n145	n144	57.3	2.8e-73	265
n145	n142	54.7	1.3e-70	256
n145	n141	57.3	2.71e-68	248
n145	n139	30.2	2.76e-12	62
n145	n143	24.4	1.85e-08	50
n145	n140	21.9	2.5e-05	39
n145	n5	29.3	0.832	24
n145	n77	24.3	7.04	21
n144	n142	93.3	2.94e-129	451
n144	n141	62.1	1.13e-80	290
n144	n140	26.9	5.55e-11	58
n144	n139	30.3	1.78e-09	53
n144	n143	25.7	1.51e-08	50
n144	n87	26.4	0.105	27
n144	n127	25.4	0.105	27
n144	n22	23.8	0.137	27
n144	n27	23.8	0.137	27
n144	n5	26.5	0.887	24
n144	n122	27.9	1.51	23
n144	n81	23.6	2.58	23
n144	n55	52.0	3.37	22
n144	n56	52.0	3.37	22
n143	n140	57.7	1.09e-72	263
n143	n139	55.3	3.09e-59	218
n143	n142	26.7	1.72e-09	53
n143	n141	26.4	2.32e-06	43
n143	n72	51.7	0.854	24
n143	n28	34.9	1.12	24
n143	n58	31.2	2.48	23
n143	n82	23.5	3.25	22
n143	n74	37.5	5.54	22
n143	n22	36.7	7.23	21
n143	n23	39.3	7.23	21
n143	n27	36.7	7.23	21
n142	n141	64.5	7.09e-83	297
n142	n140	28.2	2.04e-13	66
n142	n139	31.0	2.75e-10	56
n142	n27	24.3	0.036	29
n142	n22	24.3	0.036	29
n142	n127	25.4	0.0803	28
n142	n87	27.5	0.234	26
n142	n122	30.2	0.679	25
n142	n5	26.8	0.679	25
n142	n56	52.0	3.37	22
n142	n55	52.0	3.37	22
n142	n81	24.4	7.51	21
n141	n139	29.3	1.43e-08	50
n141	n140	24.8	0.00402	32
n141	n127	23.5	0.0759	28
n141	n91	26.4	0.221	26
n141	n122	34.0	7.1	21
n140	n139	62.4	4.85e-65	238
n140	n58	24.7	1.44	23
n140	n88	26.3	9.32	21
n139	n128	30.2	0.248	26
n139	n112	30.9	0.941	24
n139	n83	24.7	1.23	23
n138	n135	27.3	2.34e-20	89
n138	n65	27.3	1.52e-19	87
n138	n85	25.7	6.17e-13	65
n138	n37	25.0	7.55e-11	58
n138	n49	25.8	1.29e-10	57
n138	n97	25.3	0.000307	36
n138	n59	22.4	0.00579	32
n138	n56	25.7	0.0168	30
