node_a,node_b,pct_id,evalue,bits,acc_a,acc_b,component_id
v001,v062,50.2,4.910e-69,251.0,A0A0K8P6T7,WAU86704.1,C001
v001,v064,48.5,4.200e-65,238.0,A0A0K8P6T7,WOR09923,C001
v001,v066,49.5,3.740e-78,282.0,A0A0K8P6T7,A0A031MKR8,C001
v001,v067,38.8,3.200e-45,172.0,A0A0K8P6T7,WP_039353427,C001
v001,v068,50.0,6.170e-81,291.0,A0A0K8P6T7,A0A078MGG8,C001
v001,v069,48.4,1.980e-68,249.0,A0A0K8P6T7,WP_058088494.1,C001
v001,v070,51.0,2.870e-78,282.0,A0A0K8P6T7,WP_062195544.1,C001
v001,v071,51.4,1.050e-80,290.0,A0A0K8P6T7,WP_068824797.1,C001
v001,v072,44.5,1.170e-63,233.0,A0A0K8P6T7,WP_078759821.1,C001
v001,v073,42.4,1.170e-63,233.0,A0A0K8P6T7,WP_082414832.1,C001
v001,v074,52.0,3.000e-72,262.0,A0A0K8P6T7,WP_083947829.1,C001
v001,v075,61.5,2.560e-100,355.0,A0A0K8P6T7,WP_085749238.1,C001
v001,v076,48.2,3.870e-75,272.0,A0A0K8P6T7,A0A1H6AD45,C001
v001,v077,49.7,1.090e-77,280.0,A0A0K8P6T7,WP_090538641.1,C001
v001,v078,44.9,9.560e-66,240.0,A0A0K8P6T7,WP_093412886.1,C001
v001,v079,34.5,3.130e-37,146.0,A0A0K8P6T7,WP_101893509.1,C001
v001,v080,49.7,4.010e-72,262.0,A0A0K8P6T7,WP_104613137.1,C001
v001,v081,50.5,5.230e-72,261.0,A0A0K8P6T7,WP_107095481.1,C001
v001,v082,36.9,1.390e-40,157.0,A0A0K8P6T7,WP_111881932,C001
v001,v083,40.6,3.190e-53,199.0,A0A0K8P6T7,WP_117215036.1,C001
v001,v086,50.7,1.480e-76,276.0,A0A0K8P6T7,Ipet,C001
v001,v087,42.8,3.960e-64,235.0,A0A0K8P6T7,XCO66867,C001
v001,v088,45.3,1.540e-60,223.0,A0A0K8P6T7,XDS72785.1,C001
v001,v089,53.2,1.020e-75,273.0,A0A0K8P6T7,ACC95208.1,C001
v002,v004,48.5,8.250e-69,250.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,A4W93_05950,C001
v002,v005,62.1,1.260e-93,333.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,ACY95991.1,C001
v002,v006,64.7,2.230e-98,349.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,D1A9G5,C001
v002,v007,47.6,5.910e-67,244.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,ADK73612,C001
v002,v008,64.3,1.880e-97,346.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,ADM47605.1,C001
v002,v009,62.2,6.270e-93,330.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,E8U721,C001
v002,v010,63.6,1.760e-95,339.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,E9LVH7,C001
v002,v011,64.8,5.860e-99,351.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,ADV92526.1,C001
v002,v012,64.0,3.210e-97,345.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,ADV92571,C001
v002,v013,64.8,7.650e-99,350.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,E9LVI0_THEFU,C001
v002,v014,63.9,1.220e-96,343.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,JN129499.1,C001
v002,v015,64.6,2.230e-98,349.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,JN129500.1,C001
v002,v016,67.8,3.110e-100,355.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,H6WX58,C001
v002,v018,50.7,9.100e-76,273.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,A0A0G3BI90_9BURK,C001
v002,v019,46.7,1.460e-65,240.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,KU695573,C001
v002,v020,44.2,8.270e-61,224.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,A0A1Z2SIQ1_VIBGA,C001
v002,v021,48.9,5.710e-70,254.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,BAB86909,C001
v002,v022,64.3,1.600e-96,342.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,BAI99230,C001
v002,v023,62.7,3.330e-94,335.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,F7IX06,C001
v002,v024,65.6,6.920e-100,354.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,W0TJ64,C001
v002,v025,63.9,9.350e-97,343.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,AJ810119,C001
v002,v026,64.6,2.230e-98,349.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,E5BBQ3_THEFU,C001
v002,v027,64.3,1.600e-96,342.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,D4Q9N1,C001
v002,v028,56.5,1.110e-81,293.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,DAC80635,C001
v002,v029,64.6,6.480e-98,347.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,E5BBQ2,C001
v002,v030,64.8,5.860e-99,351.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,E9LVH8,C001
v002,v031,64.0,3.210e-97,345.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,E9LVH9,C001
v002,v032,51.9,7.950e-80,287.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,EGD44994.1,C001
v002,v033,54.7,1.660e-77,279.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,G9BY57,C001
v002,v034,52.7,1.010e-74,270.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,GBD22443,C001
v002,v036,46.4,4.240e-65,238.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,R4YKL9_OLEAN,C001
v002,v040,31.2,2.780e-24,102.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,MEC8523093.1,C001
v002,v041,46.9,6.760e-63,231.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,ODU60407.1,C001
v002,v042,49.1,3.820e-74,268.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,A0A1F4JXW8,C001
v002,v043,40.5,1.320e-50,190.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,P19833,C001
v002,v044,64.6,2.230e-98,349.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,Q47RJ6_THEFY,C001
v002,v045,63.9,1.220e-96,343.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,Q47RJ7_THEFY,C001
v002,v046,64.6,2.230e-98,349.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,Q6A0I4,C001
v002,v047,48.9,5.710e-70,254.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,Q8RR62,C001
v002,v050,31.7,2.870e-29,119.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,RLT92980.1,C001
v002,v051,47.6,1.840e-68,249.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,RLU00646.1,C001
v002,v052,68.5,6.050e-104,367.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SAY37579.1,C001
v002,v053,69.5,3.550e-104,368.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SAY37582.1,C001
v002,v054,98.5,1.620e-149,518.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SAY37583.1,C001
v002,v055,62.3,5.830e-91,324.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SAY37584.1,C001
v002,v056,63.1,4.030e-92,328.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SAY37587.1,C001
v002,v057,63.1,6.880e-92,327.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SAY37589.1,C001
v002,v058,52.7,6.100e-72,261.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SHM40309.1,C001
v002,v059,44.5,6.760e-63,231.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,SUD16364.1,C001
v002,v060,44.3,8.270e-61,224.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,OK558824,C001
v002,v061,45.9,9.440e-65,237.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,OK558825,C001
v002,v062,69.3,2.080e-104,369.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WAU86704.1,C001
v002,v064,62.2,8.690e-95,337.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WOR09923,C001
v002,v066,48.3,1.720e-66,243.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,A0A031MKR8,C001
v002,v067,33.7,1.240e-32,130.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_039353427,C001
v002,v068,48.9,3.140e-68,248.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,A0A078MGG8,C001
v002,v069,50.8,7.270e-71,257.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_058088494.1,C001
v002,v070,48.3,1.660e-69,253.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_062195544.1,C001
v002,v071,43.0,1.410e-60,223.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_068824797.1,C001
v002,v072,64.9,1.880e-97,346.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_078759821.1,C001
v002,v073,60.1,3.220e-89,318.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_082414832.1,C001
v002,v074,60.8,4.500e-91,324.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_083947829.1,C001
v002,v075,45.6,2.570e-62,229.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_085749238.1,C001
v002,v076,48.1,5.350e-68,248.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,A0A1H6AD45,C001
v002,v077,46.3,2.480e-65,239.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_090538641.1,C001
v002,v078,66.2,4.060e-100,354.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_093412886.1,C001
v002,v079,30.6,2.250e-27,113.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_101893509.1,C001
v002,v080,64.6,2.910e-98,348.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_104613137.1,C001
v002,v081,67.7,4.330e-102,361.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_107095481.1,C001
v002,v082,33.2,2.120e-32,129.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_111881932,C001
v002,v083,52.5,1.150e-70,257.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,WP_117215036.1,C001
v002,v086,45.3,8.840e-63,230.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,Ipet,C001
v002,v087,63.1,1.000e-90,323.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,XCO66867,C001
v002,v088,44.6,4.540e-59,218.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,XDS72785.1,C001
v002,v089,43.4,4.850e-61,225.0,7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1,ACC95208.1,C001
v003,v035,95.1,1.860e-202,695.0,YNPsite05_CeleraDRAFT_401410,YNPsite06_CeleraDRAFT_160970,C001
v003,v037,32.9,8.500e-21,91.0,YNPsite05_CeleraDRAFT_401410,JzSedJan11_10004914,C001
v003,v085,42.7,2.510e-17,79.0,YNPsite05_CeleraDRAFT_401410,YNP18_240440,C001
v004,v005,50.8,3.200e-69,252.0,A4W93_05950,ACY95991.1,C001
v004,v006,49.5,3.380e-71,258.0,A4W93_05950,D1A9G5,C001
v004,v007,50.7,4.760e-81,291.0,A4W93_05950,ADK73612,C001
v004,v008,49.3,4.430e-70,255.0,A4W93_05950,ADM47605.1,C001
v004,v009,47.0,2.890e-70,255.0,A4W93_05950,E8U721,C001
v004,v010,49.1,3.750e-69,252.0,A4W93_05950,E9LVH7,C001
v004,v011,49.4,4.000e-71,258.0,A4W93_05950,ADV92526.1,C001
v004,v012,48.7,1.290e-69,253.0,A4W93_05950,ADV92571,C001
v004,v013,49.8,1.990e-70,256.0,A4W93_05950,E9LVI0_THEFU,C001
v004,v014,48.4,3.420e-71,258.0,A4W93_05950,JN129499.1,C001
v004,v015,49.1,1.060e-72,263.0,A4W93_05950,JN129500.1,C001
v004,v016,51.3,6.180e-72,261.0,A4W93_05950,H6WX58,C001
v004,v018,66.1,3.050e-112,395.0,A4W93_05950,A0A0G3BI90_9BURK,C001
v004,v019,46.4,4.770e-73,265.0,A4W93_05950,KU695573,C001
v004,v020,47.2,2.530e-74,269.0,A4W93_05950,A0A1Z2SIQ1_VIBGA,C001
v004,v021,73.8,5.750e-119,417.0,A4W93_05950,BAB86909,C001
v004,v022,49.8,4.030e-72,262.0,A4W93_05950,BAI99230,C001
v004,v023,49.8,8.990e-72,260.0,A4W93_05950,F7IX06,C001
v004,v024,45.1,7.870e-68,247.0,A4W93_05950,W0TJ64,C001
v004,v025,48.8,1.530e-71,260.0,A4W93_05950,AJ810119,C001
v004,v026,50.0,3.050e-71,258.0,A4W93_05950,E5BBQ3_THEFU,C001
v004,v027,49.8,4.030e-72,262.0,A4W93_05950,D4Q9N1,C001
v004,v028,43.4,1.550e-60,223.0,A4W93_05950,DAC80635,C001
v004,v029,49.1,1.530e-71,260.0,A4W93_05950,E5BBQ2,C001
v004,v030,49.4,4.000e-71,258.0,A4W93_05950,E9LVH8,C001
v004,v031,48.7,1.290e-69,253.0,A4W93_05950,E9LVH9,C001
v004,v032,44.4,2.450e-61,226.0,A4W93_05950,EGD44994.1,C001
v004,v033,47.5,5.280e-64,235.0,A4W93_05950,G9BY57,C001
v004,v034,46.2,3.540e-60,222.0,A4W93_05950,GBD22443,C001
v004,v036,50.5,1.330e-81,293.0,A4W93_05950,R4YKL9_OLEAN,C001
v004,v041,51.4,4.300e-82,295.0,A4W93_05950,ODU60407.1,C001
v004,v042,65.0,3.270e-106,375.0,A4W93_05950,A0A1F4JXW8,C001
v004,v043,39.2,9.530e-59,217.0,A4W93_05950,P19833,C001
v004,v044,49.1,1.060e-72,263.0,A4W93_05950,Q47RJ6_THEFY,C001
v004,v045,48.4,3.420e-71,258.0,A4W93_05950,Q47RJ7_THEFY,C001
v004,v046,49.1,1.060e-72,263.0,A4W93_05950,Q6A0I4,C001
v004,v047,73.8,5.750e-119,417.0,A4W93_05950,Q8RR62,C001
v004,v050,32.6,1.090e-31,127.0,A4W93_05950,RLT92980.1,C001
v004,v051,52.8,6.870e-80,287.0,A4W93_05950,RLU00646.1,C001
v004,v052,47.4,6.340e-69,251.0,A4W93_05950,SAY37579.1,C001
v004,v053,47.4,8.280e-69,250.0,A4W93_05950,SAY37582.1,C001
v004,v054,48.5,4.090e-68,248.0,A4W93_05950,SAY37583.1,C001
v004,v055,46.6,1.710e-66,243.0,A4W93_05950,SAY37584.1,C001
v004,v056,47.4,2.020e-67,246.0,A4W93_05950,SAY37587.1,C001
v004,v057,46.3,2.910e-66,242.0,A4W93_05950,SAY37589.1,C001
v004,v058,40.8,4.940e-62,228.0,A4W93_05950,SHM40309.1,C001
v004,v059,51.2,1.430e-85,306.0,A4W93_05950,SUD16364.1,C001
v004,v060,45.6,1.230e-74,270.0,A4W93_05950,OK558824,C001
v004,v061,46.2,2.790e-73,265.0,A4W93_05950,OK558825,C001
v004,v062,50.0,1.380e-71,260.0,A4W93_05950,WAU86704.1,C001
v004,v064,48.5,4.490e-67,245.0,A4W93_05950,WOR09923,C001
v004,v066,50.8,1.250e-81,293.0,A4W93_05950,A0A031MKR8,C001
v004,v067,36.6,1.500e-42,163.0,A4W93_05950,WP_039353427,C001
v004,v068,49.3,1.130e-82,297.0,A4W93_05950,A0A078MGG8,C001
v004,v069,48.3,4.550e-73,265.0,A4W93_05950,WP_058088494.1,C001
v004,v070,50.7,1.430e-77,280.0,A4W93_05950,WP_062195544.1,C001
v004,v071,52.9,2.600e-87,312.0,A4W93_05950,WP_068824797.1,C001
v004,v072,45.8,2.530e-66,242.0,A4W93_05950,WP_078759821.1,C001
v004,v073,44.6,1.180e-63,233.0,A4W93_05950,WP_082414832.1,C001
v004,v074,51.7,4.480e-76,275.0,A4W93_05950,WP_083947829.1,C001
v004,v075,57.3,1.460e-87,313.0,A4W93_05950,WP_085749238.1,C001
v004,v076,48.1,1.870e-77,279.0,A4W93_05950,A0A1H6AD45,C001
v004,v077,48.8,8.970e-80,287.0,A4W93_05950,WP_090538641.1,C001
v004,v078,46.6,1.340e-67,247.0,A4W93_05950,WP_093412886.1,C001
v004,v079,32.2,7.460e-31,124.0,A4W93_05950,WP_101893509.1,C001
v004,v080,49.5,5.270e-72,261.0,A4W93_05950,WP_104613137.1,C001
v004,v081,49.3,9.600e-74,267.0,A4W93_05950,WP_107095481.1,C001
v004,v082,36.2,8.210e-41,158.0,A4W93_05950,WP_111881932,C001
v004,v083,38.8,1.590e-52,196.0,A4W93_05950,WP_117215036.1,C001
v004,v086,54.7,1.630e-83,299.0,A4W93_05950,Ipet,C001
v004,v087,46.2,1.450e-66,243.0,A4W93_05950,XCO66867,C001
v004,v088,49.3,1.300e-67,247.0,A4W93_05950,XDS72785.1,C001
v004,v089,49.3,1.290e-78,283.0,A4W93_05950,ACC95208.1,C001
v005,v006,79.2,3.110e-133,465.0,ACY95991.1,D1A9G5,C001
v005,v007,46.6,2.990e-67,245.0,ACY95991.1,ADK73612,C001
v005,v008,61.0,2.180e-93,332.0,ACY95991.1,ADM47605.1,C001
v005,v009,59.0,8.350e-94,334.0,ACY95991.1,E8U721,C001
v005,v010,60.1,2.260e-90,322.0,ACY95991.1,E9LVH7,C001
v005,v011,61.2,5.740e-94,334.0,ACY95991.1,ADV92526.1,C001
v005,v012,60.8,1.280e-93,333.0,ACY95991.1,ADV92571,C001
v005,v013,61.6,4.390e-94,334.0,ACY95991.1,E9LVI0_THEFU,C001
v005,v014,59.5,3.030e-97,345.0,ACY95991.1,JN129499.1,C001
v005,v015,59.8,7.530e-98,347.0,ACY95991.1,JN129500.1,C001
v005,v016,64.6,8.560e-98,347.0,ACY95991.1,H6WX58,C001
v005,v018,48.6,3.780e-70,255.0,ACY95991.1,A0A0G3BI90_9BURK,C001
v005,v019,44.2,4.940e-62,228.0,ACY95991.1,KU695573,C001
v005,v020,42.7,1.180e-55,207.0,ACY95991.1,A0A1Z2SIQ1_VIBGA,C001
v005,v021,50.4,9.940e-71,257.0,ACY95991.1,BAB86909,C001
v005,v022,60.3,1.440e-101,359.0,ACY95991.1,BAI99230,C001
v005,v023,61.9,1.240e-100,356.0,ACY95991.1,F7IX06,C001
v005,v024,57.8,2.120e-97,346.0,ACY95991.1,W0TJ64,C001
v005,v025,59.8,1.680e-97,346.0,ACY95991.1,AJ810119,C001
v005,v026,61.6,4.380e-94,334.0,ACY95991.1,E5BBQ3_THEFU,C001
v005,v027,60.3,1.440e-101,359.0,ACY95991.1,D4Q9N1,C001
v005,v028,52.0,1.880e-82,296.0,ACY95991.1,DAC80635,C001
v005,v029,60.5,3.580e-98,348.0,ACY95991.1,E5BBQ2,C001
v005,v030,61.2,5.740e-94,334.0,ACY95991.1,E9LVH8,C001
v005,v031,60.8,1.280e-93,333.0,ACY95991.1,E9LVH9,C001
v005,v032,51.9,1.020e-83,300.0,ACY95991.1,EGD44994.1,C001
v005,v033,59.0,4.440e-87,311.0,ACY95991.1,G9BY57,C001
v005,v034,57.6,4.590e-84,301.0,ACY95991.1,GBD22443,C001
v005,v036,44.7,8.430e-62,227.0,ACY95991.1,R4YKL9_OLEAN,C001
v005,v041,45.1,9.320e-61,224.0,ACY95991.1,ODU60407.1,C001
v005,v042,46.7,5.640e-66,241.0,ACY95991.1,A0A1F4JXW8,C001
v005,v043,40.8,7.910e-52,194.0,ACY95991.1,P19833,C001
v005,v044,59.8,7.530e-98,347.0,ACY95991.1,Q47RJ6_THEFY,C001
v005,v045,59.5,3.030e-97,345.0,ACY95991.1,Q47RJ7_THEFY,C001
v005,v046,59.8,7.530e-98,347.0,ACY95991.1,Q6A0I4,C001
v005,v047,50.4,9.940e-71,257.0,ACY95991.1,Q8RR62,C001
v005,v050,30.9,1.250e-27,114.0,ACY95991.1,RLT92980.1,C001
v005,v051,47.7,1.700e-70,256.0,ACY95991.1,RLU00646.1,C001
v005,v052,65.4,4.070e-100,354.0,ACY95991.1,SAY37579.1,C001
v005,v053,67.3,2.550e-102,362.0,ACY95991.1,SAY37582.1,C001
v005,v054,61.9,2.820e-93,332.0,ACY95991.1,SAY37583.1,C001
v005,v055,59.1,2.990e-87,312.0,ACY95991.1,SAY37584.1,C001
v005,v056,59.2,6.030e-88,314.0,ACY95991.1,SAY37587.1,C001
v005,v057,59.2,6.030e-88,314.0,ACY95991.1,SAY37589.1,C001
v005,v058,60.3,5.990e-92,327.0,ACY95991.1,SHM40309.1,C001
v005,v059,44.9,9.010e-64,234.0,ACY95991.1,SUD16364.1,C001
v005,v060,41.9,2.150e-57,213.0,ACY95991.1,OK558824,C001
v005,v061,41.0,6.680e-59,218.0,ACY95991.1,OK558825,C001
v005,v062,68.2,2.330e-103,365.0,ACY95991.1,WAU86704.1,C001
v005,v064,66.8,8.110e-101,357.0,ACY95991.1,WOR09923,C001
v005,v066,44.3,3.660e-65,238.0,ACY95991.1,A0A031MKR8,C001
v005,v067,32.3,5.520e-29,118.0,ACY95991.1,WP_039353427,C001
v005,v068,46.2,1.030e-67,247.0,ACY95991.1,A0A078MGG8,C001
v005,v069,50.5,1.080e-74,270.0,ACY95991.1,WP_058088494.1,C001
v005,v070,50.2,9.940e-71,257.0,ACY95991.1,WP_062195544.1,C001
v005,v071,48.1,6.030e-68,248.0,ACY95991.1,WP_068824797.1,C001
v005,v072,62.7,6.800e-102,361.0,ACY95991.1,WP_078759821.1,C001
v005,v073,58.1,8.650e-91,324.0,ACY95991.1,WP_082414832.1,C001
v005,v074,58.4,1.390e-93,333.0,ACY95991.1,WP_083947829.1,C001
v005,v075,47.2,2.960e-64,235.0,ACY95991.1,WP_085749238.1,C001
v005,v076,44.7,3.100e-64,235.0,ACY95991.1,A0A1H6AD45,C001
v005,v077,46.7,7.120e-69,251.0,ACY95991.1,WP_090538641.1,C001
v005,v078,57.5,7.320e-90,320.0,ACY95991.1,WP_093412886.1,C001
