cluster_id	origin	size	role	label	centroid	pct_id_to_centroid
D219	de_novo	5	member	PL171|WAU86704||196	PL307|WP_125313231.1||338	92.8
D219	de_novo	5	member	PL556|WAU86704.1||	PL307|WP_125313231.1||338	92.8
D363	de_novo	5	centroid	PL152|SAY37584.1||174	PL152|SAY37584.1||174	*
D363	de_novo	5	member	PL154|SAY37589||176	PL152|SAY37584.1||174	98.4
D363	de_novo	5	member	PL576|SAY37589.1||	PL152|SAY37584.1||174	98.4
D363	de_novo	5	member	PL153|SAY37587||175	PL152|SAY37584.1||174	97.7
D363	de_novo	5	member	PL575|SAY37587.1||	PL152|SAY37584.1||174	97.7
D131	de_novo	4	centroid	PL116|||134	PL116|||134	*
D131	de_novo	4	member	PL493|7QJM||	PL116|||134	100.0
D131	de_novo	4	member	PL119|||137	PL116|||134	92.7
D131	de_novo	4	member	PL496|||	PL116|||134	92.7
D233	de_novo	4	centroid	PL159|BAB86909||181	PL159|BAB86909||181	*
D233	de_novo	4	member	PL172|BAB86909||197	PL159|BAB86909||181	100.0
D233	de_novo	4	member	PL484|Q8RR62||	PL159|BAB86909||181	100.0
D233	de_novo	4	member	PL553|BAB86909.1||	PL159|BAB86909||181	100.0
D352	de_novo	4	centroid	PL66|P29599||77	PL66|P29599||77	*
D352	de_novo	4	member	PL595|P29599.1||	PL66|P29599||77	100.0
D352	de_novo	4	member	PL65|P29600||76	PL66|P29599||77	98.1
D352	de_novo	4	member	PL596|P29600.1||	PL66|P29599||77	98.1
D389	de_novo	4	centroid	PL206|APJ12152||235	PL206|APJ12152||235	*
D389	de_novo	4	member	PL534|APJ12152.1||	PL206|APJ12152||235	100.0
D389	de_novo	4	member	PL105|BAV72205.1||122	PL206|APJ12152||235	95.3
D389	de_novo	4	member	PL222|WAT79796.1||253	PL206|APJ12152||235	98.1
R007	reference	4	centroid	PL51|WP_012476897.1||59	PL51|WP_012476897.1||59	*
R007	reference	4	member	PL50|AAA25908.1||54	PL51|WP_012476897.1||59	98.6
R007	reference	4	member	PL545|P13398.2||	PL51|WP_012476897.1||59	100.0
R007	reference	4	member	PL544|P13397.2||	PL51|WP_012476897.1||59	98.6
D032	de_novo	3	centroid	PL376|WP_167521412.1||407	PL376|WP_167521412.1||407	*
D032	de_novo	3	member	PL293|WP_111700265.1||324	PL376|WP_167521412.1||407	98.6
D032	de_novo	3	member	PL379|MBO4274871.1||410	PL376|WP_167521412.1||407	94.0
D038	de_novo	3	centroid	PL140|ANG60415||158	PL140|ANG60415||158	*
D038	de_novo	3	member	PL205|ANG60415||234	PL140|ANG60415||158	100.0
D038	de_novo	3	member	PL515|ANG60415.1||	PL140|ANG60415||158	100.0
D049	de_novo	3	centroid	PL280|WP_083302694.1||311	PL280|WP_083302694.1||311	*
D049	de_novo	3	member	PL277|WP_091283529.1||308	PL280|WP_083302694.1||311	94.8
D049	de_novo	3	member	PL439|WP_260422593.1||470	PL280|WP_083302694.1||311	99.8
D050	de_novo	3	centroid	PL389|WP_111214096.1||420	PL389|WP_111214096.1||420	*
D050	de_novo	3	member	PL253|WP_099848711.1||284	PL389|WP_111214096.1||420	90.5
D050	de_novo	3	member	PL394|WP_204038550.1||425	PL389|WP_111214096.1||420	90.1
D103	de_novo	3	centroid	PL457|||488	PL457|||488	*
D103	de_novo	3	member	PL180|WP_108898452||209	PL457|||488	97.4
D103	de_novo	3	member	PL532|WP_108898452.1||	PL457|||488	97.4
D163	de_novo	3	centroid	PL189|KQR39103||218	PL189|KQR39103||218	*
D163	de_novo	3	member	PL538|KQR39103.1||	PL189|KQR39103||218	100.0
D163	de_novo	3	member	PL217|XHH12375||247	PL189|KQR39103||218	95.0
D253	de_novo	3	centroid	PL34|BAK48590.1||35	PL34|BAK48590.1||35	*
D253	de_novo	3	member	PL32|BAI99230.2||33	PL34|BAK48590.1||35	91.3
D253	de_novo	3	member	PL508|D4Q9N1||	PL34|BAK48590.1||35	91.3
D300	de_novo	3	centroid	PL420|WP_239086781.1||451	PL420|WP_239086781.1||451	*
D300	de_novo	3	member	PL260|WP_155388305.1||291	PL420|WP_239086781.1||451	98.6
D300	de_novo	3	member	PL255|WP_144126986.1||286	PL420|WP_239086781.1||451	90.2
D332	de_novo	3	centroid	PL459|ATH80290||490	PL459|ATH80290||490	*
D332	de_novo	3	member	PL10|ABP86951||10	PL459|ATH80290||490	99.6
D332	de_novo	3	member	PL554|2FX5||	PL459|ATH80290||490	92.6
D346	de_novo	3	centroid	PL198|||227	PL198|||227	*
D346	de_novo	3	member	PL523|jmPE13||	PL198|||227	100.0
D346	de_novo	3	member	PL199|||228	PL198|||227	92.3
D373	de_novo	3	centroid	PL80|BAC67242.1||95	PL80|BAC67242.1||95	*
D373	de_novo	3	member	PL81|BAT32793.1||96	PL80|BAC67242.1||95	93.3
D373	de_novo	3	member	PL517|A0A0P0ZE81||	PL80|BAC67242.1||95	93.3
D379	de_novo	3	centroid	PL42|AAA33335.1||43	PL42|AAA33335.1||43	*
D379	de_novo	3	member	PL173|Q99174||199	PL42|AAA33335.1||43	98.3
D379	de_novo	3	member	PL514|Q99174.1||	PL42|AAA33335.1||43	98.3
R001	reference	3	centroid	PL16|AEV21261.1||16	PL16|AEV21261.1||16	*
R001	reference	3	member	PL17|GBD22443.1||17	PL16|AEV21261.1||16	92.2
R001	reference	3	member	PL522|G9BY57.1||	PL16|AEV21261.1||16	100.0
R012	reference	3	centroid	PL48|WP_011061486.1||50	PL48|WP_011061486.1||50	*
R012	reference	3	member	PL45|AAD22743.1||47	PL48|WP_011061486.1||50	99.4
R012	reference	3	member	PL585|AAY92471.1||	PL48|WP_011061486.1||50	100.0
D000	de_novo	2	centroid	PL97|WP_034398300.1||113	PL97|WP_034398300.1||113	*
D000	de_novo	2	member	PL573|KFJ10595.1||	PL97|WP_034398300.1||113	100.0
D001	de_novo	2	centroid	PL91|WP_011615575.1||107	PL91|WP_011615575.1||107	*
D001	de_novo	2	member	PL560|Q0K9H3.1||	PL91|WP_011615575.1||107	100.0
D004	de_novo	2	centroid	PL109|WP_085748997.1||126	PL109|WP_085748997.1||126	*
D004	de_novo	2	member	PL525|BAS44780.1||	PL109|WP_085748997.1||126	100.0
D005	de_novo	2	centroid	PL107|AAP41848.1||124	PL107|AAP41848.1||124	*
D005	de_novo	2	member	PL592|Q7X0P3||	PL107|AAP41848.1||124	100.0
D007	de_novo	2	centroid	PL96|BAA32541.1||112	PL96|BAA32541.1||112	*
D007	de_novo	2	member	PL574|O82950||	PL96|BAA32541.1||112	100.0
D009	de_novo	2	centroid	PL49|WP_011061489.1||51	PL49|WP_011061489.1||51	*
D009	de_novo	2	member	PL586|AAY92474.2||	PL49|WP_011061489.1||51	100.0
D010	de_novo	2	centroid	PL147|BBP47208.1||166	PL147|BBP47208.1||166	*
D010	de_novo	2	member	PL483|XP_036664376.1||	PL147|BBP47208.1||166	100.0
D011	de_novo	2	centroid	PL531|P20261.3||	PL531|P20261.3||	*
D011	de_novo	2	member	PL468|CAA34684||499	PL531|P20261.3||	100.0
D018	de_novo	2	centroid	PL178|WP_015255658||207	PL178|WP_015255658||207	*
D018	de_novo	2	member	PL598|WP_015255658.1||	PL178|WP_015255658||207	100.0
D022	de_novo	2	centroid	PL183|WP_041847557||212	PL183|WP_041847557||212	*
D022	de_novo	2	member	PL510|WP_041847557.1||	PL183|WP_041847557||212	100.0
D024	de_novo	2	centroid	PL191|||220	PL191|||220	*
D024	de_novo	2	member	PL516|WP_293218050.1||	PL191|||220	94.6
D036	de_novo	2	centroid	PL590|WP_348608127.1||	PL590|WP_348608127.1||	*
D036	de_novo	2	member	PL193|||222	PL590|WP_348608127.1||	98.7
D040	de_novo	2	centroid	PL188|WP_185053500||217	PL188|WP_185053500||217	*
D040	de_novo	2	member	PL606|WP_185053500.1||	PL188|WP_185053500||217	100.0
D043	de_novo	2	centroid	PL242|WP_101366623.1||273	PL242|WP_101366623.1||273	*
D043	de_novo	2	member	PL391|MBF9135495.1||422	PL242|WP_101366623.1||273	94.5
D044	de_novo	2	centroid	PL272|WP_093411427.1||303	PL272|WP_093411427.1||303	*
D044	de_novo	2	member	PL422|WP_164449727.1||453	PL272|WP_093411427.1||303	92.3
D046	de_novo	2	centroid	PL243|WP_110567505.1||274	PL243|WP_110567505.1||274	*
D046	de_novo	2	member	PL249|CCH19814.1||280	PL243|WP_110567505.1||274	91.2
D048	de_novo	2	centroid	PL240|WP_091553551.1||271	PL240|WP_091553551.1||271	*
D048	de_novo	2	member	PL388|WP_173061649.1||419	PL240|WP_091553551.1||271	91.7
D052	de_novo	2	centroid	PL210|WID88783||240	PL210|WID88783||240	*
D052	de_novo	2	member	PL487|WID88783.1||	PL210|WID88783||240	100.0
D053	de_novo	2	centroid	PL283|WP_089021493.1||314	PL283|WP_089021493.1||314	*
D053	de_novo	2	member	PL290|WP_124770494.1||321	PL283|WP_089021493.1||314	91.5
D064	de_novo	2	centroid	PL374|WP_139580723.1||405	PL374|WP_139580723.1||405	*
D064	de_novo	2	member	PL383|WP_182904095.1||414	PL374|WP_139580723.1||405	91.1
D073	de_novo	2	centroid	PL139|||157	PL139|||157	*
D073	de_novo	2	member	PL609|WBR49958.1||	PL139|||157	100.0
D074	de_novo	2	centroid	PL138|||156	PL138|||156	*
D074	de_novo	2	member	PL608|WBR49957.1||	PL138|||156	100.0
D075	de_novo	2	centroid	PL137|||155	PL137|||155	*
D075	de_novo	2	member	PL607|WBR49956.1||	PL137|||155	100.0
D078	de_novo	2	centroid	PL126|WP_162908185.1||144	PL126|WP_162908185.1||144	*
D078	de_novo	2	member	PL503|WP_117215036.1||	PL126|WP_162908185.1||144	99.7
D082	de_novo	2	centroid	PL95|AAA65705.1||111	PL95|AAA65705.1||111	*
D082	de_novo	2	member	PL568|Q51871||	PL95|AAA65705.1||111	100.0
D085	de_novo	2	centroid	PL409|GGR16917.1||440	PL409|GGR16917.1||440	*
D085	de_novo	2	member	PL446|WP_212846608.1||477	PL409|GGR16917.1||440	100.0
D086	de_novo	2	centroid	PL75|BAF57210.1||88	PL75|BAF57210.1||88	*
D086	de_novo	2	member	PL578|BAF57211.1||	PL75|BAF57210.1||88	95.2
D089	de_novo	2	centroid	PL170|OGB27210||195	PL170|OGB27210||195	*
D089	de_novo	2	member	PL476|OGB27210.1||	PL170|OGB27210||195	100.0
D094	de_novo	2	centroid	PL400|WP_252811421.1||431	PL400|WP_252811421.1||431	*
D094	de_novo	2	member	PL440|WP_252811421.1||471	PL400|WP_252811421.1||431	100.0
D097	de_novo	2	centroid	PL73|AKJ87264||86	PL73|AKJ87264||86	*
D097	de_novo	2	member	PL541|AKJ87264.1||	PL73|AKJ87264||86	100.0
D108	de_novo	2	centroid	PL87|WP_011616504.1||102	PL87|WP_011616504.1||102	*
D108	de_novo	2	member	PL565|Q0K4D5||	PL87|WP_011616504.1||102	100.0
D109	de_novo	2	centroid	PL72|AKJ87250||85	PL72|AKJ87250||85	*
D109	de_novo	2	member	PL540|AKJ87250.1||	PL72|AKJ87250||85	100.0
D112	de_novo	2	centroid	PL110|WP_189902969.1||127	PL110|WP_189902969.1||127	*
D112	de_novo	2	member	PL527|QZD35498.1||	PL110|WP_189902969.1||127	100.0
D114	de_novo	2	centroid	PL526|Q3L8N0.2||	PL526|Q3L8N0.2||	*
D114	de_novo	2	member	PL106|AAR25849.1||123	PL526|Q3L8N0.2||	100.0
D115	de_novo	2	centroid	PL111|WP_254586337.1||128	PL111|WP_254586337.1||128	*
D115	de_novo	2	member	PL529|QZD35499.1||	PL111|WP_254586337.1||128	100.0
D116	de_novo	2	centroid	PL167|WP_006368739.1||191	PL167|WP_006368739.1||191	*
D116	de_novo	2	member	PL528|H6N162||	PL167|WP_006368739.1||191	100.0
D117	de_novo	2	centroid	PL89|WP_011616952.1||104	PL89|WP_011616952.1||104	*
D117	de_novo	2	member	PL567|Q0K2G9||	PL89|WP_011616952.1||104	100.0
D120	de_novo	2	centroid	PL86|WP_010813770.1||101	PL86|WP_010813770.1||101	*
D120	de_novo	2	member	PL564|Q0K7T2||	PL86|WP_010813770.1||101	100.0
D122	de_novo	2	centroid	PL102|EIW29778.1||119	PL102|EIW29778.1||119	*
D122	de_novo	2	member	PL559|WP_007937185.1||	PL102|EIW29778.1||119	100.0
D125	de_novo	2	centroid	PL398|WP_265247586.1||429	PL398|WP_265247586.1||429	*
D125	de_novo	2	member	PL393|WP_281901711.1||424	PL398|WP_265247586.1||429	91.8
D132	de_novo	2	centroid	PL168|AFA76036.1||192	PL168|AFA76036.1||192	*
D132	de_novo	2	member	PL530|H6N4Z1||	PL168|AFA76036.1||192	100.0
D133	de_novo	2	centroid	PL223|BAU20375||254	PL223|BAU20375||254	*
D133	de_novo	2	member	PL58|WP_378272130.1||66	PL223|BAU20375||254	92.5
D134	de_novo	2	centroid	PL68|ATG80622.1||81	PL68|ATG80622.1||81	*
D134	de_novo	2	member	PL537|A0A291HVH1||	PL68|ATG80622.1||81	100.0
D135	de_novo	2	centroid	PL78|CAA32820.1||93	PL78|CAA32820.1||93	*
D135	de_novo	2	member	PL584|P06873.2||	PL78|CAA32820.1||93	100.0
D136	de_novo	2	centroid	PL94|WP_132259156.1||110	PL94|WP_132259156.1||110	*
D136	de_novo	2	member	PL571|Q939Q9||	PL94|WP_132259156.1||110	100.0
D137	de_novo	2	centroid	PL67|CAB56500||79	PL67|CAB56500||79	*
D137	de_novo	2	member	PL597|P00780.2||	PL67|CAB56500||79	98.9
D144	de_novo	2	centroid	PL472|WP_011617846.1||	PL472|WP_011617846.1||	*
D144	de_novo	2	member	PL570|Q0JYJ1||	PL472|WP_011617846.1||	100.0
D145	de_novo	2	centroid	PL581|WP_044849715.1||	PL581|WP_044849715.1||	*
D145	de_novo	2	member	PL61|ABY67151.1||70	PL581|WP_044849715.1||	98.9
D149	de_novo	2	centroid	PL90|WP_010811062.1||105	PL90|WP_010811062.1||105	*
D149	de_novo	2	member	PL569|Q0JZG9||	PL90|WP_010811062.1||105	100.0
D153	de_novo	2	centroid	PL214|QPA27412.1||244	PL214|QPA27412.1||244	*
D153	de_novo	2	member	PL490|WP_010659881.1||	PL214|QPA27412.1||244	100.0
D158	de_novo	2	centroid	PL190|WP_312893488.1||219	PL190|WP_312893488.1||219	*
D158	de_novo	2	member	PL543|A0A7W8QII1||	PL190|WP_312893488.1||219	100.0
D161	de_novo	2	centroid	PL41|CAA83122.1||42	PL41|CAA83122.1||42	*
D161	de_novo	2	member	PL533|P41365||	PL41|CAA83122.1||42	100.0
D186	de_novo	2	centroid	PL74|AKJ87216||87	PL74|AKJ87216||87	*
D186	de_novo	2	member	PL518|AKJ87216.1||	PL74|AKJ87216||87	100.0
D194	de_novo	2	centroid	PL6|UUT36763||6	PL6|UUT36763||6	*
D194	de_novo	2	member	PL582|UUT36763.1||	PL6|UUT36763||6	100.0
D196	de_novo	2	centroid	PL145|WP_012433325.1||164	PL145|WP_012433325.1||164	*
D196	de_novo	2	member	PL587|ACD16728.1||	PL145|WP_012433325.1||164	100.0
D207	de_novo	2	centroid	PL502|||	PL502|||	*
D207	de_novo	2	member	PL125|ODU60407.1||143	PL502|||	100.0
D211	de_novo	2	centroid	PL123|RLU00646.1||141	PL123|RLU00646.1||141	*
D211	de_novo	2	member	PL500|||	PL123|RLU00646.1||141	99.6
D212	de_novo	2	centroid	PL131|SJZ42839.1||149	PL131|SJZ42839.1||149	*
D212	de_novo	2	member	PL542|WP_078759821.1||	PL131|SJZ42839.1||149	100.0
D214	de_novo	2	centroid	PL128|WP_158643351.1||146	PL128|WP_158643351.1||146	*
D214	de_novo	2	member	PL505|||	PL128|WP_158643351.1||146	100.0
D216	de_novo	2	centroid	PL2|CCK74972.1||2	PL2|CCK74972.1||2	*
D216	de_novo	2	member	PL558|MBQ0729274.1||	PL2|CCK74972.1||2	100.0
D217	de_novo	2	centroid	PL114|||132	PL114|||132	*
D217	de_novo	2	member	PL491|||	PL114|||132	100.0
D220	de_novo	2	centroid	PL291|OPG10926.1||322	PL291|OPG10926.1||322	*
D220	de_novo	2	member	PL594|WOR09923.1||	PL291|OPG10926.1||322	94.9
D223	de_novo	2	centroid	PL5|UUT36764||5	PL5|UUT36764||5	*
D223	de_novo	2	member	PL555|UUT36764.1||	PL5|UUT36764||5	100.0
D224	de_novo	2	centroid	PL8|WP_022964382.1||8	PL8|WP_022964382.1||8	*
D224	de_novo	2	member	PL583|ANP21910.1||	PL8|WP_022964382.1||8	100.0
D228	de_novo	2	centroid	PL132|KPI31299.1||150	PL132|KPI31299.1||150	*
D228	de_novo	2	member	PL506|WP_107095481.1||	PL132|KPI31299.1||150	99.6
D229	de_novo	2	centroid	PL63|WP_011589723.1||74	PL63|WP_011589723.1||74	*
D229	de_novo	2	member	PL474|Q0VLQ1||	PL63|WP_011589723.1||74	100.0
D231	de_novo	2	centroid	PL115|||133	PL115|||133	*
D231	de_novo	2	member	PL492|||	PL115|||133	100.0
D234	de_novo	2	centroid	PL174|WP_090538641||200	PL174|WP_090538641||200	*
D234	de_novo	2	member	PL520|WP_090538641.1||	PL174|WP_090538641||200	100.0
D243	de_novo	2	centroid	PL124|KPI12031.1||142	PL124|KPI12031.1||142	*
D243	de_novo	2	member	PL501|WP_082414832.1||	PL124|KPI12031.1||142	99.6
D246	de_novo	2	centroid	PL157|WP_044499735.1||179	PL157|WP_044499735.1||179	*
D246	de_novo	2	member	PL158|WP_036989706.1||180	PL157|WP_044499735.1||179	92.1
D249	de_novo	2	centroid	PL208|||237	PL208|||237	*
D249	de_novo	2	member	PL235|WP_104739856.1||266	PL208|||237	90.3
D251	de_novo	2	centroid	PL309|WP_068752972.1||340	PL309|WP_068752972.1||340	*
D251	de_novo	2	member	PL423|MGYP001477358452||454	PL309|WP_068752972.1||340	98.0
D256	de_novo	2	centroid	PL186|SHM40309||215	PL186|SHM40309||215	*
D256	de_novo	2	member	PL479|SHM40309.1||	PL186|SHM40309||215	100.0
D261	de_novo	2	centroid	PL4|WP_047194864.1||4	PL4|WP_047194864.1||4	*
D261	de_novo	2	member	PL557|AKJ29164.1||	PL4|WP_047194864.1||4	100.0
D267	de_novo	2	centroid	PL175|SUD16364||201	PL175|SUD16364||201	*
D267	de_novo	2	member	PL552|SUD16364.1||	PL175|SUD16364||201	100.0
D282	de_novo	2	centroid	PL64|WP_011157072.1||75	PL64|WP_011157072.1||75	*
D282	de_novo	2	member	PL593|CAE26953.1||	PL64|WP_011157072.1||75	100.0
D288	de_novo	2	centroid	PL92|WP_011615004.1||108	PL92|WP_011615004.1||108	*
D288	de_novo	2	member	PL561|Q4W8C9||	PL92|WP_011615004.1||108	100.0
D294	de_novo	2	centroid	PL209|MEC8523093||238	PL209|MEC8523093||238	*
D294	de_novo	2	member	PL489|MEC8523093.1||	PL209|MEC8523093||238	100.0
D295	de_novo	2	centroid	PL15|WP_085749752.1||15	PL15|WP_085749752.1||15	*
D295	de_novo	2	member	PL512|A0A1W6L588||	PL15|WP_085749752.1||15	100.0
D298	de_novo	2	centroid	PL30|WP_012850775.1||31	PL30|WP_012850775.1||31	*
D298	de_novo	2	member	PL600|ACY95991.1||	PL30|WP_012850775.1||31	100.0
D301	de_novo	2	centroid	PL29|WP_012851645.1||30	PL29|WP_012851645.1||30	*
D301	de_novo	2	member	PL599|ACY96861.1||	PL29|WP_012851645.1||30	100.0
D323	de_novo	2	centroid	PL136|WP_083947829||154	PL136|WP_083947829||154	*
D323	de_novo	2	member	PL507|WP_083947829.1||	PL136|WP_083947829||154	99.6
D326	de_novo	2	centroid	PL76|BAF57212.1||90	PL76|BAF57212.1||90	*
D326	de_novo	2	member	PL579|BAF57213.1||	PL76|BAF57212.1||90	99.6
D330	de_novo	2	centroid	PL176|||202	PL176|||202	*
D330	de_novo	2	member	PL519|WNY00484.1||	PL176|||202	99.6
D334	de_novo	2	centroid	PL169|||194	PL169|||194	*
D334	de_novo	2	member	PL475|WP_058088494.1||	PL169|||194	100.0
D336	de_novo	2	centroid	PL402|WP_239135698.1||433	PL402|WP_239135698.1||433	*
D336	de_novo	2	member	PL271|WP_081971423.1||302	PL402|WP_239135698.1||433	92.1
D337	de_novo	2	centroid	PL156|WP_085749238||178	PL156|WP_085749238||178	*
D337	de_novo	2	member	PL591|WP_085749238.1||	PL156|WP_085749238||178	100.0
D339	de_novo	2	centroid	PL504|||	PL504|||	*
D339	de_novo	2	member	PL127|RLT92980.1||145	PL504|||	100.0
D347	de_novo	2	centroid	PL118|||136	PL118|||136	*
D347	de_novo	2	member	PL495|||	PL118|||136	100.0
D354	de_novo	2	centroid	PL36|7NEI||37	PL36|7NEI||37	*
D354	de_novo	2	member	PL151|SAY37583.1||173	PL36|7NEI||37	98.5
D356	de_novo	2	centroid	PL181|WP_034768559.1||210	PL181|WP_034768559.1||210	*
D356	de_novo	2	member	PL511|CEE00769.1||	PL181|WP_034768559.1||210	100.0
D359	de_novo	2	centroid	PL149|SAY37582.1||171	PL149|SAY37582.1||171	*
D359	de_novo	2	member	PL150|SAY37579.1||172	PL149|SAY37582.1||171	91.2
D364	de_novo	2	centroid	PL182|WP_041846030||211	PL182|WP_041846030||211	*
D364	de_novo	2	member	PL509|WP_041846030.1||	PL182|WP_041846030||211	100.0
D366	de_novo	2	centroid	PL117|||135	PL117|||135	*
D366	de_novo	2	member	PL494|||	PL117|||135	100.0
D367	de_novo	2	centroid	PL185|WP_108898647||214	PL185|WP_108898647||214	*
D367	de_novo	2	member	PL481|WP_108898647.1||	PL185|WP_108898647||214	100.0
D368	de_novo	2	centroid	PL88|AAP85930.1||103	PL88|AAP85930.1||103	*
D368	de_novo	2	member	PL566|Q7WXF6||	PL88|AAP85930.1||103	100.0
D371	de_novo	2	centroid	PL184|WP_034767800||213	PL184|WP_034767800||213	*
D371	de_novo	2	member	PL480|WP_034767800.1||	PL184|WP_034767800||213	100.0
D372	de_novo	2	centroid	PL121|||139	PL121|||139	*
D372	de_novo	2	member	PL498|||	PL121|||139	100.0
D375	de_novo	2	centroid	PL202|KAH7127633||231	PL202|KAH7127633||231	*
D375	de_novo	2	member	PL488|KAH7127633.1||	PL202|KAH7127633||231	100.0
D378	de_novo	2	centroid	PL160|EXK81749||182	PL160|EXK81749||182	*
D378	de_novo	2	member	PL513|EXK81749.1||	PL160|EXK81749||182	100.0
D381	de_novo	2	centroid	PL83|BAN51852.1||98	PL83|BAN51852.1||98	*
D381	de_novo	2	member	PL580|A0A060N399||	PL83|BAN51852.1||98	100.0
D382	de_novo	2	centroid	PL82|BAN42606.1||97	PL82|BAN42606.1||97	*
D382	de_novo	2	member	PL482|A0A060N5H2||	PL82|BAN42606.1||97	100.0
D383	de_novo	2	centroid	PL84|XP_014659518.1||99	PL84|XP_014659518.1||99	*
D383	de_novo	2	member	PL551|BAN66731.1||	PL84|XP_014659518.1||99	100.0
D384	de_novo	2	centroid	PL204|XAQ58225||233	PL204|XAQ58225||233	*
D384	de_novo	2	member	PL477|XAQ58225.1||	PL204|XAQ58225||233	100.0
D386	de_novo	2	centroid	PL120|||138	PL120|||138	*
D386	de_novo	2	member	PL497|||	PL120|||138	100.0
D387	de_novo	2	centroid	PL14|WP_085690612||14	PL14|WP_085690612||14	*
D387	de_novo	2	member	PL539|WP_085690612.1||	PL14|WP_085690612||14	100.0
D388	de_novo	2	centroid	PL99|BCL64964.1||116	PL99|BCL64964.1||116	*
D388	de_novo	2	member	PL148|UNZ22463.1||170	PL99|BCL64964.1||116	100.0
D390	de_novo	2	centroid	PL79|XP_001817153.1||94	PL79|XP_001817153.1||94	*
D390	de_novo	2	member	PL486|P52956.1||	PL79|XP_001817153.1||94	100.0
D397	de_novo	2	centroid	PL122|||140	PL122|||140	*
D397	de_novo	2	member	PL499|||	PL122|||140	100.0
R000	reference	2	centroid	PL1|WP_054022242.1||1	PL1|WP_054022242.1||1	*
R000	reference	2	member	PL228|MBX3625601.1||259	PL1|WP_054022242.1||1	97.9
R003	reference	2	centroid	PL18|WP_015787089.1||18	PL18|WP_015787089.1||18	*
R003	reference	2	member	PL485|BAO42836.1||	PL18|WP_015787089.1||18	100.0
R004	reference	2	centroid	PL43|A0A075B5G4||44	PL43|A0A075B5G4||44	*
R004	reference	2	member	PL521|4OYY||	PL43|A0A075B5G4||44	100.0
