node_id,accession,pazy_id,sequence_length,outcome,component_id,merged_from,activity,n_edges_to_v1,n_edges_to_delta
m0312,DP080,,292,merge,M1,1;20;35,,69,184
m0317,DP081,,425,merge,M1,1;20;35,,68,185
m0194,DP082,,295,merge,M1,1;20;35,,67,184
m0155,DP084,,285,merge,M1,1;20;35,,69,184
m0346,DP089,,287,merge,M1,1;20;35,,68,184
m0072,DP090,,314,merge,M1,1;20;35,,67,185
m0187,DP092,,450,merge,M1,1;20;35,,70,189
m0147,E4,,191,join,17,,,1,0
m0152,ESM006,,405,merge,M1,1;20;35,,69,186
m0456,ESM010,,475,merge,M1,1;20;35,,70,190
m0297,ESM012,,415,merge,M1,1;20;35,,67,185
m0364,ESM021,,452,merge,M1,1;20;35,,68,185
m0260,ESM024,,432,merge,M1,1;20;35,,69,188
m0231,ESM026,,435,merge,M1,1;20;35,,68,189
m0284,ESM033,,402,merge,M1,1;20;35,,68,186
m0319,ESM035,,398,merge,M1,1;20;35,,68,185
m0226,ESM038,,450,merge,M1,1;20;35,,70,190
m0080,ESM043,,426,merge,M1,1;20;35,,68,184
m0221,ESM045,,280,merge,M1,1;20;35,,70,186
m0384,ESM050,,276,merge,M1,1;20;35,,69,184
m0251,ESM052,,417,merge,M1,1;20;35,,67,185
m0322,ESM058,,447,merge,M1,1;20;35,,69,187
m0058,ESM059,,462,merge,M1,1;20;35,,68,187
m0146,ESM060,,410,merge,M1,1;20;35,,68,186
m0453,ESM061,,346,merge,M1,1;20;35,,69,189
m0257,ESM062,,465,merge,M1,1;20;35,,68,188
m0228,ESM064,,401,merge,M1,1;20;35,,68,189
m0100,ESM065,,323,merge,M1,1;20;35,,69,186
m0468,ESM069,,443,merge,M1,1;20;35,,68,188
m0132,ESM070,,427,merge,M1,1;20;35,,68,184
m0450,ESM080,,473,merge,M1,1;20;35,,68,187
m0337,ESM081,,402,merge,M1,1;20;35,,69,186
m0121,ESM082,,269,merge,M1,1;20;35,,70,185
m0202,ESM084,,424,merge,M1,1;20;35,,68,186
m0190,ESM090,,285,merge,M1,1;20;35,,70,183
m0049,ESM093,,279,merge,M1,1;20;35,,69,184
m0204,ESM096,,296,merge,M1,1;20;35,,69,186
m0366,ESM097,,417,merge,M1,1;20;35,,68,184
m0016,ESM101,,474,merge,M1,1;20;35,,69,186
m0242,ESM121,,337,merge,M1,1;20;35,,68,188
m0390,ESM128,,299,merge,M1,1;20;35,,69,186
m0393,ESM130,,469,merge,M1,1;20;35,,68,187
m0261,ESM136,,431,merge,M1,1;20;35,,67,183
m0464,ESM139,,339,merge,M1,1;20;35,,69,186
m0265,ESM140,,308,merge,M1,1;20;35,,71,185
m0062,ESM144,,288,merge,M1,1;20;35,,67,186
m0452,ESM156,,293,merge,M1,1;20;35,,70,186
m0306,ESM157,,292,merge,M1,1;20;35,,70,187
m0371,ESM159,,301,merge,M1,1;20;35,,67,184
m0019,ESM160,,296,merge,M1,1;20;35,,68,186
m0439,ESM167,,309,merge,M1,1;20;35,,71,185
m0128,ESM169,,299,merge,M1,1;20;35,,71,186
m0418,ESM173,,449,merge,M1,1;20;35,,68,186
m0198,ESM177,,290,merge,M1,1;20;35,,66,183
m0111,ESM186,,303,merge,M1,1;20;35,,69,186
m0304,HG-5,,313,merge,M1,1;20;35,,1,21
m0001,HP,,280,merge,M1,1;20;35,,1,18
m0435,KaPETase,,286,merge,M1,1;20;35,,69,185
m0149,KbPETase,,270,merge,M1,1;20;35,,68,185
m0442,Kubu-P,,288,merge,M1,1;20;35,,68,187
m0299,LCP_STRK3,,397,join,16,,,5,5
m0148,Lcp1,,410,join,16,,,5,5
m0429,Lcp2,,409,join,16,,,5,5
m0076,MG8,,307,merge,M1,1;20;35,,69,186
m0471,Mipa-P,,294,merge,M1,1;20;35,,69,186
m0402,MnP,,378,novel,N4,,,0,0
m0227,Nepenthesin-1,,437,novel,N5,,,0,0
m0253,Nyl04,,366,join,9,,,6,33
m0406,Nyl10,,285,join,9,,,6,39
m0220,Nyl11,,343,join,9,,,6,40
m0241,Nyl12,,328,join,9,,,6,13
m0476,Nyl13,,324,join,9,,,6,39
m0244,Nyl14,,335,join,9,,,6,39
m0057,Nyl16,,335,join,9,,,6,40
m0122,Nyl18,,328,join,9,,,6,34
m0255,Nyl25,,325,join,9,,,6,40
m0288,Nyl29,,302,join,9,,,1,37
m0282,Nyl30,,325,join,9,,,2,37
m0209,Nyl32,,328,join,9,,,1,38
m0416,Nyl34,,304,join,9,,,0,36
m0011,Nyl37,,311,join,9,,,6,41
m0123,Nyl39,,314,join,9,,,6,39
m0440,Nyl40,,322,join,9,,,6,39
m0441,Nyl44,,326,join,9,,,4,39
m0367,Nyl45,,325,join,9,,,6,40
m0060,Nyl47,,287,join,9,,,6,40
m0022,Nyl50,,305,join,9,,,6,40
m0277,Nyl54,,313,join,9,,,6,31
m0131,Nyl57,,315,join,9,,,5,38
m0192,Nyl58,,342,join,9,,,0,37
m0445,Nyl60,,325,join,9,,,6,39
m0294,Nyl63,,288,join,9,,,6,40
m0179,Nyl65,,318,join,9,,,6,39
m0362,Nyl66,,342,join,9,,,6,40
m0103,Nyl68,,312,join,9,,,6,41
m0034,Nyl71,,359,join,9,,,6,37
m0412,Nyl72,,292,join,9,,,6,39
m0070,Nyl73,,319,join,9,,,5,40
m0327,Nyl74,,364,join,9,,,6,40
m0463,Nyl82,,334,join,9,,,3,38
m0324,Nyl83,,361,join,9,,,1,35
m0214,Nyl84,,347,join,9,,,6,39
m0129,Nyl85,,302,join,9,,,6,41
m0101,Nyl87,,313,join,9,,,6,40
m0095,Nyl93,,376,join,9,,,6,39
m0421,NylB',,392,join,42,,,1,0
m0199,NylC1,,357,join,9,,,6,34
m0180,NylC2,,339,join,9,,,6,33
m0259,NylC5,,364,join,9,,,6,39
m0166,PA4-degrading enzyme,,716,novel,N6,,,0,0
m0127,PAM,,386,join,21,,,5,2
m0446,PC3,,292,merge,M1,1;20;35,,68,184
m0475,PC4,,309,merge,M1,1;20;35,,70,185
m0310,PC5,,307,merge,M1,1;20;35,,70,184
m0278,PC6,,300,merge,M1,1;20;35,,70,185
m0285,PC8,,303,merge,M1,1;20;35,,68,185
m0018,PET93,,434,merge,M1,1;20;35,,5,3
m0252,PET94,,433,merge,M1,1;20;35,,19,18
m0168,PHL-7,,267,merge,M1,1;20;35,,70,186
m0108,PLAase I,,245,join,11,,,2,0
m0051,PLAase III,,176,join,12,,,1,0
m0030,PhaZAfa,,488,merge,M27,27;30,,2,1
m0431,PhaZcac,,494,merge,M27,27;30,,1,1
m0332,PmC,,280,merge,M1,1;20;35,,1,17
m0213,PpPETase,,298,merge,M1,1;20;35,,69,185
m0003,ScPETase,,300,merge,M1,1;20;35,,70,185
m0355,Subtilisin SubC,,379,join,21,,,5,2
m0174,TA21,,352,join,23,,,6,0
m0229,TA26,,321,join,22,,,1,0
m0151,TA29,,296,join,32,,,1,0
m0447,TEP010,,432,merge,M1,1;20;35,,68,187
m0096,TEP014,,300,merge,M1,1;20;35,,69,185
m0388,TEP024,,455,merge,M1,1;20;35,,67,183
m0004,TEP037,,259,merge,M1,1;20;35,,71,185
m0088,TEP041,,266,merge,M1,1;20;35,,69,188
m0048,TEP054,,437,merge,M1,1;20;35,,67,185
m0432,TEP061,,296,merge,M1,1;20;35,,71,185
m0081,TEP067,,309,merge,M1,1;20;35,,67,183
m0248,TEP083,,325,merge,M1,1;20;35,,67,184
m0013,TEP091,,284,merge,M1,1;20;35,,71,185
m0061,TEP092,,472,merge,M1,1;20;35,,69,187
m0315,TEP097,,455,merge,M1,1;20;35,,69,185
m0113,TEP101,,301,merge,M1,1;20;35,,70,186
m0110,TEP102,,432,merge,M1,1;20;35,,69,184
m0119,TEP103,,293,merge,M1,1;20;35,,69,187
m0014,TEP105,,295,merge,M1,1;20;35,,69,186
m0336,TEP109,,307,merge,M1,1;20;35,,67,185
m0175,TEP111,,424,merge,M1,1;20;35,,69,189
m0274,TEP163,,418,merge,M1,1;20;35,,69,187
m0207,TEP164,,403,merge,M1,1;20;35,,69,187
m0459,TEP165,,442,merge,M1,1;20;35,,69,187
m0262,TEP168,,449,merge,M1,1;20;35,,69,187
m0363,TEP178,,287,merge,M1,1;20;35,,72,185
m0154,TEP181,,421,merge,M1,1;20;35,,67,183
m0323,TEP189,,242,merge,M1,1;20;35,,68,185
m0386,TEP194,,277,merge,M1,1;20;35,,67,185
m0165,TGL,,213,join,26,,,3,0
m0050,TfH,,261,merge,M1,1;20;35,,72,185
m0470,Trypsin,,231,join,11,,,1,0
m0314,TvgC,,326,join,9,,,4,38
m0243,aryl acylamidase,,479,join,10,,,9,1
m0087,lcp1,,406,join,16,,,5,5
m0041,lcp2,,402,join,16,,,5,5
m0345,lcp3,,399,join,16,,,5,5
m0237,porcine pancreatic lipase,,112,novel,N7,,,0,0
m0124,serineprotease,,386,join,21,,,5,2
