v213	v163	25.9	9.93	21
v196	v183	31.8	5.55e-55	205
v196	v193	30.9	8.01e-54	201
v196	v194	34.8	1.37e-53	201
v196	v186	31.0	1.97e-52	197
v196	v191	31.0	8.29e-51	191
v196	v192	31.5	1.85e-50	190
v196	v190	32.4	1.16e-44	171
v196	v191	36.9	4.87e-43	166
v196	v195	37.3	4.12e-42	163
v196	v181	34.9	3.86e-40	156
v196	v186	34.4	2.86e-35	140
v196	v182	33.5	1.42e-34	138
v196	v189	30.8	1.86e-26	111
v196	v181	27.6	1.75e-08	51
v196	v195	30.7	1.75e-08	51
v196	v182	27.0	2.28e-08	50
v196	v100	24.2	1.75	24
v196	v108	25.0	2.99	23
v196	v173	35.0	5.1	23
v196	v165	26.2	5.1	23
v195	v190	38.6	3.01e-72	263
v195	v192	35.5	2.55e-71	260
v195	v191	34.4	4.8e-70	255
v195	v184	28.4	9.42e-50	188
v195	v185	28.7	1.04e-48	184
v195	v188	27.7	4.68e-41	159
v195	v187	27.7	1.04e-40	158
v195	v183	27.4	1.51e-39	154
v195	v194	28.6	2.84e-38	150
v195	v186	26.4	8.01e-33	132
v195	v193	26.0	3.97e-32	129
v195	v189	29.5	7.02e-29	119
v195	v181	32.3	2.5e-26	110
v195	v182	30.0	6.15e-25	106
v195	v181	43.2	4.14e-05	40
v195	v189	26.1	0.000268	37
v195	v182	39.5	0.00661	32
v194	v186	48.6	5.26e-114	401
v194	v193	48.2	5.82e-113	398
v194	v188	39.1	1.95e-84	303
v194	v187	39.2	1.4e-82	297
v194	v184	29.1	1.67e-43	167
v194	v183	29.6	3.26e-39	153
v194	v185	27.6	3.26e-39	153
v194	v190	30.3	6.36e-35	139
v194	v181	28.4	5.95e-33	132
v194	v192	29.2	2.96e-32	130
v194	v191	29.0	1.62e-30	124
v194	v182	34.1	1.52e-20	91
v194	v189	24.8	1.57e-17	81
v194	v182	31.0	3.52e-09	53
v194	v081	24.5	0.785	25
v194	v070	32.8	1.03	25
v194	v125	38.3	2.98	23
v194	v123	42.3	3.9	23
v194	v095	23.7	3.9	23
v194	v094	24.7	6.65	22
v194	v041	35.9	8.68	22
v194	v091	27.3	8.68	22
v193	v186	97.9	3.66e-272	927
v193	v188	38.5	8.07e-78	281
v193	v187	37.9	3.39e-76	276
v193	v184	30.1	5.11e-40	156
v193	v183	29.6	1.65e-38	151
v193	v185	29.3	2.81e-38	150
v193	v181	28.8	1.18e-28	118
v193	v190	32.5	4.2e-26	109
v193	v192	27.4	2.72e-25	107
v193	v181	34.4	1.5e-23	101
v193	v191	25.9	1.5e-23	101
v193	v182	31.1	2.82e-22	97
v193	v189	27.5	2.31e-16	77
v193	v182	31.2	3.95e-08	50
v193	v169	28.1	0.123	28
v193	v058	23.8	0.358	27
v193	v025	26.1	0.611	26
v193	v045	25.5	2.32	24
v193	v014	25.5	2.32	24
v193	v170	30.8	3.96	23
v193	v029	32.3	5.17	23
v193	v134	39.3	5.17	23
v193	v023	26.4	6.76	22
v193	v138	24.1	8.83	22
v193	v013	32.3	8.83	22
v193	v107	40.0	8.83	22
v193	v026	32.3	8.83	22
v193	v080	32.3	8.83	22
v192	v191	83.1	2.7e-213	731
v192	v190	52.7	5.41e-121	424
v192	v188	29.8	4.1e-44	169
v192	v187	29.4	1.01e-42	164
v192	v184	27.0	7.48e-38	148
v192	v183	30.3	9.77e-38	148
v192	v185	33.6	3.6e-32	129
v192	v189	31.7	5.94e-27	112
v192	v186	28.1	1.91e-25	107
v192	v181	38.5	7.27e-25	105
v192	v182	30.2	8.03e-24	102
v192	v181	24.0	3.28e-09	53
v192	v189	24.1	0.328	27
v192	v151	28.0	0.732	25
v192	v143	25.8	0.732	25
v192	v079	38.1	4.74	23
v192	v170	35.0	8.09	22
v191	v190	52.4	2.97e-119	419
v191	v188	28.0	5.54e-41	159
v191	v187	27.8	1.04e-39	154
v191	v183	28.2	9.15e-36	141
v191	v185	34.2	5.2e-31	126
v191	v184	33.5	9.17e-28	115
v191	v181	32.9	1.32e-26	111
v191	v189	29.4	2.26e-26	110
v191	v182	31.7	8.03e-24	102
v191	v186	26.6	8.03e-24	102
v191	v181	23.9	1.38e-07	48
v191	v184	23.8	1.29e-05	41
v191	v154	29.4	2.78	23
v191	v079	38.1	4.74	23
v191	v022	45.5	6.19	22
v191	v027	45.5	6.19	22
v190	v188	30.2	1.45e-41	161
v190	v187	30.0	1.04e-39	154
v190	v183	30.3	1.72e-34	137
v190	v189	26.4	1.67e-29	121
v190	v181	39.7	2.41e-28	117
v190	v185	33.3	2.41e-28	117
v190	v182	36.9	2.66e-27	113
v190	v186	32.6	4.54e-27	112
v190	v184	33.6	1.12e-25	108
v190	v184	26.1	7.28e-09	52
v190	v185	26.0	5.22e-07	46
v190	v069	23.3	0.00054	36
v190	v182	27.1	0.0035	33
v190	v181	42.5	0.0174	31
v190	v124	22.5	0.147	28
v190	v169	32.5	1.63	24
v190	v154	29.2	2.77	23
v190	v139	33.3	2.77	23
v189	v183	23.3	1.39e-25	108
v189	v184	33.1	9.02e-25	105
v189	v185	31.7	9.97e-24	102
v189	v188	23.7	2.3e-20	91
v189	v187	23.2	5.12e-20	89
v189	v181	26.4	3.44e-16	77
v189	v186	26.8	5.86e-16	76
v189	v182	28.0	7.65e-16	75
v189	v038	25.0	0.533	26
v189	v181	44.8	0.908	25
v189	v088	37.1	1.19	25
v189	v176	32.6	5.89	23
v189	v154	23.5	7.69	22
v188	v187	98.6	4.29e-284	966
v188	v186	39.5	7.51e-79	285
v188	v183	31.1	4.45e-47	179
v188	v184	30.1	7.58e-47	178
v188	v185	33.3	8.4e-38	148
v188	v181	35.4	5.29e-24	102
v188	v182	28.9	1.76e-19	87
v188	v185	34.9	4.35e-10	56
v188	v095	21.7	1.4	25
v188	v125	26.9	2.39	24
v188	v065	27.1	6.96	22
v187	v186	39.2	3.73e-78	282
v187	v183	31.3	1.17e-47	181
v187	v185	33.3	2.89e-38	150
v187	v184	34.5	3.19e-37	146
v187	v181	35.0	1.54e-23	101
v187	v182	28.9	3e-19	87
v187	v185	35.8	1.49e-10	58
v187	v184	34.0	2.82e-09	54
v187	v095	20.2	0.822	25
v187	v125	26.9	2.39	24
v186	v184	29.5	8.72e-40	155
v186	v185	29.0	9.65e-39	151
v186	v183	29.2	8.17e-38	148
v186	v181	34.1	4.35e-23	99
v186	v182	31.7	4.81e-22	96
v186	v182	29.6	3.95e-08	50
v186	v181	33.0	3.35e-07	47
v186	v169	29.4	0.0722	29
v186	v025	26.6	0.161	28
v186	v045	26.1	0.468	26
v186	v014	26.1	0.468	26
v186	v134	24.0	0.611	26
v186	v058	23.8	1.04	25
v186	v170	30.7	2.32	24
v186	v022	25.4	3.96	23
v186	v027	25.4	3.96	23
v186	v029	32.3	5.17	23
v186	v138	26.6	6.76	22
v186	v087	25.5	6.76	22
v186	v013	32.3	8.83	22
v186	v107	40.0	8.83	22
v186	v080	32.3	8.83	22
v186	v026	32.3	8.83	22
v185	v184	75.8	4.33e-217	744
v185	v183	28.2	3.26e-47	179
v185	v182	33.7	5.77e-36	142
v185	v181	35.4	7.53e-36	142
v185	v181	38.8	1.17e-12	65
v185	v182	28.7	8.39e-11	59
v185	v126	33.3	2.29	24
v185	v124	54.5	2.99	23
v184	v183	31.1	2.58e-52	196
v184	v181	39.9	1.92e-39	154
v184	v182	34.8	7.53e-36	142
v184	v181	34.5	3.4e-12	63
v184	v182	27.3	4.45e-12	63
v184	v007	20.0	1.75	24
v184	v105	25.0	5.1	23
v183	v181	28.5	2.83e-38	150
v183	v182	26.6	4.85e-22	96
v183	v157	27.4	0.277	27
v183	v160	29.5	0.616	26
v183	v127	27.0	0.805	25
v183	v083	29.2	4	23
v183	v134	28.7	5.22	23
v183	v087	33.3	6.81	22
v182	v181	35.0	6.89e-83	298
v182	v165	21.1	0.00142	35
v182	v154	26.9	2.51	24
v182	v169	27.5	4.28	23
v181	v095	22.8	0.513	26
v181	v124	27.2	1.95	24
v180	v179	98.6	1.57e-203	698
v180	v178	95.8	1.16e-198	682
v180	v177	60.2	6.12e-115	404
v180	v176	59.2	2.66e-110	389
v180	v175	56.9	5.75e-97	344
v180	v035	41.0	0.266	27
v180	v159	35.8	1.01	25
v180	v156	34.6	1.72	24
v180	v108	45.0	8.54	22
v179	v178	97.2	1.47e-201	692
v179	v177	59.6	1.97e-113	399
v179	v176	58.3	2.49e-108	382
v179	v175	56.3	1.09e-95	340
v179	v035	41.0	0.266	27
v179	v126	29.2	0.592	25
v179	v159	35.8	1.01	25
v179	v123	25.0	1.72	24
v179	v156	34.6	1.72	24
v179	v108	45.0	8.54	22
v178	v177	60.2	6.77e-114	401
v178	v176	58.9	5.55e-108	381
v178	v175	56.6	6.36e-96	341
v178	v126	29.2	0.592	25
v178	v123	25.6	0.592	25
v178	v035	30.9	1.32	24
v178	v156	34.6	1.72	24
v178	v009	28.9	2.94	23
v178	v159	36.5	3.84	23
v178	v108	45.0	8.54	22
v177	v176	57.8	1.77e-103	366
v177	v175	50.3	1.5e-86	310
v176	v175	68.2	5.52e-126	441
v176	v108	38.5	3.59	23
v176	v129	29.1	6.12	22
v175	v042	26.8	0.197	27
v175	v005	25.7	2.18	23
v175	v024	33.3	2.85	23
v175	v107	28.9	4.85	22
v174	v172	26.9	4.43e-17	79
v174	v171	25.3	4.9e-08	49
v174	v173	25.0	0.00163	34
v174	v129	41.9	3.76	23
v174	v009	30.2	6.42	22
v173	v172	32.6	0.0591	29
v173	v171	22.1	9.43	22
v172	v171	25.7	1.02e-20	91
v171	v100	39.3	7.19	22
v171	v111	37.0	9.39	22
v170	v077	39.3	3.69	23
v170	v109	61.5	4.83	22
v170	v111	50.0	6.3	22
v170	v110	33.3	6.3	22
v169	v096	25.1	1.34e-06	44
v169	v097	27.0	2.52e-05	40
v169	v035	23.7	0.00308	33
v169	v168	28.2	0.00686	32
v169	v003	22.6	0.0261	30
v169	v095	27.5	0.129	27
v169	v094	29.3	0.169	27
v169	v048	25.3	0.839	25
v169	v090	37.8	1.1	24
v169	v065	47.8	5.44	22
v168	v166	26.8	2.89e-05	40
v168	v167	26.8	2.89e-05	40
v168	v096	26.9	6.43e-05	39
v168	v138	37.5	0.00011	38
v168	v039	30.4	0.000711	35
v168	v131	37.9	0.00353	33
v168	v142	25.5	0.114	28
v168	v039	24.2	0.33	26
v168	v047	31.0	0.431	26
v168	v021	31.0	0.431	26
v168	v088	26.5	1.25	24
v168	v105	50.0	1.25	24
v168	v092	25.0	1.25	24
v168	v154	33.3	2.14	23
v168	v016	28.2	3.65	23
v168	v075	31.0	3.65	23
v168	v138	25.0	4.77	22
v168	v004	28.6	6.23	22
v168	v128	25.5	6.23	22
v168	v001	28.6	8.13	22
v167	v166	99.6	4.49e-169	584
v167	v118	25.0	0.0086	31
v167	v120	33.3	0.0728	28
v167	v130	23.3	0.0728	28
v167	v065	25.4	0.124	27
v167	v117	22.0	0.124	27
v167	v121	41.9	0.361	26
v167	v119	41.9	0.361	26
v167	v114	20.5	0.472	25
v167	v097	23.5	0.805	25
v167	v118	32.7	3.06	23
v166	v118	25.0	0.0086	31
v166	v120	33.3	0.0728	28
v166	v130	23.3	0.0728	28
v166	v117	22.0	0.124	27
v166	v065	25.4	0.124	27
v166	v121	41.9	0.361	26
v166	v119	41.9	0.361	26
v166	v114	20.5	0.472	25
v166	v097	23.5	0.805	25
v166	v118	32.7	3.06	23
v165	v162	79.0	6.03e-250	853
v165	v161	35.0	1.19e-80	291
v165	v164	34.4	4.69e-77	279
v165	v163	51.0	2.95e-71	260
v165	v163	31.2	5.63e-22	96
v165	v032	27.6	0.013	32
v165	v163	37.5	0.11	28
v165	v016	20.0	0.246	27
v165	v023	29.1	0.246	27
v165	v045	34.1	0.716	26
v165	v022	24.6	0.716	26
v165	v031	34.1	0.716	26
v165	v027	24.6	0.716	26
v165	v012	34.1	0.716	26
v165	v014	34.1	0.716	26
v165	v081	26.0	0.935	25
v165	v010	27.3	0.935	25
v165	v008	27.3	1.22	25
v165	v025	28.9	1.22	25
v165	v015	27.3	1.22	25
v165	v011	27.3	1.22	25
v165	v044	27.3	1.22	25
v165	v046	27.3	1.22	25
v165	v030	27.3	1.22	25
v165	v029	34.1	1.22	25
v165	v013	27.3	2.08	24
v165	v080	27.3	2.08	24
v165	v092	25.0	2.08	24
v165	v026	27.3	2.08	24
v165	v074	25.9	3.55	23
v165	v038	23.0	4.64	23
v165	v072	23.8	6.06	23
v165	v118	41.4	7.92	22
v164	v161	99.4	0	1241
v164	v162	48.1	1.93e-124	436
v164	v163	67.9	3.67e-99	352
v164	v163	74.1	1.02e-32	132
v164	v163	32.9	8.07e-30	122
v164	v113	23.1	0.000117	39
v164	v162	32.9	0.00221	34
v164	v032	26.7	0.0143	32
v164	v022	22.3	0.0417	30
v164	v027	22.3	0.0417	30
v164	v115	33.3	0.0417	30
v164	v045	24.3	0.0545	30
v164	v014	24.3	0.0545	30
v164	v023	25.3	0.0712	29
v164	v012	24.5	0.093	29
v164	v031	24.5	0.093	29
v164	v016	20.0	0.207	28
v164	v072	19.9	0.353	27
v164	v124	43.8	0.462	27
v164	v116	30.2	0.787	26
v164	v002	27.7	3.91	23
v164	v054	27.7	3.91	23
v164	v092	22.4	3.91	23
v164	v033	22.1	6.67	23
v163	v161	67.9	4.58e-99	352
v163	v162	33.9	6.94e-47	178
v163	v161	74.1	7.45e-33	132
v163	v161	30.6	6.99e-23	99
v163	v162	26.5	3.97e-18	83
v163	v032	24.2	0.0036	33
v163	v161	21.5	0.0399	30
v163	v113	20.3	0.151	28
v163	v072	22.7	0.576	26
v163	v064	28.4	1.28	25
v163	v033	32.8	1.67	24
v163	v115	42.9	1.67	24
v163	v116	42.9	1.67	24
v163	v118	29.8	2.19	24
v163	v138	37.5	4.87	23
v163	v102	32.6	4.87	23
v163	v009	26.1	6.36	22
v163	v081	31.2	6.36	22
v163	v034	39.1	6.36	22
v163	v114	29.4	8.31	22
v162	v161	48.1	3.58e-125	439
v162	v161	32.9	0.00203	34
v162	v118	24.7	0.424	27
v162	v032	37.1	2.75	24
v162	v092	22.3	4.69	23
v162	v023	38.2	8	22
v162	v014	35.3	8	22
v162	v012	35.3	8	22
v162	v025	34.3	8	22
v162	v045	35.3	8	22
v162	v031	35.3	8	22
v162	v029	34.3	8	22
v161	v113	23.5	2.37e-05	41
v161	v137	25.6	0.032	30
v161	v027	21.8	0.0417	30
v161	v115	33.3	0.0417	30
v161	v022	21.8	0.0417	30
v161	v045	23.6	0.0545	30
v161	v032	26.0	0.0545	30
v161	v014	23.6	0.0545	30
v161	v023	25.3	0.0712	29
v161	v012	23.8	0.093	29
v161	v031	23.8	0.093	29
v161	v016	19.6	0.121	28
v161	v072	20.6	0.207	28
v161	v124	43.8	0.462	27
v161	v116	30.2	0.787	26
v161	v092	22.4	3.91	23
v161	v002	30.8	5.1	23
v161	v054	30.8	5.1	23
v160	v157	63.1	2.42e-78	282
v160	v159	50.0	2.43e-62	229
v160	v158	40.6	2.37e-41	159
v160	v156	39.9	2.62e-40	156
v160	v157	69.6	1.6e-05	40
v160	v159	70.0	0.000395	35
v160	v158	53.1	0.000673	35
v160	v156	42.9	0.0127	30
v160	v123	21.4	0.107	27
v160	v140	29.3	3.46	22
v159	v157	56.0	2.02e-133	466
v159	v156	47.7	3.84e-108	382
v159	v158	41.3	1.62e-90	323
v158	v156	47.1	5.56e-88	315
v158	v157	39.9	2.51e-72	263
v158	v029	37.1	9.72	22
v158	v015	37.1	9.72	22
v158	v044	37.1	9.72	22
v158	v080	37.1	9.72	22
v158	v046	37.1	9.72	22
v157	v156	44.1	1.4e-86	310
v157	v113	20.9	1.53	24
v157	v116	44.8	4.45	23
v157	v115	43.5	9.92	22
v156	v140	42.9	2.58	23
v155	v141	62.8	2.27e-75	272
v155	v145	58.9	3.88e-67	245
v155	v144	54.8	3.4e-63	231
v155	v142	54.3	9.89e-63	230
v155	v146	29.3	1.55e-15	73
v155	v153	29.3	1.55e-15	73
v155	v152	32.6	2.02e-15	73
v155	v147	26.4	3.69e-09	52
v155	v139	29.0	6.3e-09	51
v155	v154	26.3	2.39e-08	49
v155	v150	30.3	5.89e-07	45
v155	v149	27.7	0.00061	35
v155	v143	26.0	0.00104	34
v155	v148	25.2	0.015	30
v155	v140	26.3	0.631	25
v155	v151	25.4	0.631	25
v155	v006	32.2	5.34	22
v155	v126	30.0	9.11	21
v154	v150	51.9	9.87e-55	203
v154	v143	45.9	3.51e-52	195
v154	v151	45.4	7.82e-52	194
v154	v148	47.8	6.62e-51	191
v154	v140	47.4	1.47e-50	190
v154	v139	50.0	5.6e-50	188
v154	v149	43.7	1.25e-49	186
v154	v147	32.7	9.63e-26	107
v154	v153	29.0	1.18e-15	74
v154	v146	29.0	1.18e-15	74
v154	v152	30.3	5.85e-15	71
v154	v145	30.1	3.21e-13	65
v154	v142	27.6	5.13e-11	58
v154	v141	28.2	6.7e-11	58
v154	v144	27.2	1.49e-10	57
v154	v126	26.2	0.0568	28
v154	v093	26.4	1.07	24
v154	v128	37.3	2.39	23
v154	v043	38.5	5.32	22
v153	v146	100.0	5.93e-121	423
v153	v152	44.2	1.04e-40	157
v153	v147	32.6	7.96e-25	104
v153	v141	32.5	2.65e-20	89
v153	v145	29.2	9.43e-18	80
v153	v139	32.4	3.96e-16	75
v153	v142	29.1	1.97e-15	73
v153	v144	29.2	1.97e-15	73
v153	v148	26.7	1.27e-14	70
v153	v143	25.7	3.71e-14	69
v153	v151	25.7	8.26e-14	67
v153	v140	27.4	1.41e-13	67
v153	v150	27.7	2.66e-12	62
v153	v149	26.0	3.25e-10	55
v153	v005	24.5	0.0191	30
v153	v020	32.8	0.162	27
v153	v015	24.3	8.87	21
v153	v046	24.3	8.87	21
v153	v044	24.3	8.87	21
v152	v146	44.2	8.92e-41	157
v152	v147	32.2	1.02e-20	90
v152	v142	33.7	3.41e-16	75
v152	v144	31.8	7.6e-16	74
v152	v141	33.0	9.93e-16	74
v152	v145	29.2	4.93e-15	71
v152	v139	29.9	4.17e-14	68
v152	v140	30.3	1.34e-12	63
v152	v148	25.3	3.3e-11	59
v152	v149	27.8	9.61e-11	57
v152	v150	24.7	1.26e-10	57
v152	v143	25.1	6.23e-10	54
v152	v151	24.7	1.39e-09	53
v152	v048	25.5	0.0366	28
v152	v112	24.8	0.107	27
v152	v039	28.6	0.405	25
v152	v089	27.8	0.902	24
v152	v038	30.9	0.902	24
v152	v125	29.7	1.18	23
v152	v137	24.7	2.01	23
v152	v122	23.6	9.97	20
v151	v143	98.3	4.08e-128	447
v151	v148	76.2	4.87e-97	344
v151	v140	57.7	8.36e-73	263
v151	v149	48.7	3.3e-61	225
v151	v139	55.8	1.06e-59	220
v151	v150	50.7	1.81e-51	193
v151	v147	31.9	1.89e-24	103
v151	v146	25.7	8.8e-14	67
v151	v142	26.2	4.99e-09	52
v151	v145	25.0	1.45e-08	50
v151	v144	25.3	4.23e-08	49
v151	v141	25.8	5.17e-06	42
v151	v082	24.3	0.501	25
v151	v072	51.7	0.854	24
v151	v067	50.0	2.48	23
v151	v028	32.6	4.24	22
v151	v074	37.5	5.54	22
v151	v023	39.3	7.23	21
v151	v027	36.7	7.23	21
v151	v022	36.7	7.23	21
v151	v058	29.2	9.44	21
v150	v143	49.3	3.74e-51	191
v150	v149	44.3	2.27e-48	182
v150	v148	47.1	6.6e-48	181
v150	v139	50.3	1.25e-46	176
v150	v140	46.2	6.83e-45	171
v150	v147	29.4	2.21e-19	86
v150	v146	27.7	2.62e-12	62
v150	v142	28.4	7.89e-09	51
v150	v145	29.0	3e-08	49
v150	v144	25.7	2.15e-06	43
v150	v141	27.6	1.39e-05	40
v150	v137	30.4	6.69	21
v150	v134	22.6	8.74	21
v149	v139	62.7	1.86e-67	246
v149	v140	53.8	1.21e-66	243
v149	v143	49.6	1.06e-62	230
v149	v148	48.7	5.42e-59	218
v149	v147	31.1	9.04e-22	94
v149	v142	27.6	1.6e-10	57
v149	v146	26.0	3.56e-10	55
v149	v144	26.9	1.35e-09	54
v149	v141	25.8	2.39e-06	43
v149	v145	29.7	2.39e-06	43
v149	v083	34.3	0.674	25
v149	v106	42.3	1.15	24
v149	v087	37.8	4.37	22
v148	v143	77.1	4.4e-98	347
v148	v140	57.5	3.88e-70	255
v148	v139	54.0	8.4e-57	210
v148	v147	30.6	2.31e-22	96
v148	v146	26.7	1.36e-14	70
v148	v142	24.6	1.45e-08	50
v148	v144	23.5	1.23e-07	47
v148	v141	23.9	5.17e-06	42
v148	v145	22.4	3.35e-05	39
v148	v134	26.9	0.132	27
v148	v082	27.3	0.383	25
v148	v067	28.2	1.9	23
v148	v052	34.8	7.23	21
v148	v053	24.0	7.23	21
v147	v140	32.9	5.18e-26	108
v147	v143	32.7	1.15e-25	107
v147	v146	32.6	7.48e-25	104
v147	v139	31.7	1.91e-20	89
v147	v145	24.9	4.41e-09	52
v147	v144	23.7	1.09e-07	47
v147	v142	27.9	3.16e-07	45
v147	v141	23.3	7.04e-07	44
v147	v137	21.4	0.338	25
v147	v109	22.5	0.442	25
v147	v097	23.2	0.577	25
v147	v071	21.8	1.29	23
v147	v024	37.5	4.89	22
v147	v113	30.0	6.38	21
v147	v110	30.0	8.33	21
v146	v141	32.5	2.65e-20	89
v146	v145	29.2	9.43e-18	80
v146	v139	32.4	3.96e-16	75
v146	v144	29.2	1.97e-15	73
v146	v142	29.1	1.97e-15	73
v146	v143	25.7	3.71e-14	69
v146	v140	27.4	1.41e-13	67
v146	v005	24.5	0.0191	30
v146	v020	32.8	0.162	27
v146	v015	24.3	8.87	21
v146	v046	24.3	8.87	21
v146	v044	24.3	8.87	21
v145	v144	57.3	2.8e-73	265
v145	v142	54.7	1.3e-70	256
v145	v141	57.3	2.71e-68	248
v145	v139	30.2	2.76e-12	62
v145	v143	24.4	1.85e-08	50
v145	v140	21.9	2.5e-05	39
v145	v005	29.3	0.832	24
v145	v077	24.3	7.04	21
v144	v142	93.3	2.94e-129	451
v144	v141	62.1	1.13e-80	290
v144	v140	26.9	5.55e-11	58
v144	v139	30.3	1.78e-09	53
v144	v143	25.7	1.51e-08	50
v144	v087	26.4	0.105	27
v144	v127	25.4	0.105	27
v144	v022	23.8	0.137	27
v144	v027	23.8	0.137	27
v144	v005	26.5	0.887	24
v144	v122	27.9	1.51	23
v144	v081	23.6	2.58	23
v144	v055	52.0	3.37	22
v144	v056	52.0	3.37	22
v143	v140	57.7	1.09e-72	263
v143	v139	55.3	3.09e-59	218
v143	v142	26.7	1.72e-09	53
v143	v141	26.4	2.32e-06	43
v143	v072	51.7	0.854	24
v143	v028	34.9	1.12	24
v143	v058	31.2	2.48	23
v143	v082	23.5	3.25	22
v143	v074	37.5	5.54	22
v143	v022	36.7	7.23	21
v143	v023	39.3	7.23	21
v143	v027	36.7	7.23	21
v142	v141	64.5	7.09e-83	297
v142	v140	28.2	2.04e-13	66
v142	v139	31.0	2.75e-10	56
v142	v027	24.3	0.036	29
v142	v022	24.3	0.036	29
v142	v127	25.4	0.0803	28
v142	v087	27.5	0.234	26
v142	v122	30.2	0.679	25
v142	v005	26.8	0.679	25
v142	v056	52.0	3.37	22
v142	v055	52.0	3.37	22
v142	v081	24.4	7.51	21
v141	v139	29.3	1.43e-08	50
v141	v140	24.8	0.00402	32
v141	v127	23.5	0.0759	28
v141	v091	26.4	0.221	26
v141	v122	34.0	7.1	21
v140	v139	62.4	4.85e-65	238
v140	v058	24.7	1.44	23
v140	v088	26.3	9.32	21
v139	v128	30.2	0.248	26
v139	v112	30.9	0.941	24
v139	v083	24.7	1.23	23
v138	v135	27.3	2.34e-20	89
v138	v065	27.3	1.52e-19	87
v138	v085	25.7	6.17e-13	65
v138	v037	25.0	7.55e-11	58
v138	v049	25.8	1.29e-10	57
v138	v097	25.3	0.000307	36
v138	v059	22.4	0.00579	32
v138	v056	25.7	0.0168	30
