node_id	rowid	pazy_accession	component	cath	seqlen	md5
n48	48	RGD93181	1	3.40.50.1820	270	c0173ba184ddb729e7ef9122ecff0145
n49	49	RLI42440.1	1	3.40.50.1820	262	71d88f44c8ddca8715a62d0d30305df5
n50	50	RLT92980.1	1	3.40.50.1820	269	14a5c3e1584a0ee2518f18810a7fed98
n51	51	RLU00646.1	1	3.40.50.1820	312	1545cf731ea10ee62b256807199e37d8
n52	52	SAY37579.1	1	3.40.50.1820	260	00855c73c087597a6c69fa2b114d731e
n53	53	SAY37582.1	1	3.40.50.1820	260	925eaa1d8c145880ff409530b973e7fe
n54	54	SAY37583.1	1	3.40.50.1820	259	e6c1800b97f5f0184a1dd73540deb95a
n55	55	SAY37584.1	1	3.40.50.1820	257	aaa9786d473a7eb02349e757ab50352c
n56	56	SAY37587.1	1	3.40.50.1820	257	0c75d9f81ae52914a609ec24d4c68ea2
n57	57	SAY37589.1	1	3.40.50.1820	257	f5ac2c525370f659e6c1b4fc71e16ce1
n58	58	SHM40309.1	1	3.40.50.1820	299	1361228bf3f1c19ea8214555076414a7
n59	59	SUD16364.1	1	3.40.50.1820	298	6cfa5991a1358a2618da129bb29a2d1c
n60	60	OK558824	1	3.40.50.1820	316	fe08eef9c8f87d7d57af2914ff906b14
n61	61	OK558825	1	3.40.50.1820	307	15938ddd57d7448aa110a9139193c91b
n62	62	WAU86704.1	1	3.40.50.1820	263	d1aa8fa7800d986fee5acab07614bd0d
n63	63	-	1	3.40.50.1820	282	81f568dbaa464c36246be059cfa19188
n64	64	WOR09923	1	3.40.50.1820	257	aa2b99b06ee80b2a22d650e6f32f1c1e
n65	65	WP_013858543.1	1	3.40.50.1820	254	a0904c35f59716a292ebfca5adfcbc0e
n66	66	A0A031MKR8	1	3.40.50.1820	302	2cd5f487f5114193eaf1c99806f6ef63
n67	67	WP_039353427	1	3.40.50.1820	366	e6cfd2897ec399a6f1d3ec1c6a98cdb7
n68	68	A0A078MGG8	1	3.40.50.1820	302	42aa40364f5684f1f255819ab69b7b92
n69	69	WP_058088494.1	1	3.40.50.1820	279	d78ca54fff3eddbc5a27aec8c337f94f
n70	70	WP_062195544.1	1	3.40.50.1820	292	1197ee1b96f74dd16a31dad1ba334c46
n71	71	WP_068824797.1	1	3.40.50.1820	297	325634c8b48334249f0532c897258e2e
n72	72	WP_078759821.1	1	3.40.50.1820	311	ef08656ab980fbd8c17fe79b6060a681
n73	73	WP_082414832.1	1	3.40.50.1820	302	677a11fa0e32fbd01338ba6d30fc718b
n74	74	WP_083947829.1	1	3.40.50.1820	284	1e1f498fae0e6d56fb87a52a1fef96ff
n75	75	WP_085749238.1	1	3.40.50.1820	279	31e8cee08e99636ef7d35f9f5457bb57
n76	76	A0A1H6AD45	1	3.40.50.1820	304	b96e3838fee9bee7a9d7d7d57eda9386
n77	77	WP_090538641.1	1	3.40.50.1820	304	de58930843f53b731bc34d03f729488d
n78	78	WP_093412886.1	1	3.40.50.1820	293	4f68c367317a6c09df48faffc017ad9e
n79	79	WP_101893509.1	1	3.40.50.1820	283	ef0ce8fcf0fe89871330b7d41cec0e7b
n80	80	WP_104613137.1	1	3.40.50.1820	301	e125fba23d29946317aa25973b8c03cb
n81	81	WP_107095481.1	1	3.40.50.1820	310	41ec3fae20c0008c7ca666cd96974233
n82	82	WP_111881932	1	3.40.50.1820	364	afb025038508228d84d2fe8c130d5d14
n83	83	WP_117215036.1	1	3.40.50.1820	434	fb68a33e966a9f713281583d4f5d357b
n84	84	WP_118011433	1	3.40.50.1820	259	d03a36b0671215d716f1df2ade24268f
n85	85	YNP18_240440	1	3.40.50.1820	258	7acde97244b13e14de682a6f3f3def1e
n86	86	-	1	3.40.50.1820	273	c51ea9e72ca4f046ba7b615cdd6e1bc0
n87	87	XCO66867	1	3.40.50.1820	286	25535d4836a01c7d3cc4bbeba3c18437
n88	88	XDS72785.1	1	3.40.50.1820	282	2ddc62c97241531aed04530538ae54d8
n89	89	ACC95208.1	1	3.40.50.1820	308	ee0092b4288da1c69a59e16f2b702cdf
n90	90	N20M5AZM016	20	3.40.50.1820	258	fcafc8f695c58e71718b19c1a7c315ba
n91	91	A0A291HVH1	21	3.40.50.1820	385	0ac767e72406f2fc0cf50fd9008e6f16
n92	92	P00780	21	3.40.50.1820	379	c119a9b5c297563dbef710cd0dfbaa94
n93	93	P06873	21	3.40.50.1820	384	3ccbadd7e660120a138f6df238b1b9ae
n94	94	P29599	21	3.40.50.1820	269	c2dc98ad498bf96179a52733ac69516e
n95	95	P29600	21	3.40.50.1820	269	5353a76b2d62b148881304e276a3a0e0
n96	96	GU116480	22	3.40.50.1820	283	6501b0257cf940e7d8aa9266fd92aaa1
n97	97	CEE00769.1	22	3.40.50.1820	266	2952634441666dbdb22a48ce9cde12c5
n98	98	Chen, 2024	22	3.40.50.1820	276	85933cc8711bcbd2db56860adfb2fd54
n99	99	ADH43200.1	23	3.40.50.1820	489	b8d2efe3a6d76dcf58f691a374d528ed
n100	100	AKJ87216	23	3.40.50.1820	322	de7fd3cae353ad8fabd922f83140376c
n101	101	ALS54749.1	23	3.40.50.1820	520	de5188fe17cc9552eecfc6b69179e19d
n102	102	BAA76305.1	23	3.40.50.1820	548	e49911a7e5738e9056e9fb9c5a9aa7ae
n103	103	YNPsite06_CeleraDRAFT_263770	23	3.40.50.1820	613	23af3c0ada6021e4452780933588e6da
n104	104	P20261	23	3.40.50.1820	549	f0ef5b5426c1171b0f229df593d4d810
n105	105	A0A2I2K6T5	23	3.40.50.1820	295	b9431762171b80707139661059a4d5f3
n106	106	UNZ81746	23	3.40.50.1820	314	572db808330016b2e517a2e6db0d8477
n107	107	UNZ81748	23	3.40.50.1820	318	63f3bcdf9d4e41b30836917c8f069d43
n108	108	WID88783.1	23	3.40.50.1820	462	f768e32a79d0b17b006886911c31b36d
n109	109	YNP6_02150	23	3.40.50.1820	565	2aefc1d9f667923f2f590677c9bd72d3
n110	110	L0EF70	23	3.40.50.1820	508	fe1766a388c03c1e83be5dd8c749ba4b
n111	111	WP_041847557.1	23	3.40.50.1820	491	8f7ceab2fc48801f9eff4ec96dd6b2b3
n112	112	AKJ87264	24	3.40.50.1820	421	81a9df90765d3ca5a2dbd97ac8fe0e4f
n113	113	AKZ20828.1	25	3.40.50.1820	452	f21de0ea2dcb603946ac9638d3076b59
n114	114	AKZ20829.1	25	3.40.50.1820	400	a4cafac901140b6b19f1c384d078b5d5
n115	115	AB302136; A4UZ10	25	3.40.50.1820	431	970357e6455a991c27de46edeee96a39
n116	116	A4UZ11	25	3.40.50.1820	419	bfc457646ef92b3c1ed060f134602fba
n117	117	EIW29778.1	25	3.40.50.1820	402	a436d17bdfc2c17a51007a01c569dc7a
n118	118	WP_108898452.1	25	3.40.50.1820	417	7f7526ac0c7c4c8440ba6812322c88d5
n119	119	APJ12152.1	26	3.40.50.1820	215	067e281972e92f24fb345ef6c8870caa
n120	120	Q83VDO	26	3.40.50.1820	201	cbe6e6c036ad8643698609d6a197ff5d
n121	121	A0A1E1FNX8	26	3.40.50.1820	215	11448cbf80389c1a758d8dfcba90907c
n122	122	B2NHN2	27	3.40.50.1820	339	d39f4e4eb5bc5b5de87a6807337446ec
n123	123	A0A080NJE8	28	3.40.50.1820	734	46e18f09ca1ffe3e4eda0f6cae364c1e
n124	124	Q0K9H3	28	3.40.50.1820	718	f972c4fe64b984d09a783a3fcdfb3199
n125	125	O82950	29	3.40.50.1820	576	9779282f44f5947a072f15c26945d21a
n126	126	P94146	30	3.40.50.1820	635	61a4ab03c350b74dc8e27682811b973f
n127	127	Q51871	30	3.40.50.1820	433	6012a802711a9bb008ee0895a518a5a0
n128	128	Q0JYJ1	31	3.40.50.1820	365	c96dbeb66cbc47f7911296f991cdfb8d
n129	129	Q0JZG9	31	3.40.50.1820	362	4b02a9379189f4f3f4a6d2b07ad427c9
n130	130	Q0VLQ1	32	3.40.50.1820	305	ab6b2d53513cc127c20db4ff15e7a322
n131	131	Q0KBZ6	33	3.40.50.1820	293	15317ec096461afae2a6111e17b27633
n132	132	Q939Q9	34	3.40.50.1820	380	085add734f10d1917f9638347ab618d2
n133	133	GxsBSedJan11_10251181	35	3.40.50.1820	335	9d30a8d3a59a8932a82976151ee0fdf1
n134	134	WP_010659881.1	35	3.40.50.1820	352	5a880c3b46d61fb2b4fa713a243c511a
n135	135	WP_034767800.1	36	3.40.50.1820	240	263a6865371a5e0924e53280192fa035
n136	136	WP_041846030.1	37	3.40.50.1820	256	e5a559b306f8a40b94d6844216b41307
n137	137	WP_085690612	38	3.40.50.1820	218	4c93b29cd359ce02e9f06d853bb00619
n138	138	WP_108898647.1	39	3.40.50.1820	249	228edba5269227f472a446139a646369
n139	139	A0A075B5G4	2	3.40.50.1820	194	e0b91bc8063c1c7e94e918fcfd8cf2bc
n140	140	A0A060N399	2	3.40.50.1820	227	2faa60f73ded9c502787ece47fca13f7
n141	141	A0A060N5H2	2	3.40.50.1820	226	ea7a24d47eff2487f1491b3ad67cce64
n142	142	A0A0P0ZE81	2	3.40.50.1820	239	4e42b62ac9f3158a2a5a2b35e117d950
n143	143	AAA33335.1	2	3.40.50.1820	230	d46d1c755303a13d2a19d9393a49d2f7
n144	144	AB102945.1; Q874E	2	3.40.50.1820	239	cd3efa9108622a39c229634066ce0292
n145	145	AB739034	2	3.40.50.1820	224	339540f3809d8ac98ee633f1da7247e9
n146	146	A0A7I8E2Z4	2	3.40.50.1820	216	255e2b78ca9f54fe397d3917c1c6cae9
n147	147	ESK97883	2	3.40.50.1820	203	b316862d7118e4358cbe8bf6be6de118
n148	148	X0BTD8	2	3.40.50.1820	230	a0550530145e06d4170e283fb389aa62
n149	149	KAH7127633	2	3.40.50.1820	237	02048bc3dc3b8c853e51fcc55038f6ac
n150	150	P52956	2	3.40.50.1820	213	f7e864f6573eccaba6017448237af700
n151	151	Q99174	2	3.40.50.1820	230	dab2da810add966a777bb8c243da293b
n152	152	QEX94755.1	2	3.40.50.1820	186	a2dfe48912d34dabd9ec983f2380b945
n153	153	UNZ22463.1	2	3.40.50.1820	216	255e2b78ca9f54fe397d3917c1c6cae9
n154	154	-	2	3.40.50.1820	221	0e841a3c1f59a0cfd7b1ac47b6e7b1bd
n155	155	-	2	3.40.50.1820	222	82b7aa41d984234dbb69f23c5dfebbb9
n156	156	Q0K2G9	3	3.40.50.1820	407	32320ea9636947aaaa29de601c9a9fa4
n157	157	Q0K4D5	3	3.40.50.1820	412	f3019f8a82e15ef9ac9ed61f6a611c97
n158	158	Q0K7T2	3	3.40.50.1820	404	8b6e9ddd1da10e1d0d3c47e2aeaaba85
n159	159	Q0KCI0	3	3.40.50.1820	419	263b6d9cf1f73ddee6c8d0410fdaf229
n160	160	Q7WXF6	3	3.40.50.1820	245	426c9c3680fe7091b7e6f1c7a0f7e7d3
n161	161	AAD22743.1	4	3.40.50.1820	617	da74b7409b4c0618cc66c7787e557585
n162	162	AAF01331.1	4	3.40.50.1820	567	c02edb9924a7f5bcd356a4cb811dd674
n163	163	AAF66684.1	4	3.40.50.1820	451	5fa3e19ca90991487c80ed55e34da806
n164	164	AAY92471.1	4	3.40.50.1820	617	0d26a77d2ffda03e4582e295927066c6
n165	165	AAY92474.2	4	3.40.50.1820	561	cb8ee61f26429b3ce6a175e6f02222ef
n166	166	AB302138; A4UZ12	5	3.40.50.1820	283	0ce515d8f0c2a6b72722a127e726b8d7
n167	167	A4UZ13	5	3.40.50.1820	283	77b3eb7d458379633a6175152729a2e8
n168	168	AB302140	40	3.40.50.1820	338	d8bf4c4b8965f1f5509d077b1db637c5
n169	169	Q6N9M9; RPA1511	6	3.40.50.1820	295	7452d6761b99d133be32ee4b17239cd1
n170	170	LIPB_PSEA2	7	3.40.50.1820	342	c5c958d03feed023c70aead575ffd575
n171	171	AGT96414.1	8	3.40.710.10	390	be7dd8f21d1b03631b329ecc8c66318e
n172	172	AHG30919.1	41	3.40.710.10	414	c2610dc7556aacd9a00bede53a3a5ef9
n173	173	NYLB_FLASK	42	3.40.710.10	392	ec89fcce3f831d4efa72c84c4ac889ee
n174	174	UNZ81747	43	3.40.710.10	455	12efbdad63de5275909365067113db41
n175	175	A0A7W8QII1	9	3.60.70.12	344	586a335986f45e096f6ca073737678a5
n176	176	A0A840P940	9	3.60.70.12	332	8a27f08047aeded2e90bf33e519d6d59
n177	177	KQR39103	9	3.60.70.12	340	aaede276fbd61767d03028e2d193d5a7
n178	178	Q1EPR4	9	3.60.70.12	355	821c28b3e158579536d0795e3661b21a
n179	179	Q1EPR5	9	3.60.70.12	355	b48a5e7e77b3b427ca89ac65da361050
n180	180	NYLC_FLASK	9	3.60.70.12	355	ebd22bc012fd6e181f43bc728b85dc79
n181	181	AY026386	10	3.90.1300.10	525	6139d7ee947801e1ffa5c9345c785900
n182	182	AAK28498.1	10	3.90.1300.10	517	0c554c0dd255de614d248db3118d89da
n183	183	AGT90042.1	10	3.90.1300.10	483	5c06f1259bc12791a4627d9b18c94185
n184	184	ANG60415.1	10	3.90.1300.10	472	1090fc7df5cb6e4866fd00779c1d8e28
n185	185	ARF18137.1	10	3.90.1300.10	472	c05531f7c89f4efafc1f2537c89ad129
n186	186	BAI44731	10	3.90.1300.10	479	c21fdb598a3887e2e8a5af55068ffec4
n187	187	NYLA_PSES8	10	3.90.1300.10	493	a79509a510d90a50f6702955b1ad3b49
n188	188	NYLA_FLASK	10	3.90.1300.10	493	77bca54fb186cc66d3f509d6fb835b65
n189	189	Q12559	10	3.90.1300.10	545	815c8cb8347c7ae5a0b5f9f5e645b5db
n190	190	WBR49956	10	3.90.1300.10	438	4ae54f06384b9660b40e76e9a902f585
n191	191	WBR49957	10	3.90.1300.10	439	06d89e9f595b7abc6f662a4ea5fc3f77
n192	192	WBR49958	10	3.90.1300.10	439	e517914dc89db0a2eedf86b6f66bf60c
n193	193	WP_011209364.1	10	3.90.1300.10	479	d91b645ebea282e1c771123a7abe685f
n194	194	WP_185053500	10	3.90.1300.10	471	ccec191e60e12d1782682af2211d9640
n195	195	-	10	3.90.1300.10	485	336f0649eca9651f90fe2d208cd29559
n196	196	-	10	3.90.1300.10	472	643cdc8e6bf40238fb4a3568cc8eb4f8
n197	197	BBP47208; XP_036664376	10	3.90.1300.10	551	e422c7b9aabe1a23f75d15bd35cf71a6
n198	198	B0FLR6	11	2.40.10.10	241	c07da837b710b266f98b045916b5543a
n199	199	Q75UA4	11	2.40.10.10	238	167f1e4e4481dfb27bd087d9b3902929
n200	200	B0FY08	12	2.40.10.10	364	659a58dc5abc0fd64c7c7e596bb56dd4
n201	201	AII11185	14	2.60.40.420	516	a231cf4880bedee499375b591f4c7cfc
n202	202	AII11221	14	2.60.40.420	348	4be16a85172c726f7f8d6dbd2053955f
n203	203	A0A1S6Q8F9	15	NA	681	9c7dbb673a1f18286b846d8354918b3d
n204	204	LC073705	15	NA	679	073907a632be32c5b92c8381c4de0c90
n205	205	Q7X0P3	15	NA	678	84ba28218df106867af936d87aba63b4
n206	206	H6N162	16	NA	407	198d14bb37149debc526a3f90e777956
n207	207	H6N4Z1	16	NA	388	3d98c4ffc15561968b8fbb11d2ed071a
n208	208	Q3L8N0	16	NA	407	024678fb7e5f5a204647fd2d1e393aab
n209	209	MT664881	16	NA	410	95d1e9d1e5c89ada66637cb1f2c7e05e
n210	210	MT664882	16	NA	407	67b4409cf7dfe74bbb08798733600bfc
n211	211	W6R2Y2	17	TBDX	201	4b50fcb2d78d50a7f5693abba7e356b1
n212	212	KP347755.1	18	TBDY	411	342ff8b50fc233be7b68dc6cd032d5a7
n213	213	ACD16728.1	19	TBDZ	316	b6f8363af9f6b89b71da887bdc4c3060
